Depth	Gamma
23.1	43.1
23.1	43.4
23.4	44.9
23.6	46.4
23.7	46.4
23.8	46.7
23.8	45.8
23.9	44.9
24	43.7
24	43.7
24.4	43.4
24.5	43.4
24.5	43.4
24.7	43.7
24.9	45.5
25.1	46.7
25.2	47.6
25.2	48
25.3	46.4
25.3	46.1
25.4	45.2
25.4	44.9
25.5	44.6
25.8	44.6
25.9	44.3
26.1	44
26.3	44
26.5	44
26.5	44
26.6	45.2
26.6	46.7
26.7	47.3
26.7	47.6
26.8	48
27	48
27.2	48.9
27.2	48.9
27.3	49.2
27.4	49.8
27.5	51.6
27.5	52.8
27.6	54.3
27.6	54.3
27.7	55.2
28	56.8
28.1	57.1
28.3	58
28.5	57.1
28.6	55.8
28.8	57.1
28.9	58
28.9	59.5
29	60.4
29.3	62.2
29.3	62.5
29.3	65
29.4	65.9
29.5	66.8
29.6	66.8
29.8	67.7
29.8	68.3
29.9	68.3
30	68
30.2	65.9
30.2	64.6
30.4	65.9
30.4	66.2
30.5	67.7
30.6	68.6
30.7	70.1
30.9	71.9
30.9	71.9
31.1	73.1
31.2	72.5
31.2	70.7
31.4	68.6
31.4	68.3
31.4	65.9
31.5	65.6
31.6	66.2
31.8	68.6
31.9	69.8
31.9	70.1
31.9	70.4
32	71.9
32.2	72.2
32.3	71.3
32.5	72.5
32.6	75.6
32.7	76.5
32.8	77.1
33	77.7
33	76.2
33.1	75.9
33.2	75.9
33.3	76.5
33.5	75.6
33.5	74.1
33.6	73.5
33.8	72.2
34.1	71.6
34.4	74.4
34.6	76.5
34.7	77.4
34.8	74.7
34.9	71.9
34.9	71.3
34.9	68.9
34.9	66.8
34.9	66.2
35.1	66.2
35.4	65.6
35.6	64.3
35.8	62.8
36	61
36	60.7
36.2	60.7
36.3	63.1
36.4	63.7
36.5	66.5
36.6	67.4
36.6	68.9
36.7	70.4
36.8	71
36.9	71
37	70.7
37.1	70.7
37.2	70.7
37.4	71.6
37.4	71.9
37.4	72.5
37.6	71.3
37.6	70.4
37.7	69.2
37.9	67.1
38.1	65.9
38.3	67.4
38.3	67.7
38.5	68.9
38.6	68.9
38.6	66.8
38.8	64.6
38.9	62.5
38.9	61.9
39	61.3
39.3	60.7
39.4	62.5
39.4	63.4
39.7	66.2
39.7	68
39.7	68.3
39.9	69.5
39.9	69.8
39.9	70.7
40	70.7
40.2	68.9
40.2	68.6
40.2	67.7
40.2	67.4
40.4	66.2
40.5	65.9
40.7	66.2
40.9	66.5
41.1	66.5
41.3	65.6
41.4	64.6
41.5	64
41.7	63.1
41.9	64.3
42	64.3
42	65
42.2	64.3
42.2	63.1
42.4	62.5
42.5	62.2
42.6	62.2
42.8	63.4
42.8	63.7
42.9	64.6
43	63.7
43.1	62.5
43.3	61
43.4	60.7
43.6	59.5
44	58.9
44.1	60.1
44.3	61
44.4	60.4
44.4	60.1
44.4	59.2
44.5	58.9
44.6	57.7
44.8	58.3
44.8	59.8
44.8	61
45.1	60.4
45.2	60.1
45.2	60.1
45.2	60.1
45.3	60.1
45.5	60.1
45.7	61
45.9	64.3
46	65
46	64.6
46	63.1
46.4	62.5
46.7	63.1
46.9	64
47	66.2
47	66.5
47.2	68
47.3	69.2
47.4	69.5
47.6	70.1
47.6	70.4
47.7	70.7
47.7	70.7
47.8	69.8
47.9	68.6
48.1	67.7
48.4	68
48.6	66.8
48.6	65.9
48.7	64.6
48.7	64.3
48.7	63.4
48.8	62.2
48.9	61
48.9	60.1
49.1	60.7
49.2	63.4
49.2	65
49.4	66.5
49.6	66.2
49.6	65.9
49.7	65.9
49.9	67.4
49.9	68.3
50.1	68.3
50.1	68
50.1	67.1
50.2	66.5
50.2	66.2
50.4	66.5
50.6	68
50.6	68.6
50.8	68.9
50.9	68.3
51	67.4
51	66.2
51.1	65.9
51.1	65.3
51.4	65.6
