Depth	Gamma
34.9	48.6
35.1	48.6
35.1	48.6
35.1	48.6
35.2	48.6
35.3	48
35.3	50.2
35.3	50.7
35.4	51.3
35.4	52.4
35.5	52.9
35.5	53.4
35.5	54
35.6	54.5
35.6	55.6
35.6	56.1
35.6	56.7
35.8	56.7
35.8	56.1
35.8	55.1
36	52.4
36.1	50.7
36.3	49.1
36.7	48.6
36.8	49.6
36.9	50.2
37.1	51.3
37.4	51.8
37.8	50.2
38	50.7
38	49.1
38.1	46.4
38.2	45.3
38.4	46.9
38.6	48
38.7	48
39	46.4
39.1	44.2
39.1	49.1
39.1	51.8
39.4	55.6
39.4	56.1
39.4	57.2
39.5	59.4
39.6	55.6
39.6	55.6
39.7	52.9
39.7	51.3
39.9	49.1
40	47.5
40.2	44.8
40.3	42.1
40.3	42.1
40.4	42.1
40.8	45.3
40.9	45.9
40.9	47.5
41.1	47.5
41.1	44.8
41.1	43.2
41.3	43.2
41.3	43.2
41.5	43.2
41.5	43.7
41.6	43.7
41.6	43.7
41.7	41
41.7	40.5
41.8	41
41.8	42.1
41.7	44.8
41.7	45.9
41.8	46.4
41.8	47.5
41.8	48.6
42	50.7
42.3	54
42.3	54
42.3	55.6
42.4	55.6
42.5	56.1
42.6	56.1
42.6	56.1
42.6	55.1
42.7	55.1
42.8	55.1
42.8	55.1
42.9	55.6
43	55.6
43	54
43	55.6
43.2	57.2
43.3	58.3
43.3	58.3
43.4	58.3
43.4	58.3
43.4	56.1
43.4	55.6
43.5	55.1
43.7	54.5
43.7	54.5
43.7	52.9
43.7	51.8
43.7	49.6
43.8	49.6
44	50.2
44.2	51.8
44.4	53.4
44.5	53.4
44.5	52.4
44.5	51.3
44.8	52.4
44.9	52.4
44.9	53.4
45	55.6
45.3	54.5
45.3	61
45.4	64.2
45.5	66.4
45.6	67
45.8	68.6
45.9	68.6
45.9	68.6
45.9	67.5
46	65.9
46.1	64.2
46.1	64.2
46.2	63.7
46.4	65.3
46.4	65.9
46.5	65.9
46.6	64.2
46.7	62.6
46.8	62.6
46.9	59.9
46.9	59.9
47.1	58.8
47.2	57.8
47.4	59.9
47.4	59.9
47.7	63.2
47.8	65.3
47.8	65.9
47.8	67
47.8	67.5
47.9	67.5
48	65.3
48.2	62.6
48.4	61
48.4	59.9
48.6	58.8
48.8	60.5
48.9	62.6
48.9	62.6
49	64.2
49.1	64.2
49.1	63.2
49.1	62.6
49.2	62.1
49.3	61
49.4	59.9
49.6	61
49.6	62.1
49.6	62.6
49.8	63.7
49.8	63.7
49.9	65.3
49.9	65.3
49.9	65.9
50	66.4
50.1	67
50.3	67
50.3	67
50.4	68
50.5	69.7
50.6	69.1
50.6	68
50.6	65.3
50.8	62.6
51	61.5
51	61.5
51.1	61.5
51.2	63.2
51.3	64.2
51.4	64.8
51.5	63.2
51.6	62.6
51.7	61.5
51.9	60.5
52.1	61
52.1	63.2
52.2	64.2
52.3	65.9
52.3	66.4
52.4	67
52.4	65.3
52.5	66.4
52.6	68
52.6	70.2
52.6	71.8
52.7	71.8
52.7	71.8
52.9	70.2
52.9	69.7
53.1	68
53.1	67
53.1	67
53.2	67
53.2	67
53.3	65.9
53.3	64.8
53.3	63.7
53.4	62.6
53.5	63.2
53.7	65.3
53.7	65.3
53.8	66.4
53.8	67
53.8	67.5
53.9	68.6
54.1	68
54.2	67
54.4	67.5
54.5	69.1
54.6	70.7
54.7	71.3
54.8	71.3
55	73.4
55.1	74.5
55.2	75.6
55.3	75.6
55.3	76.1
55.5	75.6
55.6	73.4
55.7	70.2
55.7	70.2
55.8	67.5
55.9	67
55.9	64.8
55.9	63.2
56	61.5
56	58.8
56	56.7
56.2	57.2
56.3	58.3
56.4	61.5
56.5	64.2
56.7	66.4
56.8	66.4
56.8	67
57	67.5
57	67.5
57.2	68
57.4	66.4
57.4	64.2
57.5	63.2
57.7	65.9
57.8	66.4
58.1	65.3
58.2	63.2
58.3	65.9
58.5	65.3
58.6	63.7
58.7	65.3
58.9	65.9
58.9	68.6
58.9	69.1
58.9	70.2
59	70.7
59.1	69.1
59.2	69.1
59.5	72.4
59.6	74
59.7	76.7
59.9	77.2
