Depth	Gamma								
0.1	17.8								
0.1	16.3								
0.1	14.8								
0.1	14								
0.2	13.3								
0.2	12.5								
0.3	11.8								
0.4	10.3								
0.5	8.7								
0.6	7.2								
0.7	6.5								
0.7	6.5								
0.8	6.5								
0.8	6.5								
1	6.5								
1	6.5								
1.1	7.2								
1.3	10.3								
1.4	12.5								
1.5	14.8								
1.6	15.6								
1.7	17.1								
1.8	20.1								
1.8	21.6								
1.9	23.1								
2	23.1								
2.1	23.9								
2.1	23.9								
2.2	24.7								
2.3	26.2								
2.4	28.5								
2.4	30								
2.4	32.2								
2.4	33								
2.6	35.3								
2.6	36								
2.6	38.3								
2.6	40.6								
2.6	45.9								
2.7	48.2								
2.7	49.7								
2.8	49.7								
2.9	48.9								
2.9	47.4								
3	44.4								
3	43.6								
3.2	40.6								
3.4	43.6								
3.4	45.1								
3.4	45.9								
3.5	48.9								
3.7	52								
3.7	54.2								
3.8	56.5								
3.8	57.3								
3.9	59.5								
4	61.1								
4	64.9								
4.1	67.9								
4.1	67.9								
4.2	70.9								
4.2	76.2								
4.3	79.3								
4.3	81.5								
4.5	84.6								
4.5	85.3								
4.7	84.6								
4.8	84.6								
4.8	83.8								
4.9	83.8								
4.9	83.1								
5.1	84.6								
5.1	85.3								
5.3	89.9								
5.4	92.2								
5.4	92.2								
5.5	90.6								
5.6	89.1								
5.7	90.6								
5.8	92.2								
5.9	94.4								
6	95.9								
6	95.2								
6	92.9								
6	89.9								
6	88.4								
6	86.1								
6.1	83.1								
6.1	83.1								
6.2	80								
6.2	76.2								
6.2	72.4								
6.2	71.7								
6.2	68.6								
6.2	68.6								
6.3	66.4								
6.4	62.6								
6.5	61.8								
6.5	59.5								
6.5	59.5								
6.6	57.3								
6.8	55.8								
6.9	58.8								
6.9	59.5								
7.1	61.1								
7.1	61.8								
7.2	63.3								
7.2	64.9								
7.4	67.9								
7.5	70.2								
7.6	73.2								
7.7	77								
7.9	81.5								
8	86.1								
8.1	89.1								
8.1	90.6								
8.2	91.4								
8.3	87.6								
8.5	83.8								
8.5	80.8								
8.6	77								
8.6	74								
8.7	73.2								
8.7	72.4								
8.7	71.7								
8.8	70.9								
8.9	67.1								
8.9	66.4								
9.1	64.9								
9.1	64.9								
9.2	64.1								
9.3	64.9								
9.3	64.9								
