Depth	Gamma
25	29.1
25	28.6
25.2	28.1
25.2	28.1
25.4	27.6
25.4	27.6
25.6	27.1
25.7	27.1
25.7	27.1
25.9	27.1
25.9	27.1
26	27.1
26	27.6
26.1	28.1
26.2	29.6
26.2	29.6
26.3	31
26.4	32
26.5	32
26.6	32
26.6	31
26.6	30.6
26.6	30.6
26.6	30.1
26.7	30.1
26.8	30.6
26.9	31
26.9	31
26.9	31
27.1	31
27.1	29.6
27.2	28.6
27.2	28.1
27.3	26.1
27.4	25.6
27.4	25.6
27.5	25.6
27.5	26.1
27.6	27.6
27.6	28.1
27.7	28.1
27.8	29.1
27.9	29.1
28	28.6
28.1	28.1
28.1	27.1
28.3	26.6
28.4	26.1
28.4	26.1
28.5	26.1
28.7	26.1
28.8	26.6
28.9	28.1
29	29.6
29.1	32.5
29.1	33
29.2	33.5
29.2	36.4
29.2	39.9
29.3	42.8
29.4	47.3
29.5	47.7
29.5	50.7
29.5	53.2
29.6	55.6
29.6	58.6
29.6	60.5
29.6	61
29.7	61.5
29.9	61.5
29.9	61.5
30.1	62.5
30.1	63
30.1	64.9
30.2	65.9
30.2	66.4
30.3	67.9
30.6	71.8
30.6	74.3
30.8	77.2
30.8	78.7
30.8	80.2
30.8	80.2
30.9	81.2
31	83.1
31	83.6
31.1	82.1
31.3	81.6
31.4	79.2
31.4	76.2
31.5	72.8
31.6	70.8
31.6	69.4
31.6	67.4
31.6	66.4
31.7	64.9
31.7	64
31.7	63
31.7	62
31.8	61.5
31.8	61
31.8	59.5
31.9	59.5
32	61.5
32	61.5
32	63.5
32.1	63.5
32.1	62
32.2	61.5
32.2	61.5
32.2	64.5
32.3	65.4
32.3	67.9
32.4	69.4
32.5	68.4
32.6	65.4
32.7	63.5
32.8	62.5
32.9	62.5
33	65.4
33	65.9
33	65.9
33	65.9
33	67.9
33	68.9
33.1	70.3
33.2	71.8
33.3	72.3
33.4	68.9
33.5	66.4
33.5	65.4
33.6	63.5
33.7	61.5
33.7	61
33.8	60.5
33.9	59.5
33.9	58.1
34	56.1
34	55.6
34.2	56.1
34.4	57.1
34.5	57.6
34.5	59
34.6	59.5
34.6	62
34.7	63
34.8	62
34.9	61.5
35	60
35.1	60.5
35.1	61
35.1	63.5
35.2	64.9
35.2	65.9
35.3	65.9
35.4	64
35.5	63
35.5	61.5
35.6	61
35.7	60
35.7	59
35.8	58.6
36	58.6
36	58.6
36.1	58.6
36.2	59.5
36.2	61
36.4	63
36.6	66.4
