Depth	Gamma
25	35.8
27.9	33.1
29.3	28.9
29.6	34.7
30.1	38.4
30.4	39.5
30.5	37.4
30.9	39.5
31.5	44.8
31.9	63.9
32.3	74.5
32.6	69.7
32.8	60.7
32.8	60.7
33	53.3
33	52.2
33.2	48.5
33.7	59.1
34.2	71.9
34.5	68.1
34.5	67.1
34.5	59.7
34.7	51.7
34.9	49
35.3	54.9
35.7	57.5
36.1	58.1
36.3	69.2
36.7	61.8
36.7	61.2
36.9	51.7
37.1	46.4
37.4	44.8
37.6	38.4
37.6	37.9
37.9	27.8
38.2	22
38.2	21.4
38.3	18.8
38.5	21.4
39.1	16.7
39.1	17.7
39.3	26.7
39.7	31.5
40	23
40.1	23
40.4	19.3
41.1	22.5
41.4	19.3
42	18.2
42	17.7
42.7	16.1
43.3	18.8
43.7	23.6
44.2	24.1
44.9	24.1
44.9	23.6
45.2	18.2
46.2	24.1
46.7	23.6
46.9	21.4
47.5	20.4
47.9	24.1
47.9	24.6
48.6	25.1
48.6	24.6
48.9	20.9
49.5	22.5
49.5	25.7
50.3	24.6
50.9	21.4
51.2	21.4
51.2	20.9
51.5	19.8
52	15.6
52.1	16.7
52.5	21.4
53	24.1
53.8	26.2
54.3	28.9
54.3	28.9
54.7	26.7
54.7	26.7
55.2	26.7
55.9	28.9
56.3	29.4
56.7	26.7
56.9	28.3
56.9	27.8
57.4	23.6
57.5	24.6
57.8	29.4
57.8	29.9
58.2	30.5
58.3	30.5
59	28.3
59.1	25.7
59.4	28.3
59.4	26.2
59.9	23
60.1	24.6
60.7	25.1
60.9	31
60.9	31
61.5	24.6
61.6	23.6
61.9	28.9
62.4	26.7
62.8	27.3
62.8	27.3
63.1	34.2
63.7	36.3
64.2	26.7
64.2	26.7
64.3	22
64.9	23.6
65.2	25.7
65.8	24.6
66.5	26.2
66.5	26.7
67.3	36.8
68	40.5
68.5	58.1
69	62.3
69.3	57
69.7	57.5
69.7	55.9
70	43.2
70.3	33.6
70.5	25.1
70.8	28.9
70.8	29.9
71.2	36.8
72.1	43.7
72.4	36.8
72.6	35.8
73.4	34.7
74	52.8
74.4	64.4
74.8	49.6
75	43.2
75.6	34.7
76.1	33.5
76.4	29.7
76.5	29.7
76.8	36.7
77.1	40.4
77.6	38.3
77.9	51.2
78.3	66.2
78.5	75.3
78.7	64.6
78.8	52.3
78.8	51.7
79	49.6
79.3	64.1
80	57.6
80.2	66.7
80.6	74.8
80.8	78
81.3	73.2
81.6	65.1
82	67.8
82	68.3
82.2	74.8
82.6	73.2
82.9	65.7
83.2	70.5
83.2	70.5
83.7	71
83.7	73.2
83.9	74.8
84.2	70.5
84.4	72.1
84.9	67.3
85.1	64.6
85.1	64.1
85.4	60.3
85.6	66.2
86	59.2
86.4	66.7
86.8	67.3
87	70.5
87.2	63.5
87.3	63
87.3	58.2
87.4	58.2
87.8	52.8
88.6	59.8
88.6	60.3
89	57.1
89.3	53.9
89.4	53.9
89.7	63
90.2	72.1
90.3	77.5
90.8	64.1
91.3	60.8
91.7	60.8
92	47.4
92.3	43.1
92.8	48.5
93.2	63.5
93.5	54.9
93.7	45.8
94.3	45.8
94.7	57.6
95.1	66.7
95.6	68.3
96	75.9
96.4	62.4
97.1	56.5
97.4	54.4
98.2	71
98.3	76.9
98.8	64.1
99.2	50.6
99.5	43.7
100.2	39.9
100.5	37.8
100.8	43.7
101.1	48.5
101.8	54.9
102.1	47.4
102.6	50.1
103.1	49
103.5	46.9
104	46.4
104.5	58.7
105	70.5
105.3	67.3
105.4	67.3
105.6	60.3
105.9	53.9
106.1	51.2
106.2	51.2
106.7	59.2
107.1	59.8
107.5	71.6
107.8	64.6
108.3	59.2
108.7	54.4
109.3	58.7
109.4	58.7
109.8	59.2
110.4	51.2
110.9	44.7
111.3	52.3
111.8	46.4
112.1	46.4
112.8	56
113.1	56
113.4	63
113.7	53.3
114.4	58.2
114.5	61.9
115	57.6
115.3	59.8
115.8	55.5
116.3	48
116.7	45.8
117.2	64.1
117.6	58.7
118.1	48
118.4	49.6
118.7	48.5
119.3	63.5
119.7	66.2
119.9	57.1
120.1	52.8
120.5	46.4
121.1	51.2
121.3	58.2
121.9	63.5
122.4	68.3
122.7	68.3
123	74.8
123.4	63.5
123.7	52.3
123.9	48.5
124.5	51.2
125.1	71
125.5	100
125.6	76.9
126.2	66.7
126.7	50.1
127.5	61.4
127.7	56
128.3	46.9
