Depth	Gamma
49.2	84.3
49.2	84.9
49.3	86.7
49.3	88.5
49.3	89.1
49.4	89.1
49.4	89.7
49.4	89.7
49.5	89.7
49.6	89.7
49.8	87.3
49.8	86.7
49.9	86.1
50	85.5
50	84.9
50.2	82
50.2	81.4
50.3	81.4
50.6	81.4
50.7	82
50.8	83.8
50.8	84.3
50.9	85.5
51.1	87.3
51.2	87.3
51.5	87.3
51.5	87.3
51.7	85.5
51.9	83.8
51.9	82
52.1	81.4
52.1	83.8
52.2	84.9
52.2	84.9
52.3	84.9
52.3	84.3
52.4	82
52.4	81.4
52.5	79.6
52.5	79
52.6	78.4
52.8	77.8
52.9	78.4
52.9	79
53	82.6
53.1	83.2
53.1	84.9
53.1	88.5
53.1	90.9
53.1	90.9
53.3	90.3
53.3	89.1
53.4	88.5
53.5	87.9
53.6	86.7
53.7	84.9
53.8	84.9
53.8	87.3
53.9	87.9
54	88.5
54.1	89.1
54.1	85.5
54.2	86.1
54.2	87.9
54.2	87.9
54.4	90.9
54.5	91.5
54.5	92.1
54.5	92.7
54.7	92.7
54.7	92.1
54.7	90.3
54.9	88.5
55	89.7
55.2	90.9
55.2	90.9
55.3	90.9
55.3	90.9
55.4	90.3
55.5	89.7
55.6	89.7
55.6	89.7
55.8	89.1
55.9	88.5
55.9	87.9
56.1	86.1
56.1	84.9
56.3	84.9
56.3	87.3
56.4	87.3
56.4	87.3
56.5	86.7
56.6	85.5
56.7	84.3
56.9	84.9
56.9	84.9
57.1	84.9
57.1	84.9
57.3	84.3
57.4	83.2
57.4	82.6
57.5	82
57.6	82
57.8	81.4
57.8	83.8
57.8	85.5
58	85.5
58	85.5
58	85.5
58.1	85.5
58.2	83.2
58.2	82
58.4	81.4
58.4	80.8
58.4	80.8
58.4	80.8
58.6	80.8
58.7	81.4
58.9	83.8
58.9	84.3
58.9	84.9
58.9	85.5
59	85.5
59.1	85.5
59.2	85.5
59.2	85.5
59.2	84.3
59.3	82.6
59.3	82.6
59.4	82
59.4	82
59.5	82
59.5	80.8
59.5	79.6
59.7	77.8
59.7	77.2
59.7	76
59.8	77.8
59.8	79
59.9	79.6
59.9	79.6
60.1	79.6
60.1	78.4
60.2	79
60.3	79
60.4	80.2
60.5	82
60.5	82.6
60.5	84.3
60.5	85.5
60.7	85.5
60.8	83.2
60.9	82.6
61	82
61	80.8
61.1	79.6
61.3	79.6
61.4	79.6
61.5	79
61.6	78.4
61.7	78.4
61.8	78.4
61.9	78.4
62	78.4
62.2	79.6
62.5	80.2
62.8	82
62.9	83.2
62.9	83.2
62.9	83.2
63	83.8
63.1	84.3
63.2	84.3
63.3	83.8
63.3	82.6
63.4	82.6
63.5	82
63.7	82.6
63.8	83.2
63.9	83.8
63.9	84.9
64	86.7
64	88.5
64.1	89.1
64.2	90.3
64.3	90.3
64.3	90.3
64.4	89.7
64.4	89.1
64.6	87.3
64.7	86.1
65	83.2
65	83.8
65.1	83.8
65.3	83.2
65.4	82.6
65.5	81.4
65.5	80.8
65.7	80.2
65.8	81.4
65.9	81.4
66	80.8
66	80.2
66	77.2
66.1	74.8
66.1	74.8
66.1	74.8
66.3	74.2
66.4	74.2
66.5	76
66.7	76.6
66.7	76.6
66.7	77.8
66.9	79.6
67	80.8
67.1	82.6
67.3	84.9
67.3	85.5
67.5	85.5
67.5	85.5
67.6	84.9
67.6	84.3
67.6	84.3
67.7	85.5
67.8	86.1
67.9	84.3
67.9	83.8
68	82.6
68.1	82.6
68.1	82.6
68.2	80.2
68.3	79.6
68.4	79.6
68.4	82
68.6	83.8
68.7	84.3
68.8	84.9
68.9	84.9
68.9	84.9
69	83.8
69	83.8
69.2	84.3
69.3	85.5
69.4	85.5
69.5	84.3
69.5	83.8
69.5	82.6
69.8	82.6
70	84.3
70.2	88.5
70.3	90.3
70.3	90.3
70.5	87.9
70.5	86.1
70.5	85.5
70.5	84.3
70.6	82.6
70.9	83.2
71	84.3
71.1	84.9
71.1	84.9
71.2	83.8
71.3	81.4
71.5	80.2
71.6	80.2
71.8	79.6
71.9	79.6
72	80.2
72.1	80.2
72.3	82.6
72.4	83.2
72.7	84.3
72.8	84.9
72.9	85.5
73	86.1
73	86.1
73.1	86.1
73.1	84.3
73.2	83.2
73.2	82.6
73.3	83.8
73.4	84.3
73.4	84.3
73.5	83.8
73.5	80.8
73.6	79
73.6	78.4
73.9	78.4
74	77.8
74.1	79
74.2	81.4
74.5	84.3
74.5	86.1
74.5	86.1
74.5	85.5
74.5	84.9
74.5	84.3
74.7	83.2
74.8	82.6
74.8	80.8
75	79.6
75	79.6
75.1	79.6
75.2	82
75.3	82.6
75.3	83.2
75.4	83.2
75.6	83.2
75.6	82.6
75.8	83.8
75.8	84.3
75.8	84.9
75.8	84.9
75.9	84.9
76	84.9
76.1	84.9
76.2	82.6
76.2	82
76.4	81.4
76.4	81.4
76.5	82.6
76.5	83.2
76.5	84.9
76.6	86.7
76.7	87.3
76.8	87.9
76.8	88.5
76.9	89.1
77.1	89.1
77.2	87.3
77.3	86.1
77.3	84.9
77.5	83.2
77.6	82
77.6	84.9
77.7	88.5
77.8	88.5
77.9	89.7
78.1	90.9
78.3	90.3
78.4	89.7
78.5	89.7
78.6	92.1
78.6	94.5
78.7	95.1
78.8	95.7
78.9	92.7
79	91.5
79	90.9
79.3	88.5
79.3	86.7
79.4	84.3
79.4	83.2
79.5	85.5
79.5	85.5
79.6	87.3
79.8	90.3
79.9	90.9
80	91.5
80.2	89.7
80.3	87.3
80.3	86.7
80.3	84.3
80.4	80.8
80.5	77.2
80.5	74.2
80.5	72.4
80.6	75.4
80.8	77.2
80.9	80.2
80.9	80.2
81.1	84.3
81.2	86.1
81.3	84.3
81.4	83.2
81.7	81.4
81.8	81.4
81.9	81.4
82	83.2
82.2	84.3
82.4	86.7
82.5	87.3
82.5	87.9
82.6	90.9
82.7	90.9
82.8	90.9
83.1	89.7
83.1	88.5
83.2	86.1
83.2	85.5
83.3	84.3
83.5	83.2
83.5	83.2
83.7	83.2
83.7	83.2
83.8	83.2
84	83.2
84	84.9
84	87.3
84.2	87.9
84.3	87.9
84.3	85.5
84.3	84.9
84.4	84.3
84.6	86.1
84.8	86.1
84.9	84.9
85	83.8
