Depth	Gamma
25.2	147.9
25.7	147.9
25.8	147.9
26.1	147.4
26.3	143.3
26.3	141.2
26.4	139.7
26.5	134
26.5	133.5
26.5	130.4
26.5	121.2
26.5	118.1
26.5	116.6
26.6	114
26.6	112
26.6	108.9
26.6	106.3
26.6	103.8
26.6	101.2
26.6	99.7
26.6	98.6
26.6	95.5
26.7	92
26.7	85.8
26.7	85.3
26.7	84.3
26.7	82.2
26.7	79.1
26.7	75.5
26.7	74
26.7	70.9
26.7	69.4
26.7	67.3
26.7	65.8
26.7	64.8
26.7	62.7
26.7	60.2
26.7	58.1
26.7	55.5
26.6	53
26.6	51.4
26.6	49.9
26.6	48.9
26.7	48.4
26.7	47.8
26.9	49.9
26.9	52
27	53.5
27	55
27.1	55.5
27.1	56.1
27.2	56.1
27.4	56.1
27.5	56.1
27.5	56.1
27.6	56.1
27.7	56.1
27.8	56.1
27.9	57.6
28.1	59.1
28.1	59.6
28.2	61.7
28.2	62.7
28.3	63.7
28.4	63.7
28.5	63.7
28.6	63.7
28.7	62.7
28.7	61.7
28.8	61.2
28.8	60.2
28.8	59.6
28.9	59.1
28.9	58.6
28.9	58.6
29	58.1
29	58.1
29.1	57.6
29.1	57.6
29.2	57.6
29.2	58.1
29.3	58.6
29.4	59.6
29.5	59.6
29.5	59.6
29.5	58.6
29.6	57.6
29.7	57.6
29.9	58.1
30	59.1
30	60.2
30.1	61.2
30.3	63.7
30.4	64.8
30.4	65.8
30.4	66.8
30.5	68.4
30.5	69.4
30.6	70.9
30.7	72.5
30.7	74
30.7	75.5
30.8	76.6
30.8	77.6
30.8	77.6
30.9	78.6
31	79.1
31	79.1
31.1	79.6
31.1	79.6
31.2	78.6
31.2	77.6
31.3	76.6
31.4	76.1
31.5	75.5
31.6	75
31.7	75
31.7	74.5
31.8	74.5
31.9	74.5
32	75.5
32.1	77.6
32.1	78.1
32.2	78.6
32.2	79.1
32.2	79.6
32.3	79.6
32.4	78.6
32.4	77.6
32.5	77.6
32.5	77.1
32.6	76.6
32.6	76.1
32.7	76.1
32.8	76.1
32.9	76.6
33	77.6
33	78.1
33.1	79.1
33.2	79.1
33.3	79.1
33.3	78.1
33.3	77.1
33.4	76.1
33.4	75.5
33.5	75
33.5	74.5
33.5	74.5
33.7	75.5
33.7	77.6
33.8	79.6
33.9	80.7
34	82.7
34	83.2
34	84.8
34.1	86.8
34.2	88.9
34.2	89.9
34.3	90.4
34.3	90.9
34.3	92
34.4	93
34.5	93.5
34.7	92
34.7	90.4
34.7	88.9
34.7	87.9
34.7	86.8
34.8	86.3
34.9	86.3
34.9	85.8
34.9	84.8
35	84.8
35.1	83.8
35.1	83.2
35.1	83.2
35.2	82.7
35.2	82.7
35.2	82.2
35.3	81.7
35.3	81.2
35.3	80.7
35.3	80.7
35.4	79.6
35.4	79.1
35.5	78.6
35.5	78.1
35.6	77.6
35.6	77.1
35.7	76.6
35.8	76.6
35.8	77.1
35.8	78.6
35.8	79.6
35.8	81.2
35.9	82.2
36	83.8
36.1	84.8
36.2	85.8
36.2	86.8
36.2	87.3
36.2	87.9
36.4	86.3
36.5	84.8
36.8	84.3
36.9	84.8
36.9	84.8
36.9	84.3
37	84.8
37	86.8
37.1	87.9
37.2	88.9
37.4	89.9
37.5	89.9
37.6	87.3
37.7	86.8
37.7	86.8
37.9	89.4
37.9	90.4
38	93
38.1	94.5
38.2	96.6
38.3	97.6
38.4	99.7
38.4	101.7
38.4	102.2
38.5	105.3
38.6	104.3
38.6	103.8
38.7	100.2
38.8	97.1
38.8	94.5
38.9	92
38.9	89.4
38.9	88.9
39	86.3
39.1	85.3
39.1	82.7
39.1	81.7
39.1	81.2
39.1	79.1
39.3	78.6
39.5	78.1
39.6	80.2
39.7	81.7
39.9	84.3
39.9	84.3
40	86.3
40.1	86.8
40.2	88.4
40.2	88.4
40.2	88.4
40.3	87.9
40.3	85.8
40.4	84.3
40.5	83.8
40.6	85.3
40.7	86.3
40.9	87.3
41.1	88.9
41.2	89.4
41.3	90.9
41.3	90.4
41.4	87.9
41.5	86.8
41.3	85.3
41.3	84.3
41.3	83.2
41.4	81.7
41.6	79.1
41.7	77.6
41.8	76.6
42	78.6
42.1	80.7
42.4	82.2
42.5	82.2
42.5	80.2
42.5	80.2
42.6	78.1
42.7	76.6
42.7	76.6
42.8	75
42.8	75
42.9	73.5
42.9	73.5
43.1	69.9
43.2	68.4
43.4	67.3
43.5	66.3
43.5	68.9
43.6	71.4
43.6	74
43.6	75
43.8	79.1
43.8	79.6
43.8	80.2
43.9	81.2
44	82.7
44.1	83.8
44.1	83.8
44.3	85.3
44.4	85.8
44.5	86.8
44.6	87.9
44.6	87.9
44.9	87.3
44.9	86.8
45.1	84.3
45.2	83.8
45.2	82.7
45.3	82.2
45.3	80.7
45.4	79.1
45.6	77.6
45.7	76.6
45.7	76.6
45.9	75.5
46	75.5
46	75.5
46.1	76.6
46.2	77.6
46.3	79.6
46.4	80.2
46.4	81.7
46.5	83.2
46.6	84.3
46.7	85.8
46.8	86.3
46.9	86.8
47	83.8
47	83.8
47	80.7
47	78.6
47	77.1
47.1	78.1
47.3	82.7
47.4	82.7
47.4	85.8
47.5	86.3
47.6	86.8
47.7	85.8
47.7	85.3
47.7	84.8
47.7	84.3
47.8	83.2
47.9	83.2
48	83.2
48.1	83.2
48.2	84.8
48.3	83.8
48.5	83.2
48.6	84.3
48.7	85.3
48.7	86.8
48.8	89.4
49	90.4
49	89.9
49.1	86.3
49.1	85.8
49.2	83.8
49.2	83.2
49.3	80.7
49.6	81.2
49.6	85.3
49.7	85.8
49.8	86.8
50	87.3
50	87.3
50.1	83.8
50.1	83.8
