DEPT	GR
25.7	14.44223108
25.8	14.84063745
25.9	14.24302789
26	13.24701195
26.1	13.04780876
26.2	13.24701195
26.3	14.24302789
26.4	14.64143426
26.5	16.03585657
26.6	17.82868526
26.7	18.22709163
26.8	17.43027888
26.9	17.08058012
27	16.42484938
27.1	16.03585657
27.2	15.77191235
27.3	15.6374502
27.4	15.43824701
27.5	15.6374502
27.6	16.63346614
27.7	17.82868526
27.8	19.02390438
27.9	19.82071713
28	20.47879309
28.1	21.01593625
28.2	21.41434263
28.3	22.70916335
28.4	24.20318725
28.5	25.69721116
28.6	27.09163347
28.7	28.28685259
28.8	29.58167331
28.9	30.07968127
29	28.73505976
29.1	25.99601594
29.2	22.80876494
29.3	20.71713147
29.4	19.32270916
29.5	18.62549801
29.6	18.92430279
29.7	19.42231076
29.8	19.92031873
29.9	20.01992032
30	19.84726362
30.1	19.62151394
30.2	20.01992032
30.3	20.21912351
30.4	20.41832669
30.5	20.81673307
30.6	21.21513944
30.7	21.812749
30.8	21.41434263
30.9	20.01992032
31	18.66533865
31.1	17.62948207
31.2	16.43426295
31.3	14.84063745
31.4	14.0438247
31.5	13.04780876
31.6	12.64940239
31.7	12.4501992
31.8	12.05179283
31.9	11.65338645
32	11.25498008
32.1	10.45816733
32.2	9.66135458
32.3	9.46215139
32.4	10.05976096
32.5	10.85657371
32.6	12.03187251
32.7	12.8542971
32.8	13.44621514
32.9	14.50496173
33	15.60741957
33.1	16.43426295
33.2	16.83266932
33.3	16.43426295
33.4	16.03585657
33.5	16.03585657
33.6	16.63346614
33.7	18.32669323
33.8	20.41832669
33.9	22.41035857
34	24.04102184
34.1	25
34.2	25.79681275
34.3	25.99601594
34.4	25.39840637
34.5	24.60159363
34.6	23.80478088
34.7	22.60956175
34.8	23.00796813
34.9	24.00398406
35	25.24347056
35.1	26.28818061
35.2	25.99601594
35.3	23.80478088
35.4	20.81673307
35.5	17.82868526
35.6	16.63346614
35.7	16.43426295
35.8	16.23505976
35.9	15.03984064
36	14.52050147
36.1	14.14342629
36.2	14.0438247
36.3	14.24302789
36.4	14.24302789
36.5	14.0438247
36.6	14.24302789
36.7	14.84063745
36.8	15.73705179
36.9	16.83266932
37	16.71454884
37.1	16.23505976
37.2	16.03585657
37.3	15.43824701
37.4	15.83665339
37.5	16.63346614
37.6	17.2310757
37.7	17.82868526
37.8	18.02788845
37.9	18.22709163
38	18.47672601
38.1	18.62549801
38.2	18.92430279
38.3	19.02390438
38.4	19.22310757
38.5	18.8247012
38.6	18.42629482
38.7	17.52988048
38.8	15.53784861
38.9	14.44223108
39	13.84462151
39.1	13.84462151
39.2	14.20443227
39.3	14.4248008
39.4	14.64143426
39.5	15.03984064
39.6	15.23904382
39.7	15.49800797
39.8	15.6938911
39.9	15.83665339
40	15.83665339
40.1	15.23904382
40.2	14.84063745
40.3	14.64143426
40.4	14.24302789
40.5	14.24302789
40.6	14.24302789
40.7	14.99003984
40.8	15.43824701
40.9	15.03984064
41	14.84063745
41.1	15.03984064
41.2	15.6374502
41.3	15.43824701
41.4	15.43824701
41.5	15.43824701
41.6	15.23904382
41.7	15.03984064
41.8	14.84063745
41.9	14.24302789
42	13.84462151
42.1	13.44621514
42.2	13.91102258
42.3	14.64143426
42.4	15.13944223
42.5	14.84063745
42.6	14.84063745
42.7	15.33864542
42.8	15.83665339
42.9	15.6374502
43	15.60068381
43.1	15.45361827
43.2	15.30655273
43.3	15.15948718
43.4	15.03984064
43.5	14.84063745
43.6	14.64143426
43.7	14.64143426
43.8	14.44223108
43.9	14.44223108
44	14.93896753
44.1	15.03984064
44.2	14.64143426
44.3	14.64143426
44.4	15.03984064
44.5	15.43824701
44.6	15.6374502
44.7	15.43824701
44.8	15.6374502
44.9	15.83665339
45	15.96815671
45.1	16.43426295
45.2	15.83665339
45.3	15.13944223
45.4	14.34262948
45.5	13.04780876
45.6	12.15139442
45.7	12.25099602
45.8	13.24701195
45.9	13.84462151
46	14.20982736
46.1	14.60823373
46.2	15.03984064
46.3	15.23904382
46.4	15.23904382
46.5	15.43824701
46.6	15.6374502
46.7	15.6374502
46.8	15.6374502
46.9	15.43824701
47	15.07253323
47.1	15.20330361
47.2	15.334074
47.3	15.6374502
47.4	15.83665339
47.5	17.03187251
47.6	17.82868526
47.7	18.22709163
47.8	18.62549801
47.9	19.62151394
48	21.43426295
48.1	23.09760956
48.2	25.15438247
48.3	28.27578575
48.4	31.37450199
48.5	39.14342629
48.6	46.9123506
48.7	53.88446215
48.8	62.25099602
48.9	68.42629482
49	70.87220737
49.1	72.60956175
49.2	73.30677291
49.3	73.4063745
49.4	72.60956175
49.5	71.51394422
49.6	70.51792829
49.7	70.01992032
49.8	71.61354582
49.9	74.50199203
50	75.11717835
50.1	75.6796344
50.2	76.19521912
50.3	77.98804781
50.4	78.78486056
50.5	76.89243028
50.6	76.29482072
50.7	77.58964143
50.8	77.19123506
50.9	76.5936255
51	74.9750996
51.1	73.5059761
51.2	73.30677291
51.3	74.50199203
51.4	75.69721116
