DEPT	GR
90	35.6361829
90.1	35.48707753
90.2	34.29423459
90.3	33.10139165
90.4	31.90854871
90.5	30.71570577
90.6	29.82107356
90.7	32.35586481
90.8	36.23260437
90.9	37.1121373
91	37.56511564
91.1	38.01809397
91.2	38.02186879
91.3	36.53081511
91.4	35.93439364
91.5	37.0526839
91.6	37.72365805
91.7	36.47117296
91.8	35.03976143
91.9	35.33797217
92	36.38170974
92.1	37.12723658
92.2	38.32007952
92.3	38.61829026
92.4	38.91650099
92.5	39.06560636
92.6	39.51292247
92.7	40.40755467
92.8	39.75521869
92.9	37.57455268
93	35.6361829
93.1	35.1888668
93.2	34.14512922
93.3	31.87127237
93.4	31.0139165
93.5	31.99801193
93.6	32.65407555
93.7	33.39960239
93.8	33.54870775
93.9	32.65407555
94	33.25049702
94.1	35.33797217
94.2	36.53081511
94.3	37.12723658
94.4	37.42544732
94.5	39.21471173
94.6	39.8111332
94.7	39.51292247
94.8	40.10934394
94.9	41.30218688
95	39.66202783
95.1	37.72365805
95.2	37.12723658
95.3	36.35188867
95.4	37.12723658
95.5	40.10934394
95.6	41.89860835
95.7	43.38966203
95.8	43.09145129
95.9	38.91650099
96	38.32007952
96.1	38.91650099
96.2	37.42544732
96.3	35.6361829
96.4	36.38170974
96.5	38.17097416
96.6	38.61829026
96.7	38.61829026
96.8	38.61829026
96.9	38.46918489
97	37.64910537
97.1	36.57554672
97.2	35.6361829
97.3	33.99602386
97.4	35.93439364
97.5	38.02186879
97.6	38.61829026
97.7	38.76739563
97.8	36.82902584
97.9	35.78528827
98	36.81770139
98.1	37.72365805
98.2	36.16699801
98.3	35.03976143
98.4	35.03976143
98.5	35.93439364
98.6	37.96222664
98.7	40.10934394
98.8	41.00397614
98.9	40.70576541
99	37.72365805
99.1	37.72365805
99.2	42.86779324
99.3	44.58250497
99.4	44.58250497
99.5	43.8667992
99.6	42.19681909
99.7	43.5387674
99.8	46.28230616
99.9	47.86282306
100	49.07353983
100.1	50.14973252
100.2	51.14314115
100.3	51.7693837
100.4	52.3359841
100.5	52.3359841
100.6	51.73956262
100.7	51.14314115
100.8	50.24850895
100.9	50.24850895
101	50.54671968
101.1	50.54671968
101.2	50.24850895
101.3	50.84493042
101.4	53.82703777
101.5	53.52882704
101.6	49.35387674
101.7	49.65208748
101.8	51.3667992
101.9	53.82703777
102	55.91451292
102.1	58.02328884
102.2	59.19483101
102.3	58.00198807
102.4	56.9582505
102.5	55.91451292
102.6	54.72166998
102.7	54.72166998
102.8	54.72166998
102.9	55.55666004
103	56.21272366
103.1	56.51093439
103.2	56.21272366
103.3	55.61630219
103.4	54.12524851
103.5	53.72763419
103.6	53.33996024
103.7	52.93240557
103.8	51.73956262
103.9	47.26640159
104	47.26640159
104.1	48.75745527
104.2	49.20477137
104.3	49.95029821
104.4	51.44135189
104.5	54.42345924
104.6	56.9582505
104.7	58.30019881
104.8	58.44930417
104.9	56.66003976
105	54.63220676
105.1	52.18687873
105.2	51.44135189
105.3	51.14314115
105.4	51.44135189
105.5	54.42345924
105.6	57.25646123
105.7	60.23856859
105.8	62.32604374
105.9	65.15904573
106	63.1833996
106.1	59.94035785
106.2	58.85934394
106.3	56.66003976
106.4	55.61630219
106.5	54.42345924
106.6	54.12524851
106.7	53.82703777
106.8	54.87077535
106.9	56.80914513
107	57.25646123
107.1	57.10735586
107.2	56.51093439
107.3	56.21272366
107.4	56.62276342
107.5	56.9582505
107.6	56.12752059
107.7	55.10508378
107.8	53.97614314
107.9	52.93240557
108	52.84451978
108.1	52.63419483
108.2	54.99857995
108.3	57.49076967
108.4	59.19483101
108.5	60.38767396
108.6	60.98409543
108.7	61.5805169
108.8	63.66799205
108.9	63.96620278
109	62.17693837
109.1	61.87872763
109.2	63.36978131
109.3	63.07157058
109.4	58.82206759
109.5	55.91451292
109.6	53.2306163
109.7	52.63419483
109.8	52.3359841
109.9	53.2306163
110	55.95178926
110.1	58.00198807
110.2	58.00198807
110.3	57.70377734
110.4	57.70377734
110.5	58.00198807
110.6	60.08946322
110.7	61.21840386
110.8	62.17693837
110.9	62.62425447
111	63.27037773
111.1	63.80053015
111.2	64.26441352
111.3	64.86083499
111.4	65.15904573
111.5	64.86083499
111.6	63.66799205
111.7	60.98409543
111.8	58.00198807
111.9	58.30019881
112	59.24147061
112.1	59.97639754
112.2	60.38767396
112.3	59.85089463
112.4	59.19483101
112.5	57.4055666
112.6	56.21272366
112.7	56.80914513
112.8	58.04671968
112.9	59.79125249
113	61.87872763
113.1	62.47514911
113.2	62.32604374
113.3	61.1332008
113.4	60.83499006
113.5	62.23658052
113.6	63.07157058
113.7	63.36978131
113.8	62.77335984
113.9	60.76043738
114	60.00157744
114.1	59.79125249
114.2	59.49304175
114.3	60.68588469
114.4	61.28230616
114.5	61.28230616
114.6	60.10844027
114.7	58.31104283
114.8	56.5136454
114.9	53.82703777
115	53.15463904
115.1	52.93240557
115.2	53.67793241
115.3	56.74950298
115.4	58.30019881
115.5	61.5805169
115.6	61.1332008
115.7	58.00198807
115.8	56.9582505
115.9	54.27435388
116	53.82703777
116.1	54.42345924
116.2	55.61630219
116.3	59.49304175
116.4	58.44930417
116.5	57.10735586
116.6	58.71023857
116.7	60.83499006
116.8	61.43141153
116.9	62.77335984
117	64.17921045
117.1	65.15904573
117.2	63.91650099
117.3	61.72962227
117.4	60.08946322
117.5	58.30019881
117.6	58.15606362
117.7	58.00198807
117.8	56.80914513
117.9	56.21272366
118	56.85174666
118.1	57.70377734
118.2	60.08946322
118.3	61.28230616
118.4	60.38767396
118.5	59.79125249
118.6	60.23856859
118.7	60.98409543
118.8	62.92246521
118.9	64.26441352
119	64.26441352
119.1	63.96620278
119.2	63.07157058
119.3	63.07157058
119.4	63.96620278
119.5	64.26441352
119.6	63.96620278
119.7	64.56262425
119.8	66.35188867
119.9	67.39562624
120	68.88667992
120.1	67.32604374
120.2	64.26441352
120.3	62.47514911
120.4	62.17693837
120.5	61.5805169
120.6	61.24822494
120.7	60.68588469
120.8	59.79125249
120.9	59.79125249
121	59.6776484
121.1	59.04572565
121.2	57.10735586
121.3	56.80914513
121.4	56.51093439
121.5	57.10735586
121.6	58.15109344
121.7	58.59840954
121.8	58.59840954
121.9	58.59840954
122	58.59840954
122.1	58.59840954
122.2	58.30019881
122.3	57.10735586
122.4	55.91451292
122.5	55.91451292
122.6	56.21272366
122.7	56.80914513
122.8	58.00198807
122.9	61.5805169
123	63.59287026
123.1	65.45725646
123.2	65.15904573
123.3	62.027833
123.4	60.38767396
123.5	63.51888668
123.6	64.41351889
123.7	62.027833
123.8	60.68588469
123.9	60.23856859
124	60.00157744
124.1	59.79125249
124.2	58.00198807
124.3	53.52882704
124.4	51.44135189
124.5	53.30516899
124.6	54.42345924
124.7	55.31809145
124.8	56.51093439
124.9	58.89662028
125	64.78571894
125.1	67.84294235
125.2	66.09095427
125.3	62.92246521
125.4	62.47514911
125.5	62.92246521
125.6	63.36978131
125.7	66.94831014
125.8	64.86083499
125.9	62.17693837
126	60.13916501
126.1	57.8528827
126.2	57.70377734
126.3	57.70377734
126.4	57.55467197
