DEPT	GR
400	83.08383234
400.1	85.71856287
400.2	88.88793841
400.3	89.97005988
400.4	84.28143713
400.5	80.98802395
400.6	79.79041916
400.7	79.79041916
400.8	80.98802395
400.9	82.48502994
401	83.98203593
401.1	86.9760479
401.2	91.16766467
401.3	96.25748503
401.4	102.24550898
401.5	106.73652695
401.6	106.58682635
401.7	104.64071856
401.8	101.49700599
401.9	99.8502994
402	98.05389222
402.1	92.06586826
402.2	86.52694611
402.3	86.07784431
402.4	87.4251497
402.5	88.17365269
402.6	86.22754491
402.7	82.93413174
402.8	80.08982036
402.9	78.44311377
403	77.99401198
403.1	77.69461078
403.2	78.59281437
403.3	81.58682635
403.4	84.28143713
403.5	85.62874251
403.6	87.5748503
403.7	89.52095808
403.8	89.67065868
403.9	88.92215569
404	87.8742515
404.1	91.61676647
404.2	95.20958084
404.3	98.05389222
404.4	100.1497006
404.5	98.65269461
404.6	94.91017964
404.7	90.71856287
404.8	87.1257485
404.9	86.22754491
405	86.52694611
405.1	89.37125749
405.2	92.06586826
405.3	94.16167665
405.4	96.70658683
405.5	98.50299401
405.6	98.50299401
405.7	96.55688623
405.8	90.56886228
405.9	84.43113772
406	80.68862275
406.1	78.29341317
406.2	78.89221557
406.3	81.58682635
406.4	85.17964072
406.5	87.2754491
406.6	87.5748503
406.7	86.37724551
406.8	85.47904192
406.9	86.07784431
407	89.07185629
407.1	91.76646707
407.2	93.71257485
407.3	94.16167665
407.4	94.61077844
407.5	97.00598802
407.6	98.35329341
407.7	97.60479042
407.8	95.95808383
407.9	93.11377246
408	90.86826347
408.1	90.26946108
408.2	89.67065868
408.3	92.96407186
408.4	97.75449102
408.5	100.1497006
408.6	103.14371257
408.7	105.83832335
408.8	106.73652695
408.9	105.53892216
409	104.94011976
409.1	101.64670659
409.2	100.74850299
409.3	101.49700599
409.4	102.24550898
409.5	101.04790419
409.6	98.20359281
409.7	95.80838323
409.8	95.35928144
409.9	95.80838323
410	98.50299401
410.1	100.2994012
410.2	100.4491018
410.3	99.8502994
410.4	98.80239521
410.5	97.45508982
410.6	97.75449102
410.7	98.20359281
410.8	100.89820359
410.9	103.14371257
411	100.1497006
411.1	101.34730539
411.2	97.75449102
411.3	95.35928144
411.4	94.76047904
411.5	95.95808383
411.6	97.75449102
411.7	99.8502994
411.8	99.25149701
411.9	96.25748503
412	94.61077844
412.1	95.20958084
412.2	96.40718563
412.3	97.15568862
412.4	96.70658683
412.5	96.85628743
412.6	97.60479042
412.7	100.4491018
412.8	103.44311377
412.9	104.64071856
413	105.08982036
413.1	104.19161677
413.2	100.74850299
413.3	98.95209581
413.4	98.95209581
413.5	99.25149701
413.6	99.5508982
413.7	98.50299401
413.8	96.70658683
413.9	95.95808383
414	95.95808383
414.1	97.15568862
414.2	98.50299401
414.3	99.10179641
414.4	99.8502994
414.5	100.5988024
414.6	101.49700599
414.7	100.2994012
414.8	98.65269461
414.9	97.30538922
415	97.15568862
415.1	97.15568862
415.2	97.15568862
415.3	95.50898204
415.4	91.91616766
415.5	90.71856287
415.6	91.31736527
415.7	93.11377246
415.8	96.85628743
415.9	98.80239521
416	101.04790419
416.1	103.14371257
416.2	105.23952096
416.3	106.43712575
416.4	108.53293413
416.5	108.53293413
416.6	106.73652695
416.7	107.63473054
416.8	110.02994012
416.9	112.1257485
417	113.62275449
417.1	113.32335329
417.2	111.22754491
417.3	110.32934132
417.4	110.02994012
417.5	110.17964072
417.6	111.07784431
417.7	112.8742515
417.8	114.37125749
417.9	115.11976048
418	115.11976048
418.1	112.4251497
418.2	111.52694611
418.3	111.22754491
418.4	111.52694611
418.5	112.7245509
418.6	113.62275449
418.7	111.82634731
418.8	110.92814371
418.9	113.0239521
419	115.11976048
419.1	116.61676647
419.2	115.41916168
419.3	113.62275449
419.4	112.1257485
419.5	112.1257485
419.6	111.82634731
419.7	111.82634731
419.8	112.1257485
419.9	112.4251497
420	112.27355416
420.1	111.82634731
420.2	111.52694611
420.3	111.82634731
420.4	112.1257485
420.5	111.82634731
420.6	111.22754491
420.7	111.07784431
420.8	111.37724551
420.9	109.88023952
421	109.73053892
421.1	109.73053892
421.2	109.58083832
421.3	110.02994012
421.4	109.43113772
421.5	108.98203593
421.6	106.58682635
421.7	103.44311377
421.8	102.99401198
421.9	104.49101796
422	105.53892216
422.1	106.73652695
422.2	107.93413174
422.3	108.23353293
422.4	107.63473054
422.5	108.08383234
422.6	109.13173653
422.7	109.43113772
422.8	108.38323353
422.9	106.73652695
423	105.38922156
423.1	102.84431138
423.2	103.44311377
423.3	105.68862275
423.4	108.53293413
423.5	109.73053892
423.6	108.98203593
423.7	107.33532934
423.8	106.73652695
423.9	107.33532934
424	107.70601654
424.1	109.13173653
424.2	111.82634731
424.3	112.1257485
424.4	110.02994012
424.5	108.23353293
424.6	107.03592814
424.7	106.43712575
424.8	106.13772455
424.9	105.16785327
425	104.7020133
425.1	100.1497006
425.2	99.5508982
425.3	101.09780439
425.4	102.99401198
425.5	104.79041916
425.6	105.83832335
425.7	107.03592814
425.8	107.33532934
425.9	108.83233533
426	109.89175495
426.1	109.43113772
426.2	105.83832335
426.3	104.04191617
426.4	101.94610778
426.5	98.95209581
426.6	96.55688623
426.7	96.40718563
426.8	100.4491018
426.9	103.74251497
427	105.08982036
427.1	106.28742515
427.2	106.58682635
427.3	107.48502994
427.4	107.33532934
427.5	107.63473054
427.6	107.33532934
427.7	107.63473054
427.8	110.32934132
427.9	111.22754491
428	111.22754491
428.1	111.22754491
428.2	112.2754491
428.3	111.52694611
428.4	109.58083832
428.5	108.38323353
428.6	107.18562874
428.7	105.83832335
428.8	105.23952096
428.9	105.53892216
429	107.63473054
429.1	110.02994012
429.2	111.82634731
429.3	111.52694611
429.4	111.22754491
429.5	111.52694611
429.6	111.22754491
429.7	110.62874251
429.8	110.02994012
429.9	111.82634731
430	115.62643943
430.1	119.16167665
430.2	119.76047904
430.3	117.36526946
430.4	114.52095808
430.5	112.8742515
430.6	109.73053892
430.7	105.23952096
430.8	103.44311377
430.9	105.83832335
431	110.02994012
431.1	113.92215569
