DEPT	GR
400	106.98675497
400.1	106.33311258
400.2	105.59602649
400.3	104.09653772
400.4	103.07784439
400.5	104.06411037
400.6	106.97110402
400.7	108.13200958
400.8	107.36280318
400.9	108.76540734
401	108.05576323
401.1	104.46903459
401.2	99.28943619
401.3	101.16473679
401.4	104.59642971
401.5	105.99604277
401.6	107.17363283
401.7	108.93695955
401.8	110.23194892
401.9	110.76824458
402	110.06106158
402.1	106.73073331
402.2	104.75460551
402.3	105.27227037
402.4	106.19109677
402.5	107.97181761
402.6	108.95487491
402.7	107.88464807
402.8	105.75462956
402.9	104.83353743
403	103.3214334
403.1	100.73094057
403.2	98.08745775
403.3	97.91647121
403.4	102.37887958
403.5	104.58903312
403.6	102.80852664
403.7	102.39205051
403.8	102.81818876
403.9	101.69682602
404	99.6556461
404.1	101.20155658
404.2	103.96452891
404.3	105.13517895
404.4	105.54454586
404.5	104.77652371
404.6	106.00883872
404.7	107.885281
404.8	105.38033013
404.9	102.30013544
405	101.81297875
405.1	102.77614058
405.2	104.31480845
405.3	105.62413357
405.4	107.48287819
405.5	107.79014251
405.6	105.4436874
405.7	103.06907711
405.8	101.80445013
405.9	102.19878647
406	104.56587374
406.1	105.46302365
406.2	105.66663811
406.3	105.75097978
406.4	102.95234948
406.5	101.205049
406.6	100.23203902
406.7	100.37188511
406.8	100.63341492
406.9	101.04114084
407	101.73805484
407.1	103.08275267
407.2	106.29148356
407.3	109.95288404
407.4	112.61056547
407.5	112.73851876
407.6	112.03450049
407.7	109.04601287
407.8	106.56912563
407.9	104.55245908
408	104.57535996
408.1	107.42331571
408.2	110.79583647
408.3	111.43162154
408.4	108.37769616
408.5	104.18996355
408.6	104.42744472
408.7	108.75146819
408.8	113.07283702
408.9	112.62020585
409	111.90237536
409.1	109.60434937
409.2	108.2141183
409.3	107.41570461
409.4	106.94899746
409.5	108.32539791
409.6	108.29940402
409.7	107.73682554
409.8	108.26241276
409.9	110.06560842
410	112.12693605
410.1	112.82816604
410.2	110.18496392
410.3	106.38356057
410.4	104.24454163
410.5	102.09556721
410.6	101.64606079
410.7	101.26636841
410.8	101.9292316
410.9	98.72788954
411	95.92786902
411.1	95.08842611
411.2	97.13909562
411.3	101.11695393
411.4	103.60304961
411.5	103.5475888
411.6	100.36573896
411.7	98.5502171
411.8	101.37955262
411.9	102.34091017
412	101.11469679
412.1	100.82126484
412.2	100.96371934
412.3	102.49369208
412.4	104.80945287
412.5	107.97550588
412.6	109.94709511
412.7	108.41570158
412.8	106.65241172
412.9	106.76135004
413	106.67872045
413.1	106.19681505
413.2	106.55582868
413.3	108.77495697
413.4	111.16469715
413.5	112.46607215
413.6	114.57984666
413.7	117.03416754
413.8	116.76464641
413.9	114.70403522
414	113.55558834
414.1	113.53906989
414.2	112.56268153
414.3	111.85405478
414.4	113.1034286
414.5	112.34336572
414.6	109.25294729
414.7	108.76919114
414.8	109.10633653
414.9	110.57794965
415	112.17431683
415.1	112.2668726
415.2	109.65398176
415.3	107.72104058
415.4	105.58767087
415.5	103.30377327
415.6	101.31232898
415.7	100.58891145
415.8	102.92965397
415.9	105.29487576
416	106.86604028
416.1	109.56516623
416.2	110.74763554
416.3	109.63725574
416.4	108.60626012
416.5	108.83162142
416.6	108.80084691
416.7	107.26902489
416.8	105.52499533
416.9	104.68891411
417	108.02101491
417.1	114.64307238
417.2	118.52638134
417.3	117.70580335
417.4	116.27851782
417.5	118.15099017
417.6	121.8601024
417.7	121.75075441
417.8	119.93344496
417.9	118.14805302
418	116.17264996
418.1	113.5639414
418.2	110.77585235
418.3	109.10849829
418.4	107.6239497
418.5	105.04899669
418.6	102.05898581
418.7	100.39934378
418.8	99.42694771
418.9	101.00133302
419	103.05250443
419.1	105.47754585
419.2	107.31718046
419.3	109.21209028
419.4	109.51054416
419.5	108.59393596
419.6	109.72384962
419.7	111.47128871
419.8	112.91297755
419.9	113.87340701
420	113.68273007
420.1	113.59122822
420.2	113.04345636
420.3	111.86771984
420.4	110.73819917
420.5	109.35548575
420.6	107.97685182
420.7	107.04468292
420.8	107.33626782
420.9	107.95064452
421	108.01455898
421.1	110.340292
421.2	114.68329672
421.3	116.64377583
421.4	115.04671599
421.5	114.52779295
421.6	114.68514528
421.7	116.2588406
421.8	114.59696896
421.9	114.31237687
422	115.2910899
422.1	115.70420413
422.2	114.70600019
422.3	113.60510887
422.4	108.67179421
422.5	96.7731929
422.6	75.36468878
422.7	53.81330601
422.8	33.93305394
422.9	17.76882501
423	12.79832563
423.1	10.23178808
423.2	9.0397351
423.3	9.29620595
423.4	10.21743522
423.5	11.32915495
423.6	12.45051064
423.7	13.61023017
423.8	14.79604222
423.9	15.45356578
424	15.59260201
424.1	15.36807658
424.2	14.99812273
424.3	15.39067591
424.4	16.67075432
424.5	18.1422933
424.6	19.24754403
424.7	19.41857529
424.8	19.49316526
424.9	19.56159637
425	18.92086174
425.1	18.20914326
425.2	17.25972804
425.3	15.85268426
425.4	15.67412521
425.5	15.59400681
425.6	15.64687385
425.7	16.79275363
425.8	16.7533453
425.9	15.67818026
426	14.14392629
426.1	11.49619744
426.2	10.45822591
426.3	11.01652701
426.4	10.90183939
426.5	10.77916953
426.6	10.66068202
426.7	10.53238094
426.8	10.61683371
426.9	11.40153527
427	11.42448424
427.1	11.42268235
427.2	11.45191835
427.3	11.69846505
427.4	12.08058571
427.5	12.61003901
427.6	12.23108625
427.7	12.21702878
427.8	12.20795853
427.9	11.87625034
428	11.64347495
428.1	11.21176563
428.2	10.81277293
428.3	11.00363865
428.4	12.24090809
428.5	13.32613703
428.6	13.59168551
428.7	12.97864702
428.8	13.48223616
428.9	13.8497351
429	13.8902383
429.1	13.93833239
429.2	13.98604415
429.3	13.69863459
429.4	13.02024941
429.5	13.04542782
429.6	13.90083527
429.7	16.02909051
429.8	18.2369327
429.9	20.96306646
430	23.6283864
430.1	25.64666168
430.2	25.83038342
430.3	25.67883156
430.4	24.8225171
430.5	23.28926009
430.6	21.43979655
430.7	21.17216556
430.8	22.37033229
430.9	24.763954
431	26.98523994
431.1	29.62813517
431.2	30.44685659
431.3	30.21733118
431.4	28.04383179
431.5	27.30921531
431.6	27.74231619
431.7	28.35894781
431.8	29.07190583
431.9	30.30424459
432	31.54743255
432.1	32.1112361
432.2	31.31927358
432.3	30.42733148
432.4	29.04287561
432.5	29.15823715
432.6	29.43215419
432.7	30.24968767
432.8	31.34327293
432.9	33.27359588
433	34.63403163
433.1	33.7975492
433.2	30.32127506
433.3	26.39833091
433.4	23.3711876
433.5	21.77630243
433.6	22.02493374
433.7	23.22675929
433.8	23.30696068
433.9	21.66467661
434	20.13609829
434.1	18.52789698
434.2	16.97949782
434.3	14.80590775
434.4	12.62453961
434.5	10.6956333
434.6	9.70651709
434.7	9.19895978
434.8	8.99928775
434.9	9.20457223
435	9.3653185
435.1	9.54192212
435.2	10.08553204
435.3	11.18868728
435.4	12.02222391
435.5	11.60959108
435.6	12.21768877
435.7	12.87917596
435.8	12.87483461
435.9	12.66321208
436	12.6633597
436.1	13.08027516
436.2	14.03411668
436.3	14.38656472
436.4	14.85625635
436.5	15.38505142
436.6	14.29844118
436.7	13.05860896
436.8	12.46496046
436.9	11.87433669
437	11.24460435
437.1	10.45846482
437.2	9.6937184
437.3	9.1272608
437.4	9.38220197
437.5	10.05672951
437.6	11.47598097
437.7	13.5376479
437.8	14.61525348
437.9	14.05516527
438	13.64163845
438.1	14.26877807
438.2	14.41892452
438.3	13.45263822
438.4	12.16221632
438.5	11.37589318
438.6	11.31058596
438.7	12.23945102
438.8	13.13626712
438.9	14.18468607
439	15.66574505
439.1	17.53921449
439.2	17.87317147
439.3	17.90773935
439.4	16.30386194
439.5	15.02547446
439.6	14.19691355
439.7	13.80624247
439.8	14.27496077
439.9	15.77897509
440	15.94714078
440.1	15.82098237
440.2	15.7043175
440.3	15.58493336
440.4	15.46686142
440.5	15.39691091
440.6	15.4120724
440.7	15.74689856
440.8	16.98576192
440.9	18.42089958
441	19.86844577
441.1	21.10103944
441.2	22.49394539
441.3	24.48542521
441.4	26.37056676
441.5	27.3314258
441.6	26.15624258
441.7	24.69834417
441.8	23.0942485
441.9	19.71657672
442	16.40827694
442.1	14.15227381
442.2	12.36847979
442.3	10.63214279
442.4	8.90351592
442.5	7.93508614
442.6	7.61297126
442.7	7.84885459
442.8	7.80220759
442.9	6.95150156
443	6.6431337
443.1	6.92949467
443.2	7.26590713
443.3	7.73034466
443.4	8.42724157
443.5	9.53676232
443.6	10.74828447
443.7	12.51413325
443.8	14.91024923
443.9	17.4903658
444	20.71440682
444.1	24.65726435
444.2	25.3862535
444.3	24.28426667
444.4	22.50992213
444.5	20.83805778
444.6	19.17676119
444.7	17.8082809
444.8	16.52977057
444.9	14.74398112
445	12.74578615
445.1	10.78516683
445.2	10.45317859
445.3	11.59058106
445.4	13.22345907
445.5	13.99966849
445.6	13.38964134
445.7	13.07063398
445.8	12.8570603
445.9	12.61632315
446	12.40029157
446.1	11.3982455
446.2	10.61514882
446.3	10.59859027
446.4	10.42981214
446.5	9.77642662
446.6	9.14439361
446.7	8.73140183
446.8	8.67035922
446.9	9.27865601
447	9.99341683
447.1	10.64784152
447.2	10.6287084
447.3	10.60878833
447.4	10.88352616
447.5	11.39823658
447.6	11.37314651
447.7	10.75063948
447.8	9.97515639
447.9	9.69774177
448	9.46080933
448.1	10.01995516
448.2	10.42020452
448.3	10.11683288
448.4	10.38283387
448.5	10.99572971
448.6	11.53039183
448.7	12.52261465
448.8	13.02212648
448.9	12.90201871
449	11.84425237
449.1	10.75629832
449.2	10.70363735
449.3	10.89058393
449.4	11.02591128
449.5	10.83349908
449.6	10.20132904
449.7	9.82825709
449.8	9.96451253
449.9	10.13390325
450	10.30113416
450.1	10.56937103
450.2	11.4046768
450.3	12.14719064
450.4	12.85567688
450.5	13.39140363
450.6	12.77784771
450.7	12.03843399
450.8	12.03739346
450.9	11.51848859
451	11.04385518
451.1	11.34936947
451.2	11.67333495
451.3	11.8826122
451.4	10.69956643
451.5	9.20761067
451.6	7.83904405
451.7	8.14508502
451.8	8.56545553
451.9	8.98435449
452	9.30464168
452.1	9.42483726
452.2	10.04977788
452.3	12.27786445
452.4	13.68856758
452.5	14.93682765
452.6	16.0511851
452.7	15.58010492
452.8	13.98857823
452.9	12.30728591
453	11.7458791
453.1	11.44654811
453.2	11.12489323
453.3	10.91883469
453.4	10.6078262
453.5	10.19186847
453.6	9.78748805
453.7	10.05492851
453.8	10.67075486
453.9	10.80233737
454	10.88266279
454.1	11.2766042
454.2	12.64576084
454.3	14.56338712
454.4	15.59856589
454.5	14.59984135
454.6	12.83238927
454.7	10.84736375
454.8	9.35688686
454.9	9.05236717
455	8.93442627
455.1	8.82796693
455.2	9.43115673
455.3	10.15665435
455.4	10.84214459
455.5	10.97660247
455.6	10.46918173
455.7	10.38349786
455.8	11.25013941
455.9	12.76486819
456	14.58978467
456.1	17.15514812
456.2	21.55756684
456.3	25.63195003
456.4	27.90720535
456.5	28.66794026
456.6	28.32276265
456.7	27.78662201
456.8	28.8358217
456.9	31.16178301
457	33.42360046
457.1	35.22765953
457.2	35.28498791
457.3	34.7487165
457.4	34.70551516
457.5	37.82682619
457.6	41.82301862
457.7	43.50954553
457.8	42.78878801
457.9	42.0506884
458	42.11420813
