DEPT	GR
24	55.72847682
24.1	55.72847682
24.2	55.72847682
24.3	55.72847682
24.4	55.72847682
24.5	55.72865282
24.6	55.73109897
24.7	55.72805863
24.8	56.15613114
24.9	57.37325972
25	59.51647908
25.1	61.98998705
25.2	64.45040142
25.3	67.29807835
25.4	68.91585653
25.5	70.27235561
25.6	72.39588394
25.7	73.72230837
25.8	74.69041985
25.9	75.62700561
26	77.05245799
26.1	78.92692005
26.2	80.56057542
26.3	81.28590029
26.4	82.06260106
26.5	81.71546592
26.6	81.33133915
26.7	80.70720348
26.8	79.62212214
26.9	78.98879656
27	80.11108204
27.1	81.85569611
27.2	83.98405506
27.3	86.15583079
27.4	86.51244586
27.5	86.56043901
27.6	86.75830055
27.7	87.12765925
27.8	87.66941577
27.9	88.51621961
28	88.71056206
28.1	88.70983495
28.2	88.54121328
28.3	88.26802355
28.4	87.32361958
28.5	87.50708296
28.6	90.43934218
28.7	92.56267493
28.8	93.29646045
28.9	93.26808766
29	92.8090257
29.1	90.69009869
29.2	89.93171745
29.3	90.06215475
29.4	90.08234927
29.5	89.45829142
29.6	88.82342553
29.7	88.49807658
29.8	88.84050196
29.9	89.39169884
30	90.46285606
30.1	91.29969988
30.2	90.58050292
30.3	89.36465659
30.4	88.09375788
30.5	86.72208506
30.6	84.79872346
30.7	84.1653065
30.8	85.54154085
30.9	88.04772736
31	89.47535393
31.1	89.6804665
31.2	90.32784862
31.3	90.00271028
31.4	89.48662338
31.5	89.52187616
31.6	88.88807712
31.7	87.92027196
31.8	87.33810234
31.9	86.6757864
32	86.12070347
32.1	85.05249516
32.2	85.83470223
32.3	87.8598679
32.4	90.01572668
32.5	90.50216363
32.6	90.4333628
32.7	88.91404564
32.8	86.35673973
32.9	84.4533528
33	83.89447753
33.1	83.15792944
33.2	82.34913877
33.3	81.73558554
33.4	80.74027516
33.5	80.06452496
33.6	79.7712224
33.7	80.11315068
33.8	80.891654
33.9	81.02928896
34	81.88576517
34.1	83.02829929
34.2	83.21393007
34.3	81.62310303
34.4	79.25708551
34.5	77.48612618
34.6	75.62605934
34.7	75.18447939
34.8	75.77589839
34.9	76.58711619
35	77.75773472
35.1	79.01881943
35.2	80.22407914
35.3	81.00346525
35.4	80.70145228
35.5	80.39180181
35.6	80.79731159
35.7	81.97289831
35.8	83.38803501
35.9	83.00386046
36	82.67445315
36.1	83.48777071
36.2	85.19856674
36.3	86.39158144
36.4	87.69718723
36.5	88.23691851
36.6	87.49074277
36.7	87.87108302
36.8	88.73822698
36.9	89.50006146
37	88.75356689
37.1	88.16194506
37.2	88.31572757
37.3	89.72236295
37.4	90.66676269
37.5	91.70018005
37.6	93.30146887
37.7	95.33403778
37.8	95.24868704
37.9	94.28146979
38	93.34726975
38.1	91.20418023
38.2	89.71689161
38.3	88.50116121
38.4	87.52409238
38.5	87.35522685
38.6	88.27882478
38.7	89.10553218
38.8	89.49041015
38.9	88.55512828
39	86.85348213
39.1	84.10322993
39.2	81.82588523
39.3	79.76657526
39.4	78.52737974
39.5	77.79737967
39.6	77.34639362
39.7	78.51692929
39.8	79.96704463
39.9	79.27311768
40	79.08511685
40.1	79.46457283
40.2	80.37102316
40.3	81.70079645
40.4	83.36138783
40.5	83.74542368
40.6	83.93487574
40.7	84.44617489
40.8	85.05868452
40.9	85.66845092
41	85.27518179
41.1	83.84509188
41.2	82.02645933
41.3	81.93631687
41.4	82.79711206
41.5	83.16700729
41.6	82.43177438
41.7	81.63924617
41.8	82.75310982
41.9	83.73066172
42	84.3486134
42.1	84.2533183
42.2	82.91434648
42.3	83.40382648
42.4	84.53003342
42.5	85.344765
42.6	85.5084949
42.7	86.50857452
42.8	86.14461797
42.9	86.30206286
43	85.91397952
43.1	84.92467961
43.2	84.48663586
43.3	85.2278403
43.4	86.27682692
43.5	86.66995842
43.6	87.72489589
43.7	89.2266531
43.8	89.35797218
43.9	87.90832154
44	86.70848652
44.1	86.05401336
44.2	84.32936044
44.3	82.14456831
44.4	79.90626991
44.5	78.16416956
44.6	79.04129267
44.7	79.63216809
44.8	79.83806434
44.9	79.72435862
45	78.87474458
45.1	78.1293652
45.2	78.2480026
45.3	78.82681729
45.4	79.74752837
45.5	81.41012147
45.6	82.70923856
45.7	82.88016633
45.8	81.92693549
45.9	80.19091255
46	79.52666738
46.1	79.81979598
46.2	81.22328605
46.3	82.75821412
46.4	84.30454612
46.5	83.11482746
46.6	83.70575252
46.7	84.57701552
46.8	84.33808225
46.9	84.84197943
47	84.87274084
47.1	84.21568689
47.2	82.65546127
47.3	81.48148224
47.4	81.15868832
47.5	81.28512012
47.6	80.82751973
47.7	78.30566643
47.8	74.49043869
47.9	74.11190014
48	74.35279239
48.1	75.44649777
48.2	77.03496716
48.3	78.0022017
48.4	77.63368381
48.5	76.46796415
48.6	75.42493154
48.7	75.96635115
48.8	76.63594262
48.9	76.51790376
49	76.29221426
49.1	75.84708926
49.2	75.30028247
49.3	74.16801955
49.4	73.84987982
49.5	75.19068969
49.6	77.38594087
49.7	79.53340401
49.8	82.15968321
49.9	84.85746141
50	85.94014162
50.1	86.70828516
50.2	87.34405779
50.3	88.88318507
50.4	91.14221481
50.5	92.60420983
50.6	92.62266829
50.7	90.18926375
50.8	87.46206965
50.9	85.99042046
51	83.45772588
51.1	80.54173429
51.2	79.70529743
51.3	79.64897257
51.4	80.78405402
51.5	82.88032596
51.6	82.54349587
51.7	81.80383244
51.8	81.35081486
51.9	81.47568066
52	82.36423771
52.1	83.35874586
52.2	83.90723803
52.3	84.30572001
52.4	84.71047533
52.5	84.94069175
52.6	84.64167585
52.7	82.49828835
52.8	79.99744535
52.9	79.23324521
53	80.44819654
53.1	82.92453087
53.2	85.39850301
53.3	86.67993802
53.4	86.01282206
53.5	82.92432071
53.6	78.9178548
53.7	77.15398132
53.8	77.16594854
53.9	75.41124496
54	73.05219072
54.1	70.51482001
54.2	69.45448513
54.3	70.11443228
54.4	70.60536482
54.5	71.41526348
54.6	72.59273015
54.7	73.79914095
54.8	74.85571975
54.9	75.05530614
55	75.29528872
55.1	75.5208578
55.2	73.35633221
55.3	72.46581913
55.4	73.5361641
55.5	75.20089581
55.6	74.2118497
55.7	75.00133721
55.8	76.16953229
55.9	76.91256607
56	76.1899007
56.1	75.44545092
56.2	77.34134425
56.3	79.35568159
56.4	81.56946731
56.5	84.32909948
56.6	85.71548
56.7	85.53935224
56.8	85.36770938
56.9	85.18356269
57	84.44544739
57.1	83.52335526
57.2	84.30099703
57.3	85.71161183
57.4	87.93361204
57.5	90.03294641
57.6	91.44485526
57.7	90.03857282
57.8	87.7060135
57.9	85.57330791
58	84.31922832
58.1	83.74272157
58.2	84.00998326
58.3	84.95517456
58.4	85.68288138
58.5	85.8338387
58.6	86.80185012
58.7	85.6661787
58.8	84.26918185
58.9	83.90781502
59	85.46485603
59.1	86.68760437
59.2	87.35430682
59.3	88.07811343
59.4	88.29870653
59.5	88.29402168
59.6	86.76296432
59.7	85.38111317
59.8	84.33084909
59.9	83.92518367
60	84.34190789
60.1	84.24826217
60.2	83.57119607
60.3	83.15339556
60.4	82.73851787
60.5	82.08346731
60.6	81.30585856
60.7	80.40271884
60.8	78.4320363
60.9	75.66988908
61	76.01557154
61.1	77.03155935
61.2	78.14713728
61.3	79.01625548
61.4	79.14672621
61.5	79.94181842
61.6	80.96479928
61.7	81.48990945
61.8	80.28105273
61.9	79.40650482
62	79.66116726
62.1	81.06735742
62.2	81.18030448
62.3	78.48735868
62.4	77.56427314
62.5	78.47212966
62.6	80.27729035
62.7	80.66645789
62.8	81.62608374
62.9	83.19537368
63	84.23943217
63.1	84.65962502
63.2	83.56001409
63.3	82.38292929
63.4	82.52458361
63.5	83.1363166
63.6	83.13933996
63.7	82.8804314
63.8	82.18131579
63.9	81.74706936
64	81.80249531
64.1	81.90430162
64.2	81.88231308
64.3	80.70262924
64.4	79.70430841
64.5	79.90922238
64.6	81.31018751
64.7	82.96722047
64.8	84.84808384
64.9	87.85386333
65	90.60553008
65.1	92.65955191
65.2	92.35585898
65.3	92.39106891
65.4	92.51214859
65.5	93.28515752
65.6	92.76988789
65.7	92.17260695
65.8	90.34030723
65.9	86.76011458
66	81.16526569
66.1	79.32784081
66.2	79.21704715
66.3	79.54517885
66.4	79.02316622
66.5	80.20936259
66.6	83.5443682
66.7	86.99492182
66.8	89.53070334
66.9	89.74563421
67	88.30657656
67.1	86.87342124
67.2	85.92182399
67.3	84.88004066
67.4	84.14242273
67.5	82.68287836
67.6	81.58152029
67.7	82.57180754
67.8	83.83693184
67.9	85.38700163
68	86.22767071
68.1	85.86423216
68.2	84.20596725
68.3	82.73377062
68.4	81.50799146
68.5	82.35428558
68.6	83.960539
68.7	85.00593497
68.8	85.13068705
68.9	85.25408902
69	86.15276906
69.1	88.03166684
69.2	89.6606139
69.3	89.69990181
69.4	89.87915156
69.5	90.21854838
69.6	89.89261158
69.7	90.6623761
69.8	91.58851602
69.9	91.54147382
70	90.18593317
70.1	88.80049074
70.2	88.7958997
70.3	89.57038197
70.4	90.4262498
70.5	92.58466181
70.6	95.4825353
70.7	96.42149892
70.8	95.74846831
70.9	94.56518461
71	93.39031314
