DEPT	GR
24.8	43.87978742
24.9	44.65455222
25	45.42931702
25.1	45.83763387
25.2	45.70893512
25.3	46.13343643
25.4	47.44222754
25.5	48.78168396
25.6	48.36622602
25.7	46.64596703
25.8	45.61837435
25.9	45.86089416
26	45.44982326
26.1	45.45964583
26.2	45.45037331
26.3	45.07552836
26.4	44.85853556
26.5	44.86293503
26.6	44.95754135
26.7	45.05432398
26.8	45.60749381
26.9	46.26673927
27	47.19963246
27.1	48.43472795
27.2	48.85639708
27.3	48.76257595
27.4	48.68818171
27.5	48.79394451
27.6	49.43488203
27.7	50.46249992
27.8	52.33369228
27.9	53.51284948
28	54.54561554
28.1	55.31633138
28.2	56.03278588
28.3	56.97115064
28.4	57.86617372
28.5	58.59943518
28.6	58.75432778
28.7	58.21395162
28.8	57.42149098
28.9	57.17850959
29	56.88875084
29.1	56.67067386
29.2	58.06711232
29.3	59.75243497
29.4	61.33821667
29.5	63.1620942
29.6	64.48016228
29.7	66.11208066
29.8	67.34922211
29.9	67.90413788
30	68.56181141
30.1	69.29214746
30.2	68.5494567
30.3	66.94100535
30.4	65.73816206
30.5	65.59052466
30.6	66.38074788
30.7	67.08533378
30.8	67.58430317
30.9	68.48219961
31	69.88830866
31.1	72.03207299
31.2	72.76568072
31.3	72.43352634
31.4	70.65587165
31.5	68.02595051
31.6	66.74999535
31.7	67.63098089
31.8	68.88818079
31.9	69.65466769
32	69.93607819
32.1	71.1171848
32.2	72.11656373
32.3	72.16897912
32.4	71.92406389
32.5	71.91346651
32.6	71.81721846
32.7	73.22393361
32.8	75.23023036
32.9	77.47910636
33	77.97336812
33.1	76.99578468
33.2	76.03902334
33.3	75.91520315
33.4	76.50195253
33.5	76.69327806
33.6	75.90554496
33.7	75.26294613
33.8	74.85123433
33.9	74.15546705
34	72.88121241
34.1	72.48639381
34.2	72.71980724
34.3	73.07657176
34.4	74.01344705
34.5	75.18021534
34.6	76.3865953
34.7	77.10426066
34.8	76.40381787
34.9	75.75605389
35	74.48937222
35.1	72.64418422
35.2	69.71680341
35.3	67.10627423
35.4	66.2408811
35.5	65.94481272
35.6	65.48854343
35.7	64.65567498
35.8	63.52452648
35.9	62.41293797
36	61.8245529
36.1	61.39723357
36.2	60.95564839
36.3	61.33491681
36.4	62.6247506
36.5	63.79957417
36.6	64.60084145
36.7	65.59981324
36.8	67.73535758
36.9	69.85771782
37	70.88979618
37.1	70.722255
37.2	70.72230469
37.3	70.72865624
37.4	71.21673095
37.5	72.53815498
37.6	72.50312177
37.7	72.61989338
37.8	72.13578217
37.9	70.43767819
38	68.53719142
38.1	66.90504325
38.2	66.37400507
38.3	66.78258598
38.4	68.16608095
38.5	69.23632374
38.6	69.54344741
38.7	68.94164216
38.8	67.55702852
38.9	65.92215885
39	63.96826476
39.1	61.5820439
39.2	60.59487895
39.3	60.57103267
39.4	61.04707286
39.5	63.10019977
39.6	65.0330448
39.7	65.47069634
39.8	66.08578205
39.9	68.67597423
40	69.79064622
40.1	70.62364946
40.2	70.22532117
40.3	69.06933279
40.4	68.03284268
40.5	67.68985675
40.6	66.98901448
40.7	66.25721949
40.8	65.95512987
40.9	66.28955579
41	66.39446436
41.1	66.43970397
41.2	66.34658804
41.3	66.3043697
41.4	65.38722278
41.5	64.95452666
41.6	64.97189155
41.7	64.58829134
41.8	64.28668612
41.9	64.05783652
42	64.13293515
42.1	64.76699001
42.2	64.36101424
42.3	63.28736907
42.4	63.00625997
42.5	62.60682298
42.6	62.13983118
42.7	61.75197821
42.8	62.55629613
42.9	63.53866439
43	64.34139221
43.1	64.9373539
43.2	64.35743577
43.3	62.76085014
43.4	61.50144461
43.5	60.57363499
43.6	60.53997531
43.7	60.25426823
43.8	59.97516382
43.9	59.70046017
44	59.53728499
44.1	59.42949958
44.2	60.74717028
44.3	61.3218959
44.4	60.25029526
44.5	58.7016322
44.6	57.11013786
44.7	57.61682626
44.8	59.43222015
44.9	60.83017495
45	60.38667939
45.1	59.79499324
45.2	59.90321709
45.3	59.90748236
45.4	59.71305805
45.5	59.58658208
45.6	59.84853628
45.7	60.38014836
45.8	61.17961159
45.9	61.97821984
46	62.88129325
46.1	64.18177741
46.2	64.10071552
46.3	63.22174503
46.4	62.53667994
46.5	62.80346333
46.6	62.96988079
46.7	63.01727101
46.8	63.08073862
46.9	63.12802221
47	62.99181007
47.1	63.17947705
47.2	63.86056422
47.3	65.72386162
47.4	67.03661044
47.5	68.34851708
47.6	69.06791848
47.7	69.52150582
47.8	69.93497329
47.9	69.61804125
48	70.45670505
48.1	70.53202126
48.2	69.25214051
48.3	68.74640583
48.4	68.36466931
48.5	67.48257647
48.6	66.28649875
48.7	65.37833784
48.8	63.8935179
48.9	61.87647168
49	60.08236291
49.1	59.62604396
49.2	61.12123711
49.3	63.35069076
49.4	64.22624918
49.5	65.01559015
49.6	65.74880475
49.7	65.7426847
49.8	65.77066896
49.9	65.55260167
50	66.13534321
50.1	66.95070217
50.2	67.25891846
50.3	66.80942275
50.4	66.38028776
50.5	65.97033658
50.6	66.19253445
50.7	67.30012462
50.8	68.2994126
50.9	68.89388425
51	68.52848221
51.1	66.66848006
51.2	65.59673834
51.3	65.08073493
51.4	64.72804965
51.5	64.36809002
51.6	64.19836705
51.7	65.2904605
51.8	65.90528607
51.9	65.46309054
52	64.25361377
52.1	63.1489037
52.2	62.61203498
52.3	62.21693416
52.4	62.16910938
52.5	61.87006497
52.6	61.48680565
52.7	61.48852681
52.8	61.76510293
