DEPT	GR
35.1	50.9602649
35.2	50.36423841
35.3	49.96688742
35.4	50.5786628
35.5	52.57616936
35.6	54.1999461
35.7	55.97722706
35.8	58.37780069
35.9	58.53258094
36	57.34114096
36.1	55.58062266
36.2	54.08704958
36.3	52.17040979
36.4	51.77109269
36.5	51.97193985
36.6	51.83076616
36.7	51.9222119
36.8	52.32288454
36.9	52.97473683
37	53.64823814
37.1	53.32517139
37.2	53.45320071
37.3	54.73903909
37.4	54.2738213
37.5	54.1006825
37.6	54.32542136
37.7	53.92491752
37.8	53.0095588
37.9	53.04413618
38	51.91156123
38.1	50.36017544
38.2	48.90996019
38.3	47.95354128
38.4	48.775344
38.5	49.62264435
38.6	49.78471227
38.7	48.97151048
38.8	48.39852788
38.9	49.19772936
39	51.24264525
39.1	54.0683273
39.2	56.60967421
39.3	58.97325445
39.4	57.56848079
39.5	56.53139561
39.6	55.47858066
39.7	53.55586775
39.8	52.36293248
39.9	51.99537067
40	49.96699604
40.1	47.79935399
40.2	47.05605415
40.3	45.80556742
40.4	44.59810241
40.5	44.42120078
40.6	45.02809626
40.7	46.4166362
40.8	47.64231325
40.9	48.03112783
41	47.47777797
41.1	46.06411828
41.2	45.3353097
41.3	45.00488185
41.4	45.03796686
41.5	45.2030828
41.6	44.99679733
41.7	43.56138089
41.8	42.7412252
41.9	42.99959497
42	45.49417057
42.1	48.2376458
42.2	52.11016208
42.3	55.14064584
42.4	57.35809393
42.5	57.49507724
42.6	57.56992689
42.7	57.1034421
42.8	57.77085858
42.9	58.10555337
43	57.50340015
43.1	57.66839356
43.2	59.34458967
43.3	59.85549214
43.4	59.66200601
43.5	57.82623149
43.6	57.2371219
43.7	56.55817859
43.8	53.84199593
43.9	52.71969973
44	52.9457884
44.1	53.37410575
44.2	53.91203291
44.3	54.90719275
44.4	55.33944263
44.5	55.48901151
44.6	54.89278672
44.7	53.34383372
44.8	53.40383214
44.9	54.51862787
45	56.32837633
45.1	55.49430893
45.2	55.39524314
45.3	58.08541011
45.4	60.61040711
45.5	63.13082161
45.6	65.7141151
45.7	66.73990934
45.8	67.54103146
45.9	68.56289712
46	69.22542824
46.1	67.41776387
46.2	66.26619989
46.3	65.50766826
46.4	65.62564131
46.5	66.08423389
46.6	66.05930369
46.7	65.81657757
46.8	64.85685371
46.9	63.50292712
47	61.2791397
47.1	60.7132434
47.2	60.93072058
47.3	61.99819974
47.4	63.01935381
47.5	63.91561047
47.6	64.30089651
47.7	65.39045839
47.8	67.30290881
47.9	68.76425713
48	68.81197501
48.1	66.94909698
48.2	64.94545221
48.3	62.74956484
48.4	61.86458927
48.5	61.24061531
48.6	62.14349982
48.7	62.57365965
48.8	63.27104605
48.9	64.36990339
49	65.39553798
49.1	65.79653851
49.2	64.83302042
49.3	63.13068347
49.4	61.36829828
49.5	61.58308139
49.6	63.63786287
49.7	64.48147151
49.8	65.8218199
49.9	67.75654507
50	68.19067227
50.1	68.54926044
50.2	68.33758216
50.3	68.30008608
50.4	69.10322847
50.5	70.28910477
50.6	71.18235084
50.7	71.10443483
50.8	69.10625149
50.9	65.44621938
51	63.75344335
51.1	63.09101789
51.2	63.60416272
51.3	64.28955752
51.4	65.05418451
51.5	64.52858616
51.6	63.74953049
51.7	63.05551704
51.8	62.6526088
51.9	62.31120713
52	61.74992691
52.1	61.69191157
52.2	64.05534423
52.3	65.62688028
52.4	66.6778947
52.5	66.19826302
52.6	67.45023635
52.7	70.85545455
52.8	71.36601448
52.9	70.80726203
53	69.68699595
53.1	68.41087019
53.2	66.65008595
53.3	66.82175634
53.4	66.25446124
53.5	64.16766066
53.6	63.25450716
53.7	64.12608648
53.8	66.72713331
53.9	68.58788149
54	68.31000375
54.1	67.61022004
54.2	66.66413911
54.3	67.79011401
54.4	68.9042924
54.5	69.43333082
54.6	70.125885
54.7	70.84954748
54.8	70.35977783
54.9	71.19800519
55	73.07212255
55.1	75.01961381
55.2	75.61646366
55.3	75.59519979
55.4	75.85050103
55.5	76.18409721
55.6	75.15731245
55.7	73.35576732
55.8	72.05325588
55.9	69.58874775
56	66.27002891
56.1	63.02871727
56.2	60.51403612
56.3	58.66454268
56.4	58.77575516
56.5	60.29226671
56.6	62.67866486
56.7	65.11238688
56.8	67.19467097
56.9	68.28375398
57	68.83575898
57.1	68.82070993
57.2	68.11841573
57.3	67.09344205
57.4	67.08469289
57.5	66.38048939
57.6	64.4779515
57.7	64.86621317
57.8	66.08411239
57.9	66.82763715
58	66.43535569
58.1	65.42827706
58.2	64.72047046
58.3	64.63542512
58.4	65.26448753
58.5	65.42400722
58.6	64.69291904
58.7	64.89558957
58.8	65.45784484
58.9	66.73042704
59	67.83452011
59.1	69.47160009
59.2	69.25434955
59.3	69.01109219
59.4	70.21442564
59.5	71.18931047
59.6	71.6514294
59.7	73.74565811
59.8	75.40685631
59.9	76.84995345
60	77.25571512
60.1	76.05672371
60.2	73.43115552
60.3	68.96869509
60.4	64.8879156
60.5	62.59913011
60.6	61.12910913
60.7	59.76449146
60.8	59.36032744
60.9	59.88517455
