DEPT	GR
350.1148	127.921
350.2672	124.79
350.4196	122.056
350.572	124.7901
350.7244	122.5257
350.8768	117.6475
351.0292	112.7694
351.1816	109.5738
351.334	106.3364
351.4864	100.4207
351.6388	100.4121
351.7912	102.6475
351.9436	101.5089
352.096	98.3236
352.2484	95.1382
352.4008	91.9528
352.5532	90.382
352.7056	92.4814
352.858	93.4355
353.0104	93.7667
353.1628	97.6802
353.3152	101.8432
353.4676	98.4348
353.62	94.7944
353.7724	94.4872
353.9248	97.4342
354.0772	99.8324
354.2296	99.9363
354.382	101.2399
354.5344	101.2399
354.6868	103.1925
354.8392	106.1906
354.9916	104.2296
355.144	98.2555
355.2964	92.2815
355.4488	87.2504
355.6012	88.4039
355.7536	93.9068
355.906	101.2201
356.0584	105.2614
356.2108	102.8574
356.3632	100.3799
356.5156	97.9945
356.668	100.212
356.8204	104.9456
356.9728	110.0235
357.1252	115.1014
357.2776	119.9397
357.43	120.5429
357.5824	114.2418
357.7348	110.211
357.8872	105.2159
358.0396	98.5385
358.192	95.9335
358.3444	99.8128
358.4968	103.2507
358.6492	97.3735
358.8016	93.865
358.954	93.699
359.1064	95.6745
359.2588	98.9178
359.4112	101.902
359.5636	102.5027
359.716	103.2253
359.8684	105.1909
360.0208	106.4476
360.1732	107.5907
360.3256	107.8753
360.478	104.9271
360.6304	101.8432
360.7828	105.221
360.9352	108.7271
361.0876	111.9516
361.24	112.5098
361.3924	109.2943
361.5448	98.4463
361.6972	91.7793
361.8496	89.3767
362.002	93.0675
362.1544	96.9324
362.3068	99.0666
362.4592	102.1852
362.6116	104.4161
362.764	104.6841
362.9164	106.2957
363.0688	106.7106
363.2212	108.3118
363.3736	111.5995
363.526	113.8671
363.6784	118.0159
363.8308	120.5324
363.9832	118.1561
364.1356	116.9467
364.288	114.541
364.4404	111.8631
364.5928	111.5494
364.7452	112.804
364.8976	111.0609
365.05	108.6757
365.2024	107.1863
365.3548	105.6969
365.5072	102.7359
365.6596	104.3411
365.812	106.1156
365.9644	106.4585
366.1168	108.6688
366.2692	111.8968
366.4216	112.6839
366.574	115.0889
366.7264	114.2694
366.8788	111.4253
367.0312	110.6615
367.1836	112.3517
367.336	110.4243
367.4884	109.2482
367.6408	110.3613
367.7932	112.1815
367.9456	116.9817
368.098	120.3683
368.2504	122.7194
368.4028	125.1676
368.5552	129.8575
368.7076	134.2005
368.86	135.8756
369.0124	135.6398
369.1648	134.5509
369.3172	129.7949
369.4696	127.7809
369.622	128.4314
369.7744	127.0966
369.9268	125.8579
370.0792	125.88
370.2316	123.8743
370.384	121.8685
370.5364	121.9548
370.6888	122.4387
370.8412	124.1113
370.9936	126.1542
371.146	125.2196
371.2984	124.2028
371.4508	124.6861
371.6032	125.3067
371.7556	127.1783
371.908	124.4133
372.0604	119.9088
372.2128	116.8635
372.3652	117.5754
372.5176	117.6007
372.67	118.3311
372.8224	117.9752
372.9748	118.4767
373.1272	119.6223
373.2796	119.9397
373.432	123.0594
373.5844	125.3451
373.7368	124.0318
373.8892	123.7943
374.0416	122.5101
374.194	121.5907
374.3464	123.5443
374.4988	124.47
374.6512	124.4423
374.8036	123.0062
374.956	122.2192
375.1084	124.3633
375.2608	124.8231
375.4132	124.5448
375.5656	123.9611
375.718	122.0349
375.8704	120.5429
376.0228	120.8401
376.1752	117.3185
376.3276	114.0409
376.48	115.315
376.6324	122.436
376.7848	127.5095
376.9372	126.6476
377.0896	123.3784
377.242	121.0114
377.3944	123.1568
377.5468	123.052
377.6992	122.5974
377.8516	120.7666
378.004	119.1092
378.1564	120.655
378.3088	122.7472
378.4612	124.8394
378.6136	125.7284
378.766	123.749
378.9184	120.5011
379.0708	118.8523
379.2232	121.3472
379.3756	125.3759
379.528	125.9538
379.6804	123.7206
379.8328	120.5449
379.9852	117.929
380.1376	118.4259
380.29	121.3905
380.4424	124.9665
380.5948	124.7716
380.7472	125.5224
380.8996	124.5505
381.052	125.7517
381.2044	125.3686
381.3568	122.01
381.5092	119.288
381.6616	119.3771
381.814	121.1789
381.9664	121.2299
