DEPT	GR
348	110.10956175
348.1	110.69887118
348.2	112.09329349
348.3	113.09760956
348.4	113.39641434
348.5	113.14623955
348.6	110.78210182
348.7	106.39697376
348.8	101.91156734
348.9	99.05027626
349	99.13482317
349.1	100.60854141
349.2	103.31739932
349.3	105.67373853
349.4	105.5680003
349.5	104.51070445
349.6	104.92024762
349.7	107.58554027
349.8	111.49317812
349.9	113.65828108
350	113.21111623
350.1	111.73599431
350.2	110.27930932
350.3	108.82659101
350.4	107.36835799
350.5	104.56584236
350.6	102.33357968
350.7	105.97145402
350.8	109.94515971
350.9	113.80918319
351	117.50794199
351.1	117.69240479
351.2	116.37328593
351.3	114.79123082
351.4	110.08935703
351.5	103.54024761
351.6	102.95181414
351.7	107.20055062
351.8	112.10259198
351.9	115.71890575
352	119.17433321
352.1	122.07901117
352.2	123.50637849
352.3	120.16334779
352.4	114.15207253
352.5	107.45547659
352.6	101.76403437
352.7	101.43644459
352.8	102.07925164
352.9	103.31570438
353	105.72373945
353.1	108.93590362
353.2	109.9287052
353.3	109.60742952
353.4	110.80116151
353.5	111.31018868
353.6	111.66979053
353.7	111.1433278
353.8	110.09235523
353.9	109.58758568
354	109.83409059
354.1	110.32630926
354.2	110.38598475
354.3	110.33359822
354.4	110.08117442
354.5	111.4569042
354.6	112.82164254
354.7	114.30455041
354.8	114.27295694
354.9	112.91837474
355	112.21861212
355.1	112.54883051
355.2	113.42913558
355.3	114.88746639
355.4	115.64793551
355.5	117.01822018
355.6	117.49036385
355.7	115.40950919
355.8	115.31243191
355.9	119.58572825
356	123.86186773
356.1	128.81249544
356.2	131.40965086
356.3	132.74398097
356.4	131.98669126
356.5	128.99307389
356.6	126.78111905
356.7	124.85160184
356.8	122.26287338
356.9	118.15503246
357	116.24272425
357.1	114.70315372
357.2	112.87392949
357.3	110.07348509
357.4	111.10026365
357.5	114.57353699
357.6	118.00488564
357.7	120.15931232
357.8	122.10461904
357.9	122.42352106
358	120.49682902
358.1	117.03898411
358.2	116.23278705
358.3	117.13108601
358.4	118.1485531
358.5	117.49210984
358.6	117.0554295
358.7	118.13728112
358.8	119.2386927
358.9	119.11035183
359	120.33477074
359.1	120.50453027
359.2	119.70532177
359.3	117.86738257
359.4	117.8160287
359.5	118.14054121
359.6	119.34165709
359.7	121.37517545
359.8	121.60778861
359.9	119.8680436
360	117.5312912
360.1	115.76679595
360.2	114.67092629
360.3	112.26466238
360.4	110.77730585
360.5	110.65377761
360.6	108.94233139
360.7	106.47137798
360.8	105.05858347
360.9	105.6935684
361	106.54954952
361.1	108.06452246
361.2	111.58565077
361.3	116.73453931
361.4	114.31239077
361.5	112.46867972
361.6	111.17519157
361.7	109.76020431
361.8	108.90740697
361.9	110.03240677
362	111.89015381
362.1	113.6617225
362.2	115.50236532
362.3	116.52183712
362.4	116.85570968
362.5	119.03120972
362.6	119.98439906
362.7	118.45814786
362.8	116.68224603
362.9	115.12788091
363	114.44522907
363.1	114.6501455
363.2	115.52411455
363.3	116.83913831
363.4	119.24347284
363.5	118.17218104
363.6	116.93991478
363.7	116.40748941
363.8	115.74915499
363.9	114.08925199
364	112.83185617
364.1	112.37894973
364.2	114.03582648
364.3	116.85768916
364.4	119.16620257
364.5	117.12201847
364.6	114.84684459
364.7	112.2777118
364.8	110.55525787
364.9	109.93693184
365	112.01039123
365.1	114.46307291
365.2	116.73332546
365.3	118.29077965
365.4	119.50187471
365.5	119.5236577
365.6	118.76527429
365.7	117.94098311
365.8	115.23421318
365.9	112.13618611
366	110.65749862
366.1	109.83953607
366.2	112.17750193
366.3	115.74855038
366.4	118.93575675
366.5	118.99845515
366.6	112.85303717
366.7	108.80841077
366.8	109.12517702
366.9	111.21875106
367	113.69343934
367.1	118.52666628
367.2	122.15444747
367.3	123.83941287
367.4	122.66032511
367.5	118.33980099
367.6	112.70135071
367.7	108.93000766
367.8	106.87934268
367.9	107.01269892
368	109.83464364
368.1	113.39616653
368.2	117.83906045
368.3	120.7486021
368.4	123.94129111
368.5	127.02583438
368.6	125.28744697
368.7	124.06540804
368.8	124.30618602
368.9	124.71022005
369	121.55949978
369.1	115.95339619
369.2	109.64723851
369.3	106.73190324
369.4	109.10890618
369.5	112.0083478
369.6	113.78229235
369.7	115.06124747
369.8	116.28692724
369.9	117.81019634
370	119.63109792
370.1	120.1186174
370.2	120.28477245
370.3	119.56974593
370.4	117.26119405
370.5	114.86612782
370.6	113.12242061
370.7	110.97911879
370.8	109.12982559
370.9	108.02258695
371	107.29516579
371.1	106.05511502
371.2	105.83042297
371.3	108.22612206
371.4	111.61271968
371.5	115.19737664
371.6	117.06520945
371.7	116.68096886
371.8	116.68864024
371.9	116.67130827
372	117.10086704
372.1	118.2395078
372.2	116.49754305
372.3	113.79960498
372.4	111.06402421
372.5	109.95505454
372.6	110.62982452
372.7	113.10682771
372.8	115.7348076
372.9	117.19175037
373	116.60811072
373.1	115.69029209
373.2	115.12417337
373.3	114.56891413
373.4	113.21683648
373.5	114.35740582
373.6	118.46097742
373.7	122.688768
373.8	124.35629497
373.9	126.47317537
374	127.98654008
374.1	126.03033357
374.2	121.88429329
374.3	119.26401356
374.4	118.73585114
374.5	117.29518819
374.6	117.1490897
374.7	117.29875969
374.8	117.36207354
374.9	117.91965719
375	116.89369992
375.1	114.84263259
375.2	112.26157384
375.3	111.61342159
375.4	110.35726781
375.5	109.75599846
375.6	111.50314793
375.7	115.86021659
375.8	118.91873343
375.9	120.83711458
376	121.88420817
376.1	124.53658465
376.2	124.8322587
376.3	122.67129849
376.4	119.26416776
376.5	116.93811389
376.6	117.20727422
376.7	119.05229731
376.8	120.78631204
376.9	122.87517621
377	126.11967424
377.1	122.66640286
377.2	119.17633969
377.3	117.3563514
377.4	117.94643681
377.5	117.99551255
377.6	116.7246203
377.7	112.24232757
377.8	110.32865711
377.9	109.11631191
378	108.28041192
378.1	112.47200336
378.2	117.04192194
378.3	120.42077988
378.4	122.76070182
378.5	126.42081434
378.6	130.02878781
378.7	132.39713351
378.8	130.55811511
378.9	128.07525578
379	123.38388021
379.1	120.66350502
379.2	119.88157068
379.3	120.1168695
379.4	117.60441618
379.5	115.33540917
379.6	114.2835231
379.7	117.69747602
379.8	120.63450425
379.9	124.17346444
380	126.09568834
380.1	124.44126178
380.2	122.47049864
380.3	122.31271646
380.4	124.68251657
380.5	123.50901291
380.6	122.27385108
380.7	122.38672148
380.8	123.80891007
380.9	125.50154728
381	126.69175469
381.1	128.49129692
381.2	129.25064005
381.3	127.38851057
381.4	126.56942672
381.5	127.16618856
381.6	126.54983363
381.7	123.27172954
381.8	123.74609182
381.9	125.80350507
382	126.80711898
382.1	127.10988899
382.2	126.69583209
382.3	124.16119313
382.4	119.0250978
382.5	115.36118697
382.6	115.04422026
382.7	116.46948756
382.8	117.77187954
382.9	121.79053797
383	127.69545155
383.1	127.46054629
383.2	125.93949162
383.3	123.78018805
383.4	122.26762469
383.5	121.2245785
383.6	121.8456938
383.7	119.31318412
383.8	117.57992072
383.9	115.41477633
384	112.92622371
384.1	111.02675023
384.2	110.85087331
384.3	110.5506672
384.4	109.15201909
384.5	106.22504758
384.6	101.68560416
384.7	98.8724985
384.8	98.54062733
384.9	99.13481945
385	102.23431866
385.1	104.19394158
385.2	104.6611646
385.3	103.57338962
385.4	105.93740709
385.5	109.78024932
385.6	114.38866351
385.7	118.90500266
385.8	122.15590434
385.9	124.16553404
386	123.3269868
386.1	123.83184366
386.2	123.42171713
386.3	121.82368384
386.4	119.33643422
386.5	114.88201386
386.6	109.69315249
386.7	101.98323085
386.8	94.1724244
386.9	88.42968384
387	83.66632074
387.1	75.37273717
387.2	70.08569325
387.3	69.88932477
387.4	70.06630656
387.5	71.33019073
387.6	73.1762426
387.7	74.79175179
387.8	72.64526527
387.9	69.0228976
388	67.20820588
388.1	67.58162211
388.2	68.86938454
388.3	70.10613734
388.4	71.12691029
388.5	72.35883604
388.6	71.77601934
388.7	70.67079734
388.8	69.4820274
388.9	68.20507985
389	67.38982087
389.1	68.07395284
389.2	70.76672073
389.3	74.16056928
389.4	77.85649408
389.5	80.70865732
389.6	80.79772195
389.7	79.40461097
389.8	77.28398915
389.9	75.41645045
390	76.49538139
390.1	78.16197997
390.2	80.3793055
390.3	82.94499162
390.4	86.54995734
390.5	86.687859
390.6	84.88478819
390.7	82.02254584
390.8	79.7219449
390.9	77.57171984
391	75.99821421
391.1	74.81438302
391.2	74.2962067
391.3	71.35166708
391.4	70.45396782
391.5	69.61711083
391.6	68.16932243
391.7	66.25054398
391.8	64.43681337
391.9	62.29555977
392	62.33452674
392.1	63.08861277
392.2	63.48954569
392.3	62.93929357
392.4	62.0833143
392.5	62.6094818
392.6	62.68090803
392.7	63.60764109
392.8	65.90253588
392.9	69.49526031
393	73.17608456
393.1	73.95354091
393.2	73.95557691
393.3	73.95784358
393.4	73.9477251
393.5	73.65619933
393.6	73.36673202
393.7	73.35759352
393.8	73.43799906
393.9	73.58956661
394	73.06312361
394.1	71.68957607
394.2	69.40535199
394.3	66.76876987
394.4	65.07175472
394.5	66.55477227
394.6	68.99406695
394.7	72.57455044
394.8	75.23440896
394.9	77.19968182
395	78.66028377
395.1	79.34062873
395.2	80.4127849
395.3	81.26355876
395.4	80.57231808
395.5	78.72896969
395.6	77.51857425
395.7	80.96903184
395.8	84.84973002
395.9	89.2273217
396	93.62356352
396.1	93.6133915
396.2	94.38382037
396.3	94.45520281
396.4	90.25495448
396.5	87.53785083
396.6	87.41023679
396.7	90.3404859
396.8	90.08256479
396.9	89.08665044
397	87.66487558
397.1	86.63629403
397.2	87.85625859
397.3	88.26776289
397.4	89.53225425
397.5	90.55391705
397.6	90.67562239
397.7	89.82215403
397.8	88.58299724
397.9	87.52043193
398	89.38524576
398.1	90.6706026
398.2	91.82242154
398.3	92.32739323
398.4	94.93081557
398.5	96.12252608
398.6	94.6313433
398.7	89.90593714
398.8	81.46660322
398.9	73.67544954
399	63.45792533
399.1	54.5682349
399.2	51.47143932
399.3	50.84842583
399.4	50.41910813
399.5	49.67121282
399.6	48.73685044
399.7	49.25983107
399.8	51.8802201
399.9	55.99693845
400	60.01613979
400.1	64.29654618
400.2	67.4651105
400.3	67.91882125
400.4	64.510144
400.5	58.17521755
400.6	50.54009254
400.7	45.59551411
400.8	42.11612679
400.9	42.26371391
401	42.66529348
401.1	43.73129576
401.2	44.07508514
401.3	41.88031282
401.4	40.67051865
401.5	40.28238662
401.6	40.92283368
401.7	41.55003343
401.8	41.65680478
401.9	42.28944696
402	43.18299917
402.1	43.76540058
402.2	44.11179145
402.3	45.14985559
402.4	45.64239433
402.5	44.32217155
402.6	41.86921143
402.7	40.55384251
402.8	40.96894148
402.9	41.85399904
403	42.87988734
403.1	43.72786942
403.2	44.37438091
403.3	43.52029437
403.4	42.82748357
403.5	43.01456111
403.6	44.2139938
403.7	45.37835598
403.8	45.43675344
403.9	44.94439405
404	45.00848164
404.1	45.14344763
404.2	45.24523004
404.3	44.81431896
404.4	43.68741049
404.5	43.19462195
404.6	43.41951394
404.7	43.73214443
404.8	44.50621926
404.9	45.38361771
405	45.5614283
405.1	45.52171757
405.2	44.5176828
405.3	42.49851742
405.4	40.67344675
405.5	39.26802058
405.6	38.98410787
405.7	37.80929334
405.8	38.24541574
405.9	41.05560255
406	41.60646344
406.1	41.63622151
406.2	41.83250232
406.3	43.18297996
406.4	44.52807725
406.5	44.94075933
406.6	44.54181834
406.7	41.31587565
406.8	38.72244415
406.9	38.53859624
407	39.55857552
407.1	40.49425401
407.2	41.39698468
407.3	43.80311368
407.4	45.28738595
407.5	44.91363247
407.6	42.84057391
407.7	42.67185329
407.8	42.91489755
407.9	43.16383121
408	43.19002866
408.1	43.47788213
408.2	43.4847589
408.3	43.48869758
408.4	43.28209836
408.5	42.29793307
408.6	41.16636571
408.7	39.83261175
408.8	40.5333447
408.9	40.51982495
409	40.08813392
409.1	38.66957577
409.2	35.63703187
409.3	34.39817597
409.4	34.64954276
409.5	35.63349576
409.6	36.65387953
409.7	38.65603327
409.8	39.79233024
409.9	40.16730066
410	40.50334576
410.1	41.01629926
410.2	41.42014544
410.3	40.48535728
410.4	40.80708725
410.5	42.2481726
