DEPT	GR
-0.2	2.88461538
-0.1	5.27188329
0	17.4071618
0.1	20.15551849
0.2	18.93351075
0.3	17.26205285
0.4	15.64755077
0.5	14.42167491
0.6	12.37230259
0.7	11.43860198
0.8	11.98185106
0.9	12.94564851
1	14.09746726
1.1	15.92704933
1.2	18.5610135
1.3	19.60932188
1.4	18.99407184
1.5	17.93358507
1.6	15.85639285
1.7	13.97213667
1.8	11.13017411
1.9	8.96854552
2	6.98835417
2.1	5.68394012
2.2	5.40725008
2.3	6.10067104
2.4	6.69438966
2.5	6.49092361
2.6	7.12498566
2.7	8.21215476
2.8	9.87539667
2.9	10.78864505
3	13.18078186
3.1	16.28834797
3.2	18.41011624
3.3	18.37073514
3.4	17.47122131
3.5	18.21719157
3.6	21.19619562
3.7	24.49851495
3.8	27.30163503
3.9	28.36216449
4	29.09233018
4.1	29.20365785
4.2	27.99146012
4.3	29.10410027
4.4	30.66434944
4.5	31.89322437
4.6	33.73903149
4.7	36.3110962
4.8	38.65385943
4.9	41.32256388
5	44.99242764
5.1	45.21916377
5.2	44.27376243
5.3	43.25225925
5.4	42.39667282
5.5	40.24149889
5.6	39.13845786
5.7	39.36158327
5.8	38.73571482
5.9	37.79359156
6	37.79050194
6.1	38.1003557
6.2	38.89001378
6.3	40.72278785
6.4	40.777957
6.5	40.09115996
6.6	40.79503756
6.7	41.50658287
6.8	41.67466265
6.9	42.62476778
7	41.8360115
7.1	40.26807876
7.2	37.8788744
7.3	36.50404732
7.4	35.70191692
7.5	35.67945008
7.6	37.00775573
7.7	38.31382242
7.8	38.75661402
7.9	39.70760874
8	41.05777864
8.1	42.45749102
8.2	41.93016898
8.3	41.40290017
8.4	40.18223581
8.5	39.88879262
8.6	39.50932389
8.7	39.66708413
8.8	40.46935303
8.9	40.34721935
9	38.41311726
9.1	35.26437592
9.2	33.26437474
9.3	34.84085056
9.4	36.81803716
9.5	38.03007439
9.6	38.4519728
9.7	37.26747472
9.8	36.4174151
9.9	37.39361217
10	38.85347834
10.1	39.63862793
10.2	38.552364
10.3	37.51267411
10.4	37.12953205
10.5	37.08069955
10.6	38.31687824
10.7	40.23454968
10.8	41.72220868
10.9	41.51110617
11	41.82268693
11.1	40.16524881
11.2	37.44212186
11.3	37.7114191
11.4	37.52947414
11.5	36.89967531
11.6	36.97000094
11.7	37.91257246
11.8	39.02368417
11.9	39.47730145
12	39.99951491
12.1	40.70790766
12.2	41.79616446
12.3	42.09559596
12.4	40.07857191
12.5	35.8492864
12.6	32.6693342
12.7	30.73112033
12.8	29.59998364
12.9	29.3414074
13	30.19423377
13.1	32.19708352
13.2	34.92545728
13.3	37.09304307
13.4	37.89931823
13.5	38.65447594
13.6	37.9762604
13.7	37.70094785
13.8	37.13778099
13.9	36.11967631
14	37.00766762
14.1	37.77091889
14.2	39.69034594
14.3	42.32819045
14.4	42.6579689
14.5	42.89309272
14.6	42.75928908
14.7	43.68007967
14.8	44.16587917
14.9	42.83202628
15	42.68768763
15.1	43.11177823
15.2	42.69991341
15.3	42.27621519
15.4	41.83572457
15.5	41.73866634
15.6	41.68387213
15.7	41.06097331
15.8	41.74634697
15.9	40.53320905
16	39.48770636
16.1	38.89210157
16.2	38.85075575
16.3	39.10287149
16.4	40.46473604
16.5	42.45886106
16.6	44.0686798
16.7	44.44401756
16.8	44.87167995
16.9	45.66845631
17	46.54423019
17.1	47.64389945
17.2	48.6333846
17.3	49.21209941
17.4	48.83568958
17.5	48.92959576
17.6	49.31613746
17.7	50.05379689
17.8	49.55900269
17.9	47.3076832
18	45.61253039
18.1	44.63521754
18.2	42.86830554
18.3	39.9055879
18.4	39.11868345
18.5	38.68996007
18.6	38.72584042
18.7	40.69236274
18.8	43.06728127
18.9	44.09383431
19	44.42113465
19.1	44.00992638
19.2	42.62193131
19.3	40.86949322
19.4	40.88664158
19.5	39.68787213
19.6	38.3187059
19.7	37.37180096
19.8	35.91552617
19.9	36.10371228
20	37.00400682
20.1	38.1696613
20.2	40.00122795
20.3	39.181815
20.4	36.231943
20.5	34.78578916
20.6	33.93146365
20.7	34.12357962
20.8	36.88657037
20.9	39.76990406
21	43.30044011
21.1	48.65261848
21.2	50.6002111
21.3	50.60558357
21.4	49.27065718
21.5	48.39872938
21.6	45.82894837
21.7	43.99800578
21.8	41.87102592
21.9	39.48731414
22	37.77665024
22.1	37.82134587
22.2	38.99341766
22.3	39.55190536
22.4	37.03033319
22.5	35.6116085
22.6	35.50778296
22.7	35.49658486
22.8	36.4339198
22.9	36.18733045
23	35.90692785
23.1	35.32886971
23.2	37.21965478
23.3	40.22546296
23.4	40.30936014
23.5	39.30157226
23.6	37.31224937
23.7	36.29562989
23.8	35.47910047
23.9	36.70342693
24	38.39709989
24.1	40.34999362
24.2	41.07322412
24.3	40.78490726
24.4	40.39759473
24.5	39.05481088
24.6	37.43303644
24.7	37.24452507
24.8	38.67307682
24.9	40.70976504
25	44.38732815
25.1	44.43392479
25.2	41.87230014
25.3	39.78460471
25.4	38.69268654
25.5	36.28946931
25.6	33.98448652
25.7	32.97317958
25.8	32.70458959
25.9	33.1055682
26	34.0800795
26.1	36.7754339
26.2	40.46202274
26.3	43.88376051
26.4	45.61522918
26.5	46.97287672
26.6	47.18246958
26.7	45.76101264
26.8	43.96967924
26.9	42.74609595
27	40.98139149
27.1	38.87288961
27.2	38.08468771
27.3	38.42697212
27.4	37.99801291
27.5	33.70208898
27.6	27.93187135
27.7	23.36507074
27.8	20.03008106
27.9	17.52310028
28	16.72134913
28.1	17.04901611
28.2	18.97562986
28.3	20.78868406
28.4	22.15219363
28.5	23.14502889
28.6	25.16584707
28.7	27.76250648
28.8	29.14282346
28.9	29.13902587
29	31.08627881
29.1	33.79794377
29.2	34.13196935
29.3	34.9488729
29.4	36.88493177
29.5	37.75443314
29.6	37.08990392
29.7	35.7789003
29.8	34.72477873
29.9	35.64380465
30	36.49400455
30.1	37.30792647
30.2	38.31849352
30.3	37.64666506
30.4	38.47503283
30.5	37.76323629
30.6	37.32694641
30.7	35.92212095
30.8	33.19414421
30.9	33.32083698
31	34.94362353
31.1	36.34130795
31.2	35.89350391
31.3	36.0581601
31.4	36.13759993
31.5	35.46207968
31.6	35.25873351
31.7	34.71335931
31.8	33.92019353
31.9	35.41820728
32	38.53001436
32.1	42.3149685
32.2	46.57246352
32.3	49.96733115
32.4	51.04780094
32.5	50.10935394
32.6	48.61557587
32.7	45.42438358
32.8	40.81513314
32.9	36.29240529
33	35.52093059
33.1	39.68589695
33.2	45.84308752
33.3	49.15210618
33.4	50.46342219
33.5	50.15141087
33.6	50.21866422
33.7	51.85540502
33.8	52.86488802
33.9	51.7516737
34	50.30297309
34.1	49.21727825
34.2	50.84446151
34.3	53.18703346
34.4	54.1939659
34.5	52.22154579
34.6	51.08308588
34.7	51.4537012
34.8	53.07353743
34.9	53.2158979
35	51.82589891
35.1	50.07491384
35.2	50.13799543
35.3	53.18485077
35.4	54.79697712
35.5	56.16631413
35.6	55.49412964
35.7	54.94257753
35.8	55.69980885
35.9	57.33781143
36	60.759416
36.1	64.78574383
36.2	66.51608317
36.3	64.19135442
36.4	59.39720707
36.5	56.01872197
36.6	52.8323101
36.7	51.84782589
36.8	53.86414617
36.9	55.02788621
37	53.85401516
37.1	53.52123401
37.2	52.1676464
37.3	54.58982472
37.4	58.25825686
37.5	59.36941151
37.6	58.10752587
37.7	55.37413186
37.8	53.04254924
37.9	50.43960171
38	47.96635001
38.1	46.85343466
38.2	47.2226479
38.3	47.25876501
38.4	48.13943796
38.5	48.81488325
38.6	49.21689362
38.7	51.16184928
38.8	53.90521283
38.9	56.09054244
39	56.8476056
39.1	56.98306426
39.2	56.19267066
39.3	55.0477826
39.4	55.83907228
39.5	58.84719516
39.6	59.91982666
39.7	58.69646548
39.8	56.25348027
39.9	53.79435314
40	54.1091932
40.1	55.43378707
40.2	56.39876667
40.3	54.87943499
40.4	54.00323872
40.5	54.60503547
40.6	52.4492509
40.7	51.1874043
40.8	53.26655641
40.9	55.9869519
41	58.49354415
41.1	60.33497629
41.2	60.05565257
41.3	57.93096498
41.4	56.71918232
41.5	59.17641986
41.6	60.58684439
41.7	60.73764912
41.8	60.81117982
41.9	58.36471205
42	56.05613677
42.1	54.99434172
42.2	55.27121237
42.3	56.20149916
42.4	56.39054449
42.5	56.98391377
42.6	57.8599745
42.7	56.28875518
42.8	54.71829961
42.9	55.18355382
43	57.358122
43.1	59.09604486
43.2	60.02729657
43.3	59.96575829
43.4	59.37432266
43.5	57.1233794
43.6	54.16489376
43.7	51.84604044
43.8	52.73504141
43.9	54.39474662
44	54.07656911
44.1	53.16433498
44.2	52.52267473
44.3	50.89285768
44.4	50.71327121
44.5	52.02453168
44.6	52.4221419
44.7	51.39754013
44.8	51.62717218
44.9	52.75860727
45	53.7492885
45.1	52.94923697
45.2	51.83471337
45.3	52.83774854
45.4	52.80243765
45.5	51.76117418
45.6	52.62338858
45.7	54.99024569
45.8	55.20321
45.9	53.70057124
46	53.34845623
46.1	54.36245296
46.2	54.79238168
46.3	55.21832565
46.4	56.19556507
46.5	56.42110001
46.6	53.45634575
46.7	50.82612803
46.8	50.03158687
46.9	50.43680084
47	53.46541387
47.1	55.6989914
47.2	53.98963147
47.3	52.4199253
47.4	50.73043756
47.5	50.01687651
47.6	50.6689307
47.7	52.95467063
47.8	55.21506253
47.9	57.27897821
48	59.49575236
48.1	60.29287363
48.2	60.38616963
48.3	58.75807128
48.4	53.46713184
48.5	51.02248796
48.6	50.42438244
48.7	49.08789461
48.8	49.8064726
48.9	54.05487986
49	55.80732778
49.1	56.59185253
49.2	57.93377036
49.3	61.26125613
49.4	64.07748491
49.5	64.92669353
49.6	65.73910679
49.7	66.75029046
49.8	65.13861412
49.9	62.80401038
50	60.29911281
50.1	57.64808375
50.2	54.74350789
50.3	50.49400357
50.4	48.17131302
50.5	48.67516069
50.6	50.82997023
50.7	53.21142672
50.8	56.4742378
50.9	59.35666302
51	59.35747819
51.1	56.82776418
51.2	54.67357972
51.3	54.46597259
51.4	55.81986735
51.5	57.16258669
51.6	59.22596467
51.7	59.13162787
51.8	60.09051691
51.9	62.54576224
52	63.00487124
52.1	61.66031756
52.2	59.53892793
52.3	55.57301196
52.4	50.06119341
52.5	47.7825516
52.6	47.27854838
52.7	47.96388404
52.8	51.15423577
52.9	55.23745391
53	58.13637392
53.1	60.40885623
53.2	60.20823289
53.3	57.22761581
53.4	55.0510721
53.5	53.91039883
53.6	53.6180987
53.7	53.12765608
53.8	51.96564023
53.9	49.21536631
54	47.41965616
54.1	47.30930162
54.2	49.42848471
54.3	53.50666039
54.4	57.51764172
54.5	60.86023818
54.6	63.51539471
54.7	65.76655209
54.8	66.19881785
54.9	66.52284153
55	66.15416114
55.1	66.15888246
55.2	67.10561732
55.3	65.98830042
55.4	66.11670726
55.5	68.88015162
55.6	70.09878125
55.7	67.60998958
55.8	65.0550429
55.9	62.7751203
56	62.45525442
56.1	61.95035504
56.2	60.83224008
56.3	59.93689497
