DEPT	GR
0	11.27744511
0.1	11.27744511
0.2	10.87824351
0.3	10.47904192
0.4	10.47904192
0.5	10.47723032
0.6	10.49760119
0.7	10.58580152
0.8	10.66415452
0.9	10.04563409
1	9.36281854
1.1	8.67774307
1.2	7.97035657
1.3	7.36676485
1.4	7.18754234
1.5	6.94468535
1.6	6.51414102
1.7	6.52773045
1.8	6.86305679
1.9	7.29801116
2	7.33717761
2.1	7.51077697
2.2	7.674611
2.3	8.20462708
2.4	9.56066988
2.5	10.42602721
2.6	10.64311528
2.7	11.38137916
2.8	12.18745904
2.9	12.58697297
3	12.4030397
3.1	11.26009688
3.2	10.4539236
3.3	9.98414816
3.4	9.11870568
3.5	7.2173623
3.6	5.9872462
3.7	5.58528497
3.8	5.34319631
3.9	4.90094318
4	4.59554868
4.1	4.32387879
4.2	4.28071518
4.3	4.68579068
4.4	4.896279
4.5	4.72741808
4.6	4.6961003
4.7	4.68828466
4.8	4.65751472
4.9	4.48895414
5	4.18264945
5.1	3.79165966
5.2	3.68871228
5.3	3.67019433
5.4	3.9107324
5.5	3.88853611
5.6	4.16694113
5.7	4.60062677
5.8	5.04703073
5.9	5.09157109
6	4.78542546
6.1	4.236696
6.2	3.88225319
6.3	3.89573419
6.4	3.92568709
6.5	4.08711653
6.6	4.00646438
6.7	3.41810393
6.8	3.31525007
6.9	3.37201073
7	3.61119212
7.1	3.53209576
7.2	3.72180067
7.3	4.03309031
7.4	4.30730009
7.5	4.38261217
7.6	4.28183504
7.7	3.93271867
7.8	4.04905819
7.9	4.50932698
8	5.77091841
8.1	6.96455665
8.2	8.69854903
8.3	10.65208429
8.4	12.01129751
8.5	13.47687078
8.6	15.10099808
8.7	16.83908283
8.8	17.83598747
8.9	18.85796747
9	17.83436213
9.1	17.11080942
9.2	16.91204012
9.3	16.86084357
9.4	16.86354349
9.5	16.78290284
9.6	16.20267285
9.7	15.68747221
9.8	15.66202674
9.9	16.084342
10	15.6806135
10.1	15.01925872
10.2	13.53049068
10.3	12.06444532
10.4	10.95496562
10.5	10.61999019
10.6	11.95538843
10.7	13.06225307
10.8	13.24587935
10.9	13.25798168
11	12.15141644
11.1	10.93460575
11.2	10.36990937
11.3	9.64083254
11.4	9.89978329
11.5	9.74537072
11.6	9.49104415
11.7	9.42405978
11.8	9.77872858
11.9	10.09026442
12	9.76054528
12.1	9.3226318
12.2	8.48632891
12.3	7.994318
12.4	8.09340736
12.5	7.73249955
12.6	6.96284365
12.7	6.68685669
12.8	6.66600262
12.9	6.83747449
13	6.9763695
13.1	7.18860794
13.2	8.38153329
13.3	9.34461581
13.4	10.0126622
13.5	10.51936717
13.6	10.9701319
13.7	10.59772839
13.8	9.15294534
13.9	8.31184179
14	8.45173478
14.1	8.19923802
14.2	7.73265675
14.3	8.87432692
14.4	10.11378789
14.5	9.64934155
14.6	9.25117921
14.7	9.28432615
14.8	9.86068362
14.9	11.02441229
15	12.18144016
15.1	13.25966695
15.2	13.26695253
15.3	13.07308499
15.4	12.7042845
15.5	12.04535122
15.6	11.32993617
15.7	10.71739858
15.8	10.45664313
15.9	10.47571399
16	10.91400341
16.1	11.41198255
16.2	11.85103062
16.3	11.39237729
16.4	11.17346012
16.5	11.05413216
16.6	11.45310689
16.7	11.6827382
16.8	12.09124268
16.9	11.87923224
17	11.69216331
17.1	12.11976103
17.2	12.01849384
17.3	11.38714727
17.4	10.92571759
17.5	11.92083458
17.6	12.10227579
17.7	11.71374174
17.8	11.93212233
17.9	12.80209327
18	12.78781433
18.1	12.34815063
18.2	11.66683376
18.3	11.08108673
18.4	10.51551509
18.5	10.75676608
18.6	11.58195046
18.7	12.27630434
18.8	12.34051396
