DEPT	GR
37.9	78.06728232
38	76.68205805
38.1	76.0883905
38.2	76.28250896
38.3	76.46927196
38.4	76.66212934
38.5	75.37016982
38.6	73.89184774
38.7	74.12617738
38.8	76.89245149
38.9	78.79967704
39	78.87798959
39.1	77.35484851
39.2	75.45231868
39.3	73.85106458
39.4	73.05857417
39.5	72.19259162
39.6	70.92559549
39.7	69.55835156
39.8	67.88578679
39.9	67.96764959
40	68.78812001
40.1	69.56597509
40.2	69.73672341
40.3	69.22105594
40.4	68.42513879
40.5	67.61063175
40.6	66.98114268
40.7	68.94445366
40.8	69.32231257
40.9	69.75903992
41	72.66776228
41.1	75.79461866
41.2	78.9066945
41.3	82.08999334
41.4	84.76431187
41.5	88.30693081
41.6	92.58302237
41.7	95.00848235
41.8	94.64805106
41.9	94.99048831
42	97.59939088
42.1	98.78748891
42.2	97.06549828
42.3	96.08614691
42.4	96.68888709
42.5	97.55024889
42.6	97.47814559
42.7	95.06834264
42.8	93.22531356
42.9	91.68976066
43	89.93031365
43.1	88.33074052
43.2	87.59797617
43.3	88.10398853
43.4	89.41518053
43.5	89.87102856
43.6	88.11221979
43.7	87.83115713
43.8	89.05906083
43.9	89.8288164
44	90.37053951
44.1	89.98144077
44.2	87.2775464
44.3	82.65054776
44.4	78.14166362
44.5	75.45938512
44.6	76.07537458
44.7	78.0431192
44.8	78.9363833
44.9	79.63532069
45	81.1134538
45.1	82.98906706
45.2	83.02825238
45.3	83.5198786
45.4	86.04807528
45.5	89.18398663
45.6	90.57952449
45.7	91.78264225
45.8	92.04159415
45.9	91.51214697
46	92.16919761
46.1	94.89283363
46.2	101.84938712
46.3	109.16057858
46.4	113.52300325
46.5	114.73098683
46.6	113.90352152
46.7	114.7399224
46.8	117.89847188
46.9	119.14116302
47	118.70685776
47.1	117.39345538
47.2	115.64990658
47.3	113.50548404
47.4	112.76300908
47.5	112.68810323
47.6	109.46309842
47.7	106.38443917
47.8	103.81618536
47.9	101.64118453
48	101.75133147
48.1	104.20694677
48.2	106.58606877
48.3	109.10596191
48.4	110.40549474
48.5	111.45249078
48.6	113.27756877
48.7	114.52865966
48.8	115.76097954
48.9	116.27602389
49	113.53332781
49.1	110.56230538
49.2	109.66308781
49.3	110.91969509
49.4	110.10120711
49.5	108.3762859
49.6	108.61691482
49.7	109.55462338
49.8	110.53256587
49.9	110.57063852
50	110.18429017
50.1	109.78790174
50.2	109.98248466
50.3	109.240114
50.4	107.55671976
50.5	105.60966636
50.6	104.38103225
50.7	101.74928252
50.8	100.1267413
50.9	99.73014273
51	99.57291534
51.1	99.65756492
51.2	101.37332114
51.3	103.90369662
51.4	106.78913905
51.5	109.25051648
51.6	109.75209981
51.7	109.733162
51.8	108.18167319
51.9	107.16554277
52	107.84745158
52.1	108.96370253
52.2	110.94035004
52.3	113.80351513
52.4	115.05887945
52.5	118.1906209
52.6	120.54745841
52.7	122.53919991
52.8	123.80542283
52.9	124.37145253
53	123.67512499
53.1	122.1845009
53.2	119.69918729
53.3	117.27521607
53.4	116.35057687
53.5	115.84431107
53.6	115.38832752
53.7	116.30000816
53.8	118.6557715
53.9	120.62216865
54	124.02027893
54.1	126.64063084
54.2	127.48089093
54.3	127.20973701
54.4	126.64870727
54.5	126.33542626
54.6	123.69162078
54.7	120.02824387
54.8	117.33998227
54.9	115.9985471
55	114.16344146
55.1	112.17412899
55.2	108.65612305
55.3	105.48940222
55.4	104.61884495
55.5	104.96462819
55.6	106.52636717
55.7	109.87264298
55.8	115.54280019
55.9	119.22504053
56	120.32274874
56.1	119.93250543
56.2	119.80974138
56.3	119.38021142
56.4	119.12811628
56.5	119.38537539
56.6	121.78274354
56.7	124.56641956
56.8	124.67288809
56.9	124.26545292
57	123.84658222
57.1	122.89060286
57.2	120.67725911
57.3	117.63805495
57.4	114.2434306
57.5	109.76712582
57.6	105.57497837
57.7	103.32916162
57.8	105.58668538
57.9	107.86445035
58	108.53980098
58.1	108.05645597
58.2	107.08890423
58.3	109.16692094
58.4	111.2651778
58.5	113.08117394
58.6	113.33748149
58.7	113.65500288
58.8	115.00631646
58.9	117.6263264
59	119.48027951
59.1	120.51964247
59.2	121.89257921
59.3	122.16116846
59.4	120.31428486
59.5	117.43206755
59.6	113.82919009
59.7	110.03296627
59.8	104.96218903
59.9	99.31084415
60	95.78167369
60.1	91.54199626
60.2	85.0045463
60.3	77.80795546
60.4	74.29471811
60.5	71.91897036
60.6	69.51619472
60.7	67.81154718
60.8	65.71442841
60.9	61.754965
61	58.65174554
61.1	58.53989342
61.2	59.12598062
61.3	59.67975954
61.4	61.39919985
61.5	63.60445003
61.6	64.56718611
61.7	64.59935434
61.8	65.01290581
61.9	64.82528491
62	63.91824619
62.1	63.00289872
62.2	62.38676969
62.3	63.62766904
62.4	65.63301449
62.5	68.11305917
62.6	69.86327939
62.7	70.1262007
62.8	69.08926987
62.9	68.75209727
63	68.61946047
63.1	68.94711711
63.2	70.10635547
63.3	70.54875335
63.4	69.50006928
63.5	67.49196921
63.6	65.60352172
63.7	64.15186172
63.8	62.13512983
63.9	60.6129883
64	60.93500312
64.1	61.63713276
64.2	61.6591897
64.3	61.30963752
64.4	60.54906636
64.5	59.45722195
64.6	58.24866691
64.7	55.73207692
64.8	54.44966239
64.9	54.71322758
65	55.79705986
65.1	56.89033028
65.2	56.71386213
65.3	57.09971162
65.4	58.81242083
65.5	57.9234067
65.6	56.05052885
65.7	53.90892836
65.8	51.91177729
65.9	49.46176132
66	47.57551812
66.1	47.88705151
66.2	49.75717228
66.3	50.91421345
66.4	53.11666782
66.5	55.75116195
66.6	57.45408377
66.7	58.80481117
66.8	60.84900471
66.9	63.48870661
67	64.32530504
67.1	64.41608113
67.2	63.45373691
67.3	62.07781528
67.4	61.02182873
67.5	60.4518578
67.6	60.18174294
67.7	59.06611501
67.8	56.91411509
67.9	55.49019868
68	54.34246615
68.1	54.05609906
68.2	55.16822137
68.3	55.76186419
68.4	55.6959803
68.5	56.1059209
68.6	55.84327611
68.7	55.36878696
68.8	56.16117515
68.9	58.46010794
69	59.7408443
69.1	61.26034512
69.2	62.08562989
69.3	61.47435193
69.4	61.82314403
69.5	61.05646166
69.6	59.90583604
69.7	59.12995996
69.8	58.66841908
69.9	58.5005702
70	59.32532582
70.1	60.28231431
70.2	61.5018178
70.3	60.0791883
70.4	57.06790832
70.5	55.89235518
70.6	57.13464419
70.7	58.83878335
70.8	59.43179112
70.9	61.91313359
71	64.14972993
71.1	67.06549869
71.2	69.30602834
71.3	70.42255661
71.4	69.31206005
71.5	68.76140611
71.6	66.95712014
71.7	64.78190143
71.8	64.00623785
71.9	62.79770667
72	61.8600367
72.1	61.06852944
72.2	59.87187557
72.3	59.20672572
72.4	61.71415104
72.5	64.69983882
72.6	68.93855066
72.7	73.67743108
72.8	75.84654522
72.9	77.49126915
73	77.47489288
73.1	76.5301134
73.2	75.73478463
73.3	76.15328153
73.4	77.68246447
73.5	80.5662296
73.6	84.51577176
73.7	88.15296851
73.8	91.54529431
73.9	93.33352305
74	94.15853244
74.1	93.98092188
74.2	94.02945682
74.3	94.39057146
74.4	93.4618094
74.5	92.94523413
74.6	93.22172577
74.7	92.74717965
74.8	93.13268809
74.9	93.52472041
75	93.57741911
75.1	93.69919307
75.2	93.66187822
