DEPT	GR
25.8	84.98668442
25.9	85.83888149
26	87.98268975
26.1	88.38215712
26.2	87.55881047
26.3	86.9840213
26.4	86.9840213
26.5	87.49762222
26.6	89.38082557
26.7	89.46071904
26.8	86.18508655
26.9	84.86321269
27	83.5885486
27.1	81.12326422
27.2	78.85058018
27.3	77.59653795
27.4	77.99600533
27.5	76.39813582
27.6	74.71466616
27.7	74.00133156
27.8	74.60053262
27.9	74.01378008
28	72.17214257
28.1	70.35619174
28.2	68.31890812
28.3	65.00083222
28.4	61.25582557
28.5	57.8229028
28.6	54.65213049
28.7	52.97936085
28.8	51.83089214
28.9	52.04489252
29	52.52996005
29.1	52.16378162
29.2	51.71438083
29.3	51.63115846
29.4	52.03062583
29.5	52.33022636
29.6	51.43142477
29.7	47.62935134
29.8	44.1197451
29.9	41.44474035
30	40.64580559
30.1	40.98535286
30.2	41.04527297
30.3	39.53173546
30.4	38.69340879
30.5	39.24766977
30.6	40.42609854
30.7	41.36484687
30.8	41.72936085
30.9	42.02396804
31	42.79294274
31.1	44.76031957
31.2	46.03861518
31.3	45.8617082
31.4	45.94445501
31.5	45.43941411
31.6	46.60785619
31.7	47.9081225
31.8	48.35952064
31.9	49.0665779
32	49.9334221
32.1	49.77363515
32.2	50.89214381
32.3	51.83089214
32.4	51.63115846
32.5	52.54758361
32.6	53.44873502
32.7	54.60053262
32.8	59.26405818
32.9	65.06555362
33	71.40479361
33.1	72.10386152
33.2	71.57956059
33.3	71.44474035
33.4	71.72658677
33.5	71.00532623
33.6	71.20505992
33.7	73.40213049
33.8	73.2023968
33.9	70.46160675
34	67.04265027
34.1	65.61251664
34.2	65.61251664
34.3	65.00190223
34.4	64.24434088
34.5	63.41544607
34.6	60.84601484
34.7	57.563249
34.8	54.75099867
34.9	53.41174174
35	52.46663596
35.1	51.84515884
35.2	50.8322237
35.3	50.63249001
35.4	50.63249001
35.5	51.08189081
35.6	51.92307692
35.7	52.84492472
35.8	53.50865513
35.9	53.04063755
36	51.62977887
36.1	51.03195739
36.2	51.59920107
36.3	52.8828229
36.4	54.72924989
36.5	56.82423435
36.6	58.91921882
36.7	60.43941411
36.8	59.82023968
36.9	60.21970706
37	59.94507324
37.1	60.64770782
37.2	62.2192632
37.3	63.13581891
37.4	64.21438083
37.5	66.06645685
37.6	67.71257371
37.7	68.40878828
37.8	68.09587217
37.9	69.12782956
38	70.40612517
38.1	69.5822237
38.2	68.20905459
38.3	68.20905459
38.4	68.75832224
38.5	68.60852197
