DEPT	GR
4.5	4.23306773
4.75	4.23306773
5	4.23306773
5.25	4.56507304
5.5	4.94134573
5.75	5.35081895
6	5.76029216
6.25	6.05909695
6.5	6.55710491
6.75	7.05511288
7	7.71912351
7.25	8.71513944
7.5	9.62060848
7.75	11.4074007
8	13.19419293
8.25	15.35524568
8.5	16.18525896
8.75	18.01128818
9	18.6752988
9.25	18.84130146
9.5	19.67131474
9.75	20.00332005
10	20.09372544
10.25	20.22752542
10.5	20.3613254
10.75	20.50132802
11	20.83333333
11.25	20.83333333
11.5	21.49734396
11.75	21.82934927
12	22.20562196
12.25	23.04116866
12.5	23.9873838
12.75	24.07246016
13	24.98339973
13.25	26.08980744
13.5	27.63944223
13.75	32.45351926
14	34.44555113
14.25	35.16558765
14.5	35.60756972
14.75	36.10557769
15	36.76958831
15.25	36.93559097
15.5	37.10159363
15.75	36.93559097
16	36.27158035
16.25	35.93957503
16.5	36.34351483
16.75	36.76958831
17	36.76958831
17.25	36.93559097
17.5	37.26759628
17.75	37.43359894
18	36.51726428
18.25	34.9435591
18.5	33.11752988
18.75	32.2875166
19	31.95551129
19.25	31.95551129
19.5	32.78552457
19.75	33.44953519
20	33.04836211
20.25	32.95152722
20.5	32.12151394
20.75	31.12549801
21	30.29548473
21.25	30.12948207
21.5	30.62749004
21.75	31.29150066
22	31.62350598
22.25	29.50282205
22.5	27.47343958
22.75	26.47742364
23	24.98339973
23.25	24.65139442
23.5	24.98339973
23.75	25.64741036
24	25.12450199
24.25	25.02005865
24.5	24.65139442
24.75	24.81739708
25	25.64741036
25.25	27.14143426
25.5	28.63545817
25.75	28.1374502
26	29.14453298
26.25	29.46547145
26.5	31.29150066
26.75	32.45351926
27	36.70318725
27.25	38.59561753
27.5	38.92762284
27.75	38.09760956
28	35.35856574
28.25	32.74194887
28.5	30.62749004
28.75	25.81341301
29	25.81341301
29.25	25.64741036
29.5	25.14940239
29.75	24.81739708
30	24.48539177
30.25	23.48937583
30.5	22.49335989
30.75	22.32735724
31	24.48539177
31.25	26.47742364
31.5	27.14143426
31.75	27.97144754
32	29.13346614
32.25	30.12948207
32.5	30.46148738
32.75	30.29548473
33	30.37848606
33.25	30.60970404
33.5	31.05435401
33.75	31.62350598
34	32.20451527
34.25	32.61952191
34.5	32.61952191
34.75	31.22924967
35	30.95949535
35.25	32.78552457
35.5	33.61553785
35.75	33.61553785
36	33.36653386
36.25	32.61952191
36.5	31.62350598
36.75	30.95949535
37	31.04249668
37.25	32.2875166
37.5	35.52456839
37.75	39.59163347
38	40.17264276
38.25	39.92363878
38.5	39.59163347
38.75	40.25564409
39	40.50464807
39.25	40.08964143
39.5	39.25962815
39.75	38.59561753
40	37.59960159
40.25	35.60756972
40.5	34.11354582
40.75	33.94754316
41	34.11354582
41.25	33.7815405
41.5	30.95949535
41.75	30.62749004
42	31.12549801
42.25	31.62350598
42.5	32.45351926
42.75	32.95152722
43	33.94754316
43.25	34.44555113
43.5	34.44555113
43.75	34.77755644
44	34.77755644
44.25	34.11354582
44.5	34.27954847
44.75	36.27158035
45	38.09760956
45.25	38.09760956
45.5	38.09760956
45.75	39.0936255
46	42.74568393
46.25	45.8997344
46.5	46.39774236
46.75	46.56374502
47	46.56374502
47.25	46.39774236
47.5	45.73373174
47.75	43.07768924
48	42.24767596
48.25	41.08565737
48.5	38.26361222
48.75	37.76560425
49	37.93160691
49.25	37.43359894
49.5	37.26759628
49.75	35.77357238
50	34.44555113
50.25	33.44953519
50.5	34.77755644
50.75	34.77755644
51	36.68658699
51.25	36.93559097
51.5	39.0936255
51.75	39.42563081
52	39.42563081
52.25	39.59163347
52.5	39.25962815
52.75	38.59561753
53	38.76162019
53.25	38.92762284
53.5	38.42961487
53.75	38.09760956
54	37.59960159
54.25	37.17629482
54.5	36.93559097
54.75	36.76958831
55	32.20451527
55.25	29.29946879
55.5	28.80146082
55.75	28.96746348
56	29.05046481
56.25	28.46945551
56.5	27.47343958
56.75	25.4814077
57	25.14940239
57.25	25.4814077
57.5	26.80942895
57.75	26.64342629
58	26.72642762
58.25	27.30743692
58.5	28.96746348
58.75	29.46547145
59	29.96347942
59.25	30.12948207
59.5	30.12948207
59.75	29.96347942
60	30.12948207
60.25	30.29548473
60.5	30.95949535
60.75	32.61952191
61	33.44953519
61.25	34.44555113
61.5	36.10557769
61.75	38.59561753
62	48.55577689
62.25	49.21978752
62.5	49.38579017
62.75	51.37782205
63	51.87583001
63.25	51.87583001
63.5	51.70982736
63.75	51.87583001
64	52.20783533
64.25	53.20385126
64.5	53.86786189
64.75	54.69787517
65	52.70584329
65.25	51.70982736
65.5	49.05378486
65.75	47.22775564
66	46.06573705
66.25	46.89575033
66.5	47.72576361
66.75	49.88379814
67	49.71779548
67.25	51.87583001
67.5	53.70185923
67.75	54.36586985
68	56.52390438
68.25	56.19189907
68.5	52.37383798
68.75	52.04183267
69	52.20783533
69.25	52.70584329
69.5	52.70584329
69.75	51.21181939
70	51.29482072
70.25	51.5438247
70.5	50.54780876
70.75	49.38579017
71	48.8877822
71.25	47.89176627
71.5	38.59561753
71.75	37.59960159
72	32.2875166
72.25	31.62350598
72.5	32.12151394
72.75	37.26759628
73	38.09760956
73.25	39.42563081
73.5	41.08565737
73.75	44.40571049
74	47.22775564
74.25	47.3937583
74.5	47.3937583
74.75	47.72576361
75	50.21580345
75.25	49.21978752
75.5	48.38977424
75.75	48.38977424
76	51.70982736
76.25	52.04183267
76.5	48.22377158
76.75	47.3937583
77	47.3937583
77.25	47.89176627
77.5	47.89176627
77.75	46.72974768
78	46.47521027
78.25	46.06573705
78.5	45.73373174
78.75	46.06573705
79	46.72974768
79.25	47.3937583
79.5	46.06573705
79.75	44.33270932
80	42.22388248
80.25	40.25564409
80.5	39.25962815
80.75	38.59561753
81	38.34661355
81.25	39.42563081
81.5	41.58366534
81.75	43.74169987
82	45.13612218
82.25	46.06573705
82.5	46.72974768
82.75	47.3937583
83	48.72177955
83.25	49.71779548
83.5	50.38180611
83.75	50.87981408
84	50.63081009
84.25	50.0498008
84.5	50.0498008
84.75	50.38180611
85	50.46480744
85.25	49.55179283
85.5	49.05378486
85.75	49.05378486
86	49.26128818
86.25	49.55179283
86.5	49.05378486
86.75	48.8877822
87	49.63479416
87.25	50.54780876
87.5	49.05378486
87.75	44.7377158
88	44.23970784
88.25	45.56772908
88.5	45.40172643
88.75	44.7377158
89	43.65869854
89.25	42.24767596
89.5	42.74568393
89.75	43.90770252
90	43.2436919
90.25	42.57968127
90.5	43.57569721
90.75	46.89575033
91	51.21181939
91.25	52.37383798
91.5	56.52390438
91.75	58.01792829
92	60.98937583
92.25	65.48804781
92.5	67.64608234
92.75	69.41193559
93	74.12018592
93.25	75.28220452
93.5	77.27423639
93.75	77.77224436
94	77.6062417
94.25	76.66417663
94.5	74.45219124
94.75	70.46812749
95	66.31806109
95.25	64.82403718
95.5	64.32602922
95.75	61.17197875
96	58.51593625
96.25	57.02191235
96.5	54.86387782
96.75	53.20385126
97	50.54780876
97.25	52.70584329
97.5	53.86786189
97.75	52.53984064
98	50.43714033
98.25	48.38977424
98.5	46.72974768
98.75	46.56374502
99	46.89575033
99.25	47.06175299
99.5	46.56374502
99.75	45.40172643
100	43.64234666
100.25	40.5876494
100.5	40.5876494
100.75	41.41766268
101	41.33466135
101.25	40.42164675
101.5	40.25564409
101.75	39.92363878
102	39.0936255
102.25	37.76560425
102.5	35.93957503
102.75	33.11752988
103	32.03851262
103.25	32.12151394
103.5	32.2875166
103.75	32.78552457
104	32.78552457
104.25	32.61952191
104.5	32.78552457
104.75	33.24203187
105	33.69853918
105.25	34.27954847
105.5	36.437583
105.75	38.42961487
106	39.84063745
106.25	42.08167331
106.5	43.40969456
106.75	45.06972112
107	46.31474104
107.25	46.39774236
107.5	46.06573705
107.75	46.39774236
108	46.31474104
108.25	45.40172643
108.5	44.40571049
108.75	44.07370518
109	44.98671979
109.25	44.23970784
109.5	43.90770252
109.75	44.07370518
110	44.7377158
110.25	45.40172643
110.5	46.89575033
110.75	48.55577689
111	48.55577689
111.25	48.55577689
111.5	48.72177955
111.75	49.38579017
112	49.71779548
112.25	49.88379814
112.5	49.88379814
112.75	50.21580345
113	50.71381142
113.25	51.21181939
113.5	51.37782205
113.75	52.04183267
114	54.86387782
114.25	56.19189907
114.5	56.19189907
114.75	55.36188579
115	54.36586985
115.25	53.86786189
115.5	53.20385126
115.75	52.87184595
116	52.87184595
116.25	51.87583001
116.5	51.37782205
116.75	50.21580345
117	48.38977424
117.25	47.3937583
117.5	49.88379814
117.75	51.5438247
118	50.0498008
118.25	49.55179283
118.5	49.55179283
118.75	47.26406873
119	42.08167331
119.25	40.25564409
119.5	39.92363878
119.75	40.08964143
120	39.92363878
120.25	39.42563081
120.5	38.26361222
120.75	38.09760956
121	38.01460823
121.25	36.10557769
121.5	35.77357238
121.75	36.27158035
122	35.93957503
122.25	35.60756972
122.5	34.9435591
122.75	34.27954847
123	33.69853918
123.25	33.28353254
123.5	33.61553785
123.75	33.7815405
124	34.61155378
124.25	34.61155378
124.5	34.11354582
124.75	34.17579681
125	34.77755644
125.25	35.60756972
125.5	39.0936255
125.75	41.08565737
126	41.41766268
126.25	41.58366534
126.5	41.25166003
126.75	40.91965471
127	40.91965471
127.25	41.08565737
127.5	43.40969456
127.75	45.55389553
128	48.63877822
128.25	51.04581673
128.5	51.70982736
128.75	51.5438247
129	50.71381142
129.25	49.05378486
129.5	48.38977424
129.75	48.22377158
130	47.89176627
130.25	47.72576361
130.5	46.89575033
130.75	44.57171315
131	44.57171315
131.25	44.7377158
131.5	44.57171315
131.75	43.74169987
132	42.41367862
132.25	42.88574867
132.5	43.66907371
132.75	44.3247842
133	44.57171315
133.25	43.40969456
133.5	42.61564852
133.75	43.2436919
134	39.25962815
134.25	38.76162019
134.5	38.92762284
134.75	39.0936255
135	39.0936255
135.25	38.42961487
135.5	37.43359894
135.75	37.26759628
136	38.09760956
136.25	40.25564409
136.5	41.08565737
136.75	41.08565737
137	41.25166003
137.25	44.23970784
137.5	44.40571049
137.75	44.23970784
138	43.90770252
138.25	43.90770252
138.5	46.23173971
138.75	47.3937583
139	48.55577689
139.25	49.05378486
139.5	48.8877822
139.75	48.38977424
140	47.06175299
140.25	47.55976096
140.5	47.72576361
140.75	47.72576361
141	51.04581673
141.25	52.20783533
141.5	54.03386454
141.75	55.19588313
142	58.51593625
142.25	59.17994688
142.5	59.34594954
142.75	59.17994688
143	59.8439575
143.25	61.83598938
143.5	62.16799469
143.75	64.16002656
144	67.64608234
144.25	69.63811421
144.5	70.63413015
144.75	71.29814077
145	71.13213811
145.25	71.46414343
145.5	71.63014608
145.75	71.29814077
146	66.75796813
146.25	61.66998672
146.5	60.83997344
146.75	60.67397078
147	60.50796813
147.25	60.50796813
147.5	60.34196547
147.75	60.83997344
148	62.00199203
148.25	63.9940239
148.5	62.99800797
148.75	62.83200531
149	65.1560425
149.25	66.48406375
149.5	66.48406375
149.75	66.15205843
