DEPT	GR
29.3	76.88992042
29.4	77.5862069
29.5	80.37135279
29.6	83.75331565
29.7	88.82625995
29.8	86.83687003
29.9	81.16710875
30	77.77836151
30.1	74.72148541
30.2	72.29016673
30.3	69.85884805
30.4	69.13129973
30.5	70.72281167
30.6	77.08885942
30.7	79.87400531
30.8	78.48143236
30.9	79.47612732
31	79.47612732
31.1	76.61140584
31.2	76.09416446
31.3	80.86870027
31.4	83.05702918
31.5	84.9668435
31.6	86.83687003
31.7	89.62201592
31.8	89.42307692
31.9	71.71750663
32	90.81564987
32.1	80.0729443
32.2	76.19363395
32.3	73.80636605
32.4	70.12599469
32.5	69.9270557
32.6	71.31962865
32.7	76.49204244
32.8	82.26127321
32.9	89.9204244
33	93.79973475
33.1	97.3806366
33.2	98.37533156
33.3	98.97214854
33.4	98.77320955
33.5	97.56962865
33.6	96.48541114
33.7	97.77851459
33.8	100.066313
33.9	101.25994695
34	102.77703066
34.1	104.74137931
34.2	109.9137931
34.3	119.46286472
34.4	123.24270557
34.5	124.03846154
34.6	123.20860174
34.7	121.85013263
34.8	121.28912467
34.9	120.45755968
35	120.15915119
35.1	119.86074271
35.2	119.26392573
35.3	115.68302387
35.4	113.09681698
35.5	118.46816976
35.6	121.74523752
35.7	124.83421751
35.8	125.23209549
35.9	122.24801061
36	119.31366048
36.1	118.07029178
36.2	119.05503979
36.3	119.26392573
36.4	119.46286472
36.5	121.45225464
36.6	124.03846154
36.7	122.64588859
36.8	123.24270557
36.9	128.21618037
37	131.95623342
37.1	135.93501326
37.2	136.58940552
37.3	134.18669059
37.4	132.18442815
37.5	131.00132626
37.6	131.79708223
37.7	135.37798408
37.8	140.74933687
37.9	142.34084881
38	141.98129275
38.1	142.14190981
38.2	141.94297082
38.3	138.56100796
38.4	134.25596817
38.5	130.0066313
38.6	128.21618037
38.7	130.68302387
38.8	131.20026525
38.9	130.40450928
39	127.4204244
39.1	122.25029539
39.2	117.87135279
39.3	115.38461538
39.4	118.07029178
39.5	121.65119363
39.6	125.33156499
39.7	126.52519894
39.8	128.91246684
39.9	133.28912467
40	134.77949535
40.1	135.17904509
40.2	137.76525199
40.3	140.94827586
40.4	140.78415119
40.5	139.90384615
40.6	139.02354111
40.7	139.05437666
40.8	139.75464191
40.9	138.68037135
41	137.24801061
41.1	136.86339523
41.2	136.6025641
41.3	135.57692308
41.4	137.16843501
41.5	140.55039788
41.6	139.00862069
41.7	134.58222812
41.8	130.81034483
41.9	128.61405836
42	131.51622718
42.1	134.58222812
42.2	138.54111406
42.3	139.65517241
42.4	137.5331565
42.5	133.78647215
42.6	129.9071618
42.7	126.42572944
42.8	126.02785146
42.9	130.40450928
43	132.94098143
43.1	135.0795756
43.2	135.70125995
43.3	137.22811671
43.4	140.96248579
43.5	142.73872679
43.6	137.96419098
43.7	136.21636984
43.8	136.37267905
43.9	136.16657293
44	135.94172989
44.1	135.77586207
44.2	137.27453581
44.3	139.9535809
44.4	139.57559682
44.5	139.15782493
44.6	142.58500121
44.7	146.31962865
44.8	151.01956233
44.9	152.4867374
45	151.12213508
45.1	149.9005305
45.2	147.18501326
45.3	144.72811671
45.4	141.67298219
45.5	139.15782493
45.6	138.75994695
45.7	141.51667298
45.8	144.72811671
45.9	148.50795756
46	145.9286363
46.1	141.74403183
46.2	141.60477454
46.3	141.74403183
46.4	141.54509284
46.5	141.64456233
46.6	142.93766578
46.7	144.62864721
46.8	146.31962865
46.9	145.52387268
47	145.72281167
47.1	149.92326639
47.2	153.04774536
47.3	154.07824934
47.4	151.81952663
47.5	148.56916956
47.6	145.12599469
47.7	143.13660477
47.8	143.73342175
47.9	139.35676393
48	131.129674
48.1	122.5464191
48.2	112.79840849
48.3	100.16578249
48.4	87.5331565
48.5	74.50265252
48.6	68.73342175
48.7	64.35676393
48.8	64.9535809
48.9	70.42440318
49	83.23938992
49.1	97.5795756
49.2	116.27984085
49.3	127.32095491
49.4	139.15782493
49.5	139.05835544
49.6	137.16843501
49.7	134.19856006
49.8	131.89655172
49.9	130.40450928
50	130.0066313
50.1	134.02519894
50.2	138.16312997
50.3	141.74403183
50.4	144.73474801
50.5	146.71750663
50.6	147.11538462
50.7	144.70822281
50.8	140.55039788
50.9	136.57161804
51	133.85557727
51.1	132.4933687
51.2	131.22236958
51.3	129.9071618
51.4	129.31034483
51.5	128.71352785
51.6	126.02785146
51.7	122.84482759
51.8	123.07089462
51.9	123.61345551
52	124.18766578
52.1	124.73474801
52.2	126.12732095
52.3	126.62466844
52.4	126.92307692
52.5	128.21618037
52.6	130.20557029
52.7	133.98541114
52.8	138.36206897
52.9	144.9270557
53	149.9005305
53.1	152.88461538
53.2	149.00530504
53.3	146.08090186
53.4	145.12599469
53.5	144.52917772
53.6	144.72811671
53.7	145.42440318
53.8	146.25331565
53.9	147.01591512
54	146.91644562
54.1	145.82228117
54.2	145.32493369
54.3	145.22546419
54.4	143.53448276
54.5	140.84880637
54.6	140.74933687
54.7	142.04244032
54.8	144.66843501
54.9	145.52387268
55	145.0265252
55.1	143.73342175
55.2	143.23607427
55.3	145.82228117
55.4	148.50795756
55.5	148.01061008
55.6	144.52917772
55.7	139.75464191
55.8	138.16312997
55.9	142.34084881
56	141.86480424
56.1	142.14190981
56.2	144.9270557
56.3	146.31962865
56.4	144.06593407
56.5	143.13660477
56.6	142.93766578
56.7	142.73872679
56.8	142.14190981
56.9	140.55039788
57	139.35676393
57.1	137.4668435
57.2	137.566313
57.3	139.15782493
57.4	138.85941645
57.5	139.45623342
57.6	142.63925729
57.7	145.22546419
57.8	146.61803714
57.9	148.33520684
58	149.80006631
58.1	148.56763926
58.2	147.31432361
58.3	147.11538462
58.4	144.9270557
58.5	140.15251989
58.6	139.75464191
58.7	140.94827586
58.8	143.73342175
58.9	146.91644562
59	148.50795756
59.1	149.10477454
59.2	147.50331565
59.3	145.32493369
59.4	142.5397878
59.5	142.01757294
59.6	141.74403183
59.7	139.9535809
59.8	139.82427056
59.9	140.15251989
60	138.56100796
60.1	137.96419098
60.2	140.25198939
60.3	141.24668435
60.4	139.35676393
60.5	136.96949602
60.6	133.38859416
60.7	126.92307692
60.8	119.06498674
60.9	110.51061008
61	103.31881556
61.1	99.76790451
61.2	95.78912467
61.3	93.20291777
61.4	89.90905646
61.5	85.64323607
61.6	82.4602122
61.7	77.28779841
61.8	73.70689655
61.9	70.72281167
62	71.71750663
62.1	73.27365164
62.2	75.10941645
62.3	78.02785146
62.4	79.34681698
62.5	77.4867374
62.6	76.46646457
62.7	76.29310345
62.8	75.76392573
62.9	75.21618037
63	74.9005305
63.1	75.26998863
63.2	75.89522546
63.3	77.68567639
63.4	79.47612732
63.5	81.86339523
63.6	85.24535809
63.7	88.79784009
63.8	91.90981432
63.9	92.20822281
64	90.92313631
64.1	88.31638228
64.2	85.84217507
64.3	83.25596817
64.4	82.65915119
64.5	82.06233422
64.6	81.06763926
64.7	79.87400531
64.8	77.88461538
64.9	74.70159151
65	69.55217067
65.1	67.96750663
65.2	68.08687003
65.3	68.13660477
65.4	68.33554377
65.5	68.53448276
65.6	68.93236074
65.7	69.93810787
65.8	71.51856764
65.9	73.70689655
66	73.90583554
66.1	73.90583554
66.2	70.12599469
66.3	66.94297082
66.4	65.58355438
66.5	64.15782493
66.6	63.16312997
66.7	64.9535809
66.8	67.14190981
66.9	67.4469496
67	67.5397878
67.1	66.54509284
67.2	67.14190981
67.3	68.53448276
67.4	71.48872679
67.5	74.75843122
67.6	77.4867374
67.7	79.07824934
67.8	78.48143236
67.9	75.89522546
68	74.10477454
68.1	73.90583554
68.2	72.5132626
68.3	73.50795756
68.4	72.05570292
68.5	68.13660477
68.6	69.33023873
68.7	72.5132626
68.8	75.41114058
68.9	77.68567639
69	77.5862069
69.1	75.82891247
69.2	73.22060124
69.3	72.5132626
69.4	72.91114058
69.5	74.81527094
69.6	75.49734748
69.7	74.83421751
69.8	72.80835544
69.9	70.12599469
70	70.45696788
70.1	72.17705664
70.2	73.8971454
70.3	75.29840849
70.4	75.29840849
70.5	76.39257294
70.6	79.77453581
