DEPT	GR
300	89.34262948
300.1	88.34661355
300.2	87.13545817
300.3	86.45935426
300.4	85.62343331
300.5	85.26102044
300.6	86.59465304
300.7	89.60023041
300.8	90.65858092
300.9	90.73096363
301	90.18039184
301.1	88.37568659
301.2	88.34931771
301.3	88.55132409
301.4	89.39757307
301.5	90.80857911
301.6	91.83994441
301.7	89.89837553
301.8	87.53157776
301.9	85.51888125
302	84.08853949
302.1	83.23828557
302.2	84.05785217
302.3	86.57335317
302.4	89.51375177
302.5	90.75868072
302.6	91.72287105
302.7	90.24998047
302.8	88.46031567
302.9	86.08485341
303	82.46342077
303.1	78.78664849
303.2	76.37506428
303.3	75.40173674
303.4	76.21052113
303.5	80.23223874
303.6	84.42365881
303.7	86.76404754
303.8	87.46238629
303.9	86.9909341
304	86.22433811
304.1	84.66061188
304.2	83.57037239
304.3	82.94371636
304.4	81.80256304
304.5	80.60976529
304.6	80.70326279
304.7	81.56359925
304.8	83.03004763
304.9	84.25033637
305	85.44284306
305.1	87.74168875
305.2	89.51082041
305.3	88.42078377
305.4	88.17437845
305.5	87.85272669
305.6	87.01696528
305.7	85.79617371
305.8	84.54032442
305.9	84.28789863
306	83.62578479
306.1	83.64706395
306.2	85.22138334
306.3	88.18596741
306.4	91.08516327
306.5	96.02541826
306.6	101.75523763
306.7	106.2551138
306.8	108.93926301
306.9	108.80904491
307	105.35894025
307.1	101.43520667
307.2	98.15251855
307.3	95.42376866
307.4	92.16602031
307.5	88.61091762
307.6	86.86322771
307.7	87.45527222
307.8	87.77108908
307.9	86.29640308
308	82.52846087
308.1	76.70122369
308.2	71.24089197
308.3	67.38002807
308.4	65.83402002
308.5	67.01463693
308.6	70.24403903
308.7	74.3007834
308.8	78.05251006
308.9	80.98394493
309	81.86705155
309.1	81.34827801
309.2	80.75010661
309.3	79.97961778
309.4	79.48978241
309.5	80.40887353
309.6	82.92794042
309.7	85.41883422
309.8	87.05850529
309.9	87.99540314
310	90.06225461
310.1	92.11098732
310.2	93.66937154
310.3	93.90051133
310.4	93.7446703
310.5	93.93343541
310.6	93.71749923
310.7	93.32407853
310.8	91.58383466
310.9	86.1219235
311	82.88000147
311.1	81.49972644
311.2	82.45966152
311.3	84.68411905
311.4	87.64427205
311.5	90.09897899
311.6	90.93289711
311.7	90.10625528
311.8	86.6123773
311.9	81.47770465
312	75.64782667
312.1	69.86523363
312.2	65.21348288
312.3	61.53093185
312.4	59.67170153
312.5	61.6572913
312.6	65.68741788
312.7	69.47795567
312.8	72.52594178
312.9	74.8212581
313	75.90464539
313.1	77.25430403
313.2	78.36135564
313.3	78.54711641
313.4	79.32507745
313.5	80.7218602
313.6	83.03279602
313.7	86.23376792
313.8	89.62996767
313.9	91.98513888
314	94.51964157
314.1	96.66580442
314.2	97.65634601
314.3	98.80526338
314.4	100.56796097
314.5	101.66696237
314.6	100.51247554
314.7	99.10073409
314.8	100.14131044
314.9	100.52367752
315	99.07702638
315.1	96.41585237
315.2	94.62667495
315.3	95.46996379
315.4	97.42408341
315.5	98.92179825
315.6	99.81412082
315.7	100.72103765
315.8	101.06340272
315.9	100.7094354
316	100.4630263
316.1	101.4404051
316.2	102.12750942
316.3	100.02922366
316.4	97.93045117
316.5	98.94010454
316.6	100.12110344
316.7	101.43040707
316.8	102.80032661
316.9	103.66827642
317	103.40013263
317.1	102.88939987
317.2	103.07494781
317.3	104.70351383
317.4	108.52861185
317.5	114.52190545
317.6	120.03714774
317.7	124.45365089
317.8	127.53825894
317.9	128.92404435
318	129.7058144
318.1	129.94261328
318.2	129.21227687
318.3	127.75059519
318.4	126.07363514
318.5	124.04664901
318.6	122.99912313
318.7	122.44930158
318.8	123.16531283
318.9	124.91090038
319	125.62174782
319.1	125.45262156
319.2	124.25404708
319.3	122.44750235
319.4	120.51482208
319.5	119.98799928
319.6	118.91760186
319.7	118.24485847
319.8	119.02194197
319.9	117.40474498
320	115.60210644
320.1	113.87148997
320.2	112.8855402
320.3	113.06898653
320.4	113.23036501
320.5	113.43340767
320.6	113.72422098
320.7	114.27046337
320.8	112.62156673
320.9	110.87204528
321	109.76468725
321.1	109.50434689
321.2	110.33294298
321.3	111.02355928
321.4	110.71901286
321.5	110.52802616
321.6	112.6815223
321.7	115.62037594
321.8	117.26566287
321.9	118.77682069
322	119.42169793
322.1	118.43259592
322.2	117.402115
322.3	117.04428746
322.4	116.36445985
322.5	115.27149355
322.6	114.89600148
322.7	114.02304901
322.8	113.07560823
322.9	112.39985785
323	111.22980707
323.1	110.47702525
323.2	109.17179559
323.3	108.33630049
323.4	110.07041094
323.5	112.22201787
323.6	113.55323335
323.7	113.96305415
323.8	113.24555342
323.9	111.72273717
324	110.78308171
324.1	109.71310973
324.2	109.33798807
324.3	109.51276469
324.4	109.25645765
324.5	106.54879384
324.6	106.04909267
324.7	106.59199275
324.8	106.80415681
324.9	107.7516317
325	109.87797525
325.1	112.20804559
325.2	113.82793188
325.3	114.74603293
325.4	114.03529773
325.5	113.44635614
325.6	113.68762982
325.7	114.87692203
325.8	117.39750809
325.9	120.14199305
326	121.43200859
326.1	121.13210673
326.2	119.6883483
326.3	116.7823807
326.4	114.9948861
326.5	114.26353882
326.6	113.85709378
326.7	113.78490086
326.8	114.56552267
326.9	113.7557218
327	112.61788025
327.1	111.82927899
327.2	111.99700671
327.3	112.84442307
327.4	112.12289014
327.5	110.05283636
327.6	107.9814143
327.7	108.21625144
327.8	109.72335608
327.9	111.12855089
328	112.29844382
328.1	113.22292908
328.2	112.9561399
328.3	113.08569333
328.4	113.98128827
328.5	115.20055201
328.6	116.33879719
328.7	117.30583704
328.8	118.38704401
328.9	120.03288267
329	121.63745007
329.1	122.20950215
329.2	122.20506124
329.3	122.75055332
329.4	124.07101095
329.5	125.95935537
329.6	127.29392543
329.7	126.90181948
329.8	125.58816913
329.9	124.61265519
330	125.22176026
330.1	126.14787004
330.2	125.02220058
330.3	123.23899643
330.4	122.69816025
330.5	124.50113513
330.6	125.95110084
330.7	126.93053943
330.8	127.03258814
330.9	125.60219704
331	122.18815776
331.1	119.1285755
331.2	117.0264309
331.3	116.43710188
331.4	116.84926747
331.5	117.0459494
331.6	118.6784634
331.7	120.74341033
331.8	122.49387882
331.9	122.56333138
332	121.87027979
332.1	121.4353833
332.2	120.88914023
332.3	120.26927944
332.4	119.96540179
332.5	117.97548048
332.6	116.5996076
332.7	116.15926429
332.8	115.4338171
332.9	114.33441683
333	113.89935127
333.1	114.30545222
333.2	115.67758072
333.3	116.74247718
333.4	116.61864584
333.5	117.37405982
333.6	118.64444548
333.7	119.68212894
333.8	120.10487486
333.9	121.25831144
334	124.71133784
334.1	128.29731125
334.2	131.15055235
334.3	130.21686557
334.4	129.04779825
334.5	128.92398264
334.6	128.76531289
334.7	126.01812379
334.8	125.04518639
334.9	125.76031892
335	126.01860733
335.1	125.70060375
335.2	125.65058325
335.3	127.08176706
335.4	128.45247536
335.5	128.73115557
335.6	127.70458458
335.7	125.19872124
335.8	122.69727012
335.9	120.74184426
336	120.83735404
336.1	121.45140926
336.2	123.16858219
336.3	123.73015341
336.4	122.57848215
336.5	120.78679124
336.6	120.64191086
336.7	121.0616185
336.8	122.28114957
336.9	123.48102127
337	125.08773718
337.1	127.24990489
337.2	128.89906369
337.3	129.33016817
337.4	127.77682281
337.5	123.75684503
337.6	119.93530515
337.7	117.53707127
337.8	116.71182716
337.9	116.50368006
338	116.79753258
338.1	117.30356757
338.2	117.62582643
338.3	117.72632664
338.4	117.04226757
338.5	115.31764804
338.6	114.0279755
338.7	114.17928344
338.8	116.41854724
338.9	118.79130858
339	120.82868644
339.1	122.91398188
339.2	124.77912511
339.3	125.09201603
339.4	122.89523769
339.5	119.16665092
339.6	115.10979691
339.7	111.7432018
339.8	110.25190314
339.9	109.63940793
340	110.46469466
340.1	111.36543575
340.2	111.86002527
340.3	114.76369248
340.4	118.41212926
340.5	120.64843076
340.6	122.03391954
340.7	122.9170051
340.8	124.57861061
340.9	126.02289333
341	127.02983297
341.1	125.95276067
341.2	124.01196264
341.3	122.23724237
341.4	120.66097149
341.5	120.46255001
341.6	120.98288787
341.7	120.8714351
341.8	121.83358366
341.9	123.17118502
342	125.41478726
342.1	127.28890158
342.2	127.59286226
342.3	127.37953366
342.4	126.44738594
342.5	125.14290253
342.6	124.92810675
342.7	124.32576397
342.8	123.02658873
342.9	121.53134078
343	120.30539061
343.1	118.46678131
343.2	116.9613152
343.3	116.73766008
343.4	117.24112814
343.5	117.36098296
343.6	118.77579961
343.7	119.90715194
343.8	120.93818205
343.9	122.3102151
344	123.27411567
344.1	123.83672646
344.2	122.99556391
344.3	121.96529817
344.4	121.59632285
344.5	120.93878999
344.6	120.66174792
344.7	120.83341867
344.8	120.81481527
344.9	120.80858397
345	120.50570043
345.1	119.74857433
345.2	117.82384925
345.3	117.06472069
345.4	116.68848899
345.5	116.01710648
345.6	116.03745396
345.7	116.06140726
345.8	115.40751858
345.9	116.56768032
346	120.57959918
346.1	124.68479673
346.2	126.03868826
346.3	125.63377353
346.4	126.525461
346.5	127.34762761
346.6	127.5981455
346.7	127.52667627
346.8	126.58338984
346.9	124.53531426
347	122.40412698
347.1	120.96336372
347.2	120.44182632
347.3	120.05072634
347.4	119.77969551
347.5	119.37956751
347.6	118.41084441
347.7	117.60546428
347.8	117.28566662
347.9	116.74593863
348	117.43583808
348.1	120.27244549
348.2	123.72388111
348.3	124.24067026
348.4	124.82928878
348.5	124.71177419
348.6	123.09959525
348.7	122.37488669
348.8	121.77360171
348.9	120.94011933
349	119.71165458
349.1	118.36240231
349.2	117.78804569
349.3	118.37737168
349.4	119.28203504
349.5	120.22944547
349.6	124.61481411
349.7	126.87202246
349.8	128.37544587
349.9	127.84101976
350	124.85804864
350.1	121.73622998
350.2	119.67473356
350.3	118.20622261
350.4	117.50503488
350.5	117.92685147
350.6	119.48934439
350.7	121.51609502
350.8	124.50459356
350.9	127.07339955
351	128.75934363
351.1	129.72662341
351.2	129.41231832
351.3	127.19954712
351.4	123.68976356
351.5	120.97751512
351.6	117.68638962
351.7	111.75695123
351.8	105.34331698
351.9	98.96452092
352	92.77830783
352.1	84.76095618
352.2	71.31474104
352.3	56.1752988
352.4	41.47239836
352.5	28.53022369
352.6	21.54142668
352.7	18.65553741
352.8	17.64604818
352.9	17.86206308
353	18.17872724
353.1	18.23233084
353.2	18.00938227
353.3	17.23133895
353.4	16.22943506
353.5	15.01151706
353.6	13.86066595
353.7	12.64172615
353.8	11.86022119
353.9	11.41417277
354	10.87166817
354.1	10.79013946
354.2	10.49513656
354.3	10.78889979
354.4	11.3031673
354.5	11.85419052
354.6	12.21553995
354.7	11.48679868
354.8	10.53378374
354.9	9.62872481
355	8.9716755
355.1	8.26719409
355.2	7.67700569
355.3	7.44541972
355.4	7.52676483
355.5	7.85150623
355.6	7.37511425
355.7	6.7300415
355.8	5.92422223
355.9	5.5131607
356	5.39053429
356.1	4.80951429
356.2	4.84563145
356.3	4.71290375
356.4	4.73663588
356.5	4.84915638
356.6	5.08379977
356.7	4.9270692
356.8	4.48026755
356.9	3.91934466
357	3.83947691
357.1	3.68224008
357.2	3.83594327
357.3	4.29317219
357.4	4.48195085
357.5	4.48292809
357.6	4.32251754
357.7	4.14185536
357.8	3.88195166
357.9	3.66569833
358	3.7370061
358.1	3.92521768
358.2	4.08593076
358.3	4.08326271
358.4	4.08440466
358.5	4.22224568
358.6	4.47826679
358.7	4.4733888
358.8	4.25699599
358.9	4.49121339
359	4.53412211
359.1	4.68109909
359.2	4.68209995
359.3	4.67698418
359.4	4.72549304
359.5	4.86576269
359.6	5.06525808
359.7	5.37418254
359.8	5.96455436
359.9	6.28617471
360	6.15260818
360.1	6.25636393
360.2	6.44070366
360.3	6.70860984
360.4	6.92109237
360.5	6.86411208
360.6	6.57416929
360.7	6.11216127
360.8	6.07185602
360.9	6.08494147
361	6.29833159
361.1	6.07915103
361.2	5.50291242
361.3	5.22662966
361.4	5.45728091
361.5	5.82334823
361.6	6.53614655
361.7	7.24996931
361.8	8.12292173
