DEPT	GR
21	30.05992011
21.1	29.57097204
21.2	28.7424767
21.3	27.91398136
21.4	27.08548602
21.5	26.6644474
21.6	27.2626498
21.7	28.42010652
21.8	29.57756325
21.9	30.65912117
22	30.91094147
22.1	30.55068259
22.2	30.19042372
22.3	29.86018642
22.4	29.86018642
22.5	30.3672027
22.6	30.92031138
22.7	30.98944996
22.8	30.89726518
22.9	31.15845539
23	32.02872361
23.1	33.05592543
23.2	32.72303595
23.3	31.65778961
23.4	31.00033289
23.5	30.90046605
23.6	30.30695914
23.7	29.3608522
23.8	28.41474525
23.9	27.7879494
24	27.66311585
24.1	27.66311585
24.2	28.4620506
24.3	29.63191935
24.4	31.15845539
24.5	31.8575233
24.6	30.68575233
24.7	29.40745672
24.8	28.36218375
24.9	27.84858284
25	27.46338216
25.1	27.80139301
25.2	28.17013213
25.3	28.26231691
25.4	28.2023968
25.5	28.05858855
25.6	27.91478029
25.7	27.77097204
25.8	27.66311585
25.9	27.86284953
26	29.10676061
26.1	29.46071904
26.2	29.46071904
26.3	29.97431995
26.4	30.65912117
26.5	30.30245387
26.6	29.88158646
26.7	29.66045273
26.8	30.17976032
26.9	31.25832224
27	30.93738989
27.1	29.675056
27.2	28.41272211
27.3	27.15038822
27.4	25.86551265
27.5	25.46604527
27.6	26.01731025
27.7	27.26364847
27.8	27.00599201
27.9	26.6644474
28	27.35349056
28.1	28.35972198
28.2	28.66178429
28.3	28.02263648
28.4	26.84420772
28.5	26.71438083
28.6	26.57956059
28.7	25.69573901
28.8	25.0665779
28.9	25.46604527
29	27.04190819
29.1	29.10803958
29.2	31.69773635
29.3	34.94673768
29.4	39.31031352
29.5	44.90376468
29.6	50.49721583
29.7	56.09066699
29.8	60.00998668
29.9	61.58898257
30	62.33350229
30.1	63.0159787
30.2	63.90570149
30.3	65.86672316
30.4	68.00932091
30.5	69.15778961
30.6	72.15379494
30.7	74.80026631
30.8	76.17343542
30.9	78.54527297
31	80.83230754
31.1	82.47003995
31.2	83.18908123
31.3	82.18242344
31.4	78.08588549
31.5	75.14980027
31.6	71.36884154
31.7	66.41944075
31.8	62.45173103
31.9	60.41944075
32	61.20173103
32.1	61.94883013
32.2	61.81757656
32.3	64.02463382
32.4	66.52879494
32.5	68.80825566
32.6	68.6079513
32.7	65.71737683
32.8	64.01464714
32.9	63.15579228
33	62.81624501
33.1	64.25432756
33.2	68.12630778
33.3	71.80426099
33.4	72.20372836
33.5	71.67110519
33.6	69.60719041
33.7	65.96633061
33.8	63.00599201
33.9	61.18932333
34	58.93959569
34.1	57.03728362
34.2	56.48968043
34.3	56.94407457
34.4	57.22370173
34.5	57.22370173
34.6	58.44082889
34.7	60.28212383
34.8	62.21704394
34.9	62.01731025
35	60.80642477
35.1	60.41944075
35.2	61.47802929
35.3	63.21571238
35.4	65.10652463
35.5	65.21304927
35.6	63.29034971
35.7	61.36765015
35.8	59.44495059
35.9	58.19241012
36	57.93066395
36.1	57.71360877
36.2	57.90279627
36.3	59.07123835
36.4	60.46937417
36.5	62.21704394
36.6	64.41411451
36.7	66.81091877
36.8	69.20772304
36.9	71.40479361
37	70.7057257
37.1	69.00798935
37.2	69.47237017
37.3	70.6108522
37.4	71.74933422
37.5	73.16494674
37.6	75.59920107
37.7	79.39414115
37.8	80.84221039
37.9	81.31831243
38	80.22671526
38.1	78.61118509
38.2	76.13848202
38.3	75.99866844
38.4	75.06990679
38.5	72.11962997
38.6	68.02614058
38.7	63.9326512
38.8	60.61917443
38.9	62.78628495
39	63.98132326
39.1	64.41411451
39.2	62.21704394
39.3	60.86884154
39.4	60.21970706
39.5	60.21970706
39.6	60.61917443
39.7	61.61784288
39.8	64.56845418
39.9	66.75981574
40	67.35433836
40.1	67.94886098
40.2	68.29802687
40.3	68.60852197
40.4	70.70822237
40.5	73.80159787
40.6	75.59920107
40.7	76.90246338
40.8	78.05370617
40.9	79.02463382
41	78.48107286
41.1	76.59786951
41.2	74.44074567
41.3	73.16245007
41.4	72.00399467
41.5	69.65712383
41.6	67.95689081
41.7	66.59121172
41.8	64.97087217
41.9	63.70077991
42	63.37619388
42.1	63.7549302
42.2	64.13366653
42.3	64.23720753
