DEPT	GR
30.4	27.01187335
30.5	26.02242744
30.6	23.84564644
30.7	21.8426277
30.8	21.33815239
30.9	21.73008223
31	22.97448893
31.1	23.64251589
31.2	23.80544365
31.3	22.86654058
31.4	20.88527404
31.5	18.94077877
31.6	18.59983667
31.7	19.52570306
31.8	20.95276804
31.9	22.28624555
32	23.46129249
32.1	23.62006306
32.2	22.70543831
32.3	22.27033711
32.4	22.87867631
32.5	23.71258481
32.6	23.85591248
32.7	23.38738182
32.8	22.89198206
32.9	22.37339479
33	20.78062264
33.1	18.03633102
33.2	15.6703611
33.3	14.4522125
33.4	13.6931162
33.5	13.1672276
33.6	12.98677438
33.7	13.29446332
33.8	15.01415303
33.9	17.95244808
34	21.02907625
34.1	22.70339907
34.2	23.27210723
34.3	22.42136903
34.4	20.62743267
34.5	19.27308311
34.6	18.64436338
34.7	18.27575389
34.8	18.35046965
34.9	19.64515174
35	21.0041206
35.1	20.91559157
35.2	20.06212826
35.3	18.27022012
35.4	16.32491467
35.5	15.8174441
35.6	16.1783148
35.7	16.9580452
35.8	18.08912972
35.9	19.21510537
36	20.39967386
36.1	22.09532226
36.2	24.23163045
36.3	25.29821036
36.4	23.32918786
36.5	21.33262571
36.6	19.38113253
36.7	17.25019034
36.8	16.63631261
36.9	17.94111092
37	18.88955591
37.1	18.50351991
37.2	17.90780289
37.3	18.25898089
37.4	18.70056481
37.5	18.6450689
37.6	18.12947545
37.7	18.36358063
37.8	18.81112554
37.9	18.44930445
38	17.92159303
38.1	17.24720616
38.2	16.915467
38.3	16.76052783
38.4	15.81463386
38.5	15.68230146
38.6	17.787955
38.7	19.96342559
38.8	22.69477249
38.9	24.01488665
39	23.75181834
39.1	22.39762997
39.2	21.46160611
39.3	21.45090701
39.4	22.30823463
39.5	22.49549202
39.6	21.81471175
39.7	20.83834876
39.8	21.249821
39.9	22.02340082
40	23.51145568
40.1	26.55951909
40.2	29.55743052
40.3	30.16565156
40.4	29.59677922
40.5	29.12619582
40.6	27.03415463
40.7	23.84735354
40.8	20.55964013
40.9	17.61484631
41	15.43112558
41.1	14.24293062
41.2	13.1614832
41.3	12.11415044
41.4	11.83038621
41.5	12.48340888
41.6	13.44961171
41.7	15.03408291
41.8	17.19175802
41.9	20.15395406
42	24.87940541
42.1	30.18550924
42.2	35.34666861
42.3	38.05780472
42.4	37.39236358
42.5	30.59697778
42.6	23.52783838
42.7	18.897601
42.8	16.9743465
42.9	15.92291689
43	15.48873675
43.1	15.43086697
43.2	15.65073243
43.3	15.93630632
43.4	16.25252917
43.5	17.30619235
43.6	19.00331772
43.7	19.68428561
43.8	19.16342805
43.9	17.12013636
44	15.78226601
44.1	15.0788504
44.2	14.96436489
44.3	14.59578624
44.4	14.57811713
44.5	14.64050345
44.6	14.69504089
44.7	14.74302485
44.8	14.74241138
44.9	14.55899696
45	14.37369002
45.1	14.19766131
45.2	14.49177906
45.3	14.99340067
45.4	15.13544323
45.5	14.82407938
45.6	14.00367916
45.7	14.13848538
45.8	13.74419926
45.9	13.78162492
46	14.34038183
46.1	15.11749685
46.2	15.85098514
46.3	15.55950414
46.4	14.50295766
46.5	13.95377392
46.6	13.95037854
46.7	14.29475759
46.8	14.86279183
46.9	15.15009414
47	14.71641921
47.1	13.327025
47.2	12.15656277
47.3	12.07172521
47.4	12.34058241
47.5	12.8173159
47.6	13.1357262
47.7	13.28726455
47.8	12.73008911
47.9	13.53151291
48	15.41684525
48.1	17.21560633
48.2	18.47881755
48.3	19.07915183
48.4	18.94963043
48.5	18.67676384
48.6	19.67337501
48.7	20.91065071
48.8	20.65888685
48.9	19.39161472
49	18.48569698
49.1	20.02125559
49.2	22.17361213
49.3	23.86401653
49.4	24.87462134
49.5	25.65032432
49.6	26.42822851
49.7	27.87430562
49.8	29.1964948
49.9	30.73670795
50	33.29343268
50.1	37.03012108
50.2	40.04494603
50.3	40.13750077
50.4	39.75885218
50.5	39.16479319
50.6	38.17146814
50.7	37.9749714
50.8	37.81656206
50.9	36.33301405
51	35.8202874
51.1	35.22963783
51.2	35.60516776
51.3	35.90743333
51.4	35.91864224
51.5	35.12761385
51.6	33.53278227
51.7	33.48377462
51.8	31.670067
51.9	30.84844275
52	31.23166652
52.1	31.95934677
52.2	32.87405153
52.3	36.23298361
52.4	41.52903942
52.5	46.60801154
52.6	47.71759047
52.7	42.60159851
52.8	35.4908628
52.9	29.98677833
53	26.78634104
53.1	25.02777814
53.2	24.49642012
53.3	23.66859802
53.4	22.11713065
53.5	20.36288427
53.6	19.06905614
53.7	19.28231039
53.8	19.91633679
53.9	19.30690889
54	18.73203257
54.1	19.22889365
54.2	19.96011821
54.3	20.47687192
54.4	20.68060381
54.5	20.95913392
54.6	21.97536205
54.7	23.11790994
54.8	24.11530464
54.9	26.26392769
55	27.91866648
55.1	29.69692774
55.2	31.41972385
55.3	32.90222934
55.4	31.09053168
55.5	27.5150074
55.6	22.63550608
55.7	20.06083652
55.8	19.70241252
55.9	19.33554816
56	19.89245654
56.1	21.39668833
56.2	21.58766005
56.3	19.64785051
56.4	17.93497807
56.5	17.88457343
56.6	17.39164505
56.7	16.73172981
56.8	17.19113629
56.9	18.10488314
57	18.30103401
57.1	18.05545136
57.2	17.31833617
57.3	16.33193053
57.4	14.10980471
57.5	12.39733819
57.6	11.96889648
57.7	12.23279248
57.8	12.82891731
57.9	13.71461942
58	13.23071145
58.1	12.21954811
58.2	11.45254285
58.3	10.79620762
58.4	11.38019723
58.5	12.20468732
58.6	13.14202096
58.7	13.51084114
58.8	13.37545632
58.9	13.89914664
59	14.67689805
59.1	15.38501343
59.2	16.09549758
59.3	17.18689677
59.4	19.79700942
59.5	24.00492503
59.6	28.14814298
59.7	30.72626834
59.8	29.37811307
59.9	20.97734221
60	15.04067593
60.1	13.16756919
60.2	12.7229449
60.3	13.16013993
60.4	13.10605026
60.5	12.62937856
60.6	12.21222011
60.7	11.3234277
60.8	11.02703758
60.9	11.74468767
61	12.66417271
61.1	13.76065516
