DEPT	GR
300	127.6193634
300.1	127.45225464
300.2	126.64456233
300.3	125.0331565
300.4	124.43633952
300.5	125.43103448
300.6	126.82360743
300.7	128.61405836
300.8	130.80238727
300.9	132.3938992
301	132.48008726
301.1	132.79177719
301.2	131.20026525
301.3	128.81299735
301.4	126.62466844
301.5	123.83952255
301.6	122.4469496
301.7	123.24270557
301.8	125.23209549
301.9	125.62997347
302	123.35709549
302.1	121.25331565
302.2	120.65649867
302.3	121.25331565
302.4	122.04907162
302.5	121.05437666
302.6	122.24801061
302.7	123.83952255
302.8	124.63527851
302.9	124.83421751
303	125.6725793
303.1	126.02785146
303.2	123.83952255
303.3	118.07029178
303.4	112.99734748
303.5	111.00795756
303.6	110.51061008
303.7	109.31697613
303.8	106.13395225
303.9	103.64721485
304	101.35941645
304.1	98.77320955
304.2	97.18169761
304.3	98.77320955
304.4	102.75198939
304.5	106.13395225
304.6	107.72546419
304.7	106.23342175
304.8	106.13395225
304.9	106.44657067
305	106.33289125
305.1	102.75198939
305.2	100.36472149
305.3	97.97745358
305.4	98.57427056
305.5	101.16047745
305.6	102.95092838
305.7	103.94562334
305.8	101.16047745
305.9	98.37533156
306	94.9933687
306.1	90.81564987
306.2	88.22944297
306.3	86.24005305
306.4	85.64323607
306.5	88.82625995
306.6	91.41246684
306.7	94.39655172
306.8	100.76259947
306.9	107.32758621
307	113.33554377
307.1	117.87135279
307.2	119.06498674
307.3	118.86604775
307.4	118.86604775
307.5	119.86074271
307.6	118.66710875
307.7	116.47877984
307.8	113.49469496
307.9	111.30636605
308	111.10742706
308.1	112.69893899
308.2	114.29045093
308.3	115.98143236
308.4	116.97612732
308.5	115.0862069
308.6	113.09681698
308.7	112.30106101
308.8	111.80371353
308.9	110.21220159
309	108.25636055
309.1	106.13395225
309.2	102.35411141
309.3	99.76790451
309.4	99.37002653
309.5	97.3806366
309.6	94.19761273
309.7	91.21352785
309.8	91.21352785
309.9	93.79973475
310	96.79772287
310.1	100.36472149
310.2	102.05570292
310.3	101.85676393
310.4	100.16578249
310.5	97.77851459
310.6	95.88859416
310.7	94.9933687
310.8	96.18700265
310.9	98.87267905
311	101.95623342
311.1	104.9403183
311.2	103.34880637
311.3	100.76259947
311.4	99.37002653
311.5	98.37533156
311.6	96.38594164
311.7	93.00397878
311.8	92.80503979
311.9	93.79973475
312	94.64040354
312.1	95.19230769
312.2	96.18700265
312.3	97.97745358
312.4	99.56896552
312.5	99.17108753
312.6	95.39124668
312.7	91.61140584
312.8	90.21883289
312.9	90.21883289
313	90.81564987
313.1	95.88859416
313.2	100.16578249
313.3	103.05039788
313.4	104.9403183
313.5	105.73607427
313.6	105.53713528
313.7	104.54244032
313.8	101.55835544
313.9	97.3806366
314	93.60079576
314.1	92.4071618
314.2	95.78912467
314.3	98.17639257
314.4	100.56366048
314.5	101.85676393
314.6	103.44827586
314.7	105.0397878
314.8	104.84084881
314.9	102.5530504
315	100.23869207
315.1	98.17639257
315.2	96.98275862
315.3	95.78912467
315.4	95.39124668
315.5	97.77851459
315.6	102.35411141
315.7	108.72015915
315.8	115.28514589
315.9	119.46286472
316	120.11132118
316.1	119.46286472
316.2	115.0862069
316.3	111.30636605
316.4	108.32228117
316.5	106.23342175
316.6	103.74668435
316.7	99.76790451
316.8	97.77851459
316.9	96.78381963
317	95.37126716
317.1	93.00397878
317.2	88.82625995
317.3	85.64323607
317.4	87.03580902
317.5	91.21352785
317.6	96.18700265
317.7	99.37002653
317.8	100.36472149
317.9	99.56896552
318	99.56896552
318.1	100.76259947
318.2	101.16047745
318.3	101.85676393
318.4	104.34350133
318.5	107.5265252
318.6	108.32228117
318.7	107.32758621
318.8	105.53713528
318.9	103.44827586
319	102.14265178
319.1	100.96153846
319.2	100.36472149
319.3	100.36472149
319.4	101.95623342
319.5	104.74137931
319.6	106.73076923
319.7	108.32228117
319.8	106.92970822
319.9	101.75729443
