DEPT	GR
18	27.4268617
18.1	27.4268617
18.2	27.4268617
18.3	27.4268617
18.4	27.82579787
18.5	28.42420213
18.6	29.22207447
18.7	28.8231383
18.8	28.22473404
18.9	27.22739362
19	26.82845745
19.1	25.83111702
19.2	24.23537234
19.3	23.23803191
19.4	24.63430851
19.5	25.83111702
19.6	25.63164894
19.7	25.43218085
19.8	25.63164894
19.9	26.23005319
20	27.22739362
20.1	27.22739362
20.2	27.02792553
20.3	27.32712766
20.4	28.62367021
20.5	29.22207447
20.6	29.12234043
20.7	30.51861702
20.8	30.91755319
20.9	29.42154255
21	30.61835106
21.1	32.51329787
21.2	32.71276596
21.3	31.61569149
21.4	29.5212766
21.5	28.72340426
21.6	27.52659574
21.7	26.7287234
21.8	27.62632979
21.9	28.62367021
22	29.42154255
22.1	32.41356383
22.2	44.00265957
22.3	50.1662234
22.4	28.87727964
22.5	26.23005319
22.6	28.26861702
22.7	32.21409574
22.8	34.80718085
22.9	38.79654255
23	41.34922906
23.1	44.18218085
23.2	45.57845745
23.3	46.875
23.4	48.47074468
23.5	49.36835106
23.6	49.96675532
23.7	49.06914894
23.8	49.16888298
23.9	50.36569149
24	54.4975304
24.1	59.24202128
24.2	63.33111702
24.3	66.82180851
24.4	70.3125
24.5	73.50398936
24.6	75.89760638
24.7	77.99202128
24.8	77.69281915
24.9	75.2862967
25	72.5286108
25.1	69.91356383
25.2	64.13397606
25.3	59.5412234
25.4	55.15292553
25.5	54.45478723
25.6	54.95345745
25.7	58.34441489
25.8	64.9268617
25.9	70.51196809
26	70.26199091
26.1	70.11303191
26.2	68.9162234
26.3	67.91888298
26.4	66.92154255
26.5	65.92420213
26.6	65.92420213
26.7	67.51994681
26.8	70.71143617
26.9	74.10239362
27	76.6292159
27.1	78.2912234
27.2	80.08643617
27.3	81.48271277
27.4	81.68218085
27.5	80.78457447
27.6	80.48537234
27.7	80.48537234
27.8	82.08111702
27.9	85.47207447
28	89.26196809
28.1	89.26196809
28.2	89.46143617
28.3	88.56382979
28.4	86.26994681
28.5	83.07845745
28.6	82.28058511
28.7	81.88164894
28.8	82.08111702
28.9	81.48271277
29	79.92961299
29.1	77.49335106
29.2	76.29654255
29.3	80.08643617
29.4	82.67952128
29.5	85.67154255
29.6	88.86303191
29.7	90.65824468
29.8	91.05718085
29.9	88.86303191
30	84.77393617
30.1	80.68484043
30.2	79.6875
30.3	79.08909574
30.4	79.28856383
30.5	80.48537234
30.6	82.87898936
30.7	82.67952128
30.8	81.88164894
30.9	82.87898936
31	87.35563486
31.1	94.84707447
31.2	104.22207447
31.3	115.49202128
31.4	126.16356383
31.5	131.05053191
31.6	129.8537234
31.7	124.76728723
31.8	121.1768617
31.9	126.76196809
32	131.83660776
32.1	135.13962766
32.2	137.3337766
32.3	131.54920213
32.4	127.16090426
32.5	123.57047872
32.6	123.37101064
32.7	121.1768617
32.8	116.78856383
32.9	109.60771277
33	104.82047872
33.1	98.23803191
33.2	97.83909574
33.3	98.63696809
33.4	100.63164894
33.5	103.62367021
33.6	105.61835106
33.7	104.02260638
33.8	103.42420213
33.9	104.82047872
34	106.11702128
34.1	107.01462766
34.2	105.21941489
34.3	102.62632979
34.4	100.43218085
34.5	101.82845745
34.6	104.22207447
34.7	105.61835106
34.8	105.61835106
34.9	104.62101064
35	103.45269757
35.1	100.63164894
35.2	92.65292553
35.3	82.08111702
35.4	65.32579787
35.5	48.76994681
35.6	49.36835106
35.7	33.41090426
35.8	29.82047872
35.9	27.02792553
36	25.23271277
36.1	25.12101064
36.2	25.63164894
36.3	24.43484043
36.4	23.63696809
36.5	23.63696809
36.6	24.03590426
36.7	24.39187807
36.8	24.75398936
36.9	24.8337766
37	24.43484043
37.1	24.43484043
37.2	24.8337766
37.3	25.23271277
37.4	25.84109043
37.5	26.42952128
37.6	27.22739362
37.7	28.02526596
37.8	27.02792553
37.9	26.62898936
38	28.02526596
38.1	28.02526596
38.2	28.22916667
38.3	28.75221631
38.4	29.42154255
38.5	30.41888298
38.6	31.4162234
38.7	33.21143617
38.8	34.00930851
38.9	34.40824468
39	34.54716596
39.1	34.2087766
39.2	34.40824468
39.3	35.50531915
39.4	36.90159574
39.5	38.99601064
39.6	40.89095745
39.7	42.91283849
39.8	44.65365087
39.9	46.57579787
40	48.37101064
40.1	47.5731383
40.2	45.57845745
40.3	42.38696809
40.4	40.7912234
40.5	40.19281915
40.6	44.18218085
40.7	47.77260638
40.8	51.16356383
40.9	55.75132979
41	64.59441489
41.1	77.46143617
41.2	90.32845745
41.3	120.20611702
41.4	158.54720745
41.5	208.05946049
41.6	257.57171353
41.7	307.08396657
41.8	356.5962196
41.9	386.26994681
42	402.32712766
42.1	402.22739362
42.2	400.63164894
42.3	398.29388298
42.4	392.61635638
42.5	373.8231383
42.6	320.21010638
42.7	254.07047872
42.8	192.84574468
42.9	156.20345745
43	133.14494681
43.1	124.66755319
43.2	117.8856383
43.3	110.80452128
43.4	105.41888298
43.5	100.53191489
43.6	98.93617021
43.7	100.23271277
43.8	101.92819149
43.9	104.12234043
44	104.42154255
44.1	102.22739362
44.2	103.62367021
44.3	104.62101064
44.4	104.62101064
44.5	103.8231383
44.6	103.62367021
44.7	101.82845745
44.8	101.62898936
44.9	104.62101064
45	104.32180851
45.1	104.02260638
45.2	103.8231383
45.3	102.4268617
45.4	100.12300532
45.5	99.23537234
45.6	99.03590426
45.7	100.03324468
45.8	103.42420213
45.9	106.81515957
46	108.09385498
46.1	110.40558511
46.2	113.09840426
46.3	116.19015957
46.4	119.58111702
46.5	122.47340426
46.6	125.46542553
46.7	128.55718085
46.8	131.64893617
46.9	134.34175532
47	134.14228723
47.1	131.9481383
47.2	133.34441489
47.3	134.94015957
47.4	135.73803191
47.5	136.53590426
47.6	135.13962766
47.7	130.5518617
47.8	129.75398936
47.9	129.55452128
48	129.15558511
48.1	129.8537234
48.2	131.74867021
48.3	134.34175532
48.4	136.93484043
48.5	139.9268617
48.6	141.72207447
48.7	142.42021277
48.8	139.52792553
48.9	137.23404255
49	136.28218753
49.1	137.73271277
49.2	140.72473404
49.3	139.52792553
49.4	138.92952128
49.5	139.12898936
49.6	136.33643617
49.7	133.74335106
49.8	133.94281915
49.9	136.47828014
50	137.93218085
50.1	137.53324468
50.2	135.2393617
50.3	134.04255319
50.4	134.24202128
50.5	137.3337766
50.6	138.13164894
50.7	138.43085106
50.8	136.23670213
50.9	135.33909574
51	135.53856383
51.1	137.03457447
51.2	137.13430851
51.3	135.73803191
51.4	136.23670213
51.5	137.79920213
51.6	139.62765957
51.7	141.42287234
51.8	143.71675532
51.9	145.3125
52	146.65953552
