DEPT	GR
30.6	46.96819085
30.7	46.37176938
30.8	46.37176938
30.9	46.96819085
31	47.26640159
31.1	46.12879374
31.2	45.12045951
31.3	43.9860835
31.4	43.61332008
31.5	44.88071571
31.6	48.1610338
31.7	51.88866799
31.8	54.12524851
31.9	55.46719682
32	55.61630219
32.1	55.01988072
32.2	55.61630219
32.3	55.91451292
32.4	55.01988072
32.5	56.21272366
32.6	58.00198807
32.7	58.30019881
32.8	58.59840954
32.9	59.63821086
33	60.71894924
33.1	61.79968762
33.2	62.92246521
33.3	63.36978131
33.4	62.92246521
33.5	62.47514911
33.6	61.555666
33.7	60.53677932
33.8	61.1332008
33.9	62.92246521
34	63.36978131
34.1	63.36978131
34.2	63.36978131
34.3	64.41351889
34.4	66.52584493
34.5	68.73757455
34.6	70.3777336
34.7	70.07952286
34.8	68.88667992
34.9	68.43936382
35	67.1471173
35.1	65.7554672
35.2	65.15904573
35.3	65.15904573
35.4	65.60636183
35.5	66.35188867
35.6	67.24652087
35.7	67.69383698
35.8	68.14115308
35.9	67.99204771
36	66.94831014
36.1	66.79920477
36.2	67.54473161
36.3	67.39562624
36.4	66.94831014
36.5	66.94831014
36.6	65.60636183
36.7	65.60636183
36.8	66.05367793
36.9	65.15904573
37	63.96620278
37.1	62.84271117
37.2	61.5805169
37.3	61.28230616
37.4	60.72166998
37.5	59.79125249
37.6	60.08946322
37.7	62.47514911
37.8	62.44532803
37.9	62.27918205
38	62.17693837
38.1	62.17693837
38.2	61.87872763
38.3	62.17693837
38.4	62.62425447
38.5	63.60408975
38.6	64.56262425
38.7	65.60636183
38.8	67.54473161
38.9	68.43936382
39	68.43936382
39.1	66.94831014
39.2	65.45725646
39.3	62.92246521
39.4	63.36978131
39.5	63.96620278
39.6	63.96620278
39.7	63.51888668
39.8	63.07157058
39.9	63.51888668
40	63.7904154
40.1	63.96620278
40.2	62.52286282
40.3	61.5805169
40.4	60.08946322
40.5	59.79125249
40.6	59.79125249
40.7	60.08946322
40.8	61.87872763
40.9	64.26441352
41	65.7554672
41.1	69.48310139
41.2	71.57057654
41.3	72.01789264
41.4	72.76341948
41.5	73.06163022
41.6	71.86878728
41.7	71.27236581
41.8	70.3777336
41.9	65.60636183
42	61.28230616
42.1	60.08946322
42.2	59.79125249
42.3	61.5805169
42.4	63.96620278
42.5	63.96620278
42.6	64.56262425
42.7	65.92246521
42.8	66.6500994
42.9	64.56262425
43	63.66799205
43.1	62.13717694
43.2	61.28230616
43.3	60.68588469
43.4	60.99403579
43.5	61.28230616
43.6	60.68588469
43.7	60.08946322
43.8	60.98409543
43.9	62.47514911
44	62.77335984
44.1	63.22067594
44.2	65.00994036
44.3	66.79920477
44.4	67.69383698
44.5	69.33399602
44.6	70.97415507
44.7	71.12326044
44.8	70.3777336
44.9	69.63220676
45	71.55358985
45.1	72.91252485
45.2	73.21073559
45.3	72.31610338
45.4	71.42147117
45.5	70.73984663
45.6	69.9304175
45.7	69.03578529
45.8	66.72763419
45.9	64.26441352
46	63.85437376
46.1	63.66799205
46.2	63.66799205
46.3	65.15904573
46.4	67.76093439
46.5	70.22862823
46.6	70.8250497
46.7	71.42147117
46.8	72.01789264
46.9	69.9304175
47	66.6500994
47.1	62.77335984
47.2	60.98409543
47.3	60.98409543
47.4	61.28230616
47.5	63.07157058
47.6	64.56262425
47.7	67.24652087
47.8	69.9304175
47.9	73.21073559
48	75.27317014
48.1	75.89463221
48.2	74.5526839
