DEPT	GR
26.1	48.63515313
26.2	49.03462051
26.3	49.13115846
26.4	49.23435419
26.5	48.37835267
26.6	47.0997004
26.7	46.33821571
26.8	46.63781625
26.9	46.63781625
27	46.49731166
27.1	46.83754993
27.2	47.23701731
27.3	46.5379494
27.4	46.43808256
27.5	47.23701731
27.6	48.43541944
27.7	49.53395473
27.8	51.43142477
27.9	53.22902796
28	54.26764314
28.1	55.32623169
28.2	57.92276964
28.3	61.2183755
28.4	64.31424767
28.5	65.71238349
28.6	66.51131824
28.7	67.01065246
28.8	67.70972037
28.9	69.20772304
29	71.86418109
29.1	74.60053262
29.2	76.19840213
29.3	78.29560586
29.4	79.37416778
29.5	79.79360852
29.6	79.39414115
29.7	79.31924101
29.8	79.09454061
29.9	77.63648469
30	75.39946738
30.1	73.16245007
30.2	72.15379494
30.3	71.80426099
30.4	72.00399467
30.5	73.80159787
30.6	74.40079893
30.7	73.8237905
30.8	73.60186418
30.9	75.06913858
31	75.71443204
31.1	76.49800266
31.2	77.19707057
31.3	77.36351531
31.4	78.02929427
31.5	78.3954727
31.6	77.79627164
31.7	76.25484861
31.8	74.63961095
31.9	73.0243733
32	71.40913565
32.1	71.00532623
32.2	71.70439414
32.3	72.70306258
32.4	72.60319574
32.5	71.83969761
32.6	70.87324428
32.7	69.90679095
32.8	68.94033761
32.9	67.97388428
33	67.31109221
33.1	67.41011984
33.2	68.15639753
33.3	68.90630674
33.4	70.60585885
33.5	74.20106525
33.6	76.99733688
33.7	77.39680426
33.8	75.83602815
33.9	74.80026631
34	74.37775274
34.1	73.38062071
34.2	72.60319574
34.3	72.40346205
34.4	72.40346205
34.5	73.40213049
34.6	75.19973369
34.7	75.59920107
34.8	75.59920107
34.9	74.90679095
35	72.02618731
35.1	70.00665779
35.2	69.00798935
35.3	68.60852197
35.4	69.00798935
35.5	69.60719041
35.6	70.40612517
35.7	70.60585885
35.8	72.20372836
35.9	75
36	76.95528769
36.1	78.79494008
36.2	79.49400799
36.3	79.49400799
36.4	78.79494008
36.5	77.69640479
36.6	75
36.7	73.70173103
36.8	72.50332889
36.9	71.50466045
37	70.85552597
37.1	70.30625832
37.2	70.30625832
37.3	70.30625832
37.4	68.60852197
37.5	66.51131824
37.6	65.5126498
37.7	64.91344874
37.8	64.41411451
37.9	65.5126498
38	67.70972037
38.1	69.90679095
38.2	70.80559254
38.3	71.00532623
38.4	71.00532623
38.5	71.00532623
38.6	71.30492676
38.7	72.00399467
38.8	73.00266312
38.9	73.40213049
39	73.2023968
39.1	73.00266312
39.2	73.60186418
39.3	73.40213049
39.4	73.00266312
39.5	73.40213049
39.6	74.37226555
39.7	75.19973369
39.8	75.19973369
39.9	75.27655434
40	75.4609239
40.1	75.39946738
40.2	75
40.3	75.29960053
40.4	75.88453491
40.5	76.39813582
40.6	76.99733688
40.7	76.49800266
40.8	76.39813582
40.9	76.39813582
41	75.99866844
41.1	75.19973369
41.2	75.19973369
41.3	75.64164447
41.4	74.89569463
41.5	73.50199734
41.6	73.95316049
41.7	75.52048249
41.8	77.0878045
41.9	78.3954727
42	77.36996593
42.1	76.19840213
42.2	76.69773635
42.3	78.49533955
42.4	80.79227696
42.5	84.18774967
42.6	86.88415446
42.7	88.38215712
42.8	88.48202397
42.9	87.38348868
43	85.7057257
43.1	84.08788282
43.2	82.49001332
43.3	80.69241012
43.4	79.59387483
43.5	78.29560586
43.6	77.29693742
43.7	75.82889481
43.8	73.55193076
43.9	71.40479361
44	70.0316245
44.1	68.60852197
44.2	67.80958722
44.3	68.00932091
44.4	69.00798935
44.5	70.49172532
44.6	71.86132775
44.7	73.10252996
44.8	73.80159787
44.9	73.2023968
45	73.90146471
45.1	74.60053262
45.2	73.10252996
45.3	70.20639148
45.4	68.30892144
45.5	67.60985353
45.6	67.80958722
45.7	68.70838881
45.8	70.20639148
45.9	72.20372836
46	72.90448893
46.1	72.20372836
46.2	70.80559254
46.3	71.67395853
46.4	72.61175575
46.5	73.54955298
46.6	74.4873502
46.7	74.40079893
46.8	72.20372836
46.9	70.00665779
47	68.46223332
47.1	66.61118509
