DEPT	GR
0.2	22.9
0.3	19.5
0.4	18.31
0.5	17.9
0.6	21.24
0.7	22.48
0.8	23.5
0.9	23.77735537
1	24.14628099
1.1	24.6
1.2	26.1
1.3	26.6
1.4	25.7
1.5	24.1
1.6	20.9
1.7	16.7
1.8	13.6
1.9	10.9
2	9.9
2.1	9.5
2.2	11.17714286
2.3	11.9
2.4	11.7
2.5	12.88
2.6	14.466
2.7	16.3
2.8	19.194
2.9	22.5
3	26.38099174
3.1	29.1
3.2	30.3
3.3	30.1
3.4	30.2
3.5	31.7
3.6	34.1
3.7	37.4
3.8	39.3
3.9	40.8
4	42.7
4.1	45.5
4.2	50.2
4.3	58.7
4.4	67.5
4.5	82.3
4.6	91
4.7	103.6
4.8	109.2
4.9	121.1
5	148.99473684
5.1	178.3
5.2	207.60526316
5.3	243.14444444
5.4	291.1
5.5	299.1
5.6	315.9
5.7	304.5
5.8	322.20909091
5.9	351.88181818
6	381.55454545
6.1	413.7
6.2	415.725
6.3	415.52857143
6.4	413.9
6.5	410.25555556
6.6	406.1
6.7	334.76956522
6.8	268.92608696
6.9	203.0826087
7	150.2
7.1	130
7.2	137.2125
7.3	150.6
7.4	149.1
7.5	142.1
7.6	135.3
7.7	124.3
7.8	103.5
7.9	86.7
8	71.3
8.1	62.16666667
8.2	59.854
8.3	61.196
8.4	62.375
8.5	63.7
8.6	65.43
8.7	67.5
8.8	69.9
8.9	69.9
9	70.3
9.1	71.9
9.2	70.5
9.3	69.1
9.4	69.9
9.5	69.7
9.6	67.7
9.7	66.5
9.8	65.5
9.9	65.1
10	64.27142857
10.1	63.7
10.2	67.332
10.3	70.29428571
10.4	68.7
10.5	66.9
10.6	65.3
10.7	66.7
10.8	68.3
10.9	69.9
11	68.65
11.1	66.7
11.2	65.5
11.3	64.5
11.4	63.9
11.5	63.3
11.6	63.1
11.7	64.1
11.8	64.24
11.9	62.1
12	60.5
12.1	59.9
12.2	58.9
12.3	59.5
12.4	60.82
12.5	61.3
12.6	61.7
12.7	65.5
12.8	65.59333333
12.9	64.7
13	63.90246914
13.1	63.4
13.2	65.6
13.3	65.7
13.4	64.9
13.5	64.1
13.6	63.9
13.7	65.7
13.8	67.6
13.9	70.16
14	71.6
14.1	69.3
14.2	65.3
14.3	64.5
14.4	64.3
14.5	65.3
14.6	64.5
14.7	62.9
14.8	62.5
14.9	62.7
15	63.17142857
15.1	63.3
15.2	62.9
15.3	63.3
15.4	63.9
15.5	65.3
15.6	65.5
15.7	64.9
15.8	62.5
15.9	62.3
16	66.28842975
16.1	68.34
16.2	68.8
16.3	67.8
16.4	66.6
16.5	64.8
16.6	64.7
16.7	64.7
16.8	65.1
16.9	65.5
17	65.36027397
17.1	64.3
17.2	63.5
17.3	65.1
17.4	66.5
17.5	68.7
17.6	72.7
17.7	76.1
17.8	79.7
17.9	78.248
18	75.9
18.1	78.9
18.2	79.5
18.3	78.9
18.4	78
18.5	76.8
18.6	75.1
18.7	74.8
18.8	76.05
18.9	76.7
19	77.52487562
19.1	79.3
19.2	81.1
19.3	83.1
19.4	84.1
19.5	85.08181818
19.6	86.1
19.7	85.5
19.8	84.9
19.9	85.35333333
20	86.47771664
20.1	87.6
20.2	87
20.3	86.6
20.4	87.2
20.5	86.2
20.6	83.4
20.7	83.7
20.8	85
20.9	87
21	89.32487562
21.1	91.3
21.2	89.1
21.3	86.1
21.4	80.9
21.5	78.9
21.6	77.7
21.7	78.5
21.8	78.5
21.9	75.9
22	75.64512535
22.1	76.1
22.2	75.45428571
22.3	75.7
22.4	78.3
22.5	80.86
22.6	82.284
22.7	80.9
22.8	79.3
22.9	77.0512605
23	74.67142857
23.1	72.29159664
23.2	67.9
23.3	65.5
23.4	62.9
23.5	60.1
23.6	59.3
23.7	60.7
23.8	63.9
23.9	69.6
24	78.94050367
24.1	88.9
24.2	99.1
24.3	105.5
24.4	114.7
24.5	117.3
24.6	120.3
24.7	124.9
24.8	130.3
24.9	136.35142857
25	140.1538787
25.1	143.1
25.2	144.16
25.3	144.2
25.4	144.7
25.5	147.7
25.6	149.7
25.7	152.9
25.8	152.9
25.9	153.1
26	154.3
26.1	153.16857143
26.2	150.5
26.3	149.9
26.4	150.37555556
26.5	152.54444444
26.6	153.77333333
26.7	153.7
26.8	145.72666667
26.9	139.9
27	140.8
27.1	142.55076766
27.2	143.9
27.3	144.1
27.4	143.9
27.5	143.3
27.6	142.8
27.7	142
27.8	141.1
27.9	141.55
28	142.5
28.1	140.7
28.2	138.7
28.3	137
28.4	136.38
28.5	135.98888889
28.6	135.7
28.7	137.5
28.8	141
28.9	144.16366197
29	148.41830986
29.1	153.9
29.2	155.3
29.3	151.7
29.4	150.28
29.5	147.9
29.6	144.76
29.7	144.42666667
29.8	148.5
29.9	148.91350422
30	149.04629572
30.1	149.17908721
30.2	149.31187871
30.3	149.44467021
30.4	149.5
30.5	148.18333333
30.6	145.7
30.7	142.5
30.8	137.7
30.9	137.25
31	137.5
31.1	141.2375
31.2	143.35384615
31.3	144.92307692
31.4	146.3
31.5	142.9
31.6	134.3
31.7	136.8
31.8	139.3
31.9	136.9
32	137.5
32.1	141.3
32.2	141.5
32.3	141.5
32.4	140.9
32.5	141.3
32.6	141.7
32.7	139.3
32.8	141.1
32.9	147.7
33	149.1
33.1	151.3
33.2	145.9
33.3	146
33.4	148.6
33.5	148.27142857
33.6	147.38
33.7	146.1
33.8	143.1
33.9	138.8
34	134.5
34.1	129.7
34.2	125.1
34.3	123.1
34.4	122.8
34.5	122
34.6	120.7
34.7	119.3
34.8	117.6
34.9	116.1
35	116.8
35.1	118
35.2	118.575
35.3	118.5
35.4	118.9
35.5	123.4
35.6	125.87142857
35.7	127
35.8	125.35
35.9	124.1
36	124.8
36.1	126.3
36.2	128.5
36.3	129.48571429
36.4	129.1
36.5	126.5
36.6	126.6
36.7	126.9
36.8	124.3
36.9	123.8
37	127.1
37.1	127.38
37.2	128.1
37.3	129.7
37.4	131.1
37.5	132.3
37.6	129.5
37.7	125.9
37.8	124.9
37.9	123.3
38	121.15
38.1	119.74
38.2	119.1
38.3	122.18
38.4	124.3
38.5	126.3
38.6	128.1
38.7	129.7
38.8	131.1
38.9	135.1
39	141.14691358
39.1	142.1
39.2	140.1
39.3	135.7
39.4	130.9
39.5	124.4
39.6	127.3
39.7	129.3
39.8	130.7
39.9	129.56666667
40	126.88347107
40.1	122.90666667
40.2	117.63666667
40.3	111.44
40.4	112.7
40.5	115.7
40.6	122.9
40.7	121.5
40.8	119.9
40.9	121.836
41	122.3
41.1	120.3
41.2	121.7
41.3	123.3
41.4	121.6
41.5	120.7
41.6	120.7
41.7	121.54
41.8	122.5
41.9	123.8
42	124.6
42.1	126
42.2	128.4
42.3	130.5
42.4	132.5
42.5	134.23333333
42.6	135.1
42.7	134
42.8	131.7
42.9	128.2
43	125.4
43.1	123.7
43.2	123.7
43.3	123.4
43.4	121.9
43.5	118.6
43.6	113.2
43.7	112.4
43.8	112.3
43.9	112.5
44	113.50497925
44.1	115.5
44.2	119.32
44.3	121.444
44.4	123.1
44.5	122.58571429
44.6	122.9
44.7	123.5
44.8	120.3
44.9	114.5
45	113.9
45.1	115.7
45.2	120.5
45.3	120.67714286
45.4	120.5
45.5	119.5
45.6	118.1
45.7	116.1
45.8	114.5175
45.9	112.988
46	112.5
46.1	113.54
46.2	117.3
46.3	119.5
46.4	122.1
46.5	124.5
46.6	127.7
46.7	131.5
46.8	131.872
46.9	131.7
47	131.1
47.1	131.5
47.2	132.3
47.3	132.5
47.4	132.7
47.5	132.3
47.6	129.3
47.7	126.3
