DEPT	GR
9.7	10.91882226
9.8	10.91882226
9.9	15.0462963
10	14.40458001
10.1	10.85263557
10.2	9.65542391
10.3	11.33547878
10.4	12.45424777
10.5	9.80940741
10.6	8.43386677
10.7	8.73970802
10.8	12.65143868
10.9	17.31862399
11	19.79775629
11.1	20.07050901
11.2	26.12325561
11.3	20.32041929
11.4	11.18915388
11.5	3.37932051
11.6	5.04260126
11.7	6.91166691
11.8	8.07930283
11.9	8.61835281
12	10.56274599
12.1	13.00442105
12.2	14.69900939
12.3	12.48794242
12.4	9.83535812
12.5	9.09460976
12.6	8.68933737
12.7	7.76971366
12.8	6.83579274
12.9	6.9057242
13	8.11515724
13.1	9.00550944
13.2	6.42147042
13.3	8.00111062
13.4	13.57660103
13.5	15.18490698
13.6	13.43650938
13.7	11.58342431
13.8	10.92470162
13.9	11.8238318
14	14.44277201
14.1	15.36289019
14.2	13.01193768
14.3	15.42496247
14.4	16.36666381
14.5	16.37083223
14.6	16.39921801
14.7	13.5654791
14.8	11.40706606
14.9	12.13706194
15	11.89411486
15.1	12.43283346
15.2	12.08599369
15.3	9.96725975
15.4	12.37960544
15.5	19.87585441
15.6	22.93712436
15.7	19.96104594
15.8	20.54879441
15.9	17.52931178
16	13.31169029
16.1	11.74480589
16.2	12.0442361
16.3	16.73048101
16.4	16.83542447
16.5	17.01284122
16.6	20.78596273
16.7	26.80887701
16.8	19.7507326
16.9	16.3226454
17	15.99779376
17.1	17.02570035
17.2	12.64717666
17.3	19.01382972
17.4	14.25036198
17.5	20.9028177
17.6	26.46539913
17.7	28.67174263
17.8	29.50004027
17.9	26.59087902
18	27.57074144
18.1	33.70092729
18.2	32.05412854
18.3	35.99444475
18.4	45.24295268
18.5	54.89779794
18.6	53.52248515
18.7	42.37333513
18.8	34.00085651
18.9	20.06457808
19	12.71118582
19.1	12.02622598
19.2	14.02916008
19.3	15.03009696
19.4	15.26972158
19.5	19.46232477
19.6	23.55133745
19.7	20.84065479
19.8	15.70900409
19.9	7.78994737
20	6.04726302
20.1	5.74345369
20.2	9.00617935
20.3	13.05374152
20.4	15.30879915
20.5	13.55505321
20.6	16.41574015
20.7	21.05175195
20.8	16.46330981
20.9	16.75389392
21	11.80620333
21.1	14.44962545
21.2	15.7586334
21.3	16.49934068
21.4	11.80590631
21.5	17.35611088
21.6	21.71299126
21.7	17.99266135
21.8	16.47145063
21.9	16.31594875
22	20.56503405
22.1	17.42561726
22.2	12.64383967
22.3	12.77514457
22.4	14.74110857
22.5	17.17771697
22.6	12.40753104
22.7	13.10047993
22.8	18.77838467
22.9	20.64325881
23	20.73522247
23.1	15.76602344
23.2	14.46449441
23.3	15.13934897
23.4	17.37839958
23.5	17.97546009
23.6	14.7287676
23.7	13.0622046
23.8	15.86092728
23.9	19.11629252
24	19.68025904
24.1	20.27550547
24.2	16.1023391
24.3	18.50657367
24.4	21.66169784
24.5	19.31205651
24.6	32.45539672
24.7	34.42701795
24.8	27.05836926
24.9	23.50122933
25	18.52490749
25.1	18.6139971
25.2	25.00411987
25.3	33.35784759
25.4	25.50943448
25.5	25.3193496
25.6	26.28716205
25.7	23.44880673
25.8	17.75999494
25.9	20.57001463
26	19.39066933
26.1	18.08318605
26.2	22.95583447
26.3	29.97368288
26.4	26.49060397
26.5	21.25235943
26.6	19.10285146
26.7	19.42254872
26.8	33.02676037
26.9	35.27839733
27	28.21040981
27.1	21.26986271
27.2	21.3378733
27.3	21.21292404
27.4	28.39761035
27.5	29.70040858
27.6	33.42655136
27.7	36.97642917
27.8	35.02724798
27.9	30.98166074
28	28.27216917
28.1	25.74821687
28.2	28.56423723
28.3	28.40211523
28.4	22.40639042
28.5	21.41276807
28.6	23.33378532
28.7	26.61793527
28.8	24.37812579
28.9	21.90392686
29	21.23558132
29.1	20.33583655
29.2	24.69499736
29.3	28.6620185
29.4	29.20201915
29.5	28.08836593
29.6	26.4468184
29.7	31.25936541
29.8	30.5446327
29.9	24.04641017
30	20.39021629
30.1	19.34680474
30.2	16.32242911
30.3	16.3689128
30.4	11.93272006
30.5	16.14914378
30.6	29.35538314
30.7	37.29754463
30.8	39.04840707
30.9	35.83660761
31	28.95465041
31.1	21.70453696
31.2	10.28607693
31.3	13.60891116
31.4	16.12505434
31.5	19.2830984
31.6	26.70659341
31.7	28.81666253
31.8	28.42875773
31.9	32.77835772
32	33.88773104
32.1	30.14544388
32.2	28.32703956
32.3	29.99160521
32.4	25.67082004
32.5	28.85568027
32.6	27.90971196
32.7	24.04183425
32.8	23.11662229
32.9	26.49632688
33	23.9236084
33.1	26.24442291
33.2	24.72505406
33.3	28.11508904
33.4	36.53957557
33.5	30.32056139
33.6	24.01884402
33.7	24.53332083
33.8	28.34724315
33.9	27.94637238
34	31.19961063
34.1	38.39958672
34.2	37.75783863
34.3	32.03096519
34.4	26.08722034
34.5	20.67417974
34.6	20.49974533
34.7	32.28347281
34.8	38.31457601
34.9	42.54797589
35	38.93435824
35.1	34.72480331
35.2	34.54588757
35.3	31.30600591
35.4	29.09478742
35.5	28.52828555
35.6	21.55900144
35.7	17.34457235
35.8	13.24866841
35.9	18.23215861
36	20.28793532
36.1	20.85396497
36.2	24.46978144
36.3	30.00159242
36.4	27.84843125
36.5	33.24986092
36.6	36.49517455
36.7	39.52579465
36.8	35.22937054
36.9	32.47586618
37	30.34658167
37.1	34.90313312
37.2	36.04666244
37.3	42.40448235
37.4	48.5703953
37.5	45.25401454
37.6	32.7838206
37.7	38.92692547
37.8	56.79881119
37.9	87.55230806
38	89.03901872
38.1	70.37893112
38.2	34.70973686
38.3	34.06341805
38.4	29.32864975
38.5	22.62634178
38.6	21.99650643
38.7	32.90930351
38.8	32.66318519
38.9	53.52708318
39	49.96848835
39.1	30.45496488
39.2	25.59361375
39.3	27.34884952
39.4	24.32188458
39.5	19.33633478
39.6	21.67585449
39.7	24.53122726
39.8	23.34039534
39.9	21.61848966
40	20.08532334
40.1	24.82243607
40.2	28.26193302
40.3	32.27946279
40.4	29.93263508
40.5	28.35685814
40.6	30.45506518
40.7	27.93320889
40.8	28.86667515
40.9	31.83351287
41	31.02034333
41.1	24.0475624
41.2	20.63005061
41.3	25.9908089
41.4	33.69745992
41.5	43.52958879
41.6	38.98343327
41.7	33.54391045
41.8	36.84555627
41.9	40.5439451
42	42.18927582
42.1	31.36032612
42.2	28.63708089
42.3	34.68965202
42.4	39.33414136
42.5	39.39516316
42.6	31.32376852
42.7	32.59037424
42.8	32.66588087
42.9	33.91091918
43	26.17388724
43.1	23.62836878
43.2	23.83397994
43.3	27.50158885
43.4	31.9634714
43.5	32.63885204
43.6	25.2935322
43.7	15.14809355
43.8	17.25545312
43.9	31.92599619
44	38.12058685
44.1	37.16885999
44.2	31.628942
44.3	33.22496361
44.4	40.87990145
44.5	45.58052122
44.6	49.60917938
44.7	56.65515763
44.8	62.43014146
44.9	61.15872862
45	55.07714483
45.1	48.49615392
45.2	40.81358284
45.3	37.07634353
45.4	34.6005133
45.5	31.50515206
45.6	27.03579664
45.7	27.83277266
45.8	27.63977167
45.9	34.13426918
46	31.54362489
46.1	40.32217071
46.2	31.97608363
46.3	30.5920736
46.4	37.4881679
46.5	38.81463124
46.6	36.09271882
46.7	31.25333247
46.8	27.54711099
46.9	35.45370169
47	35.97456436
47.1	30.47252364
47.2	26.65669311
47.3	34.06678819
47.4	43.81632878
47.5	53.09806536
47.6	56.44903958
47.7	49.71071495
47.8	43.21619322
47.9	43.78115545
48	56.14532147
48.1	59.27221445
48.2	59.3113962
48.3	53.07905885
48.4	54.70519723
48.5	56.71253028
48.6	58.62226213
48.7	63.55829893
48.8	61.68231345
48.9	62.57376793
49	59.72325302
49.1	50.68589619
49.2	50.64929829
