DEPT	GR
0	19.9933687
0.1	19.59549072
0.2	18.86438992
0.3	19.19761273
0.4	20.98806366
0.5	20.98806366
0.6	18.59084881
0.7	17.80503979
0.8	18.01193634
0.9	18.60079576
1	18.20291777
1.1	16.88594164
1.2	15.27055703
1.3	14.5536847
1.4	14.00184523
1.5	13.45000577
1.6	12.8981663
1.7	13.03050398
1.8	14.22413793
1.9	17.2007626
2	20.34949932
2.1	21.58488064
2.2	21.18700265
2.3	19.22248011
2.4	17.24801061
2.5	15.68302387
2.6	13.81915498
2.7	12.56157635
2.8	11.24005305
2.9	9.01193634
3	7.39804377
3.1	6.37102122
3.2	6.06763926
3.3	6.91403424
3.4	7.85809019
3.5	10.44429708
3.6	12.79177719
3.7	14.42307692
3.8	14.42307692
3.9	16.21352785
4	17.20115108
4.1	17.80503979
4.2	17.70557029
4.3	17.6061008
4.4	17.90450928
4.5	20.29177719
4.6	23.37533156
4.7	25.26525199
4.8	24.76790451
4.9	21.92307692
5	19.9933687
5.1	19.79442971
5.2	20.92589523
5.3	22.77851459
5.4	24.07161804
5.5	24.27055703
5.6	21.0151917
5.7	17.6513142
5.8	15.64655172
5.9	14.12466844
6	14.02519894
6.1	14.02519894
6.2	14.02519894
6.3	14.02519894
6.4	14.02519894
6.5	13.42838196
6.6	13.22944297
6.7	14.37533156
6.8	15.61671088
6.9	15.81564987
7	16.41748211
7.1	17.00928382
7.2	16.15826702
7.3	14.72148541
7.4	14.62201592
7.5	15.54566124
7.6	16.39825692
7.7	16.61140584
7.8	15.50303145
7.9	14.47991664
8	13.42838196
8.1	14.02519894
8.2	15.41777188
8.3	17.88461538
8.4	20.39124668
8.5	22.3806366
8.6	24.37599469
8.7	26.55835544
8.8	28.14986737
8.9	30.0596817
9	32.15347265
9.1	33.72015915
9.2	34.21750663
9.3	32.82493369
9.4	33.22281167
9.5	34.43509615
9.6	35.70333223
9.7	36.9715683
9.8	38.50574713
9.9	40.18567639
10	41.41796718
10.1	42.27453581
10.2	43.86604775
10.3	44.46286472
10.4	44.46286472
10.5	45.25862069
10.6	45.65649867
10.7	45.52829355
10.8	45.56498674
10.9	45.45755968
11	44.28582184
11.1	43.0288667
11.2	41.77718833
11.3	41.57824934
11.4	42.828723
11.5	43.46816976
11.6	42.87135279
11.7	43.85361406
11.8	44.86074271
11.9	44.86074271
12	43.81003432
12.1	42.87135279
12.2	42.27453581
12.3	42.27453581
12.4	43.36621353
12.5	44.46286472
12.6	43.75805229
12.7	41.67771883
12.8	39.21087533
12.9	38.09681698
13	38.52311482
13.1	39.29045093
13.2	38.49469496
13.3	37.69893899
13.4	37.69893899
13.5	38.29575597
13.6	38.09681698
13.7	38.09681698
13.8	38.29575597
