DEPT	GR
0	25
0.1	24.80079681
0.2	23.80478088
0.3	22.60956175
0.4	20.21912351
0.5	18.62549801
0.6	18.02788845
0.7	17.82868526
0.8	18.02788845
0.9	18.8247012
1	19.82071713
1.1	21.11553785
1.2	22.21115538
1.3	23.76494024
1.4	25.19920319
1.5	26.5936255
1.6	27.49003984
1.7	28.90936255
1.8	30.27888446
1.9	31.10889774
2	31.57370518
2.1	31.77290837
2.2	33.85600455
2.3	36.55378486
2.4	40.13944223
2.5	42.82868526
2.6	44.92031873
2.7	47.50996016
2.8	50.49800797
2.9	53.0876494
3	53.94744708
3.1	54.08366534
3.2	53.0876494
3.3	51.89243028
3.4	51.4940239
3.5	50.29880478
3.6	49.10358566
3.7	47.90836653
3.8	47.50996016
3.9	47.90836653
4	47.75896414
4.1	47.31075697
4.2	47.45517928
4.3	48.5059761
4.4	50.09960159
4.5	51.4940239
4.6	52.09163347
4.7	51.69322709
4.8	51.4940239
4.9	50.69721116
5	49.96378124
5.1	49.00217313
5.2	48.5059761
5.3	47.90836653
5.4	46.71314741
5.5	45.3187251
5.6	44.12350598
5.7	42.33067729
5.8	43.7250996
5.9	46.11553785
6	47.81627402
6.1	49.70119522
6.2	51.89243028
6.3	52.49003984
6.4	52.88844622
6.5	52.49003984
6.6	52.49003984
6.7	52.49003984
6.8	52.29083665
6.9	51.69322709
7	50.84122712
7.1	49.70119522
7.2	49.70119522
7.3	48.20717131
7.4	46.51394422
7.5	46.9123506
7.6	48.70517928
7.7	50.29880478
7.8	50.29880478
7.9	49.90039841
8	49.56044087
8.1	49.50199203
8.2	49.90039841
8.3	50.69721116
8.4	51.32719124
8.5	51.77859989
8.6	52.29083665
8.7	52.49003984
8.8	51.89243028
8.9	51.4940239
9	50.89641434
9.1	49.40239044
9.2	47.50996016
9.3	48.4063745
9.4	48.80478088
9.5	49.30278884
9.6	49.40239044
9.7	49.40239044
9.8	48.80478088
9.9	48.4063745
10	48.80478088
10.1	49.50199203
10.2	50.29880478
10.3	51.69322709
10.4	54.6812749
10.5	57.27091633
10.6	58.60889774
10.7	59.26294821
10.8	59.46215139
10.9	58.86454183
11	58.26693227
11.1	59.66135458
11.2	59.26294821
11.3	56.67330677
11.4	54.48207171
11.5	53.68525896
11.6	54.6812749
11.7	56.43426295
11.8	59.07868526
11.9	61.85258964
12	62.64940239
12.1	62.05179283
12.2	63.63346614
12.3	65.43824701
12.4	67.62948207
12.5	67.03187251
12.6	62.4501992
12.7	59.66135458
12.8	56.2749004
12.9	53.0876494
13	52.09163347
13.1	52.88844622
13.2	51.4940239
13.3	50.09960159
13.4	48.70517928
13.5	47.90836653
13.6	45.91633466
13.7	41.73306773
13.8	38.34661355
13.9	36.75298805
14	35.55776892
14.1	35.35856574
14.2	36.35458167
14.3	37.94820717
14.4	37.94820717
14.5	36.75298805
14.6	36.35458167
14.7	37.15139442
14.8	38.34661355
14.9	36.15537849
15	33.66533865
15.1	33.96414343
15.2	37.14233973
15.3	39.80951195
15.4	41.67704183
15.5	43.54457171
15.6	45.21912351
15.7	45.51792829
15.8	46.21513944
15.9	47.41035857
16	46.51394422
16.1	45.71713147
16.2	45.51792829
16.3	45.91633466
16.4	46.31474104
16.5	43.92430279
16.6	39.94023904
16.7	36.15537849
16.8	34.16334661
16.9	32.7689243
17	33.01081389
17.1	33.16733068
17.2	33.76494024
17.3	33.96414343
17.4	33.76494024
17.5	33.76494024
17.6	35.55776892
17.7	39.94023904
17.8	44.12350598
17.9	47.11155378
18	48.10756972
18.1	47.90836653
18.2	47.31075697
18.3	45.3187251
18.4	41.53386454
18.5	37.35059761
18.6	34.76095618
18.7	33.76494024
18.8	34.56175299
18.9	35.15936255
19	34.86055777
19.1	33.96414343
19.2	33.36653386
19.3	33.5059761
19.4	34.16334661
19.5	34.76095618
19.6	33.56573705
19.7	32.29390132
19.8	30.93778731
19.9	29.78087649
20	28.98406375
20.1	28.78486056
20.2	29.58167331
20.3	31.97211155
20.4	33.36653386
20.5	33.96414343
20.6	33.96414343
20.7	33.96414343
20.8	34.37393284
20.9	34.76095618
21	36.26248916
21.1	38.14741036
21.2	39.54183267
21.3	39.34262948
21.4	36.15537849
21.5	33.76494024
21.6	33.76494024
21.7	34.3625498
21.8	35.55776892
21.9	35.35856574
22	35.30096482
22.1	36.75298805
22.2	37.15139442
22.3	36.55378486
22.4	34.56175299
22.5	32.37051793
22.6	31.1752988
22.7	30.77689243
22.8	31.02447353
22.9	31.1752988
23	30.87904791
23.1	30.17928287
23.2	29.98007968
23.3	29.98007968
23.4	30.37848606
23.5	31.52390438
23.6	33.16733068
23.7	34.16334661
23.8	35.15936255
23.9	36.75298805
24	38.7048373
24.1	41.33466135
24.2	41.93227092
24.3	40.93625498
24.4	39.14342629
24.5	37.5498008
24.6	35.9561753
24.7	36.75298805
24.8	37.68924303
24.9	39.38612086
25	43.73144871
25.1	48.07677656
25.2	53.28685259
25.3	59.86055777
25.4	65.23904382
25.5	68.42629482
25.6	68.42629482
25.7	65.43824701
25.8	61.05577689
25.9	55.27888446
26	49.1788212
26.1	42.92828685
26.2	41.33466135
26.3	43.7250996
26.4	47.31075697
26.5	53.28685259
26.6	56.47410359
26.7	54.48207171
26.8	51.69322709
26.9	49.30278884
27	49.39693115
27.1	50.69721116
27.2	53.88446215
27.3	56.87250996
27.4	59.46215139
27.5	60.45816733
27.6	61.65338645
27.7	64.84063745
27.8	69.22310757
27.9	74.00398406
28	77.16910137
28.1	81.27711377
28.2	83.16733068
28.3	83.36653386
28.4	82.7689243
28.5	82.66932271
28.6	81.57370518
28.7	78.19057105
28.8	75.39840637
28.9	73.00796813
29	73.4063745
29.1	75.97830899
29.2	77.39043825
29.3	81.37450199
29.4	85.75697211
29.5	88.04780876
29.6	88.94422311
29.7	88.94422311
29.8	89.34262948
29.9	90.33864542
30	90.73705179
30.1	89.94023904
30.2	89.74103586
30.3	89.74103586
30.4	89.74103586
30.5	89.14342629
30.6	87.15139442
30.7	83.96414343
30.8	81.97211155
30.9	80.17928287
31	80.37848606
31.1	82.83021759
31.2	86.69169476
31.3	90.43824701
31.4	94.42231076
31.5	98.60557769
31.6	100.89641434
31.7	103.48605578
31.8	104.48207171
31.9	103.98406375
32	99.10358566
32.1	96.51394422
32.2	93.72225384
32.3	91.13545817
32.4	90.53784861
32.5	91.13545817
32.6	93.7250996
32.7	95.51792829
32.8	94.72111554
32.9	91.93227092
33	88.24701195
33.1	86.25498008
33.2	86.55378486
33.3	91.02680188
33.4	95.3187251
33.5	101.09561753
33.6	111.15537849
33.7	121.61354582
33.8	134.16334661
33.9	140.43824701
34	143.12749004
34.1	135.9561753
34.2	130.17928287
34.3	125.39840637
34.4	124.60159363
34.5	125.19920319
34.6	128.187251
34.7	130.57768924
34.8	130.57768924
34.9	127.39043825
35	122.70916335
35.1	116.23505976
35.2	113.04780876
35.3	111.85258964
35.4	114.84063745
35.5	114.24302789
35.6	108.26693227
35.7	105.47808765
35.8	102.88844622
35.9	100.69721116
36	100.09960159
36.1	100.49800797
36.2	103.88446215
36.3	105.87649402
36.4	105.87649402
36.5	105.27888446
36.6	105.67729084
36.7	106.47410359
36.8	106.67330677
36.9	106.47410359
37	104.98007968
37.1	101.69322709
37.2	98.30677291
37.3	96.31474104
37.4	97.72908367
37.5	99.10358566
37.6	100.29880478
37.7	97.50996016
37.8	92.52988048
37.9	86.33466135
38	82.02191235
38.1	78.5059761
38.2	75.79681275
38.3	67.82868526
38.4	59.26294821
38.5	49.50199203
38.6	41.73306773
38.7	37.94820717
38.8	35.9561753
38.9	35.15936255
39	34.89863761
39.1	34.76095618
39.2	32.56972112
39.3	32.17131474
39.4	33.36653386
39.5	32.37051793
39.6	31.37450199
39.7	30.37848606
39.8	30.57768924
39.9	31.57370518
40	32.75639102
40.1	34.57591939
40.2	35.9561753
40.3	36.75298805
40.4	37.35059761
40.5	37.35059761
40.6	36.75298805
40.7	35.55776892
40.8	35.75697211
40.9	35.9561753
41	36.90239044
41.1	37.35059761
41.2	36.75298805
41.3	37.35059761
41.4	38.14741036
41.5	38.34661355
41.6	38.74501992
41.7	38.74501992
41.8	39.54183267
41.9	39.94023904
42	39.87798805
42.1	39.74103586
42.2	39.34262948
42.3	38.34661355
42.4	37.15139442
42.5	36.55378486
42.6	36.55378486
42.7	38.14741036
42.8	42.92828685
42.9	48.70517928
43	59.77126816
43.1	71.01593625
43.2	87.74900398
43.3	108.26693227
43.4	137.5498008
43.5	185.15521248
43.6	247.20866534
43.7	309.26211819
43.8	371.31557105
43.9	409.66135458
44	417.72908367
44.1	419.22310757
44.2	419.27433125
44.3	419.32230263
44.4	419.37027401
44.5	419.41824539
44.6	419.46621677
44.7	419.51418815
44.8	419.56215953
44.9	419.6101309
45	419.82071713
45.1	420.21912351
