DEPT	GR
0	30.93501326
0.1	32.72546419
0.2	33.52122016
0.3	32.54244032
0.4	29.54244032
0.5	25.26525199
0.6	23.17639257
0.7	22.97745358
0.8	21.98275862
0.9	19.39655172
1	18.57265636
1.1	19.59549072
1.2	20.19230769
1.3	19.79442971
1.4	18.79973475
1.5	18.10344828
1.6	16.41246684
1.7	12.63262599
1.8	9.64854111
1.9	8.05702918
2	8.07264555
2.1	7.95755968
2.2	8.75331565
2.3	9.9469496
2.4	10.54376658
2.5	11.93633952
2.6	13.72679045
2.7	14.62201592
2.8	15.61671088
2.9	19.09814324
3	23.07692308
3.1	26.35941645
3.2	27.65251989
3.3	26.45888594
3.4	24.66843501
3.5	21.28647215
3.6	18.00397878
3.7	18.00397878
3.8	20.88859416
3.9	21.58488064
4	21.72413793
4.1	21.58488064
4.2	21.98275862
4.3	22.87798408
4.4	23.97214854
4.5	23.87267905
4.6	22.87798408
4.7	22.4801061
4.8	21.68435013
4.9	20.19230769
5	18.99199373
5.1	18.20291777
5.2	17.6061008
5.3	16.01458886
5.4	16.61140584
5.5	17.6061008
5.6	18.40185676
5.7	18.60079576
5.8	17.80503979
5.9	16.01458886
6	14.97728808
6.1	13.82625995
6.2	14.22413793
6.3	14.62201592
6.4	15.0198939
6.5	14.9204244
6.6	14.82095491
6.7	14.72148541
6.8	15.61671088
6.9	17.80503979
7	18.69942937
7.1	18.20291777
7.2	16.81034483
7.3	16.61140584
7.4	17.00928382
7.5	17.00928382
7.6	16.81034483
7.7	17.00928382
7.8	18.00397878
7.9	18.79973475
8	18.73865113
8.1	18.79973475
8.2	18.60079576
8.3	18.79973475
8.4	19.19761273
8.5	18.79973475
8.6	18.99867374
8.7	18.99867374
8.8	18.60079576
8.9	17.4071618
9	17.20822281
9.1	17.20822281
9.2	15.81564987
9.3	14.62201592
9.4	14.82095491
9.5	15.0198939
9.6	15.21883289
9.7	15.61671088
9.8	15.51724138
9.9	15.0198939
10	15.13179708
10.1	15.0198939
10.2	14.62201592
10.3	14.9204244
10.4	16.61140584
10.5	18.40185676
10.6	19.69496021
10.7	20.59018568
10.8	20.78912467
10.9	20.0928382
11	17.67208056
11.1	15.81564987
11.2	16.61140584
11.3	17.20822281
11.4	17.4071618
11.5	17.20822281
11.6	16.01458886
11.7	15.61671088
11.8	15.81564987
11.9	16.81034483
12	17.6061008
12.1	17.30769231
12.2	16.81034483
12.3	17.4071618
12.4	17.80503979
12.5	17.6061008
12.6	18.00397878
12.7	18.40185676
12.8	18.10344828
12.9	18.30238727
13	19.39655172
13.1	20.59018568
13.2	20.88859416
13.3	19.59549072
13.4	19.39655172
13.5	18.79973475
13.6	18.00397878
13.7	18.30238727
13.8	19.09814324
13.9	19.8938992
14	20.70954907
14.1	20.39124668
14.2	18.70026525
14.3	18.70026525
14.4	20.29177719
14.5	21.88328912
14.6	22.3806366
14.7	21.78381963
14.8	21.58488064
14.9	21.58488064
15	21.9243873
15.1	22.18169761
15.2	22.3806366
15.3	22.97745358
15.4	23.77320955
15.5	24.37002653
15.6	25.76259947
15.7	27.35411141
15.8	27.35411141
15.9	25.36472149
16	23.77320955
16.1	22.08222812
16.2	21.78381963
16.3	21.78381963
16.4	20.78912467
16.5	20.39124668
16.6	20.49071618
16.7	20.19230769
16.8	20.29177719
16.9	21.18700265
17	23.05702918
17.1	24.66843501
17.2	25.26525199
17.3	24.27055703
17.4	23.57427056
17.5	22.97745358
17.6	24.17108753
17.7	25.66312997
17.8	26.55835544
17.9	25.86206897
18	24.19308079
18.1	23.77320955
18.2	22.97745358
18.3	21.78381963
18.4	22.18169761
18.5	22.18169761
18.6	21.18700265
18.7	19.79442971
18.8	18.99867374
18.9	19.19761273
19	18.99867374
19.1	19.39655172
19.2	19.79442971
19.3	19.59549072
19.4	19.59549072
19.5	20.19230769
19.6	19.69496021
19.7	19.09814324
19.8	19.39655172
19.9	19.19761273
20	19.51023115
20.1	19.29708223
20.2	19.39655172
20.3	18.20291777
20.4	16.61140584
20.5	15.61671088
20.6	15.51724138
20.7	16.41246684
20.8	17.70557029
20.9	17.80503979
21	16.88992042
21.1	16.41246684
21.2	16.61140584
21.3	16.31299735
21.4	16.61140584
21.5	17.4071618
21.6	18.20291777
21.7	17.80503979
21.8	17.30769231
21.9	17.30769231
22	16.3228042
22.1	15.61671088
22.2	15.21883289
22.3	14.37002653
22.4	13.62732095
22.5	14.32360743
22.6	14.82095491
22.7	16.21352785
22.8	17.4071618
22.9	18.20291777
23	18.18271571
23.1	18.00397878
23.2	17.20822281
23.3	16.61140584
23.4	15.61671088
23.5	15.81564987
23.6	15.0198939
23.7	14.82095491
23.8	14.62201592
23.9	15.0198939
24	15.79786949
24.1	16.90981432
24.2	18.40185676
24.3	19.49602122
24.4	20.59018568
24.5	22.5795756
24.6	23.47480106
24.7	23.67374005
24.8	24.66843501
24.9	26.06100796
25	25.24361143
25.1	24.24339396
25.2	23.17639257
25.3	22.3806366
25.4	22.97745358
25.5	23.77320955
25.6	23.97214854
25.7	24.17108753
25.8	22.77851459
25.9	21.18700265
26	21.56710025
26.1	22.18169761
26.2	22.87798408
26.3	22.77851459
26.4	20.98806366
26.5	19.79442971
26.6	18.89920424
26.7	18.20291777
26.8	18.20291777
26.9	18.60079576
27	19.9933687
27.1	21.68435013
27.2	22.5795756
27.3	22.5795756
27.4	22.3806366
27.5	21.88328912
27.6	21.38594164
27.7	20.49071618
27.8	19.49602122
27.9	19.19761273
28	18.99867374
28.1	19.19761273
28.2	19.19761273
28.3	20.19230769
28.4	22.18169761
28.5	22.77851459
28.6	22.3806366
28.7	21.98275862
28.8	20.39124668
28.9	19.19761273
29	18.60079576
29.1	17.6061008
29.2	17.80503979
29.3	18.60079576
29.4	18.79973475
29.5	16.81034483
29.6	16.01458886
29.7	16.01458886
29.8	15.61671088
29.9	15.81564987
30	15.61671088
30.1	15.61671088
30.2	16.31299735
30.3	16.81034483
30.4	16.21352785
30.5	15.81564987
30.6	15.41777188
30.7	15.21883289
30.8	15.71618037
30.9	16.90981432
31	17.14854111
31.1	17.00928382
31.2	17.00928382
31.3	16.61140584
31.4	17.10875332
31.5	18.40185676
31.6	18.99867374
31.7	18.20291777
31.8	18.20291777
31.9	18.40185676
32	17.56911214
32.1	16.81034483
32.2	16.81034483
32.3	18.60079576
32.4	20.78912467
32.5	22.5795756
32.6	23.97214854
32.7	25.76259947
32.8	27.75198939
32.9	28.54774536
33	29.14456233
33.1	31.13395225
33.2	32.82493369
33.3	33.12334218
33.4	32.32758621
33.5	29.64190981
33.6	26.75729443
33.7	24.56896552
33.8	21.78381963
33.9	20.39124668
34	20.36925343
34.1	20.98806366
34.2	22.5795756
34.3	23.77320955
34.4	24.76790451
34.5	24.37002653
34.6	22.18169761
34.7	20.78912467
34.8	20.98806366
34.9	22.18169761
35	23.64058355
35.1	25.20557029
35.2	25.96153846
35.3	25.76259947
35.4	26.16047745
35.5	26.35941645
35.6	27.5530504
35.7	29.54244032
35.8	30.33819629
35.9	30.33819629
36	30.13925729
36.1	28.94562334
36.2	27.75198939
36.3	27.75198939
36.4	27.95092838
36.5	27.35411141
36.6	27.35411141
36.7	27.5530504
36.8	25.96153846
36.9	24.37002653
37	24.17108753
37.1	24.9668435
37.2	25.26525199
37.3	24.27055703
37.4	22.87798408
37.5	22.18169761
37.6	20.68965517
37.7	19.09814324
37.8	18.30238727
37.9	18.89920424
38	19.56233422
38.1	19.69496021
38.2	19.39655172
38.3	19.59549072
38.4	20.0928382
38.5	20.78912467
38.6	22.87798408
38.7	24.07161804
38.8	25.066313
38.9	26.25994695
39	27.03720859
39.1	26.16047745
39.2	24.56896552
39.3	24.56896552
39.4	23.37533156
39.5	23.37533156
39.6	25.16578249
39.7	26.35941645
39.8	26.55835544
39.9	25.16578249
40	25.78634615
40.1	26.55835544
