DEPT	GR
27.8	27.26364847
27.9	27.78910171
28	28.20618434
28.1	28.45789843
28.2	28.25664605
28.3	28.64311608
28.4	28.57199535
28.5	28.39575261
28.6	28.26691209
28.7	27.83463856
28.8	26.66713641
28.9	25.17812989
29	23.77267438
29.1	22.53181618
29.2	21.164929
29.3	20.65255174
29.4	20.72693934
29.5	21.18513677
29.6	21.59949815
29.7	22.77368576
29.8	23.60135103
29.9	24.21824403
30	23.89467232
30.1	23.27596957
30.2	22.51394879
30.3	22.47357303
30.4	22.78892472
30.5	22.87129812
30.6	22.83000398
30.7	22.00575563
30.8	21.32811096
30.9	20.87805959
31	20.87957631
31.1	20.80146447
31.2	20.45507641
31.3	20.47507777
31.4	20.61792723
31.5	21.17860889
31.6	20.77811815
31.7	19.35763021
31.8	18.90395286
31.9	19.24466866
32	20.58925659
32.1	22.31541954
32.2	23.58455278
32.3	24.38951938
32.4	23.85521271
32.5	22.82501996
32.6	22.06658972
32.7	22.08065176
32.8	22.38573719
32.9	22.66223401
33	23.37821552
33.1	23.50678415
33.2	23.11359082
33.3	22.65969792
33.4	22.87486963
33.5	23.20035616
33.6	23.39202198
33.7	24.12479563
33.8	24.69650003
33.9	25.03210736
34	25.49996682
34.1	25.85521634
34.2	26.66427187
34.3	27.56221983
34.4	28.53240124
34.5	29.57515095
34.6	30.76523706
34.7	30.88060802
34.8	31.14619836
34.9	31.87025114
35	32.15554115
35.1	32.2422899
35.2	31.31280356
35.3	30.63952075
35.4	30.22274005
35.5	30.02671641
35.6	30.11798518
35.7	29.48575248
35.8	28.70834518
35.9	28.46234278
36	28.69853431
36.1	28.75082387
36.2	28.11750827
36.3	28.86144576
36.4	30.01473267
36.5	31.29882469
36.6	32.59005896
36.7	32.76243822
36.8	32.15210161
36.9	30.89090306
37	30.00511203
37.1	29.15018719
37.2	28.07383287
37.3	27.42971534
37.4	27.24703994
37.5	27.68705274
37.6	28.21859939
37.7	28.27614445
37.8	28.47876166
37.9	28.61618826
38	28.87541881
38.1	29.48787776
38.2	30.27382889
38.3	30.41199818
38.4	29.76525615
38.5	28.76640786
38.6	28.35584269
38.7	28.73704931
38.8	29.75659644
38.9	30.35922726
39	31.13700514
39.1	31.96859091
39.2	32.06702221
39.3	31.64765301
39.4	31.6652401
39.5	32.10538682
39.6	32.80361043
39.7	33.2559518
39.8	33.5577747
39.9	33.49663095
40	33.36679737
40.1	33.21259577
40.2	33.06368347
40.3	32.64876626
40.4	32.65253228
40.5	33.04711421
40.6	33.38794498
40.7	34.23079055
40.8	34.59220794
40.9	34.42348804
41	34.39608704
41.1	34.06982021
41.2	34.49722057
41.3	35.04392349
41.4	35.08464015
41.5	34.51326801
41.6	33.70711598
41.7	33.25971987
41.8	33.1116807
41.9	33.83793033
42	34.64964944
42.1	35.49961438
42.2	35.9503895
42.3	35.76003019
42.4	35.25920391
42.5	35.25676577
42.6	35.75911843
42.7	36.41827184
42.8	37.19091052
42.9	37.00800309
43	37.33736625
43.1	38.04515591
43.2	38.97225258
43.3	40.43873769
43.4	42.47835473
43.5	44.82138771
43.6	47.34960184
43.7	50.04941967
43.8	51.86399105
43.9	51.63184416
44	50.01906452
44.1	48.84240997
44.2	48.64551534
44.3	48.83433333
44.4	49.76009173
44.5	50.7318141
44.6	52.13473889
44.7	54.24114915
44.8	57.18717944
44.9	60.38988835
45	63.6833902
45.1	66.94898721
45.2	69.89802981
45.3	72.7923124
45.4	75.2212307
45.5	77.02823661
45.6	77.03148693
45.7	73.86115075
45.8	66.48138909
45.9	59.37419961
46	55.22422693
46.1	52.32950407
46.2	50.82731107
46.3	49.26989131
46.4	48.61148332
46.5	49.41062509
46.6	50.44947742
46.7	51.4083664
46.8	52.35220605
46.9	53.62790397
47	55.29082925
47.1	57.32378761
47.2	59.09747407
47.3	60.61690617
47.4	61.82289738
47.5	62.07302803
47.6	61.05494254
47.7	59.68699208
47.8	58.76822642
47.9	59.0087566
48	59.82392362
48.1	60.88338792
48.2	61.97437129
48.3	62.2813694
48.4	61.57807746
48.5	60.397914
48.6	59.44848185
48.7	58.8961996
48.8	59.0555423
48.9	59.45666931
49	60.25414681
49.1	60.80855147
49.2	60.2663728
49.3	58.07806862
49.4	53.55093631
49.5	48.8690358
49.6	45.51906543
49.7	42.58216194
49.8	40.50698307
49.9	39.23098182
50	38.21018893
50.1	37.10224773
50.2	36.45095077
50.3	35.6793361
50.4	34.85660778
50.5	33.69675221
50.6	32.66196976
50.7	32.2759429
50.8	32.68991622
50.9	33.47829771
51	34.54735939
51.1	35.33993059
51.2	35.87384065
51.3	36.25169842
51.4	35.31797986
51.5	33.38499193
51.6	31.36698652
51.7	30.69389472
51.8	30.2855557
51.9	30.05205994
52	29.36875777
52.1	28.5699627
52.2	27.82780929
52.3	26.71139908
52.4	25.3012078
52.5	23.74132759
52.6	22.84971541
52.7	22.89321249
52.8	23.03794813
52.9	24.23362903
53	25.9520593
53.1	28.25255178
53.2	30.36488722
53.3	33.32598167
53.4	36.61594913
53.5	40.83288571
53.6	46.21852814
53.7	51.96135934
53.8	59.10652422
53.9	67.49443423
54	80.98191867
54.1	91.70270152
54.2	91.75382012
54.3	86.67602985
54.4	82.56211527
54.5	81.60674658
54.6	83.72715233
54.7	89.98655264
54.8	103.69577124
54.9	112.7107958
55	115.07749501
55.1	111.24143417
55.2	105.50893652
55.3	97.24489878
55.4	89.14276261
55.5	74.30333419
55.6	69.65864136
55.7	64.34533672
55.8	62.8081351
55.9	64.1857587
56	66.50808866
56.1	69.1263305
56.2	69.48038487
56.3	68.54287679
56.4	67.59674164
56.5	67.95546062
56.6	69.90982096
56.7	74.17115001
56.8	79.17871365
56.9	84.25140599
57	92.12004247
57.1	100.69108918
57.2	110.60602697
57.3	121.28813263
57.4	131.90768047
57.5	141.4897984
57.6	145.20317159
57.7	145.24356467
57.8	139.43112676
57.9	135.5167806
58	130.45894613
58.1	124.14224743
58.2	116.86008497
58.3	109.68791058
58.4	100.58045591
58.5	93.64166774
58.6	92.40615572
58.7	96.19540877
58.8	101.35217306
58.9	104.94859972
59	105.55635889
59.1	100.69973051
59.2	106.42382837
59.3	104.20105477
59.4	124.24763647
59.5	134.46032263
59.6	139.6059652
59.7	143.78531124
59.8	147.15224573
59.9	149.58625009
60	150.79643872
60.1	151.99908125
60.2	152.50617448
60.3	150.84359762
60.4	148.15508549
60.5	146.02474767
60.6	145.19805885
60.7	144.15463347
60.8	142.52547361
60.9	141.04714826
61	140.28003353
61.1	139.27345252
61.2	137.92762468
61.3	136.12838899
61.4	135.30527025
61.5	135.28303926
61.6	135.50589136
61.7	135.84180766
61.8	136.9077054
61.9	137.66283607
62	138.02635679
62.1	137.95233987
62.2	137.15975562
62.3	137.10818819
62.4	137.48272377
62.5	137.99661444
62.6	138.31783811
62.7	137.53867842
62.8	135.34253707
62.9	132.45482405
63	129.65922908
63.1	124.80559421
63.2	119.89299099
63.3	115.09232881
63.4	110.19373874
63.5	103.25043071
63.6	94.84363159
63.7	88.04353417
63.8	86.25211782
63.9	85.57523409
64	86.30916832
64.1	87.56292104
64.2	91.45220542
64.3	100.22641352
64.4	111.72165434
64.5	123.6493665
64.6	131.30911289
64.7	136.4172444
64.8	139.99723707
64.9	142.85836252
65	145.65081866
65.1	147.53832186
65.2	148.97531681
65.3	150.17793749
65.4	151.14647464
65.5	151.8189752
65.6	151.16751254
65.7	149.96366074
65.8	147.98625558
65.9	144.42302575
66	139.09511084
66.1	133.24814882
66.2	125.77840539
66.3	115.92589108
66.4	101.54912904
66.5	84.77210555
66.6	65.95285486
66.7	56.38502
66.8	34.23811353
66.9	22.3069441
67	20.82562383
67.1	20.26553152
67.2	20.86996221
67.3	22.51306861
67.4	23.81498047
67.5	25.44608712
67.6	28.20375027
67.7	31.97859673
67.8	36.57262717
67.9	41.1080228
68	45.63980898
68.1	50.89120806
68.2	56.85750657
68.3	63.3360013
68.4	71.92155215
68.5	76.98264256
68.6	82.92199154
68.7	86.70276605
68.8	88.85314876
68.9	89.4943935
69	89.41847864
69.1	90.01637796
69.2	91.61341789
69.3	92.94243305
69.4	91.96088022
69.5	90.61729478
69.6	89.58363663
69.7	88.10558182
69.8	87.01673028
69.9	87.93882171
70	90.33172276
70.1	95.41654586
70.2	105.10152042
70.3	114.05449596
70.4	124.82041604
70.5	131.45668926
70.6	132.74770071
70.7	134.92361195
70.8	137.33961245
70.9	137.76608914
71	134.52094865
71.1	134.64249963
71.2	136.19618663
71.3	135.56873465
71.4	133.18175451
71.5	130.88867451
71.6	129.77107577
71.7	129.88619274
71.8	130.55450635
71.9	130.91713559
72	130.97861328
72.1	131.39609491
72.2	131.9793015
72.3	131.07639822
72.4	129.70119685
72.5	129.45100237
72.6	130.16163859
72.7	131.37161882
72.8	131.80515737
72.9	130.12971731
73	127.64913207
73.1	123.82622216
73.2	119.3717225
73.3	115.20580537
73.4	110.57078045
73.5	106.49344993
73.6	103.49806793
73.7	103.13118508
73.8	108.58463797
73.9	114.05589322
74	117.26085817
74.1	120.12464467
74.2	121.70730527
74.3	115.89573653
74.4	107.23654722
74.5	101.3109685
74.6	95.48695017
74.7	87.49918078
74.8	79.43340629
74.9	72.06188188
75	71.48823282
75.1	77.62369171
75.2	83.99270569
75.3	90.27114217
75.4	96.34282104
75.5	100.98999467
75.6	104.34329978
75.7	105.73438385
75.8	101.29068517
75.9	97.82428902
76	98.28427567
76.1	102.34882794
76.2	107.2025673
76.3	113.01413002
76.4	120.53685411
76.5	134.39679668
76.6	140.9309603
76.7	140.63002342
76.8	135.02486068
76.9	131.89052856
77	130.84943969
77.1	130.54019328
77.2	130.77749988
77.3	131.61134982
77.4	133.48822343
77.5	134.75588552
77.6	135.10203362
77.7	135.82914604
77.8	137.41565558
77.9	138.612152
78	139.89533146
78.1	141.65785842
78.2	141.56165057
78.3	139.02921982
78.4	137.2966019
78.5	137.98623293
78.6	139.01574681
78.7	139.78183589
78.8	139.48944999
78.9	139.31522345
79	139.75196918
79.1	139.72517348
79.2	139.38192838
79.3	138.984122
79.4	138.48493076
79.5	137.91148374
79.6	138.41273917
79.7	139.77790676
79.8	141.17617756
79.9	141.28056574
80	140.08258338
80.1	138.19140798
80.2	136.50762816
80.3	136.04092145
80.4	135.76566775
80.5	133.88382443
80.6	132.0590496
80.7	132.19437457
80.8	133.72644655
80.9	135.38561878
81	136.77023838
81.1	139.06449455
81.2	140.43550424
81.3	140.4864659
81.4	139.7329026
81.5	137.58536274
81.6	135.28201979
81.7	132.86578214
81.8	129.5444155
81.9	125.07453135
82	120.60753455
82.1	116.75439764
82.2	116.60760484
82.3	121.24279902
82.4	126.0959299
82.5	131.11164034
82.6	134.81845449
82.7	135.48339053
82.8	134.71178886
82.9	135.20665101
83	136.61855696
83.1	137.74222219
83.2	136.63303909
83.3	135.34836163
83.4	134.16027076
83.5	132.79376966
83.6	133.65302852
83.7	134.4201058
83.8	132.76307572
83.9	130.86978933
84	127.76679154
84.1	123.13475433
84.2	120.41159275
84.3	118.1214906
84.4	119.55762399
84.5	123.56227637
84.6	125.90332018
84.7	125.32446137
84.8	124.11249205
84.9	122.97783589
85	121.83589256
85.1	120.63771829
85.2	120.59005826
85.3	121.3870697
85.4	123.929778
85.5	126.31763372
85.6	127.92503061
85.7	126.91989439
85.8	124.45887094
85.9	121.71085805
86	120.21289328
86.1	117.90997752
86.2	116.16550189
86.3	114.23842237
86.4	110.43380274
86.5	106.91049821
86.6	103.4865141
86.7	101.35808858
86.8	102.20714525
86.9	103.79873709
87	104.48756117
87.1	104.9194616
87.2	106.69287454
87.3	109.20081227
87.4	111.54842965
87.5	113.53958158
87.6	116.63620152
87.7	119.82124637
87.8	122.86660516
87.9	124.00330533
88	122.36235108
88.1	119.86552161
88.2	118.94097951
88.3	118.31192852
88.4	119.08344681
88.5	119.81811676
88.6	119.39246963
88.7	117.79733972
88.8	116.97901468
88.9	117.43563698
89	118.56976135
89.1	120.51490199
89.2	122.95707963
89.3	125.38322936
89.4	126.89514025
89.5	128.21542915
89.6	130.71676372
89.7	132.86876476
89.8	134.0196355
89.9	132.11085369
90	130.98443949
90.1	128.92969614
90.2	123.60273346
90.3	117.80405402
90.4	112.4369866
90.5	106.20230762
90.6	101.1766461
90.7	99.65424872
90.8	103.59442822
90.9	111.3264522
91	118.70380143
91.1	125.51500475
91.2	132.46415841
91.3	137.97266853
91.4	139.91874569
91.5	139.05112385
91.6	136.41648143
91.7	132.77749969
91.8	128.69988841
91.9	124.72833843
92	119.29733713
92.1	116.34160322
92.2	117.04601158
92.3	119.53704466
92.4	122.78746641
92.5	127.39917175
92.6	132.15380031
92.7	133.42180121
92.8	131.75651254
92.9	130.06460125
93	129.47381674
93.1	129.14016102
93.2	129.50810537
93.3	130.26408879
93.4	129.68513934
93.5	125.93275487
93.6	118.1713519
93.7	109.16192209
93.8	100.25185696
93.9	93.19510309
94	85.16517518
94.1	83.83881077
94.2	84.64043018
94.3	94.9286362
94.4	104.24799322
94.5	114.63412885
94.6	126.49186531
94.7	136.80790166
94.8	141.21969493
94.9	144.378793
95	145.09912607
95.1	142.89329312
95.2	142.02712468
95.3	143.19495892
95.4	145.19262982
95.5	147.0117477
95.6	148.26170513
95.7	147.86032873
95.8	146.87998538
95.9	146.5818376
96	147.19460442
96.1	147.52397991
96.2	145.86670098
96.3	143.59794945
96.4	142.27719181
96.5	143.27494478
96.6	145.33820526
96.7	146.15969104
96.8	143.36008182
96.9	137.88152761
97	132.02638727
97.1	124.37503226
97.2	114.82455167
97.3	102.99068938
97.4	95.27131622
97.5	86.71180551
97.6	74.53500379
97.7	68.28284814
97.8	69.61311461
97.9	77.0373204
98	84.81117418
98.1	92.17236599
98.2	106.57544581
98.3	117.53595888
98.4	124.26144098
98.5	128.59415342
98.6	131.96676189
98.7	136.04770016
98.8	138.29712246
98.9	139.04105674
99	138.86711397
99.1	137.90847128
99.2	136.87628531
99.3	135.85227647
99.4	134.42139889
99.5	132.14755672
99.6	130.12120084
99.7	128.62679068
99.8	128.32939057
99.9	129.3354474
100	130.96888414
100.1	132.59909223
100.2	134.2502284
100.3	135.26620355
100.4	135.71426549
100.5	137.15154318
100.6	138.36024795
100.7	138.36127931
100.8	137.44877507
100.9	137.68469802
101	137.94567322
101.1	138.53396488
101.2	138.6958128
101.3	138.22074596
101.4	133.91549055
101.5	132.39263451
101.6	131.32098749
101.7	129.03937285
101.8	124.22474591
101.9	118.36707696
102	113.4077405
102.1	109.03254561
102.2	101.08879418
102.3	93.31723298
102.4	89.31800455
102.5	86.9930277
102.6	84.02095605
102.7	79.91496395
102.8	75.59548714
102.9	71.4680263
103	68.29576905
103.1	65.52502481
103.2	67.10669819
103.3	69.36701552
103.4	70.55679243
103.5	71.24976798
103.6	71.99761487
103.7	72.62774597
103.8	73.47258505
103.9	74.64083703
104	75.79885505
104.1	77.43542786
104.2	78.5309659
104.3	79.49146876
104.4	80.68918731
104.5	82.1861559
104.6	83.73072775
104.7	85.01071092
104.8	85.49891264
104.9	85.2303052
105	83.79953869
105.1	81.86250705
105.2	79.97950593
105.3	77.90379088
105.4	76.67712429
105.5	73.62741101
105.6	70.92643153
105.7	69.73381267
105.8	69.26048208
105.9	68.1243316
106	66.76432672
106.1	64.76285716
106.2	62.86563908
106.3	62.16512278
106.4	61.88326592
106.5	61.62300695
106.6	61.77789668
106.7	62.32115875
106.8	63.41307821
106.9	64.61513917
107	63.83841281
107.1	61.20095587
107.2	59.10748262
107.3	57.91822414
107.4	57.01221905
107.5	56.66705776
107.6	58.04359252
107.7	60.00333353
107.8	62.17767938
107.9	65.07472229
108	67.07666461
108.1	69.0548411
108.2	70.71353731
108.3	71.57198824
108.4	72.43328262
108.5	72.5699341
