DEPT	GR
0	16.65558511
0.1	16.65558511
0.2	17.39046753
0.3	18.65026596
0.4	19.91006439
0.5	20.84441489
0.6	21.04388298
0.7	21.25166223
0.8	21.75033245
0.9	22.0412234
1	21.60488697
1.1	20.84441489
1.2	20.84441489
1.3	21.96808511
1.4	23.00531915
1.5	24.06582447
1.6	25.23271277
1.7	25.43218085
1.8	22.17722437
1.9	18.0518617
2	16.18038173
2.1	14.13876721
2.2	12.16755319
2.3	11.26994681
2.4	11.36968085
2.5	11.76861702
2.6	13.74905015
2.7	15.80072188
2.8	17.74157801
2.9	19.64760638
3	20.44547872
3.1	19.45312962
3.2	18.52659574
3.3	17.81819909
3.4	17.25398936
3.5	18.25132979
3.6	20.25028495
3.7	22.24924012
3.8	23.91799435
3.9	25.44852493
4	26.97905551
4.1	28.50958609
4.2	29.22207447
4.3	27.95794548
4.4	26.42952128
4.5	26.54920213
4.6	27.9375
4.7	28.8231383
4.8	29.22207447
4.9	27.98864595
5	26.62898936
5.1	26.03058511
5.2	26.03058511
5.3	26.92819149
5.4	28.62367021
5.5	28.8231383
5.6	28.42420213
5.7	28.88962766
5.8	29.42154255
5.9	29.42154255
6	29.62101064
6.1	31.08493293
6.2	32.46646623
6.3	33.84799954
6.4	35.20611702
6.5	35.40558511
6.6	34.60771277
6.7	34.31515957
6.8	34.00930851
6.9	32.84574468
7	32.41356383
7.1	33.61037234
7.2	33.5106383
7.3	34.60771277
7.4	35.40558511
7.5	34.25411025
7.6	32.62209865
7.7	31.61569149
7.8	31.21675532
7.9	30.71808511
8	30.11968085
8.1	29.04885218
8.2	27.72606383
8.3	26.40327548
8.4	25.23271277
8.5	25.23271277
8.6	25.53191489
8.7	26.04483283
8.8	26.4793883
8.9	26.56966039
9	26.33234452
9.1	25.8643617
9.2	25.23271277
9.3	24.20295878
9.4	23.63696809
9.5	23.91803675
9.6	24.86460348
9.7	25.9137538
9.8	27.40121581
9.9	28.88867781
10	29.22207447
10.1	28.22473404
10.2	28.9012633
10.3	30.01662234
10.4	30.41888298
10.5	28.93712006
10.6	28.02526596
10.7	28.26672732
10.8	30.5081187
10.9	32.74951008
11	34.80718085
11.1	37.64195721
11.2	38.88487842
11.3	38.39760638
11.4	39.59156535
11.5	40.7912234
11.6	38.13829787
11.7	36.20345745
11.8	36.20345745
11.9	36.00398936
12	35.10098222
12.1	34.00930851
12.2	34.42486702
12.3	35.20611702
12.4	35.50531915
12.5	36.40292553
12.6	36.60239362
12.7	34.75731383
12.8	32.41356383
12.9	32.01462766
13	31.21675532
13.1	29.94514628
13.2	28.84807181
13.3	27.82579787
13.4	27.62632979
13.5	28.77327128
13.6	30.03656915
13.7	31.29986702
13.8	32.45345745
13.9	33.57047872
14	34.43773996
14.1	34.55572108
14.2	34.4431516
14.3	34.11901596
14.4	33.67769282
14.5	33.04936835
14.6	32.38738364
14.7	31.81515957
14.8	32.01462766
14.9	32.8125
15	35.47486145
15.1	38.09175532
15.2	40.64494681
