DEPT	GR
300.2	84.90059642
300.3	87.82306163
300.4	87.82306163
300.5	85.13916501
300.6	84.2445328
300.7	87.22664016
300.8	90.80516899
300.9	92.5944334
301	93.19085487
301.1	92.89264414
301.2	89.31411531
301.3	84.69184891
301.4	83.05168986
301.5	81.26242545
301.6	80.81510934
301.7	82.15705765
301.8	84.39363817
301.9	86.33200795
302	88.27037773
302.1	89.76143141
302.2	92.29622266
302.3	94.38369781
302.4	95.27833002
302.5	92.89264414
302.6	87.972167
302.7	83.05168986
302.8	79.77137177
302.9	76.93836978
303	76.19284294
303.1	86.03379722
303.2	88.12127237
303.3	91.10337972
303.4	91.99801193
303.5	90.80516899
303.6	90.65606362
303.7	90.95427435
303.8	94.08548708
303.9	92.1471173
304	92.5305311
304.1	94.74581085
304.2	96.17296223
304.3	97.51491054
304.4	98.26043738
304.5	97.51491054
304.6	96.02385686
304.7	93.63817097
304.8	93.0417495
304.9	92.74353877
305	93.48906561
305.1	94.08548708
305.2	93.48906561
305.3	94.68190855
305.4	96.17296223
305.5	95.27833002
305.6	94.98011928
305.7	94.08548708
305.8	90.50695825
305.9	85.73558648
306	86.03379722
306.1	89.76143141
306.2	93.33996024
306.3	95.57654076
306.4	95.87475149
306.5	94.98011928
306.6	96.7693837
306.7	98.70775348
306.8	98.55864811
306.9	94.53280318
307	91.99801193
307.1	89.31411531
307.2	87.22664016
307.3	87.22664016
307.4	87.82306163
307.5	89.01590457
307.6	90.20874751
307.7	90.80516899
307.8	90.20874751
307.9	87.82306163
308	87.82306163
308.1	92.74353877
308.2	98.11133201
308.3	100.49701789
308.4	100.944334
308.5	100.64612326
308.6	97.6640159
308.7	94.08548708
308.8	93.48906561
308.9	95.57654076
309	96.7693837
309.1	95.12922465
309.2	96.32206759
309.3	99.45328032
309.4	101.8389662
309.5	100.944334
309.6	99.45328032
309.7	96.17296223
309.8	92.89264414
309.9	92.44532803
310	91.49105368
310.1	88.71769384
310.2	85.43737575
310.3	83.64811133
310.4	85.28827038
310.5	87.37574553
310.6	90.35785288
310.7	92.44532803
310.8	94.38369781
310.9	95.57654076
311	96.91848907
311.1	97.96222664
311.2	99.90059642
311.3	100.49701789
311.4	99.00596421
311.5	97.51491054
311.6	97.51491054
311.7	96.91848907
311.8	94.53280318
311.9	92.5944334
312	91.10337972
312.1	92.44532803
312.2	91.84890656
312.3	91.10337972
312.4	90.95427435
312.5	93.33996024
312.6	96.47117296
312.7	96.91848907
312.8	98.40954274
312.9	98.55864811
313	98.55864811
313.1	98.55864811
313.2	98.85685885
313.3	100.34791252
313.4	103.92644135
313.5	106.61033797
313.6	113.76739563
313.7	121.22266402
313.8	127.48508946
313.9	128.70775348
314	116.57107564
314.1	94.38369781
314.2	85.13916501
314.3	76.78926441
314.4	73.48906561
314.5	70.8250497
314.6	70.22862823
314.7	70.22862823
314.8	67.84294235
314.9	63.96620278
315	55.86357631
315.1	46.96819085
315.2	41.60039761
315.3	38.61829026
315.4	38.02186879
315.5	38.02186879
315.6	40.70576541
315.7	45.47713718
315.8	48.75745527
315.9	53.82703777
316	57.09825019
316.1	60.53677932
316.2	66.50099404
316.3	73.50894632
316.4	79.02584493
316.5	82.15705765
316.6	85.28827038
316.7	89.46322068
316.8	90.20874751
316.9	89.61232604
317	89.97805619
317.1	90.95333658
317.2	91.69980119
317.3	93.19085487
317.4	94.08548708
317.5	93.78727634
317.6	94.08548708
317.7	94.98011928
317.8	94.98011928
317.9	94.70427435
318	94.84965209
318.1	94.98011928
318.2	97.36580517
318.3	103.33001988
318.4	106.31212724
318.5	107.50497018
318.6	107.50497018
318.7	106.0139165
318.8	103.33001988
318.9	102.73359841
319	105.41749503
319.1	106.4612326
319.2	105.26838966
319.3	103.92644135
319.4	99.30417495
319.5	97.2166998
319.6	96.7693837
319.7	96.7693837
319.8	96.47117296
319.9	96.17296223
320	96.17296223
320.1	98.55864811
320.2	98.85685885
320.3	98.85685885
320.4	100.34791252
320.5	102.43538767
320.6	103.03180915
320.7	100.04970179
320.8	98.26043738
320.9	97.06759443
321	97.01751324
321.1	98.85685885
321.2	100.944334
321.3	101.68986083
321.4	101.68986083
321.5	100.34791252
321.6	101.24254473
321.7	101.98807157
321.8	100.944334
321.9	99.45328032
322	97.96222664
322.1	99.60238569
322.2	101.8389662
322.3	102.73359841
322.4	101.54075547
322.5	99.45328032
322.6	99.00596421
322.7	98.26043738
322.8	98.85685885
322.9	98.85685885
323	99.45328032
323.1	97.36580517
323.2	94.38369781
323.3	92.44532803
323.4	92.5944334
323.5	98.55864811
323.6	102.73359841
323.7	106.0139165
323.8	108.10139165
323.9	109.44333996
324	110.1888668
324.1	108.39960239
324.2	104.37375746
324.3	101.98807157
324.4	102.43538767
324.5	104.67196819
324.6	106.0139165
324.7	107.80318091
324.8	106.90854871
324.9	103.03180915
325	98.47442065
325.1	95.87475149
325.2	93.50397614
325.3	91.40159046
325.4	91.40159046
325.5	93.78727634
325.6	97.96222664
325.7	103.92644135
325.8	105.41749503
325.9	104.52286282
326	103.47912525
326.1	103.33001988
326.2	103.33001988
326.3	102.73359841
326.4	100.64612326
326.5	102.43538767
326.6	104.22465209
326.7	103.62823062
326.8	103.62823062
326.9	104.22465209
327	105.11928429
327.1	105.11928429
327.2	105.41749503
327.3	105.41749503
327.4	103.33001988
327.5	103.03180915
327.6	105.41749503
327.7	109.29423459
327.8	111.67992048
327.9	112.27634195
328	112.57455268
328.1	109.59244533
328.2	111.23260437
328.3	111.97813121
328.4	108.99602386
328.5	106.4612326
328.6	99.75149105
328.7	96.02385686
328.8	95.27833002
328.9	96.02385686
329	97.06759443
329.1	97.6640159
329.2	101.54075547
329.3	108.69781312
329.4	108.39960239
329.5	106.0139165
329.6	104.52286282
329.7	100.944334
329.8	98.55864811
329.9	99.45328032
330	100.944334
330.1	102.13717694
330.2	101.24254473
330.3	96.91848907
330.4	95.87475149
330.5	102.73359841
330.6	104.22465209
330.7	105.11928429
330.8	105.5666004
330.9	103.92644135
331	101.8389662
331.1	99.60238569
331.2	99.15506958
331.3	99.30417495
331.4	99.15506958
331.5	98.40954274
331.6	99.60238569
331.7	101.3916501
331.8	103.47912525
331.9	103.03180915
332	101.91773885
332.1	101.33257061
332.2	100.64612326
332.3	100.04970179
332.4	100.64612326
332.5	101.8389662
332.6	104.82107356
332.7	108.99602386
332.8	110.78528827
332.9	111.38170974
333	110.1888668
333.1	106.61033797
333.2	103.33001988
333.3	100.49701789
333.4	99.15506958
333.5	98.40954274
333.6	97.6640159
333.7	98.70775348
333.8	101.24254473
333.9	104.22465209
334	107.50497018
334.1	105.71570577
334.2	104.52286282
334.3	103.62823062
334.4	105.71570577
334.5	110.1888668
334.6	113.46918489
334.7	111.38170974
334.8	106.90854871
334.9	105.41749503
335	108.39960239
335.1	106.07355865
335.2	102.43538767
335.3	100.64612326
335.4	104.22465209
335.5	108.69781312
335.6	111.97813121
335.7	109.89065606
335.8	106.31212724
335.9	103.92644135
336	103.03180915
336.1	98.11133201
336.2	95.72564612
336.3	94.98011928
336.4	94.98011928
336.5	94.68190855
336.6	95.72564612
336.7	98.26043738
336.8	100.64612326
336.9	103.92644135
337	105.71570577
337.1	103.05310991
337.2	99.13376882
337.3	98.26043738
337.4	100.49701789
337.5	101.24254473
337.6	103.47912525
337.7	104.22465209
337.8	105.86481113
337.9	106.61033797
338	104.97017893
338.1	104.52286282
338.2	104.37375746
338.3	102.73359841
338.4	100.64612326
338.5	100.04970179
338.6	100.34791252
338.7	101.24254473
338.8	101.54075547
338.9	99.45328032
339	97.06759443
339.1	90.80516899
339.2	90.35785288
339.3	93.33996024
339.4	100.49701789
339.5	109.44333996
339.6	111.82902584
339.7	110.1888668
339.8	108.39960239
339.9	107.80318091
340	104.22465209
340.1	104.37375746
340.2	109.29423459
340.3	110.33797217
340.4	110.93439364
340.5	112.42544732
340.6	113.17097416
340.7	106.90854871
340.8	104.22465209
340.9	100.79522863
341	99.15506958
341.1	99.30417495
341.2	99.45328032
341.3	99.45328032
341.4	97.36580517
341.5	94.08548708
341.6	94.08548708
341.7	99.00596421
341.8	101.54075547
341.9	104.52286282
342	106.0139165
342.1	106.0139165
342.2	104.22465209
342.3	102.43538767
342.4	106.0139165
342.5	107.65407555
342.6	103.03180915
342.7	97.06759443
342.8	93.48906561
342.9	95.42743539
343	99.09542744
343.1	102.88270378
343.2	104.82107356
343.3	104.52286282
343.4	101.24254473
343.5	99.90059642
343.6	99.30417495
343.7	98.26043738
343.8	99.00596421
343.9	100.64612326
344	102.73359841
344.1	106.14396329
344.2	108.10139165
344.3	106.0139165
344.4	103.62823062
344.5	99.75149105
344.6	98.26043738
344.7	97.6640159
344.8	99.15506958
344.9	103.03180915
345	106.19133301
345.1	108.39960239
345.2	107.80318091
345.3	106.90854871
345.4	111.67992048
345.5	118.38966203
345.6	121.66998012
345.7	123.45924453
345.8	122.71371769
345.9	121.37176938
346	119.88071571
346.1	113.87922465
346.2	108.54870775
346.3	108.69781312
346.4	110.1888668
346.5	107.95228628
346.6	102.73359841
346.7	100.49701789
346.8	101.24254473
346.9	101.8389662
347	99.28287418
347.1	98.26043738
347.2	98.26043738
347.3	97.6640159
347.4	99.45328032
347.5	103.62823062
347.6	105.41749503
347.7	104.52286282
347.8	102.73359841
347.9	101.54075547
348	102.72449274
348.1	106.0139165
348.2	108.84691849
348.3	109.7415507
348.4	111.82902584
348.5	112.87276342
348.6	110.6361829
348.7	110.1888668
348.8	111.97813121
348.9	113.02186879
349	112.27634195
349.1	109.14512922
349.2	105.71570577
349.3	102.13717694
349.4	101.3916501
349.5	104.22465209
349.6	107.95228628
349.7	108.54870775
349.8	109.44333996
349.9	110.6361829
350	111.08349901
350.1	107.67313413
350.2	105.71570577
350.3	105.41749503
350.4	108.10139165
350.5	110.1888668
350.6	110.48707753
350.7	108.99602386
350.8	110.1888668
350.9	110.48707753
351	109.87933161
351.1	108.69781312
351.2	108.10139165
351.3	108.84691849
351.4	108.69781312
351.5	107.95228628
351.6	107.80318091
351.7	110.48707753
351.8	113.76739563
351.9	116.00397614
352	116.74950298
352.1	113.17097416
352.2	111.67992048
352.3	110.78528827
352.4	108.99602386
352.5	106.61033797
352.6	106.0139165
352.7	105.41749503
352.8	104.52286282
352.9	104.82107356
353	105.59642147
353.1	106.0139165
353.2	106.0139165
353.3	108.39960239
353.4	110.78528827
353.5	108.99602386
353.6	106.61033797
353.7	108.39960239
353.8	107.19184891
353.9	105.11928429
354	104.22465209
354.1	102.43538767
354.2	105.41749503
354.3	108.69781312
354.4	110.48707753
354.5	109.29423459
354.6	106.0139165
354.7	106.75944334
354.8	110.78528827
354.9	113.17097416
355	113.46918489
355.1	103.92644135
355.2	106.0139165
355.3	108.99602386
355.4	109.59244533
355.5	108.39960239
355.6	107.20675944
355.7	107.50497018
355.8	107.50497018
355.9	106.0139165
356	105.41749503
356.1	102.95550789
356.2	99.75149105
356.3	97.96222664
356.4	96.17296223
356.5	93.63817097
356.6	92.1471173
356.7	92.29622266
356.8	92.74353877
356.9	91.40159046
357	92.10984095
357.1	95.57654076
357.2	100.944334
357.3	105.26838966
357.4	107.05765408
357.5	107.80318091
357.6	106.0139165
357.7	105.86481113
357.8	108.10139165
357.9	110.1888668
358	109.59244533
358.1	110.78528827
358.2	110.03976143
358.3	109.29423459
358.4	109.44333996
358.5	110.33797217
358.6	111.82902584
358.7	114.8111332
358.8	114.96023857
358.9	114.66202783
359	114.96023857
359.1	114.06560636
359.2	113.46918489
359.3	114.06560636
359.4	114.96023857
359.5	111.97813121
359.6	106.61033797
359.7	103.33001988
359.8	98.55864811
359.9	94.38369781
360	93.78727634
360.1	96.7693837
360.2	102.43538767
360.3	106.31212724
360.4	108.39960239
360.5	110.1888668
360.6	111.67992048
360.7	112.27634195
360.8	109.44333996
360.9	105.26838966
361	103.33001988
361.1	101.24254473
361.2	100.944334
361.3	102.43538767
361.4	103.03180915
361.5	104.82107356
361.6	105.41749503
361.7	104.82107356
361.8	102.43538767
361.9	99.45328032
362	97.05165951
362.1	94.83101392
362.2	91.55069583
362.3	90.50695825
362.4	91.84890656
362.5	94.08548708
362.6	97.06759443
362.7	100.944334
362.8	105.41749503
362.9	108.84691849
363	109.89065606
363.1	111.38170974
363.2	109.89065606
363.3	105.86481113
363.4	103.03180915
363.5	102.73359841
363.6	105.86481113
363.7	107.05765408
363.8	107.50497018
363.9	106.31212724
364	106.21272366
364.1	107.05765408
364.2	108.25049702
364.3	108.54870775
364.4	107.05765408
364.5	107.95228628
364.6	111.38170974
364.7	112.42544732
364.8	110.6361829
364.9	106.31212724
365	103.31124087
365.1	101.8389662
365.2	103.03180915
365.3	103.03180915
365.4	102.13717694
365.5	100.64612326
365.6	98.26043738
365.7	95.87475149
365.8	92.29622266
365.9	91.69980119
366	92.5944334
366.1	96.17296223
366.2	98.70775348
366.3	99.00596421
366.4	101.09343936
366.5	102.58449304
366.6	104.67196819
366.7	105.11928429
366.8	105.11928429
366.9	106.90854871
367	110.1888668
367.1	114.21471173
367.2	115.55666004
367.3	117.19681909
367.4	117.94234592
367.5	117.04771372
367.6	115.40755467
367.7	114.8111332
367.8	115.2584493
367.9	114.51292247
368	112.52122029
368.1	111.67992048
368.2	110.48707753
368.3	106.61033797
368.4	100.04970179
368.5	97.6640159
368.6	97.06759443
368.7	99.45328032
368.8	103.92644135
368.9	107.80318091
369	108.88241977
369.1	109.44333996
369.2	112.57455268
369.3	113.32007952
369.4	109.44333996
369.5	106.4612326
369.6	104.97017893
369.7	104.52286282
369.8	104.07554672
369.9	102.43538767
370	102.28628231
370.1	98.85685885
370.2	95.72564612
370.3	94.68190855
370.4	97.36580517
370.5	103.03180915
370.6	110.03976143
370.7	115.10934394
370.8	118.5387674
370.9	116.30218688
371	109.78078895
371.1	103.62823062
371.2	99.75149105
371.3	101.8389662
371.4	108.39960239
371.5	114.96023857
371.6	117.94234592
371.7	119.73161034
371.8	117.94234592
371.9	116.34393638
372	115.55666004
372.1	109.1749503
372.2	103.92644135
372.3	100.34791252
372.4	101.8389662
372.5	103.03180915
372.6	105.71570577
372.7	109.59244533
372.8	108.10139165
372.9	106.31212724
373	104.09039539
373.1	102.13717694
373.2	99.75149105
373.3	100.944334
373.4	104.22465209
373.5	105.11928429
373.6	105.11928429
373.7	104.22465209
373.8	104.94035785
373.9	106.31212724
374	108.99602386
374.1	106.0139165
374.2	101.54075547
374.3	100.34791252
374.4	101.24254473
374.5	102.28628231
374.6	102.73359841
374.7	100.79522863
374.8	97.6640159
374.9	97.06759443
375	100.30638951
375.1	103.62823062
375.2	104.7166998
375.3	104.82107356
375.4	102.43538767
375.5	100.04970179
375.6	99.75149105
375.7	100.64612326
375.8	101.8389662
375.9	103.33001988
376	106.41153082
376.1	109.89065606
376.2	112.27634195
376.3	111.53081511
376.4	111.38170974
376.5	110.1888668
376.6	106.0139165
376.7	101.8389662
376.8	99.30417495
376.9	98.26043738
377	101.18290258
377.1	104.67196819
377.2	104.52286282
377.3	102.58449304
377.4	105.86481113
