DEPT	GR
50.3	NA
50.4	NA
50.5	NA
50.6	53.95611702
50.7	53.95611702
50.8	55.41522606
50.9	57.74601064
51	55.91090426
51.1	54.15558511
51.2	53.95611702
51.3	55.67952128
51.4	60.88763298
51.5	66.3231383
51.6	68.63896277
51.7	70.77526596
51.8	73.50398936
51.9	72.90558511
52	73.7393617
52.1	75.54335106
52.2	76.69547872
52.3	76.29654255
52.4	74.64095745
52.5	72.7947695
52.6	70.94858156
52.7	68.9162234
52.8	66.92154255
52.9	66.72207447
53	67.12101064
53.1	67.87898936
53.2	68.67021277
53.3	69.53058511
53.4	71.14095745
53.5	73.1981383
53.6	75.09973404
53.7	75.29920213
53.8	75.6981383
53.9	77.27992021
54	80.08643617
54.1	80.48537234
54.2	80.48537234
54.3	79.82473404
54.4	78.97021277
54.5	78.88962766
54.6	81.28324468
54.7	80.67287234
54.8	79.48803191
54.9	79.08909574
55	80.40558511
55.1	82.49441489
55.2	83.47739362
55.3	83.34973404
55.4	83.07845745
55.5	83.92952128
55.6	86.86835106
55.7	87.6662234
55.8	85.97672872
55.9	83.27792553
56	77.89228723
56.1	77.91888298
56.2	78.69015957
56.3	76.8231383
56.4	76.09707447
56.5	81.88164894
56.6	83.34175532
56.7	85.27260638
56.8	90.85771277
56.9	92.89228723
57	94.24867021
57.1	94.84707447
57.2	92.4325133
57.3	86.8543883
57.4	84.27526596
57.5	84.27526596
57.6	92.25398936
57.7	96.24335106
57.8	95.44547872
57.9	95.44547872
58	96.00398936
58.1	96.95345745
58.2	96.84175532
58.3	91.493731
58.4	85.2543693
58.5	78.49069149
58.6	72.10771277
58.7	70.3125
58.8	70.3125
58.9	71.50930851
59	71.11037234
59.1	70.91090426
59.2	71.11037234
59.3	73.49867021
59.4	75.55585106
59.5	77.09441489
59.6	77.09441489
59.7	76.69547872
59.8	77.92553191
59.9	81.88164894
60	78.0380135
60.1	71.93944526
60.2	68.71675532
60.3	69.77792553
60.4	71.50930851
60.5	73.04521277
60.6	75.6981383
60.7	74.82047872
60.8	72.70611702
60.9	74.70079787
61	74.70079787
61.1	74.70079787
61.2	73.90292553
61.3	72.14076748
61.4	68.67344225
61.5	65.20611702
61.6	62.81914894
61.7	62.0412234
61.8	61.13696809
61.9	59.5731383
62	57.94547872
62.1	57.54654255
62.2	57.34707447
62.3	58.50398936
62.4	59.34175532
62.5	59.14228723
62.6	58.74335106
62.7	59.41356383
62.8	60.58444149
62.9	62.0625
63	63.73005319
63.1	64.13696809
63.2	65.2643617
63.3	66.85132979
63.4	67.82513298
63.5	65.44049202
63.6	61.29803856
63.7	57.15558511
63.8	53.75664894
63.9	50.56515957
64	52.13763298
64.1	55.48271277
64.2	59.14228723
64.3	62.60984043
64.4	66.43723404
64.5	68.99601064
64.6	70.11303191
64.7	69.375
64.8	64.88031915
64.9	61.33643617
65	60.13962766
65.1	59.5412234
65.2	58.94281915
65.3	57.54654255
65.4	55.85904255
65.5	53.35771277
65.6	54.33011968
65.7	57.29720745
65.8	58.14494681
65.9	57.74601064
66	59.56117021
66.1	62.88430851
66.2	66.20744681
66.3	68.9162234
66.4	68.9162234
66.5	70.45212766
66.6	71.82446809
66.7	72.17154255
66.8	72.30718085
66.9	71.77260638
67	70.71143617
67.1	70.91090426
67.2	73.61469415
67.3	76.69547872
67.4	75.67591185
67.5	70.99639058
67.6	66.3168693
67.7	62.93218085
67.8	62.93218085
67.9	64.52792553
68	64.9268617
68.1	64.72739362
68.2	62.7674772
68.3	60.52944529
68.4	57.74601064
68.5	58.5837766
68.6	61.07613032
68.7	65.87632979
68.8	70.45212766
68.9	72.82579787
69	75.19946809
69.1	77.5731383
69.2	80.48537234
