DEPT	GR
26.1	47.55
26.2	48
26.3	48.45
26.4	48.15
26.5	47.85
26.6	48.3
26.7	49.5
26.8	50.7
26.9	51.9
27	53.85
27.1	56.1
27.2	59.7
27.3	62.4
27.4	64.65
27.5	66
27.6	66.9
27.7	67.5
27.8	67.05
27.9	66.6
28	65.7
28.1	65.25
28.2	65.55
28.3	67.05
28.4	68.55
28.5	69.15
28.6	69.15
28.7	68.55
28.8	68.25
28.9	68.85
29	68.9363764
29.1	69.0711236
29.2	69.45
29.3	69.45
29.4	68.922
29.5	68.25
29.6	67.05
29.7	65.85
29.8	65.85
29.9	66.45
30	66.89625
30.1	67.35
30.2	67.05
30.3	66.45
30.4	65.55
30.5	64.65
30.6	62.85
30.7	63.15
30.8	64.35
30.9	65.25
31	66.41782334
31.1	67.95
31.2	69.3
31.3	70.2
31.4	70.5
31.5	69.9
31.6	69.75
31.7	69
31.8	67.5
31.9	65.4
32	64.275
32.1	64.2
32.2	64.35
32.3	64.5
32.4	65.7
32.5	68.25
32.6	70.35
32.7	71.85
32.8	72.80294118
32.9	73.65
33	74.49705882
33.1	75.45
33.2	75.75
33.3	75.75
33.4	75.45
33.5	74.85
33.6	73.2
33.7	72.3
33.8	71.85
33.9	71.1
34	69.75
34.1	68.25
34.2	66.75
34.3	66.15
34.4	66.75
34.5	67.35
34.6	68.85
34.7	70.35
34.8	73.35
34.9	75.15
35	76.11060991
35.1	77.18100381
35.2	78.15
35.3	79.05
35.4	79.05
35.5	78.6
35.6	77.25
35.7	75
35.8	71.55
35.9	68.55
36	65.03108108
36.1	61.32081081
36.2	59.85
36.3	59.55
36.4	59.55
36.5	59.85
36.6	61.65
36.7	64.05
36.8	65.85
36.9	67.35
37	67.91782334
37.1	68.25
37.2	68.55
37.3	68.7
37.4	68.25
37.5	67.65
37.6	67.65
37.7	69.15
37.8	70.8
37.9	71.55
38	71.43927445
38.1	71.55
38.2	72.75
38.3	74.55
38.4	76.05
38.5	77.55
38.6	77.85
38.7	77.85
38.8	77.55
38.9	77.55
39	77.7
39.1	78.2625
39.2	78.6
39.3	78.15
39.4	78.15
39.5	78
39.6	76.2
39.7	75.75
39.8	76.05
39.9	77.19821634
40	79.46012658
