DEPT	GR
26.9	49.70238095
27	49.41925911
27.1	53.03980761
27.2	55.8531746
27.3	57.25649351
27.4	57.36652237
27.5	57.22402597
27.6	56.56385281
27.7	56.0515873
27.8	56.25
27.9	57.24206349
28	58.98819063
28.1	59.54931973
28.2	59.82142857
28.3	60.78907204
28.4	62.31990232
28.5	63.72354497
28.6	64.58333333
28.7	63.98809524
28.8	62.79761905
28.9	60.8383734
29	58.57991374
29.1	57.24206349
29.2	57.57275132
29.3	58.36640212
29.4	59.22619048
29.5	59.22619048
29.6	57.04365079
29.7	56.6468254
29.8	58.0537518
29.9	59.02777778
30	59.42460317
30.1	60.21825397
30.2	61.40873016
30.3	63.34183673
30.4	65.37698413
30.5	68.5515873
30.6	71.52777778
30.7	73.82936508
30.8	76.28968254
30.9	77.50058062
31	78.77634825
31.1	80.05211587
31.2	81.32788349
31.3	81.94444444
31.4	80.13038549
31.5	78.29991646
31.6	76.48287385
31.7	74.66583124
31.8	73.51190476
31.9	74.00793651
32	76.06331122
32.1	78.19731306
32.2	80.05952381
32.3	80.05952381
32.4	78.64417989
32.5	77.08333333
32.6	75.89285714
32.7	75.89285714
32.8	76.28968254
32.9	77.40646259
33	78.91156463
33.1	80.25793651
33.2	79.21717172
33.3	77.19516595
33.4	75.1984127
33.5	73.51190476
33.6	73.90873016
33.7	76.06646825
33.8	78.26140873
33.9	79.86111111
34	81.36050834
34.1	84.82142857
34.2	87.93816138
34.3	90.57539683
34.4	93.8712522
34.5	95.13888889
34.6	91.87169312
34.7	88.85582011
34.8	86.80555556
34.9	86.40873016
35	87.79761905
35.1	87.40873016
35.2	85.76984127
35.3	83.62301587
35.4	82.44047619
35.5	81.25
35.6	78.47222222
35.7	76.28968254
35.8	75.96891534
35.9	75.89285714
36	78.90701106
36.1	84.02777778
36.2	87.36359127
36.3	89.38492063
36.4	88.55406746
36.5	85.81349206
36.6	85.71428571
36.7	87.3015873
36.8	87.20238095
36.9	85.51587302
37	84.02777778
37.1	86.25
37.2	89.22979798
37.3	90.57539683
37.4	90.97222222
37.5	89.91402116
37.6	87.79761905
37.7	86.40873016
37.8	87.43197279
37.9	89.70823521
38	92.88749518
38.1	95.23809524
38.2	96.92460317
38.3	100.09920635
38.4	103.07539683
38.5	105.55555556
38.6	105.48469388
38.7	104.86111111
38.8	102.87698413
38.9	99.92913832
39	94.96787209
39.1	87.79761905
39.2	81.09126984
39.3	77.48015873
39.4	79.00049603
39.5	80.90277778
39.6	82.04365079
39.7	82.17970522
39.8	82.24206349
39.9	84.22619048
40	87.29012124
40.1	88.19444444
40.2	89.18650794
40.3	89.38492063
40.4	85.28025794
40.5	83.82936508
40.6	86.08630952
40.7	87.00396825
40.8	86.88822751
40.9	86.68981481
41	86.60714286
41.1	88.1547619
41.2	90.49603175
41.3	91.56746032
41.4	90.64058957
41.5	87.79761905
41.6	84.28571429
41.7	80.6547619
41.8	78.08730159
41.9	76.24007937
42	75.89285714
42.1	79.26587302
42.2	81.6468254
42.3	83.73015873
42.4	82.83730159
42.5	83.43253968
42.6	83.33333333
42.7	82.34126984
42.8	79.76190476
42.9	76.78571429
43	74.57763857
43.1	71.69771667
43.2	69.37003968
43.3	67.90674603
43.4	66.76587302
43.5	67.87131519
43.6	72.12301587
43.7	73.3531746
43.8	75.49603175
43.9	78.86904762
44	81.0515873
44.1	82.70088702
44.2	84.2213352
44.3	85.81349206
44.4	87.40079365
44.5	87.20238095
44.6	88.16964286
44.7	88.78968254
44.8	87.99603175
44.9	87.1031746
45	85.97970165
45.1	85.01984127
45.2	84.62301587
45.3	83.23412698
45.4	80.05952381
45.5	78.07539683
45.6	77.87698413
45.7	78.5345805
45.8	78.07539683
45.9	76.91326531
46	75.09920635
46.1	74.97655123
46.2	75.2958153
46.3	75.93253968
46.4	78.16666667
46.5	81.25
46.6	84.82142857
46.7	86.80555556
46.8	86.21031746
46.9	81.8452381
47	79.06746032
47.1	75.69444444
47.2	78.7202381
47.3	82.24206349
47.4	85.51587302
47.5	86.80555556
47.6	85.16865079
47.7	83.03571429
47.8	83.67346939
47.9	84.52380952
48	85.24018904
48.1	84.42460317
48.2	83.56746032
48.3	83.43253968
48.4	84.62301587
48.5	84.22619048
48.6	84.94047619
48.7	88.32231041
48.8	89.78174603
48.9	88.69708995
49	86.44328047
49.1	85.01833179
49.2	83.24404762
49.3	81.0515873
49.4	80.25793651
49.5	80.45634921
49.6	82.44047619
49.7	84.82142857
49.8	87.99603175
49.9	87.79761905
50	86.35667512
50.1	84.32698111
50.2	81.4484127
50.3	78.67857143
50.4	77.28174603
50.5	78.13208617
50.6	79.86111111
50.7	81.4484127
50.8	82.29662698
50.9	82.84297052
51	83.29420128
51.1	84.32539683
51.2	83.78684807
51.3	82.63888889
51.4	83.03571429
51.5	86.20039683
51.6	89.98015873
51.7	92.94217687
51.8	95.3968254
51.9	96.42857143
52	94.02399849
52.1	89.56443689
52.2	84.82142857
52.3	80.8531746
52.4	76.68650794
52.5	72.91666667
52.6	72.71825397
52.7	74.50396825
52.8	77.48015873
52.9	81.6468254
53	83.03571429
53.1	83.03571429
53.2	83.43253968
53.3	84.72222222
53.4	86.80555556
53.5	89.38492063
53.6	91.56746032
53.7	92.55952381
53.8	90.97222222
53.9	88.59126984
54	84.29897503
54.1	80.12566138
54.2	78.86904762
54.3	79.70238095
54.4	81.37896825
54.5	81.19331066
54.6	80.6547619
54.7	81.4484127
54.8	82.66369048
54.9	84.22619048
55	84.69464501
55.1	84.62301587
55.2	84.02777778
55.3	85.11904762
55.4	85.11904762
55.5	84.12698413
55.6	83.82936508
55.7	83.03571429
55.8	81.25
55.9	78.29691581
56	75.21473779
56.1	73.31349206
56.2	73.31349206
56.3	74.54365079
56.4	75.71428571
56.5	77.67857143
56.6	79.86111111
56.7	81.4484127
56.8	82.63888889
56.9	83.51090785
57	84.58923172
57.1	86.01190476
57.2	87.3015873
57.3	88.49206349
57.4	89.68253968
57.5	90.17857143
57.6	89.20177045
57.7	86.08821734
57.8	83.03571429
57.9	79.66269841
58	77.41553998
58.1	74.7761126
58.2	72.32142857
58.3	71.72619048
58.4	73.51190476
58.5	78.24074074
58.6	86.40873016
58.7	93.22089947
58.8	100.09920635
58.9	98.67063492
59	96.72619048
59.1	95.13888889
59.2	91.36904762
59.3	88.19444444
59.4	88.19444444
59.5	88.78968254
59.6	89.17989418
59.7	89.38492063
59.8	88.78968254
59.9	88.78968254
60	88.59126984
60.1	87.5
60.2	86.60714286
60.3	86.01190476
60.4	86.60714286
60.5	86.03174603
60.6	85.11904762
60.7	85.01984127
60.8	85.71428571
60.9	86.60714286
61	86.17342666
61.1	85.41666667
61.2	84.16666667
61.3	83.03571429
61.4	83.8015873
61.5	86.60714286
61.6	88.19444444
61.7	89.65909091
61.8	90.97222222
61.9	89.48495693
62	87.91801671
62.1	86.50793651
62.2	88.19444444
62.3	87.92162698
62.4	86.80555556
62.5	87.26615646
62.6	88.37159864
62.7	89.48412698
62.8	90.67460317
62.9	90.97222222
63	89.82281017
63.1	88.55481103
63.2	88.19444444
63.3	89.98015873
63.4	89.78174603
63.5	88.76488095
63.6	87.40079365
63.7	88.39590965
63.8	89.65659341
63.9	90.57539683
64	89.58333333
64.1	89.38492063
64.2	91.11394558
64.3	94.32539683
64.4	99.00793651
64.5	104.96031746
64.6	104.66269841
64.7	98.90873016
64.8	92.24206349
64.9	90.37698413
65	93.87027262
65.1	96.52777778
65.2	96.72619048
65.3	95.93253968
65.4	94.87463925
65.5	93.65079365
65.6	92.42694805
65.7	91.17063492
65.8	90.77380952
65.9	91.09126984
66	91.56746032
66.1	90.73129252
66.2	90.67460317
66.3	93.40277778
66.4	98.01587302
66.5	99.8015873
66.6	96.92460317
66.7	93.60119048
66.8	89.51719577
66.9	86.87169312
67	85.21825397
67.1	84.53231293
67.2	84.03061224
67.3	83.63095238
67.4	84.34275794
67.5	85.01984127
67.6	83.03571429
67.7	80.68650794
67.8	78.44494048
67.9	76.54265873
68	76.09126984
68.1	77.08333333
68.2	76.63690476
68.3	76.09126984
68.4	76.19047619
68.5	76.58730159
68.6	77.38095238
68.7	79.26587302
68.8	84.32539683
68.9	88.78968254
69	92.84963986
69.1	93.51190476
69.2	93.54875283
69.3	94.05045351
69.4	94.54365079
69.5	95.93253968
69.6	98.90873016
69.7	103.00396825
69.8	104.86111111
69.9	97.32142857
70	89.08168613
70.1	85.01984127
70.2	83.23412698
70.3	84.12698413
70.4	85.01984127
70.5	85.01984127
70.6	85.61507937
70.7	87.33465608
70.8	88.92195767
70.9	91.23263889
71	93.97702393
71.1	96.47242126
71.2	96.5515873
71.3	94.63095238
71.4	95.73412698
71.5	93.5515873
71.6	89.98015873
71.7	83.82936508
71.8	81.8452381
71.9	82.04365079
72	83.84920635
72.1	85.41666667
72.2	86.87698413
72.3	88.18650794
72.4	89.12301587
72.5	89.73214286
72.6	90.52521008
72.7	91.42040149
72.8	92.36111111
72.9	92.16269841
73	87.86764706
73.1	83.23412698
73.2	80.75396825
73.3	81.01851852
73.4	82.83730159
73.5	83.06051587
73.6	84.02777778
73.7	86.21031746
73.8	88.39285714
73.9	89.18650794
74	87.77264402
74.1	86.21031746
74.2	86.37301587
74.3	88.36309524
74.4	91.76587302
74.5	89.64002268
74.6	86.80555556
74.7	87.55952381
74.8	88.73015873
74.9	89.86754612
75	90.71124696
75.1	91.5549478
75.2	92.9138322
75.3	94.59325397
75.4	96.52777778
75.5	96.72619048
75.6	92.46031746
75.7	93.30357143
75.8	94.91921769
75.9	96.32936508
76	94.66153616
76.1	91.13493724
76.2	86.41534392
76.3	83.06216931
76.4	82.24206349
76.5	86.60714286
76.6	90.89285714
76.7	96.52777778
76.8	102.67857143
76.9	106.25793651
77	109.62301587
77.1	109.52380952
77.2	105.25793651
77.3	99.70238095
77.4	95.73412698
77.5	95.72649573
77.6	97.28327228
77.7	98.71031746
77.8	98.84004884
77.9	98.74847375
78	98.51190476
78.1	96.17063492
78.2	93.75
78.3	92.75793651
78.4	94.1468254
78.5	97.32142857
78.6	101.35582011
78.7	102.25793651
78.8	99.93480726
78.9	95.53571429
79	94.3452381
79.1	95.43650794
79.2	96.62698413
79.3	96.92460317
79.4	96.08843537
79.5	95.03968254
79.6	93.1547619
79.7	89.98015873
79.8	85.41666667
79.9	83.82936508
80	83.87654013
80.1	84.62301587
80.2	87.38095238
80.3	90.77380952
80.4	94.20634921
80.5	97.71825397
80.6	100.89285714
80.7	101.09126984
80.8	99.90079365
80.9	98.51190476
81	97.31389391
81.1	94.54365079
81.2	92.16269841
81.3	93.05555556
81.4	94.94047619
81.5	96.72619048
81.6	95.53571429
81.7	95.73412698
81.8	98.11507937
81.9	95.93253968
82	93.62480109
82.1	91.70948204
82.2	90.10756057
82.3	88.5056391
82.4	87.20238095
82.5	88.24404762
82.6	89.48784722
82.7	90.77380952
82.8	92.36111111
82.9	91.13662132
83	89.98015873
83.1	92.16269841
83.2	92.36111111
83.3	86.01190476
83.4	85.4978355
83.5	84.95670996
83.6	84.94543651
83.7	86.23511905
83.8	87.40079365
83.9	89.86441799
84	93.08197735
84.1	96.72619048
84.2	100.89285714
84.3	108.23412698
84.4	112.99603175
84.5	117.36111111
84.6	116.17063492
84.7	110.21825397
84.8	101.09126984
84.9	90.625
85	85.41666667
85.1	83.63095238
85.2	85.2281746
85.3	87.40079365
85.4	90.44047619
85.5	91.8452381
85.6	93.25
85.7	94.6547619
85.8	95.13888889
85.9	94.08046552
86	91.640823
86.1	89.20118047
86.2	88.19444444
86.3	89.98015873
86.4	90.37698413
86.5	89.31051587
86.6	87.99603175
86.7	88.93588137
86.8	90.1890142
86.9	91.44214703
87	92.55952381
87.1	90.6547619
87.2	88.10064935
87.3	86.40873016
87.4	86.17857143
87.5	86.6468254
87.6	87.59920635
87.7	90.37698413
87.8	93.9484127
87.9	95.13888889
88	94.83750251
88.1	93.9484127
88.2	94.64285714
88.3	94.44444444
88.4	93.9484127
88.5	94.44444444
88.6	94.24603175
88.7	92.55952381
88.8	89.98015873
88.9	87.20238095
89	84.28264262
89.1	82.44047619
89.2	81.8452381
89.3	83.63095238
89.4	84.62301587
89.5	85.73412698
89.6	87.59920635
89.7	89.38492063
89.8	89.58333333
89.9	89.12698413
90	89.38492063
90.1	91.85267857
90.2	95.63492063
90.3	96.03174603
90.4	93.1547619
90.5	89.88095238
90.6	89.58333333
90.7	90.81349206
90.8	92.95634921
90.9	92.49338624
91	90.61495445
91.1	88.28262787
91.2	86.9819224
91.3	86.40873016
91.4	87.00396825
91.5	85.81349206
91.6	86.60714286
91.7	88.98809524
91.8	89.38492063
91.9	88.36111111
92	87.00396825
92.1	87.18253968
92.2	87.8968254
92.3	89.25653595
92.4	91.07726424
92.5	92.89799253
92.6	93.9484127
92.7	93.5515873
92.8	94.375
92.9	96.875
93	100.06631106
93.1	103.61772487
93.2	106.25
93.3	106.25
93.4	102.28174603
93.5	95.47902494
93.6	90.77380952
93.7	87.44047619
93.8	84.42460317
93.9	84.22619048
94	86.92186645
94.1	90.7970717
94.2	95.33730159
94.3	97.91666667
94.4	98.0406746
94.5	98.33829365
94.6	98.6359127
94.7	98.80952381
94.8	96.92460317
94.9	94.3452381
95	92.16269841
95.1	92.71825397
95.2	93.75
95.3	93.43253968
95.4	91.07638889
95.5	89.12981859
95.6	87.79195011
95.7	86.40873016
95.8	85.81349206
95.9	87.40079365
96	91.35664683
96.1	93.07539683
96.2	91.96428571
96.3	93.07539683
96.4	93.34986772
96.5	91.36904762
96.6	91.13293651
96.7	89.82142857
96.8	87.79761905
96.9	87.59920635
97	88.19777911
97.1	88.78968254
97.2	88.12003968
97.3	87.22718254
97.4	86.9047619
97.5	87.45039683
97.6	89.55026455
97.7	92.55952381
97.8	93.01303855
97.9	94.3452381
98	95.93253968
98.1	93.75
98.2	92.36111111
98.3	92.75793651
98.4	92.36111111
98.5	92.16269841
98.6	92.95634921
98.7	95.73412698
98.8	97.32142857
98.9	95.54107056
99	93.66533624
99.1	91.78960191
99.2	89.91386758
99.3	88.19444444
99.4	86.1882716
99.5	84.27579365
99.6	83.82936508
99.7	83.92857143
99.8	85.01984127
99.9	85.81349206
100	85.41666667
100.1	81.6468254
100.2	82.19160998
100.3	85.41666667
100.4	89.38492063
100.5	91.17063492
100.6	92.34126984
100.7	92.95634921
100.8	94.74206349
100.9	95.79110011
101	96.86000184
101.1	97.92890357
101.2	98.90873016
101.3	100.15589569
101.4	100.49603175
101.5	98.21428571
101.6	94.3452381
101.7	92.48866213
101.8	90.57539683
101.9	88.50623583
102	87.59920635
102.1	88.39285714
102.2	89.18650794
102.3	88.84259259
102.4	88.98809524
102.5	90.77380952
102.6	92.55952381
102.7	92.55952381
102.8	90.77380952
102.9	89.375
103	87.99603175
103.1	89.18650794
103.2	89.10886818
103.3	89.00534852
103.4	88.90182885
103.5	88.78968254
103.6	87.92162698
103.7	86.60714286
103.8	86.21031746
103.9	86.21031746
104	86.90059357
104.1	88.19444444
104.2	89.58333333
104.3	89.98015873
104.4	90.57539683
104.5	91.78791887
104.6	94.25925926
104.7	95.53571429
104.8	93.93353175
104.9	91.17063492
105	90.97222222
105.1	95.41170635
105.2	96.52777778
105.3	94.44444444
105.4	92.26190476
105.5	91.96428571
105.6	93.82716049
105.7	96.32936508
105.8	98.67724868
105.9	100.29761905
106	101.66457286
106.1	102.28174603
106.2	105.6547619
106.3	111.01190476
106.4	113.93849206
106.5	115.37698413
106.6	110.81349206
106.7	100.29761905
106.8	92.16269841
106.9	86.01190476
107	84.22619048
107.1	85.87962963
107.2	88.39285714
107.3	88.39285714
107.4	87.79761905
107.5	87.59920635
107.6	88.83928571
107.7	90.38690476
107.8	91.80555556
107.9	93.05555556
108	94.6174324
108.1	95.73412698
108.2	92.9484127
108.3	89.57892416
108.4	86.25992063
108.5	85.21825397
108.6	85.61507937
108.7	88.06972789
108.8	90.97222222
108.9	92.08333333
109	93.5515873
109.1	96.13095238
109.2	98.47883598
109.3	99.90079365
109.4	99.04761905
109.5	94.94047619
109.6	90.37698413
109.7	89.22619048
109.8	86.92460317
109.9	84.79848932
110	82.44047619
110.1	82.14285714
110.2	84.98677249
110.3	90.57539683
110.4	93.3531746
110.5	97.32142857
110.6	101.28968254
110.7	104.46428571
110.8	108.23412698
110.9	109.02777778
111	108.4652301
111.1	107.71516654
111.2	107.63888889
111.3	109.09391534
111.4	110.21825397
111.5	108.65929705
111.6	105.64123377
111.7	101.6504329
111.8	97.65963203
111.9	93.66883117
112	91.12103175
112.1	93.75
112.2	92.24537037
112.3	90.77380952
112.4	94.3452381
112.5	92.16269841
112.6	89.58333333
112.7	90.37698413
112.8	89.78174603
112.9	88.36385515
113	86.38948845
113.1	84.74206349
113.2	83.43253968
113.3	81.0515873
113.4	78.93353175
113.5	78.27380952
113.6	80.37301587
113.7	82.04365079
113.8	82.59353741
113.9	83.03571429
114	83.53525924
114.1	84.72222222
114.2	86.21031746
114.3	88.74007937
114.4	92.16269841
114.5	96.25
114.6	99.61734694
114.7	102.67857143
114.8	104.28004535
114.9	102.74943311
115	95.81995974
115.1	85.76301998
115.2	80.79365079
115.3	80.05952381
115.4	80.45634921
115.5	82.46527778
115.6	85.24553571
115.7	88.02579365
115.8	89.18650794
115.9	88.92195767
116	90.77380952
116.1	90.37698413
116.2	84.02777778
116.3	81.16319444
116.4	78.88888889
116.5	78.37301587
116.6	81.0515873
116.7	83.61678005
116.8	86.27344877
116.9	88.76262626
117	89.58333333
117.1	86.80555556
117.2	86.60714286
117.3	85.81349206
117.4	84.15054563
117.5	82.6140873
117.6	81.0515873
117.7	79.46428571
117.8	78.47222222
117.9	81.6468254
118	86.4652761
118.1	92.06349206
118.2	96.13095238
118.3	98.51190476
118.4	98.61111111
118.5	93.19196429
118.6	86.50793651
118.7	83.43253968
118.8	80.77731092
118.9	78.32633053
119	76.09460451
119.1	75.29761905
119.2	77.91468254
119.3	80.67857143
119.4	83.43253968
119.5	87.13624339
119.6	92.20899471
119.7	95.17857143
119.8	96.92460317
119.9	96.72619048
120	93.97007178
120.1	88.40213961
120.2	82.24206349
120.3	78.89384921
120.4	77.87698413
120.5	77.97619048
120.6	78.86904762
120.7	81.4484127
120.8	83.82936508
120.9	86.60714286
121	90.17857143
121.1	91.58897495
121.2	92.36111111
121.3	90.96988796
121.4	88.83520075
121.5	86.70051354
121.6	85.41666667
121.7	86.79761905
121.8	88.23129252
121.9	89.58333333
122	89.48412698
122.1	90.53571429
122.2	93.21825397
122.3	95.93253968
122.4	99.56349206
122.5	102.67857143
122.6	103.07539683
122.7	101.28968254
122.8	99.50396825
122.9	100.21825397
123	101.46589021
123.1	102.77777778
123.2	102.87698413
123.3	101.79280045
123.4	100.34722222
123.5	98.90164399
123.6	97.45606576
123.7	96.03174603
123.8	96.08134921
123.9	96.72619048
124	97.80023287
