DEPT	GR
27.3	6.34615385
27.4	32.32758621
27.5	32.32758621
27.6	32.17411898
27.7	31.13395225
27.8	30.93501326
27.9	32.08090186
28	33.81962865
28.1	34.9137931
28.2	34.37168435
28.3	33.52122016
28.4	30.16068149
28.5	26.91032442
28.6	24.89721485
28.7	23.37533156
28.8	23.6438992
28.9	24.23076923
29	24.17108753
29.1	23.97214854
29.2	24.62864721
29.3	25.80238727
29.4	27.54708223
29.5	29.54244032
29.6	29.98259284
29.7	30.03126184
29.8	29.61803714
29.9	28.77055703
30	27.36767543
30.1	25.82047263
30.2	24.27326983
30.3	22.77851459
30.4	22.18169761
30.5	22.36820292
30.6	22.58827918
30.7	22.79442971
30.8	22.91180371
30.9	22.80419757
31	22.4110397
31.1	22.25821261
31.2	22.4418486
31.3	22.4801061
31.4	22.08222812
31.5	21.68435013
31.6	21.88328912
31.7	22.91114058
31.8	23.77320955
31.9	23.59244454
32	23.39524635
32.1	23.19804817
32.2	23.00084998
32.3	23.17639257
32.4	24.0890252
32.5	24.84024596
32.6	25.05365324
32.7	25.26706053
32.8	25.48046781
32.9	25.4204244
33	24.90467507
33.1	23.87765252
33.2	23.57427056
33.3	24.40981432
33.4	25.37466844
33.5	25.29840849
33.6	23.92904509
33.7	22.73872679
33.8	22.09714854
33.9	21.98275862
34	21.98275862
34.1	22.3806366
34.2	22.56536567
34.3	22.05380826
34.4	21.58488064
34.5	21.72413793
34.6	22.32095491
34.7	22.97745358
34.8	23.10676393
34.9	23.0520557
35	22.77851459
35.1	22.32327938
35.2	21.8551061
35.3	21.18202918
35.4	20.625
35.5	21.16944921
35.6	22.05180215
35.7	22.93415509
35.8	23.6637931
35.9	24.18509637
36	24.30116955
36.1	24.63045575
36.2	25.2706776
36.3	25.32493369
36.4	24.8516683
36.5	24.23391037
36.6	23.61615245
36.7	22.97745358
36.8	22.77851459
36.9	22.77851459
37	23.88264691
37.1	25.16578249
37.2	25.56366048
37.3	24.9668435
37.4	23.37533156
37.5	21.98275862
37.6	22.03249337
37.7	22.62931034
37.8	23.67374005
37.9	24.9668435
38	25.69150995
38.1	26.24005305
38.2	26.03912467
38.3	25.21750663
38.4	24.9668435
38.5	25.57896348
38.6	26.30126505
38.7	27.31432361
38.8	29.42307692
38.9	31.77055703
39	34.11803714
39.1	35.70159151
39.2	35.77917772
39.3	33.82460212
39.4	32.5265252
39.5	31.92970822
39.6	32.20822281
39.7	33.08355438
39.8	35.37931034
39.9	37.93766578
40	39.72811671
40.1	41.13660477
40.2	42.03296703
40.3	41.87665782
40.4	40.80962141
40.5	40.13594164
40.6	40.0862069
40.7	40.24535809
40.8	40.49246126
40.9	40.73956443
41	40.88196286
41.1	38.9841148
41.2	37.98029557
41.3	37.47612732
41.4	37.43037135
41.5	38.13660477
41.6	39.09151194
41.7	38.96816976
41.8	38.89257294
41.9	37.89787798
42	33.16502463
42.1	28.35714286
42.2	24.61870027
42.3	23.07692308
42.4	23.22612732
42.5	24.22082228
42.6	25.14091512
42.7	25.83720159
42.8	26.65782493
42.9	27.85145889
43	28.64805073
43.1	27.68567639
43.2	25.72944297
43.3	22.5397878
43.4	19.06233422
43.5	17.20822281
43.6	17.64920424
43.7	19.58222812
43.8	22.7991453
43.9	26.01606248
44	29.23297966
44.1	32.44989685
44.2	34.48938992
44.3	34.51591512
44.4	31.62211794
