DEPT	GR
-0.2	4.14790287
-0.1	15.00883002
0	19.37086093
0.1	18.86677568
0.2	17.96792884
0.3	17.37128249
0.4	17.3843768
0.5	17.13669234
0.6	16.42853441
0.7	15.32359409
0.8	14.19471329
0.9	13.81954354
1	15.25625417
1.1	18.00821937
1.2	19.59247473
1.3	18.87817862
1.4	16.7631941
1.5	14.4715641
1.6	11.82771169
1.7	9.02322309
1.8	6.27381933
1.9	4.23131499
2	3.52690377
2.1	3.70084607
2.2	3.96568482
2.3	3.48983197
2.4	3.03710876
2.5	2.91059877
2.6	3.72331491
2.7	5.04801963
2.8	6.43441318
2.9	7.81252049
3	9.19522152
3.1	10.24544925
3.2	10.23029832
3.3	10.43696109
3.4	10.87960315
3.5	12.62792636
3.6	15.32024412
3.7	17.94094049
3.8	20.56902832
3.9	22.88958368
4	23.88416507
4.1	23.52933981
4.2	21.69124745
4.3	19.45168138
4.4	18.29948825
4.5	18.58321926
4.6	19.24237439
4.7	19.94918548
4.8	21.05557505
4.9	22.26298112
5	22.89220744
5.1	21.75144309
5.2	20.29231606
5.3	20.17037281
5.4	20.19518084
5.5	20.36523333
5.6	20.22081257
5.7	19.42673966
5.8	19.58302849
5.9	20.75203336
6	22.03065514
6.1	24.07072263
6.2	27.18864951
6.3	29.33499413
6.4	30.76606508
6.5	31.03029721
6.6	29.41390794
6.7	28.31166691
6.8	28.51968152
6.9	28.07979688
7	28.07826751
7.1	31.5229386
7.2	31.46440206
7.3	27.84641705
7.4	24.96706558
7.5	22.12491057
7.6	21.01616263
7.7	21.07872479
7.8	21.46870506
7.9	22.05533486
8	23.80659352
8.1	26.24876581
8.2	28.62866019
8.3	28.90943772
8.4	29.69817658
8.5	29.83655722
8.6	28.20993308
8.7	26.25728952
8.8	23.83105665
8.9	23.33549474
9	24.52853291
9.1	26.45928843
9.2	27.64938426
9.3	28.26073923
9.4	28.44307138
9.5	27.10423365
9.6	26.51648649
9.7	27.33953804
9.8	28.24548804
9.9	29.07532053
10	30.10425254
10.1	31.79465755
10.2	34.93049655
10.3	37.4362919
10.4	38.09817942
10.5	39.93087854
10.6	40.0762746
10.7	37.01040434
10.8	33.47680371
10.9	28.62139938
11	22.55549258
11.1	18.31886947
11.2	15.82119127
11.3	14.27340642
11.4	14.41412984
11.5	14.8030663
11.6	15.10395862
