DEPT	GR
29.3	101.29482072
29.4	101.29482072
29.5	101.51145418
29.6	101.66085657
29.7	101.33411696
29.8	100.52925912
29.9	100.09773385
30	100.96497866
30.1	101.44831008
30.2	101.00640956
30.3	100.71164786
30.4	100.14624832
30.5	98.34006218
30.6	96.26539433
30.7	95.46392223
30.8	95.6740844
30.9	96.1467526
31	96.5770321
31.1	98.31419432
31.2	99.59551324
31.3	99.62609983
31.4	99.40204721
31.5	101.08510855
31.6	102.73246223
31.7	103.4511958
31.8	103.74227353
31.9	103.89662397
32	103.16317071
32.1	102.69650449
32.2	103.02193148
32.3	103.84034321
32.4	102.6246153
32.5	101.85204183
32.6	101.38612109
32.7	100.10982641
32.8	99.35180846
32.9	99.45668286
33	99.31007255
33.1	100.56402518
33.2	102.66714068
33.3	101.68510369
33.4	101.4952509
33.5	100.75369139
33.6	100.10403601
33.7	100.53625632
33.8	101.36064441
33.9	101.70919332
34	102.50530208
34.1	103.60872611
34.2	104.86497691
34.3	103.98736368
34.4	100.84414646
34.5	98.31577652
34.6	97.50945091
34.7	97.45522547
34.8	96.84846285
34.9	95.7768077
35	95.52989088
35.1	96.30752579
35.2	97.67007437
35.3	98.66734933
35.4	100.11219696
35.5	101.50197335
35.6	100.86442657
35.7	99.31628955
35.8	97.27032517
35.9	95.89875465
36	95.89162362
36.1	96.56300561
36.2	97.21114537
36.3	98.05346177
36.4	98.98918973
36.5	99.8144351
36.6	101.3116635
36.7	102.77566321
36.8	105.24157821
36.9	107.30651279
37	106.72853627
37.1	103.73653281
37.2	100.67655402
37.3	98.37795599
37.4	96.34863207
37.5	94.73508227
37.6	95.31134462
37.7	94.16937638
37.8	93.75670693
37.9	94.72525327
38	95.52165088
38.1	96.64259176
38.2	98.30011593
38.3	99.15211083
38.4	99.49646685
38.5	100.19444793
38.6	100.20915172
38.7	99.6954287
38.8	99.38405828
38.9	98.25202226
39	96.3804884
39.1	95.80344649
39.2	96.68700627
39.3	97.47530967
39.4	98.66702192
39.5	98.10355347
39.6	97.24513797
39.7	96.70644064
39.8	96.24677942
39.9	97.12874027
40	97.2983417
40.1	96.57153274
40.2	95.70668517
40.3	95.92664736
40.4	96.53220959
40.5	97.76172303
40.6	99.44485187
40.7	99.6864092
40.8	98.36241824
40.9	97.89870179
41	97.59753807
41.1	96.86295025
41.2	95.92042157
41.3	98.30576892
41.4	98.70556288
41.5	98.49444261
41.6	98.37592505
41.7	97.09880965
41.8	97.13986431
41.9	98.20524955
42	99.13267123
42.1	99.07338771
42.2	98.12253652
42.3	99.2670083
42.4	100.08576684
42.5	99.6667963
42.6	99.21473309
42.7	98.22937495
42.8	98.45767893
42.9	98.16826629
43	97.21910612
43.1	96.60721699
43.2	97.27780337
43.3	97.95448198
43.4	98.54422208
43.5	99.51272006
43.6	100.66423551
43.7	103.1280869
43.8	104.74677751
43.9	104.90260322
44	104.14605009
44.1	103.68063895
44.2	104.2938059
44.3	104.62272862
44.4	104.84489343
44.5	105.50960283
44.6	104.85075273
44.7	104.71098515
44.8	105.34517369
44.9	105.03537794
45	106.5398166
45.1	107.36412239
45.2	107.03597861
45.3	106.09799511
45.4	105.15980591
45.5	104.33436728
45.6	102.39069374
45.7	101.01072814
45.8	100.91189796
45.9	100.70318023
46	101.48852094
46.1	102.78617667
46.2	104.48383854
46.3	106.19635972
46.4	107.86607254
46.5	107.16980881
46.6	105.13178329
46.7	103.40618501
46.8	102.27063884
46.9	99.30791599
47	98.69820421
47.1	100.88006953
47.2	102.61683981
47.3	105.04945243
47.4	106.21863007
47.5	105.84503791
47.6	104.31399956
47.7	103.47003163
47.8	103.68395228
47.9	104.57944908
48	104.93227886
48.1	104.87414286
48.2	104.91637916
48.3	105.10184707
48.4	104.51819807
48.5	103.12895431
48.6	102.6873407
48.7	101.19534334
48.8	101.53771324
48.9	102.97960557
49	101.51243584
49.1	100.07603279
49.2	100.81245727
49.3	102.66778764
49.4	105.27838232
49.5	107.66116377
49.6	108.95852332
49.7	107.54993896
49.8	105.979748
49.9	105.16416119
50	105.26011708
50.1	105.43752071
50.2	104.37192404
50.3	103.88863904
50.4	104.87280447
50.5	105.77414114
50.6	105.16442479
50.7	105.23074654
50.8	106.08775423
50.9	107.75339163
51	108.84946348
51.1	108.78067529
51.2	107.2615471
51.3	105.84566999
51.4	105.87559832
51.5	104.86505246
51.6	105.36763876
51.7	108.35474367
51.8	109.84880129
51.9	109.07171873
52	109.15856508
52.1	109.94637992
52.2	111.0978965
52.3	111.06393525
52.4	109.88123872
52.5	108.8831456
52.6	108.6785668
52.7	107.88096313
52.8	106.68960869
52.9	106.05437685
53	106.48400827
53.1	106.19656398
53.2	105.2784099
53.3	105.06040514
53.4	104.16363531
53.5	103.68094553
53.6	104.65653812
53.7	105.41874119
53.8	105.70053044
53.9	104.50988982
54	104.06425537
54.1	103.83679214
54.2	103.67201327
54.3	104.79491624
54.4	106.32974694
54.5	106.39390526
54.6	104.61463295
54.7	101.84804378
54.8	101.03857794
54.9	100.57190747
55	101.28392722
55.1	102.89708499
55.2	102.89789309
55.3	102.15732141
55.4	102.34956989
55.5	103.05489181
55.6	102.25301157
55.7	102.07524589
55.8	102.13814934
55.9	102.74242873
56	103.74657897
56.1	104.44579388
56.2	104.01741594
56.3	102.32327761
56.4	100.64370596
56.5	99.51388923
56.6	98.74002334
56.7	98.16233454
56.8	97.75812134
56.9	97.74890663
57	97.71319539
57.1	97.69215202
57.2	98.64787477
57.3	101.19325407
57.4	104.54426069
57.5	107.44021653
57.6	108.29410312
57.7	107.77113351
57.8	107.35962532
57.9	108.16634617
58	107.06931099
58.1	106.90482153
58.2	107.39658062
58.3	107.51655815
58.4	105.93069105
58.5	104.87574353
58.6	102.91548545
58.7	101.30286862
58.8	100.18641021
58.9	98.85316817
59	97.84820918
59.1	98.08749769
59.2	100.17703489
59.3	103.12235259
59.4	103.07594064
59.5	101.72189608
59.6	100.26358708
59.7	99.48917113
59.8	98.67478881
59.9	97.08334678
60	97.1702134
60.1	98.28054666
60.2	99.79398773
60.3	103.70461392
60.4	107.06573685
60.5	109.23855551
60.6	110.37753439
60.7	111.39186802
60.8	109.73907769
60.9	106.75526123
61	105.4811994
61.1	105.98581167
61.2	107.65058367
61.3	108.58336976
61.4	107.98095209
61.5	106.27715581
61.6	104.92036013
61.7	103.88540397
61.8	101.62148408
61.9	100.19433413
62	100.47396513
62.1	102.52483427
62.2	103.4356952
62.3	103.71440217
62.4	104.68816679
62.5	104.94513298
62.6	104.67576192
62.7	102.64003541
62.8	101.14498313
62.9	100.48782076
63	100.689602
63.1	101.49946181
63.2	102.11906507
63.3	102.05937672
63.4	101.11087586
63.5	100.12190978
63.6	102.29876703
63.7	104.47879222
63.8	106.37146151
63.9	108.57250856
64	109.05567424
64.1	108.51052421
64.2	107.74224313
64.3	106.68775741
64.4	105.65597976
64.5	105.68368949
64.6	105.58797645
64.7	105.16541546
64.8	105.55727771
64.9	106.87207579
65	106.62370908
65.1	105.89170357
65.2	105.49193133
65.3	106.74923189
65.4	107.98753955
65.5	106.31357164
65.6	104.51667777
65.7	102.66998262
65.8	102.49787661
65.9	102.4680492
66	102.95087101
66.1	103.70192852
66.2	104.45392562
66.3	105.04852962
66.4	104.88312001
66.5	105.13058816
66.6	104.69731965
66.7	103.08088725
66.8	102.48600134
66.9	99.94078582
67	99.01630783
67.1	99.30585924
67.2	99.15378735
67.3	98.55665664
67.4	98.16182537
67.5	98.8931178
67.6	100.11065306
67.7	100.59392225
67.8	102.53895335
67.9	104.32280903
68	106.07447249
68.1	107.49711702
68.2	106.56298981
68.3	104.67945721
68.4	101.55654755
68.5	100.15009011
68.6	100.52195274
68.7	100.72099448
68.8	102.51414432
68.9	103.69349971
69	103.53841079
69.1	102.26439071
69.2	99.74199269
69.3	97.81979091
69.4	96.10487407
69.5	94.48815081
69.6	95.40454144
69.7	95.48253126
69.8	94.66516434
69.9	93.58754064
70	94.03632185
70.1	95.80497901
70.2	97.33139037
70.3	98.48202825
70.4	99.31749709
70.5	99.70090838
70.6	101.38379475
70.7	103.81559722
70.8	106.24175971
70.9	108.85973166
71	110.45927445
71.1	110.19952706
71.2	109.02285628
71.3	107.84605122
71.4	106.07207399
71.5	103.72816952
71.6	103.16393931
71.7	104.5225057
71.8	105.45572575
71.9	105.98681718
72	106.8433157
72.1	106.37924672
72.2	105.27896854
72.3	104.65544355
72.4	104.33716247
72.5	104.02745223
72.6	103.68147464
72.7	103.23076501
72.8	103.2519743
72.9	104.54797453
73	105.65132532
73.1	106.64354413
73.2	107.03945363
73.3	109.63389312
73.4	110.46183695
73.5	109.42707194
73.6	107.37908222
73.7	105.85645154
73.8	106.10898044
73.9	105.12482624
74	104.18247236
74.1	104.22861591
74.2	105.0415826
74.3	105.09570843
74.4	104.90777029
74.5	103.41884968
74.6	102.62601348
74.7	105.319672
74.8	106.79701873
74.9	107.82213944
75	109.07548343
75.1	109.92160429
75.2	108.78123496
75.3	106.7652224
75.4	104.63382697
75.5	101.85906443
75.6	101.54225144
75.7	102.60348355
75.8	103.81739572
75.9	105.28052977
76	106.65427422
76.1	106.21584846
76.2	106.30016494
76.3	106.04204514
76.4	105.74294485
76.5	106.6648471
76.6	107.25891666
76.7	106.67866478
76.8	105.70147658
76.9	105.68741507
77	106.49796695
77.1	107.48219892
77.2	106.77145561
77.3	105.11784983
77.4	103.26386011
77.5	101.90946497
77.6	100.05131046
77.7	98.23762941
77.8	97.29652624
77.9	97.35638721
78	97.64735936
78.1	98.30714851
78.2	99.79442082
78.3	102.30572073
78.4	104.27715689
78.5	103.28326145
78.6	102.92394604
78.7	103.08882526
78.8	103.07498405
78.9	101.92746254
79	101.1689015
79.1	100.89039744
79.2	100.39803532
79.3	99.35642104
79.4	100.50546561
79.5	101.77391792
79.6	102.55002072
79.7	102.8834589
79.8	102.48631317
79.9	101.56317872
80	103.73914624
80.1	106.93755067
80.2	110.64629335
80.3	113.17653677
80.4	115.1775577
80.5	115.79283665
80.6	113.57224219
80.7	109.75700119
80.8	107.88894377
80.9	108.98674781
81	109.66465708
81.1	108.8315508
81.2	107.67691179
81.3	105.88156449
81.4	104.60574212
81.5	103.02696315
81.6	102.34875037
81.7	104.38571972
81.8	105.89911501
81.9	107.35462668
82	108.76235353
82.1	110.76176182
82.2	109.35056193
82.3	108.64268008
82.4	109.09710231
82.5	109.92042438
82.6	110.23929899
82.7	108.47808892
82.8	108.41933673
82.9	110.65181413
83	109.52452486
83.1	105.97906175
83.2	103.74324569
83.3	103.61627887
83.4	105.88179053
83.5	108.46464255
83.6	109.57850145
83.7	108.00990611
83.8	106.13973606
83.9	105.66574337
84	106.68018548
84.1	106.64224871
84.2	106.94691933
84.3	108.65116523
84.4	110.61136053
84.5	111.40542842
84.6	111.66345986
84.7	111.38283487
84.8	111.18038426
84.9	112.51266424
85	113.63733334
85.1	114.83250256
85.2	114.82294202
85.3	113.29191071
85.4	113.20243582
85.5	112.24294691
85.6	111.7513746
85.7	112.24734123
85.8	112.82734726
85.9	111.85811272
86	113.13961976
86.1	115.15991283
86.2	116.96432591
86.3	119.25230129
86.4	120.93350172
86.5	122.95277971
86.6	123.12761905
86.7	120.88835764
86.8	120.61176837
86.9	119.4014229
87	118.68561597
87.1	120.20177206
87.2	120.49907154
87.3	120.78592213
87.4	121.77840303
87.5	122.66283621
87.6	122.74232575
87.7	120.95244634
87.8	120.06115099
87.9	120.2809215
88	120.49047281
88.1	120.35493237
88.2	118.82576632
88.3	118.78348302
88.4	120.26822023
88.5	122.71527898
88.6	123.83046368
88.7	122.38529429
88.8	121.14448057
88.9	121.45469235
89	122.80466015
89.1	123.41235208
89.2	124.27207711
89.3	123.60193103
89.4	122.12860996
89.5	120.90362411
89.6	120.04297098
89.7	116.8738016
89.8	114.44308543
89.9	112.65520016
90	110.57286324
90.1	110.11656976
90.2	111.65230457
90.3	113.60292812
90.4	113.83883812
90.5	113.09962729
90.6	111.80764009
90.7	110.03860545
90.8	108.86986057
90.9	109.99176482
91	111.33450996
91.1	112.76284319
91.2	114.63437051
91.3	117.28867227
91.4	118.89741328
91.5	118.01140285
91.6	114.28616348
91.7	109.43877149
91.8	105.99903047
91.9	105.0752759
92	105.13301975
92.1	105.33510198
92.2	105.67711439
