DEPT	GR
0	13.88149134
0.1	15.47936085
0.2	16.5969818
0.3	17.44480153
0.4	18.46373964
0.5	18.78940733
0.6	18.35490371
0.7	17.54721239
0.8	16.35575575
0.9	14.6366172
1	12.89028705
1.1	10.00710568
1.2	8.52839062
1.3	7.80342758
1.4	6.56826816
1.5	5.8840838
1.6	5.09258256
1.7	5.29551615
1.8	6.32429826
1.9	8.09095193
2	10.56825333
2.1	13.42031789
2.2	17.50243067
2.3	22.59802602
2.4	27.39113145
2.5	29.38607932
2.6	29.11576302
2.7	27.14553117
2.8	27.27971179
2.9	29.57394204
3	31.37324695
3.1	32.06304039
3.2	32.74189381
3.3	33.84881883
3.4	35.53344758
3.5	36.89146828
3.6	37.27810128
3.7	38.55209399
3.8	40.43398657
3.9	41.65104445
4	43.19116016
4.1	45.10795437
4.2	48.43482275
4.3	51.66927283
4.4	53.9509818
4.5	55.18613963
4.6	55.39104539
4.7	55.33579274
4.8	56.57952946
4.9	57.54041407
5	57.88404775
5.1	58.14072891
5.2	59.26819728
5.3	60.10483332
5.4	61.68446118
5.5	63.20632797
5.6	62.9643058
5.7	60.75330401
5.8	57.67046644
5.9	57.51541061
6	59.37021077
6.1	60.89149386
6.2	61.18149096
6.3	61.20691268
6.4	60.34468513
6.5	56.64472442
6.6	56.45734869
6.7	59.28420171
6.8	59.91213726
6.9	59.28094523
7	59.23803824
7.1	58.49677913
7.2	59.02001591
7.3	59.71549895
7.4	58.74465447
7.5	58.57213072
7.6	58.22876685
7.7	59.62722423
7.8	60.92456803
7.9	60.03777591
8	60.22749269
8.1	60.16487316
8.2	60.33375053
8.3	60.7880743
8.4	62.57686597
8.5	65.03824119
8.6	65.26583979
8.7	63.17957613
8.8	61.2531767
8.9	59.3438819
9	57.45762506
9.1	56.06034739
9.2	55.45138228
9.3	56.28087586
9.4	58.74519222
9.5	61.16359812
9.6	61.84138131
9.7	62.23509794
9.8	61.31210752
9.9	61.96960531
10	61.81206195
10.1	61.19548752
10.2	60.95591209
10.3	60.18559361
10.4	59.35453002
10.5	58.63083823
10.6	58.13010501
10.7	59.25015092
10.8	60.24974696
10.9	61.16239068
11	60.96293049
11.1	59.84558377
11.2	58.40902979
11.3	59.50103067
11.4	59.31884598
11.5	56.76009847
11.6	54.11941478
11.7	51.90771599
11.8	51.70600974
11.9	50.16875457
12	47.69980283
12.1	45.90219942
12.2	45.12769973
12.3	46.57374382
12.4	49.48719478
12.5	50.39531959
12.6	50.61784704
12.7	51.61594171
12.8	52.99756742
12.9	54.54177768
13	54.48906542
13.1	53.83234766
13.2	54.12828418
13.3	54.48509974
13.4	53.65651514
13.5	53.32479451
13.6	51.51762287
13.7	50.47218954
13.8	50.44053053
13.9	50.64048059
14	51.16368099
14.1	51.77035347
14.2	52.44582567
14.3	53.11399062
14.4	51.55350635
14.5	51.04576359
14.6	51.919537
14.7	52.78322214
14.8	52.75555864
14.9	52.27689382
15	51.8243349
15.1	52.36444087
15.2	53.62364511
15.3	54.23547454
15.4	54.8747028
15.5	55.04477612
15.6	54.86279403
15.7	55.19618495
15.8	55.43325538
15.9	56.15581653
16	56.02903114
16.1	55.88053568
16.2	56.58070891
16.3	59.22807696
16.4	60.57215098
16.5	59.33224334
16.6	58.85637007
16.7	55.86988432
16.8	54.04192095
16.9	54.47120237
17	53.95462465
17.1	53.58234947
17.2	54.03911691
17.3	54.10401796
17.4	54.59227883
17.5	54.42707583
17.6	53.29681409
17.7	52.9802821
17.8	51.32310712
17.9	50.54015061
18	51.48274054
18.1	51.88186128
18.2	53.13824906
18.3	53.77581729
18.4	54.21186427
18.5	52.72206781
18.6	51.03179796
18.7	51.5848656
18.8	51.96080733
18.9	52.5696011
19	54.00691945
19.1	55.23029944
19.2	55.82155066
19.3	55.7637392
19.4	54.58730061
19.5	55.02596367
19.6	56.28108631
19.7	56.0238522
19.8	55.62200876
19.9	56.16745273
20	55.99094546
20.1	54.32483777
20.2	53.18234824
20.3	53.65637349
20.4	54.04229147
20.5	52.06385214
20.6	50.5299397
20.7	50.99469863
20.8	50.53858319
20.9	50.92962625
21	51.75955919
21.1	52.26805717
21.2	53.98676252
21.3	54.56067496
21.4	52.96210004
21.5	51.37874781
21.6	50.62241755
21.7	50.22175213
21.8	50.00814039
21.9	51.80853322
22	54.07846734
22.1	54.37345084
22.2	53.2127737
22.3	51.45768653
22.4	51.10267343
22.5	51.70917974
22.6	50.73130871
22.7	50.54498919
22.8	51.09210904
22.9	51.55221525
23	51.40773251
23.1	50.45465517
23.2	51.46553537
23.3	52.26679111
23.4	52.48662907
23.5	51.76785293
23.6	51.9277822
23.7	52.82717399
23.8	53.62254745
23.9	54.34086065
24	54.21048538
24.1	53.4088306
24.2	53.56698114
24.3	53.2538511
24.4	54.32228166
24.5	56.02411793
24.6	57.98764081
24.7	55.01030772
24.8	50.39900794
24.9	49.60238089
25	50.61821599
25.1	52.65984708
25.2	54.4578347
25.3	55.53801275
25.4	55.43810694
25.5	54.62060613
25.6	53.17967162
25.7	52.54176658
25.8	52.91826292
25.9	52.46683139
26	52.22381788
26.1	51.44519488
26.2	52.13992809
26.3	52.41147353
26.4	52.01729816
26.5	53.06275408
26.6	54.4472942
26.7	54.79809653
26.8	54.83635086
26.9	54.66324879
27	53.65622626
27.1	51.89950927
27.2	50.06456848
27.3	49.86971561
27.4	50.77123928
27.5	52.62928175
27.6	53.45848798
27.7	52.25205733
27.8	51.03732849
27.9	50.45034833
28	50.09077647
28.1	49.18370045
28.2	49.06704803
28.3	49.62507262
28.4	50.69018828
28.5	51.73066865
28.6	52.59860427
28.7	53.27188546
28.8	53.39737297
28.9	54.03794299
29	55.1212477
29.1	56.50016345
29.2	57.42924971
29.3	58.09341666
29.4	58.01049723
29.5	55.75064535
29.6	53.4827158
29.7	53.8423214
29.8	55.5029351
29.9	56.5565306
30	57.15009725
30.1	57.45314013
30.2	57.81828862
30.3	57.6278221
30.4	57.80486091
30.5	57.06899836
30.6	56.2347981
30.7	56.2887529
30.8	56.64334894
30.9	57.07586818
31	55.44226304
31.1	53.91607921
31.2	52.03345954
31.3	51.01845419
31.4	51.72757824
31.5	51.19578357
31.6	49.26623641
31.7	50.14366594
31.8	50.00377026
31.9	50.76746765
32	52.41635422
32.1	53.60912331
32.2	54.93446963
32.3	57.3825655
32.4	58.68849463
32.5	57.04091891
32.6	55.24220359
32.7	56.31207129
32.8	58.97276595
32.9	62.15453842
33	65.49375902
33.1	67.60226757
33.2	66.75266452
33.3	66.99504795
33.4	67.53850428
33.5	68.91889796
33.6	70.04533237
33.7	69.00966098
33.8	66.45684442
