DEPT	GR
29.3	75.06763926
29.4	78.07382847
29.5	78.51724138
29.6	79.44454832
29.7	79.51768701
29.8	79.54405999
29.9	79.53611246
30	79.67751442
30.1	79.71423434
30.2	80.04930511
30.3	79.86474261
30.4	79.63045251
30.5	78.38620884
30.6	68.90733111
30.7	59.43169228
30.8	51.80876182
30.9	42.56223068
31	34.97407421
31.1	28.24359329
31.2	23.18325796
31.3	21.00534365
31.4	20.78568297
31.5	21.0241716
31.6	20.97278108
31.7	20.606921
31.8	20.69893235
31.9	20.75991079
32	20.61406647
32.1	20.47823351
32.2	20.45064213
32.3	20.59048884
32.4	20.73415265
32.5	21.92206275
32.6	23.34847297
32.7	24.09675725
32.8	24.45612393
32.9	24.68881034
33	25.2216641
33.1	26.36036658
33.2	29.14555648
33.3	32.63754255
33.4	37.93511806
33.5	44.78585516
33.6	52.53251129
33.7	59.82951958
33.8	63.92323742
33.9	65.15032767
34	62.95778814
34.1	58.83272441
34.2	54.58704261
34.3	52.08648801
34.4	51.98345499
34.5	53.64508382
34.6	55.67983062
34.7	57.89357951
34.8	60.09993785
34.9	62.42677779
35	65.28541777
35.1	68.04208
35.2	72.72685293
35.3	78.30414732
35.4	83.85619261
35.5	88.6482727
35.6	88.89568429
35.7	86.2659085
35.8	82.53974421
35.9	82.58864336
36	85.52553652
36.1	90.69553164
36.2	97.40810447
36.3	105.23979873
36.4	106.27142314
36.5	101.5976732
36.6	92.28422519
36.7	83.2746168
36.8	81.70281861
36.9	88.68541038
37	97.0661197
37.1	105.45480492
37.2	113.77303484
37.3	120.66215965
37.4	124.69977562
37.5	125.19062032
37.6	121.48426342
37.7	109.55724591
37.8	96.30381293
37.9	83.50209353
38	73.65165097
38.1	65.23833055
38.2	63.31829253
38.3	65.24178652
38.4	69.86099772
38.5	74.35843875
38.6	77.69078962
38.7	78.38130343
38.8	74.8762383
38.9	73.31499271
39	74.58832987
39.1	78.25303537
39.2	77.95958109
39.3	70.54393248
39.4	63.1885393
39.5	62.24001057
39.6	66.35850434
39.7	72.6151035
39.8	82.78832509
39.9	96.42530264
40	110.11616889
40.1	124.32907066
40.2	132.35654787
40.3	130.75915477
40.4	123.92478353
40.5	115.38830041
40.6	106.85809165
40.7	99.51348665
40.8	96.49290001
40.9	101.37852965
41	108.91221672
41.1	116.50471304
41.2	122.67373159
41.3	125.41209262
41.4	126.3495969
41.5	127.86229126
41.6	131.09271785
41.7	133.25646375
41.8	136.78375989
41.9	139.0746086
42	137.77130903
42.1	136.20731775
42.2	136.16116362
42.3	135.40466875
42.4	132.19308973
42.5	124.91127042
42.6	117.52441647
42.7	110.14659532
42.8	102.75337188
42.9	96.53686148
43	88.6822316
43.1	76.89942732
43.2	64.20801604
43.3	51.41046571
43.4	45.75907664
43.5	44.83463877
43.6	48.54089111
43.7	54.61705825
43.8	60.6741552
43.9	65.72333485
44	70.63390169
44.1	75.37490259
44.2	79.23248553
44.3	84.00229198
44.4	89.93179005
44.5	96.77212683
44.6	102.49781675
44.7	99.42274925
44.8	91.05037251
44.9	82.62847928
45	80.18037264
45.1	82.33630666
45.2	88.81809039
45.3	95.21548674
45.4	100.27991841
45.5	105.50675238
45.6	111.53696087
45.7	118.144511
45.8	123.62111904
45.9	127.87750928
46	130.8387001
46.1	133.68070225
46.2	134.87609542
46.3	134.77118938
46.4	136.09249037
46.5	137.39412152
46.6	136.32225328
46.7	135.11671223
46.8	134.58332302
46.9	132.70253037
47	130.03203034
47.1	124.9577976
47.2	119.06470678
47.3	106.67223546
47.4	86.80464619
47.5	67.1160164
47.6	48.98367902
47.7	35.38952866
47.8	27.04142271
47.9	23.493194
48	24.32967268
48.1	27.00012648
48.2	32.55587618
48.3	37.80760238
48.4	46.29308127
48.5	58.79694262
48.6	72.86925869
48.7	86.94157476
48.8	101.35941645
48.9	107.63247729
49	107.06483229
49.1	103.01948295
49.2	94.50836298
49.3	86.10835924
49.4	78.25329259
49.5	70.88086687
49.6	66.22077032
49.7	65.62187652
49.8	67.10492764
49.9	65.75378033
50	65.72899273
50.1	68.08556339
50.2	71.06620397
50.3	74.32567091
50.4	80.45931106
50.5	85.89419077
50.6	87.72604449
50.7	84.02427804
50.8	79.77051357
50.9	75.75907985
51	72.12542696
51.1	69.44742073
51.2	68.69171016
51.3	69.86690118
51.4	73.28992928
51.5	77.73194691
51.6	81.95618382
51.7	82.97423008
51.8	84.10471619
51.9	87.69938124
52	92.26362837
52.1	94.7546418
52.2	94.22074297
52.3	94.47523033
52.4	97.49732106
52.5	105.85697827
52.6	114.23760318
52.7	119.45437745
52.8	116.85743265
52.9	108.75742722
53	98.62145662
53.1	87.63959521
53.2	78.19887687
53.3	75.53830253
53.4	72.87505542
53.5	68.84123719
53.6	64.80079657
53.7	63.57504319
53.8	67.04178235
53.9	71.81524122
54	81.16880193
54.1	91.26348399
54.2	101.49482794
54.3	108.73499973
54.4	110.97701331
54.5	109.12640989
54.6	103.20003025
54.7	98.60768315
54.8	99.64012171
54.9	101.11838438
55	102.3015492
55.1	103.02466485
55.2	103.33073663
55.3	102.73888084
55.4	100.43806811
55.5	96.85760617
55.6	89.26810144
55.7	81.31738936
55.8	74.1925833
55.9	68.67658039
56	63.63805544
56.1	63.15464159
56.2	69.68255581
56.3	74.58877166
56.4	79.37369016
56.5	84.08135059
56.6	88.70881719
56.7	93.26131514
56.8	97.72346399
56.9	102.60617764
57	108.09085428
57.1	114.14713215
57.2	120.60977761
57.3	120.95391144
57.4	116.12985068
57.5	107.76853287
57.6	99.59281295
57.7	93.52769908
57.8	91.19258482
57.9	90.07640328
58	92.25805924
58.1	96.39735604
58.2	101.60618243
58.3	106.83542356
58.4	112.31674344
58.5	116.51556231
58.6	119.11852755
58.7	120.91562764
58.8	121.39854824
58.9	121.89650173
59	124.00955721
59.1	125.96836038
59.2	127.03788958
59.3	125.78645638
59.4	121.2961148
59.5	119.69187354
59.6	120.56341174
59.7	122.0773827
59.8	122.80958817
59.9	122.59178882
60	122.57416643
60.1	123.35924768
60.2	124.80374633
60.3	126.2164874
60.4	127.639987
60.5	129.09765622
60.6	130.83558647
60.7	133.21939282
60.8	135.70141072
60.9	136.19498611
61	134.28168608
61.1	131.76055337
61.2	129.57304249
61.3	127.47512513
61.4	124.73595017
61.5	119.57719247
61.6	113.77652934
61.7	111.84141727
61.8	106.71692774
61.9	101.11209943
62	96.47899246
62.1	92.81519339
62.2	90.11425013
62.3	86.08870118
62.4	81.47203093
62.5	77.95095929
62.6	78.20182326
62.7	82.07938575
62.8	87.12553188
62.9	93.96076322
63	103.42292143
63.1	112.83977879
63.2	121.08125673
63.3	128.12099731
63.4	134.55322972
63.5	135.34815679
63.6	133.5812321
63.7	130.10606712
63.8	126.24582292
63.9	122.76922276
64	120.01890269
64.1	115.99508414
64.2	110.21116463
64.3	107.63686947
64.4	109.07334626
64.5	110.62600362
64.6	111.88519743
64.7	112.16769513
64.8	112.99079482
64.9	110.20317468
65	106.54057893
65.1	105.98729234
65.2	111.68744104
65.3	116.3100598
65.4	119.87089811
65.5	120.92751347
65.6	120.14414918
65.7	117.45295236
65.8	114.37857602
65.9	112.28904454
66	109.86536083
66.1	106.47618193
66.2	104.9808714
66.3	104.92857743
66.4	104.28562415
66.5	104.24964632
66.6	103.56567858
66.7	100.01364412
66.8	96.52056787
66.9	93.70846312
67	91.03602738
67.1	92.26533051
67.2	94.39638101
67.3	96.51828755
67.4	97.79343735
67.5	98.44313384
67.6	100.34166675
67.7	104.45018951
67.8	110.32090326
67.9	116.2970723
68	118.26104292
68.1	117.2927213
68.2	115.73853076
68.3	114.52771757
68.4	112.51116753
68.5	113.0931425
68.6	116.54377381
68.7	120.08600963
68.8	124.35301864
68.9	128.83403615
69	130.8105456
69.1	131.03090143
69.2	131.10605244
69.3	129.89742992
69.4	128.02847755
69.5	127.62630479
69.6	127.40811031
69.7	124.96474391
69.8	121.46652571
69.9	118.55146641
70	116.32424585
70.1	115.9065129
70.2	117.08144966
70.3	117.4798239
70.4	119.29482606
70.5	121.31314724
70.6	124.45790815
70.7	129.43772307
70.8	133.01305594
70.9	136.52702347
71	138.01376241
71.1	136.86438156
71.2	132.23717054
71.3	127.49738064
71.4	122.78103599
71.5	118.29647912
71.6	116.13218975
71.7	114.53499755
71.8	115.50217698
71.9	117.97837706
72	120.3234051
72.1	121.1924331
72.2	122.77512691
72.3	125.01240959
72.4	128.04678139
72.5	130.94488318
72.6	132.50237295
72.7	131.49179692
72.8	128.7782066
72.9	125.98664551
73	123.53149233
73.1	121.90471112
73.2	122.85367771
73.3	124.43570807
73.4	124.26555343
73.5	125.94245945
73.6	128.79502907
73.7	130.33526162
73.8	132.34734624
73.9	133.76636562
74	133.97078901
74.1	133.34853088
74.2	132.00458306
74.3	131.7064068
74.4	133.27590796
74.5	134.40698306
74.6	133.20512718
74.7	130.61126679
74.8	129.97394432
74.9	131.55123841
75	133.50611976
75.1	134.58922381
75.2	133.40333653
75.3	133.08638089
75.4	134.37117878
75.5	133.85604662
75.6	132.4247625
75.7	131.77143207
75.8	131.03587241
75.9	130.18124294
76	129.46252408
76.1	130.08821959
76.2	131.41619739
76.3	132.74984634
76.4	131.60206593
76.5	129.23519183
76.6	125.99208876
76.7	122.69591106
76.8	120.18002083
76.9	121.79259142
77	125.65452794
77.1	130.11053186
77.2	134.1550518
77.3	135.93111125
77.4	136.00199776
77.5	135.27456774
77.6	134.78914132
77.7	134.49587529
77.8	132.35976796
77.9	130.2394565
78	128.51300185
78.1	127.32958063
78.2	124.0278383
78.3	118.43766218
78.4	113.68466952
78.5	112.89616809
78.6	114.11186749
78.7	118.59924906
78.8	121.21090323
78.9	123.29511431
79	125.90130627
79.1	125.93000028
79.2	125.3816821
79.3	124.96400264
79.4	123.7581603
79.5	124.20126305
79.6	125.59826006
79.7	127.32117635
79.8	129.89065949
79.9	130.99524856
80	129.1482051
80.1	125.39973661
80.2	122.78709776
80.3	121.61278731
80.4	121.1945985
80.5	120.62334098
80.6	119.1617667
80.7	117.55661193
80.8	115.86654896
80.9	114.73634128
81	118.33168998
81.1	124.58843926
81.2	130.49366071
81.3	134.10077793
81.4	133.21972345
81.5	133.34731733
81.6	135.38116539
81.7	134.64795499
81.8	132.41117021
81.9	130.1256915
82	128.83331355
82.1	128.43399783
82.2	128.11902662
82.3	126.67551247
82.4	122.59208127
82.5	120.68782244
82.6	119.47211339
82.7	119.1262108
82.8	120.23261012
82.9	122.93595027
83	125.67723745
83.1	127.19320424
83.2	128.61161942
83.3	130.22195197
83.4	129.7705299
83.5	129.02513889
83.6	130.69831169
83.7	131.77814151
83.8	132.0164766
83.9	132.0953864
84	129.04730435
84.1	125.99721271
84.2	123.91689878
84.3	122.84908118
84.4	123.45017674
84.5	124.4515794
84.6	125.21362097
84.7	126.11426961
84.8	126.47656575
84.9	127.8263977
85	129.00083893
85.1	128.80748553
85.2	125.45184281
85.3	121.4326866
85.4	118.53331087
85.5	112.80246026
85.6	102.39710781
85.7	90.02295314
85.8	82.46592385
85.9	79.25252705
86	79.05238389
86.1	76.31659862
86.2	72.15742124
86.3	68.33497165
86.4	64.86020133
86.5	63.22298401
86.6	61.91961959
86.7	62.18238523
86.8	63.76723696
86.9	65.88300886
87	67.75790947
87.1	67.67237091
87.2	67.34458072
87.3	67.96130399
87.4	70.06980877
87.5	71.84245556
87.6	72.32936686
87.7	72.4843428
87.8	70.58943235
87.9	70.16567691
88	72.2696361
88.1	75.69249283
88.2	75.38352039
88.3	73.82831024
88.4	74.42420134
88.5	75.76555293
88.6	77.60791189
88.7	78.23097949
88.8	76.37143572
88.9	72.81560089
89	69.42804292
89.1	66.45275719
89.2	63.81778924
89.3	63.37908399
89.4	65.24595734
89.5	67.01197266
89.6	65.78797936
89.7	62.48245035
89.8	59.98460238
89.9	59.20433826
90	57.67857333
90.1	56.18421016
90.2	56.51516252
90.3	57.99545425
90.4	59.44486371
90.5	60.34959905
90.6	59.31713148
90.7	58.14700028
90.8	56.84014467
90.9	55.5094918
91	53.81106692
91.1	51.99796211
91.2	50.36162005
91.3	50.24601955
91.4	51.82066265
91.5	53.76657178
91.6	56.38343726
91.7	59.4128058
91.8	62.44483127
91.9	65.46429573
92	68.26053806
92.1	68.53377599
92.2	67.6788337
92.3	65.94752455
92.4	64.54847257
92.5	64.51058893
92.6	66.46479803
92.7	68.36722915
92.8	69.22220186
92.9	68.76647588
93	66.42854152
93.1	63.59688361
93.2	61.06216988
93.3	59.81910787
93.4	59.72157495
93.5	60.94563735
93.6	60.58465393
93.7	60.36022875
93.8	61.07903296
93.9	61.79154616
94	62.39418181
94.1	63.58100446
94.2	65.09243529
94.3	65.83903378
94.4	66.56186175
94.5	68.08252461
94.6	68.9416214
94.7	69.28180692
94.8	69.74114936
94.9	71.66486908
95	74.25836434
95.1	76.76599376
95.2	77.45356613
95.3	75.84386365
95.4	71.86203807
95.5	67.96554955
95.6	64.46175477
95.7	63.82009334
95.8	67.20218492
95.9	71.12233617
96	73.10159855
96.1	75.11279499
96.2	76.3467187
96.3	76.699702
96.4	76.95173619
96.5	77.59253662
96.6	78.62516177
96.7	76.76109964
96.8	73.90953461
96.9	71.24739696
97	69.58055045
97.1	66.34055599
97.2	64.39179455
97.3	64.0674795
97.4	63.55138904
97.5	64.41290817
97.6	67.08297321
97.7	69.67683003
97.8	70.86942551
97.9	72.49037238
98	75.64733811
98.1	79.16157708
98.2	83.92725596
98.3	88.70524538
98.4	92.67706573
98.5	94.33317385
98.6	96.37902697
98.7	98.21077276
98.8	99.43050456
98.9	100.64738971
99	102.59900538
99.1	105.15623271
99.2	106.72002225
99.3	108.05002412
99.4	107.38146378
99.5	106.61357152
99.6	106.16765822
99.7	105.25062187
99.8	104.65337388
99.9	105.96174812
100	106.134132
100.1	106.86881992
100.2	108.89904384
100.3	110.61449056
100.4	109.14667916
100.5	106.12229335
100.6	104.57035253
100.7	104.61149248
100.8	104.43982926
100.9	105.58290479
101	107.49656105
101.1	106.84473277
101.2	104.76657948
101.3	102.68051322
101.4	100.40337506
101.5	99.95987685
101.6	102.85953325
101.7	103.74929613
101.8	103.74131635
101.9	105.83867801
102	108.10613501
102.1	109.92238752
102.2	111.69888842
102.3	114.61356567
102.4	117.02862135
102.5	117.06546835
102.6	112.91706547
102.7	112.30422386
102.8	110.96425532
102.9	109.336639
103	107.93389064
103.1	105.41217426
103.2	103.24010495
103.3	106.36767535
103.4	107.63381651
103.5	108.18998407
103.6	109.47300858
103.7	109.92909556
103.8	110.90070587
103.9	111.91329469
104	111.50291819
104.1	112.27528806
104.2	112.18304996
104.3	111.98143108
104.4	112.44416318
104.5	113.40446738
104.6	115.23663314
104.7	116.2527147
