DEPT	GR
0	20.1
0.1	20.1
0.2	18.87
0.3	17.13
0.4	15.28909091
0.5	13.39090909
0.6	12.7
0.7	13.295
0.8	13.97166667
0.9	14.41333333
1	14.83714286
1.1	15.36742857
1.2	16.26153846
1.3	17.27692308
1.4	17.9
1.5	17.7
1.6	15.2
1.7	12.47272727
1.8	9.74545455
1.9	7.4
2	6.5
2.1	5.9
2.2	6.37076923
2.3	6.90615385
2.4	7.04307692
2.5	6.95384615
2.6	7.09714286
2.7	7.69555556
2.8	8.72666667
2.9	10.3847271
3	12.39862364
3.1	14.41252017
3.2	16.76142857
3.3	19.37428571
3.4	22.16
3.5	25.7
3.6	29.11333333
3.7	29.74
3.8	28.9
3.9	29.1
4	30.56
4.1	32.212
4.2	33.5
4.3	33.3
4.4	31.7
4.5	29.12857143
4.6	28.1
4.7	29.67499053
4.8	31.49931792
4.9	33.32364532
5	35.3
5.1	35.45714286
5.2	35.3
5.3	34.2
5.4	33
5.5	32.1
5.6	32.8
5.7	34
5.8	34.55714286
5.9	35.5
6	36.58319185
6.1	37.63
6.2	38.06857143
6.3	37.90285714
6.4	37.73714286
6.5	37.4
6.6	36.03555556
6.7	34.36
6.8	34.02666667
6.9	34.41333333
7	34.7
7.1	33.9
7.2	31.93333333
7.3	31.1
7.4	31.99555556
7.5	33.7
7.6	34.3
7.7	34.176
7.8	33.114
7.9	32.88545455
8	34.70909091
8.1	36.24
8.2	35.43272727
8.3	34.5
8.4	34.44
8.5	35.19090909
8.6	35.72714286
8.7	35.81142857
8.8	35.9
8.9	35.7
9	35.18119034
9.1	34.62464907
9.2	34.3
9.3	35.06521739
9.4	36.42173913
9.5	37.77826087
9.6	39.13478261
9.7	39.9
9.8	39.68
9.9	39.5
10	40.15454545
10.1	41.24545455
10.2	41.84
10.3	40.725
10.4	39.1
10.5	38.3
10.6	38.1
10.7	38.5
10.8	38.9
10.9	38.65
11	37.44691076
11.1	36.04279176
11.2	35.3
11.3	36.075
11.4	35.97777778
11.5	35.32222222
11.6	35.442
11.7	37.684
11.8	39.20857143
11.9	39.572
12	38.43924051
12.1	36.4078481
12.2	35.25714286
12.3	34.7
12.4	35.63333333
12.5	37.76666667
12.6	41.32142857
12.7	45.35
12.8	48.35526433
12.9	49.92789871
13	51.5005331
13.1	52.7
13.2	52.585
13.3	51.66
13.4	50.48
13.5	49.3
13.6	48.12
13.7	47.5
13.8	48.31
13.9	50.25333333
14	54.16666667
14.1	57.1
14.2	55.12
14.3	52.26
14.4	49.488
14.5	45.1
14.6	42.37
14.7	38.9
14.8	36.86545455
14.9	35.04181818
15	33.6
15.1	33.76666667
15.2	35.5
15.3	34.9
15.4	32.22588235
15.5	29.24117647
15.6	26.25647059
15.7	25.13555556
15.8	25.39777778
15.9	25.3
16	24.56666667
16.1	23.78
16.2	23.14666667
16.3	23.02833333
16.4	23.3725
16.5	23.71666667
16.6	24.06083333
16.7	24.3
16.8	24.3
16.9	23.92789916
17	23.29327731
17.1	22.65865546
17.2	22.1
17.3	22.1
17.4	22.1
17.5	22.175
17.6	22.275
17.7	22.42272727
17.8	22.58636364
17.9	22.75
18	22.9
18.1	23.1
18.2	23.6
18.3	24
18.4	24.9
18.5	26.55
18.6	28.35
18.7	29.86666667
18.8	30.53333333
18.9	30.99936575
19	31.39852008
19.1	31.30444444
19.2	30.76571429
19.3	29.3
19.4	26.3675
19.5	24.1
19.6	23.7075
19.7	23.75666667
19.8	23.80583333
19.9	23.855
20	23.9
20.1	23.61555556
20.2	23.178
20.3	22.352
20.4	21.7925
20.5	21.5
20.6	21.5
20.7	21.66521739
20.8	21.92173913
20.9	22.17826087
21	22.43478261
21.1	22.75882353
21.2	23.10588235
21.3	23.45294118
21.4	23.85478261
21.5	24.26521739
21.6	24.67565217
21.7	25.1
21.8	25.898
21.9	26.8224955
22	28.01169766
22.1	29.3
22.2	29.7
22.3	29.33636364
22.4	28.46363636
22.5	27.95263158
22.6	27.7
22.7	27.44736842
22.8	27
22.9	25.51100762
23	23.3
23.1	22.7
23.2	23.32
23.3	24.07090909
23.4	24.4025
23.5	24.34
23.6	23.868
23.7	23.396
23.8	22.924
23.9	22.452
24	21.98
24.1	21.508
24.2	21.036
24.3	20.5
24.4	20.1
24.5	19.9
24.6	20.19
24.7	20.78
24.8	21.37
24.9	21.96
25	22.5
