DEPT	GR
400.1	101.34730539
400.2	100.60878244
400.3	99.79041916
400.4	100.4491018
400.5	99.25149701
400.6	97.45508982
400.7	97.15568862
400.8	98.65269461
400.9	101.64670659
401	101.94610778
401.1	102.76946108
401.2	103.68263473
401.3	105.23952096
401.4	105.08982036
401.5	102.99401198
401.6	102.84431138
401.7	105.83832335
401.8	109.28143713
401.9	110.32934132
402	106.44953616
402.1	104.09181637
402.2	102.24550898
402.3	101.54491018
402.4	99.52844311
402.5	96.59431138
402.6	94.76047904
402.7	96.85628743
402.8	102.24550898
402.9	108.23353293
403	110.92814371
403.1	110.17964072
403.2	110.92814371
403.3	113.17365269
403.4	112.1257485
403.5	111.52694611
403.6	113.47305389
403.7	115.86826347
403.8	115.81836327
403.9	115.11976048
404	115.71856287
404.1	114.52095808
404.2	113.92215569
404.3	117.81437126
404.4	120.80838323
404.5	122.60479042
404.6	123.50299401
404.7	122.43263473
404.8	120.43787425
404.9	119.03592814
405	117.51497006
405.1	117.5748503
405.2	117.81437126
405.3	116.06586826
405.4	113.62275449
405.5	113.0239521
405.6	112.4251497
405.7	115.41916168
405.8	118.18862275
405.9	120.80838323
406	121.70658683
406.1	119.91017964
406.2	116.01796407
406.3	114.37125749
406.4	114.52095808
406.5	114.37125749
406.6	115.56886228
406.7	119.16167665
406.8	121.10778443
406.9	119.01197605
407	118.71257485
407.1	119.91017964
407.2	120.50898204
407.3	119.61077844
407.4	118.41317365
407.5	114.67065868
407.6	114.52095808
407.7	116.46706587
407.8	118.56287425
407.9	119.01197605
408	119.61077844
408.1	119.34131737
408.2	118.71257485
408.3	116.61676647
408.4	116.01796407
408.5	116.31736527
408.6	114.07185629
408.7	112.7245509
408.8	113.92215569
408.9	115.41916168
409	115.41916168
409.1	115.20958084
409.2	114.82035928
409.3	113.0239521
409.4	110.77844311
409.5	110.62874251
409.6	111.9760479
409.7	112.4251497
409.8	110.32934132
409.9	108.08383234
410	107.93413174
410.1	112.68463074
410.2	113.62275449
410.3	112.5249501
410.4	111.52694611
410.5	110.56886228
410.6	109.13173653
410.7	109.13173653
410.8	110.44535928
410.9	112.34281437
411	115.1462897
411.1	118.41317365
