DEPT	GR
27.1336	81.0994
27.286	84.8096
27.4384	89.9865
27.5908	93.9114
27.7432	96.1882
27.8956	98.4651
28.048	102.847
28.2004	107.7319
28.3528	111.729
28.5052	114.4006
28.6576	116.6335
28.81	116.6335
28.9624	120.0822
29.1148	123.9073
29.2672	124.2964
29.4196	121.2735
29.572	118.6154
29.7244	117.0889
29.8768	114.0665
30.0292	113.238
30.1816	112.8756
30.334	113.0719
30.4864	112.5469
30.6388	109.9925
30.7912	108.1749
30.9436	108.8385
31.096	109.5211
31.2484	108.7554
31.4008	110.3821
31.5532	112.3819
31.7056	116.7407
31.858	120.0199
32.0104	119.0462
32.1628	117.9827
32.3152	117.8621
32.4676	115.3518
32.62	111.9269
32.7724	108.502
32.9248	106.8208
33.0772	107.9253
33.2296	110.8404
33.382	112.8553
33.5344	114.5618
33.6868	117.0629
33.8392	117.015
33.9916	115.4981
34.144	114.5934
34.2964	115.13
34.4488	115.7749
34.6012	115.6543
34.7536	114.4422
34.906	113.2882
35.0584	111.8869
35.2108	111.1566
35.3632	110.5577
35.5156	109.5657
35.668	111.4475
35.8204	109.4175
35.9728	108.8228
36.1252	111.7022
36.2776	112.968
36.43	114.3886
36.5824	116.7171
36.7348	118.7397
36.8872	114.7975
37.0396	108.6404
37.192	104.6813
37.3444	106.2749
37.4968	110.5256
37.6492	112.6526
37.8016	113.509
37.954	111.3949
38.1064	110.684
38.2588	109.6093
38.4112	105.1756
38.5636	100.2092
38.716	93.5264
38.8684	84.438
39.0208	75.3495
39.1732	68.6865
39.3256	68.0077
39.478	67.4321
39.6304	66.1123
39.7828	64.0414
39.9352	58.7144
40.0876	53.3874
40.24	49.3258
40.3924	47.9576
40.5448	48.1076
40.6972	50.7628
40.8496	53.3952
41.002	55.5267
41.1544	59.2629
41.3068	61.5021
41.4592	61.1036
41.6116	59.8606
41.764	61.3835
41.9164	63.8647
42.0688	64.6841
42.2212	66.4343
42.3736	67.2179
42.526	66.85
42.6784	66.9372
42.8308	67.9746
42.9832	67.9219
43.1356	65.2902
43.288	62.8242
43.4404	60.5266
43.5928	56.2282
43.7452	54.6813
43.8976	54.924
44.05	53.1281
44.2024	50.1444
44.3548	45.7171
44.5072	45.1886
44.6596	46.761
44.812	49.7867
44.9644	51.4196
45.1168	52.2041
45.2692	51.6511
45.4216	49.3068
45.574	46.8173
45.7264	45.2853
45.8788	44.9983
46.0312	45.9321
46.1836	47.9989
46.336	50.1046
46.4884	52.49
46.6408	57.0251
46.7932	59.8992
46.9456	61.8526
47.098	61.9736
47.2504	62.6155
47.4028	63.9932
47.5552	63.8468
47.7076	61.825
47.86	60.9421
48.0124	60.1716
48.1648	59.4622
48.3172	57.1785
48.4696	54.3824
48.622	53.509
48.7744	53.4529
48.9268	52.3745
49.0792	51.2948
49.2316	53.1198
49.384	56.2007
49.5364	59.2629
49.6888	60.259
49.8412	59.96
49.9936	60.7726
50.146	59.8928
50.2984	58.3669
50.4508	60.2423
50.6032	62.5914
50.7556	63.9138
50.908	63.838
51.0604	61.2833
51.2128	59.2662
51.3652	57.2709
51.5176	58.5664
51.67	63.5017
51.8224	68.2522
51.9748	69.3298
52.1272	70.6973
52.2796	73.6481
52.432	76.599
52.5844	80.1651
52.7368	84.0422
52.8892	86.9758
53.0416	87.1514
53.194	86.4961
53.3464	85.0369
53.4988	85.7779
53.6512	86.753
53.8036	84.3625
53.956	83.7649
54.1084	84.3079
54.2608	83.7649
54.4132	83.7704
54.5656	84.8975
54.718	86.0246
54.8704	87.1516
55.0228	88.7219
55.1752	90.5343
55.3276	89.98
55.48	88.251
55.6324	86.8577
55.7848	86.628
55.9372	89.9548
56.0896	93.8225
56.242	96.882
56.3944	97.2713
56.5468	95.8881
56.6992	94.5219
56.8516	93.8536
57.004	92.0543
57.1564	90.5378
57.3088	91.3299
57.4612	90.684
57.6136	90.679
57.766	91.7456
57.9184	96.2578
58.0708	99.3007
58.2232	98.4973
58.3756	96.3414
58.528	94.9111
58.6804	95.2016
58.8328	93.6686
58.9852	94.7515
59.1376	97.0712
59.29	98.3945
59.4424	97.8581
59.5948	97.8598
59.7472	97.6301
59.8996	97.51
60.052	97.947
60.2044	99.3028
60.3568	97.8596
60.5092	96.7131
60.6616	96.9322
60.814	96.9535
60.9664	95.6498
61.1188	94.4656
61.2712	94.3368
61.4236	93.1756
61.576	92.3535
61.7284	93.869
61.8808	93.8789
62.0332	93.4546
62.1856	92.2891
62.338	90.8041
62.4904	90.5378
62.6428	91.8142
62.7952	92.7743
62.9476	94.803
63.1	92.8919
63.2524	92.1276
63.4048	92.3791
63.5572	94.2164
63.7096	93.235
63.862	91.5339
64.0144	91.6401
64.1668	93.1275
64.3192	93.5259
64.4716	93.1431
64.624	93.4041
64.7764	92.5688
64.9288	93.0113
65.0812	97.7426
65.2336	97.625
65.386	95.7171
65.5384	94.9203
65.6908	95.4525
65.8432	97.2619
65.9956	97.191
66.148	95.5179
66.3004	96.5147
66.4528	97.5862
66.6052	94.6534
66.7576	92.5173
66.91	92.9381
67.0624	91.0954
67.2148	90.0125
67.3672	89.741
67.5196	90.0599
67.672	91.3432
67.8244	93.4542
67.9768	92.9707
68.1292	92.8618
68.2816	91.6556
68.434	91.5339
68.5864	93.1772
68.7388	94.1456
68.8912	94.2964
69.0436	95.7171
69.196	98.9651
69.3484	100.6972
69.5008	97.7092
69.6532	97.2483
69.8056	97.0458
69.958	95.6185
70.1104	94.4421
70.2628	92.3382
70.4152	90.5054
70.5676	89.3552
70.72	89.356
70.8724	87.5987
71.0248	86.8502
71.1772	85.6146
71.3296	87.5152
71.482	90.4205
71.6344	92.5225
71.7868	93.1275
71.9392	94.1272
72.0916	97.4933
72.244	100.0242
72.3964	100.3716
72.5488	97.7741
72.7012	94.511
72.8536	92.7961
73.006	93.7758
73.1584	93.9243
73.3108	96.4793
73.4632	97.5828
73.6156	99.6115
73.768	99.6153
73.9204	96.1215
74.0728	94.1235
74.2252	96.7979
74.3776	97.6564
74.53	94.6265
74.6824	93.9265
74.8348	95.9874
74.9872	95.1887
75.1396	92.7843
75.292	90.6002
75.4444	88.8971
75.5968	86.3387
75.7492	85.2126
75.9016	85.6935
76.054	87.5018
76.2064	90.4476
76.3588	92.1527
76.5112	92.38
76.6636	89.8769
76.816	89.6783
76.9684	90.2007
77.1208	90.2831
77.2732	90.9231
77.4256	90.947
77.578	94.3559
77.7304	96.074
77.8828	98.1076
78.0352	96.3973
78.1876	93.8481
78.34	94.943
78.4924	98.2931
78.6448	99.8008
78.7972	97.6339
78.9496	95.7171
79.102	93.4626
79.2544	90.8956
79.4068	90.9019
79.5592	92.4986
79.7116	93.6412
79.864	94.2966
80.0164	95.0428
80.1688	95.6161
80.3212	98.2886
80.4736	102.1719
80.626	102.9661
80.7784	101.7894
80.9308	99.5864
81.0832	98.8001
81.2356	98.3014
81.388	97.3766
81.5404	96.1155
81.6928	96.5138
81.8452	98.6106
81.9976	97.7453
82.15	96.4673
82.3024	95.9163
82.4548	96.3558
82.6072	97.9283
82.7596	100.2988
82.912	100.1279
83.0644	98.9725
83.2168	98.5517
83.3692	98.352
83.5216	96.9166
83.674	95.6989
83.8264	94.5552
83.9788	94.5879
84.1312	96.0679
84.2836	95.6994
84.436	94.398
84.5884	95.6791
84.7408	97.3946
84.8932	98.5964
85.0456	99.3555
85.198	99.6046
85.3504	99.5614
85.5028	98.9185
85.6552	96.8679
85.8076	95.9416
85.96	97.055
86.1124	98.6787
86.2648	97.636
86.4172	97.4196
86.5696	97.5688
86.722	98.3068
86.8744	98.5892
87.0268	98.4941
87.1792	97.3963
87.3316	95.5082
87.484	93.5259
87.6364	94.8555
87.7888	96.6348
87.9412	95.0383
88.0936	94.4801
88.246	95.3187
88.3984	93.5259
88.5508	94.7593
88.7032	96.7271
88.8556	97.3303
89.008	98.5836
89.1604	100.9358
89.3128	102.6964
89.4652	101.5655
89.6176	99.2546
89.77	96.0814
89.9224	94.578
90.0748	94.7441
90.2272	95.7171
90.3796	94.331
90.532	94.2645
90.6844	93.6728
90.8368	92.9921
90.9892	92.7608
91.1416	93.7717
91.294	94.7001
91.4464	95.5179
91.5988	94.6342
91.7512	92.9283
91.9036	94.0428
92.056	94.143
92.2084	93.9243
92.3608	95.3114
92.5132	97.3209
92.6656	97.7451
92.818	97.4027
92.9704	96.6283
93.1228	93.5259
93.2752	93.2315
93.4276	94.3227
93.58	97.0229
93.7324	100.489
93.8848	99.9322
94.0372	100.6972
94.1896	103.5218
94.342	102.554
94.4944	102.618
94.6468	101.1772
94.7992	100.8315
94.9516	102.8884
95.104	102.9274
95.2564	102.0703
95.4088	101.4455
95.5612	102.8444
95.7136	103.5682
95.866	103.3751
96.0184	101.6867
