DEPT	GR
28	28.2615894
28.1	28.85761589
28.2	29.45364238
28.3	28.55960265
28.4	25.5794702
28.5	24.68543046
28.6	24.68543046
28.7	24.08940397
28.8	23.79139073
28.9	24.71137217
29	26.81707934
29.1	28.92278652
29.2	31.02849369
29.3	33.13420087
29.4	34.66887417
29.5	35.86092715
29.6	36.90397351
29.7	37.20198675
29.8	36.90397351
29.9	36.45695364
30	36.30794702
30.1	36.75496689
30.2	37.79801325
30.3	39.97350993
30.4	42.56622517
30.5	43.01324503
30.6	42.53311258
30.7	42.00331126
30.8	41.37417219
30.9	40.48013245
31	40.48013245
31.1	41.1134106
31.2	42.00745033
31.3	43.01324503
31.4	44.35430464
31.5	44.35430464
31.6	43.75827815
31.7	43.4602649
31.8	43.60927152
31.9	44.35430464
32	46.37823508
32.1	49.94205298
32.2	55.12748344
32.3	61.63907285
32.4	68.79139073
32.5	75.14900662
32.6	80.41390728
32.7	80.11589404
32.8	76.24172185
32.9	72.32264356
33	68.67077516
33.1	65.81125828
33.2	64.02317881
33.3	58.95695364
33.4	56.87086093
33.5	55.82781457
33.6	55.97682119
33.7	58.15604305
33.8	59.85099338
33.9	61.41556291
34	62.53311258
34.1	61.63907285
34.2	58.99952696
34.3	55.93424787
34.4	53.91556291
34.5	52.54966887
34.6	51.20860927
34.7	47.7442053
34.8	44.6647351
34.9	41.97019868
35	39.12044702
35.1	36.90397351
35.2	34.40811258
35.3	31.83774834
35.4	29.15562914
35.5	28.11258278
35.6	27.66556291
35.7	27.06953642
35.8	26.17549669
35.9	24.38741722
36	22.15231788
36.1	21.85430464
36.2	22.61175497
36.3	23.30711921
36.4	24.08940397
36.5	24.1763245
36.6	24.27566225
36.7	24.38741722
36.8	24.13197729
36.9	23.45080416
37	23.19536424
37.1	23.79139073
37.2	23.49337748
37.3	23.49337748
37.4	25.21759697
37.5	26.32450331
37.6	27.21854305
37.7	28.2615894
37.8	29.75165563
37.9	31.98675497
38	33.02980132
38.1	33.02980132
38.2	33.62582781
38.3	35.05629139
38.4	36.00993377
38.5	36.90397351
38.6	38.06622517
38.7	38.34477408
38.8	38.27615405
38.9	38.20753403
39	38.13891401
39.1	37.64900662
39.2	35.71192053
39.3	33.32781457
39.4	31.44039735
39.5	30.04966887
39.6	29.30463576
39.7	29.15562914
39.8	29.90066225
39.9	30.49668874
40	30.84888621
40.1	31.17399157
40.2	31.5397351
40.3	31.5397351
40.4	31.09271523
40.5	30.49668874
40.6	29.72456352
40.7	28.85761589
40.8	27.99066827
40.9	26.9205298
41	25.5794702
41.1	25.28145695
41.2	25.28145695
41.3	25.72847682
41.4	27.96357616
41.5	29.7218543
41.6	30.49668874
41.7	30.1986755
41.8	29.75165563
41.9	29.75165563
42	30.64569536
42.1	30.94370861
42.2	30.64569536
42.3	30.79470199
42.4	31.7781457
42.5	31.98675497
42.6	30.81332781
42.7	28.87624172
42.8	27.28240303
42.9	26.26064333
43	25.5794702
43.1	25.5794702
43.2	25.5794702
43.3	26.44370861
43.4	27.21854305
43.5	27.36754967
43.6	27.36754967
43.7	26.40964995
43.8	25.5794702
43.9	25.65397351
44	26.25
44.1	26.47350993
44.2	25.5794702
44.3	23.56788079
44.4	22.00331126
44.5	19.47019868
44.6	18.42715232
44.7	18.12913907
44.8	18.0794702
44.9	17.94701987
45	17.83112583
45.1	17.23509934
45.2	17.07757805
45.3	16.85761589
45.4	16.3410596
45.5	16.3410596
45.6	16.88940397
45.7	17.23509934
45.8	17.23509934
45.9	17.23509934
46	16.93708609
46.1	15.48427152
46.2	14.40397351
46.3	14.25496689
46.4	15.1986755
46.5	16.12582781
46.6	16.93708609
46.7	17.08609272
46.8	17.23509934
46.9	17.02649007
47	16.63907285
47.1	16.93708609
47.2	17.98013245
47.3	19.13493377
47.4	20.22764901
47.5	21.32036424
47.6	22.3013245
47.7	22.3013245
47.8	22.68448439
47.9	22.89735099
48	22.3013245
48.1	21.40728477
48.2	21.40728477
48.3	21.27724262
48.4	20.85460566
48.5	20.43196869
48.6	19.91721854
48.7	19.91721854
48.8	20.21523179
48.9	21.10927152
49	21.70529801
49.1	22.00331126
49.2	21.70529801
49.3	21.70529801
49.4	21.78192999
49.5	22.13103122
49.6	22.03311258
49.7	21.50946074
49.8	20.51324503
49.9	19.32119205
50	18.42715232
50.1	15.74503311
50.2	13.6589404
50.3	12.70529801
50.4	11.87086093
50.5	11.27483444
50.6	11.93897824
50.7	12.60312204
50.8	13.26726585
50.9	13.6589404
51	13.6589404
51.1	14.08807947
51.2	14.25496689
51.3	14.25496689
51.4	14.25496689
51.5	14.67218543
51.6	15.24238411
51.7	15.81258278
51.8	16.3410596
51.9	15.70927152
52	14.70198675
52.1	14.25496689
52.2	14.89072848
52.3	15.70529801
52.4	16.43046358
52.5	16.83774834
52.6	17.23509934
52.7	16.93708609
52.8	16.76572848
52.9	16.04304636
53	15.33413606
53.1	15.44701987
53.2	15.74503311
53.3	15.98344371
53.4	15.48874172
53.5	15.14900662
53.6	15.44701987
53.7	16.5794702
53.8	17.74172185
53.9	18.32284768
54	18.42715232
54.1	18.02483444
54.2	17.53311258
54.3	17.30662252
54.4	17.06225166
54.5	17.08609272
54.6	17.44370861
54.7	17.83112583
54.8	18.19725639
54.9	18.84437086
55	19.91721854
55.1	22.00331126
55.2	22.3013245
55.3	22.3013245
55.4	21.70529801
55.5	21.10927152
55.6	19.91721854
55.7	18.62298959
55.8	17.50703642
55.9	17.36175497
56	17.23509934
56.1	17.53311258
56.2	17.41721854
56.3	17.28476821
56.4	17.08609272
56.5	16.93708609
56.6	16.93708609
56.7	15.74503311
56.8	13.95695364
56.9	12.16887417
57	10.97682119
57.1	10.82781457
57.2	11.7218543
57.3	12.46688742
57.4	12.24337748
57.5	11.87086093
57.6	11.87086093
57.7	12.28807947
57.8	12.46688742
57.9	11.87086093
58	12.31788079
58.1	13.6589404
58.2	14.51655629
58.3	15.46688742
58.4	16.04304636
58.5	15.44701987
58.6	16.15107616
58.7	17.52566225
58.8	18.12913907
58.9	18.12913907
59	18.12913907
59.1	17.77152318
59.2	16.77530747
59.3	16.04304636
59.4	16.66887417
59.5	17.23509934
59.6	17.23509934
59.7	16.63907285
59.8	16.63907285
59.9	17.32450331
60	18.15397351
60.1	19.02317881
60.2	20.67076632
60.3	21.76490066
60.4	21.95860927
60.5	22.45033113
60.6	22.89735099
60.7	22.89735099
