DEPT	GR
0	18.97410359
0.1	18.97410359
0.2	18.52589641
0.3	17.2559761
0.4	15.46314741
0.5	14.34262948
0.6	14.49203187
0.7	15.83665339
0.8	16.58366534
0.9	16.28486056
1	15.54630534
1.1	14.37363753
1.2	12.22111554
1.3	10.00996016
1.4	7.76394422
1.5	6.12549801
1.6	5.82669323
1.7	5.82669323
1.8	6.5251494
1.9	8.12749004
2	9.50123556
2.1	10.60756972
2.2	12.10159363
2.3	14.71912351
2.4	18.85458167
2.5	23.75498008
2.6	27.93824701
2.7	28.23705179
2.8	24.22310757
2.9	20.16932271
3	17.77888446
3.1	18.80976096
3.2	21.20517928
3.3	23.4561753
3.4	26.5189243
3.5	29.53187251
3.6	31.2250996
3.7	31.40438247
3.8	30.82171315
3.9	30.23904382
4	29.7310757
4.1	29.05828711
4.2	28.53585657
4.3	28.38645418
4.4	28.83466135
4.5	29.7310757
4.6	30.02988048
4.7	29.89915339
4.8	29.7310757
4.9	29.20816733
5	28.794798
5.1	28.68849573
5.2	28.58219346
5.3	29.19322709
5.4	30.9063745
5.5	32.71912351
5.6	31.73733637
5.7	30.07256688
5.8	28.83466135
5.9	29.13346614
6	28.98406375
6.1	27.63944223
6.2	27.41832669
6.3	27.65139442
6.4	27.88446215
6.5	27.24103586
6.6	26.46414343
6.7	25.48804781
6.8	23.75498008
6.9	23.4561753
7	21.06573705
7.1	20.46812749
7.2	20.16932271
7.3	19.65139442
7.4	19.27290837
7.5	19.57171315
7.6	18.70517928
7.7	17.77888446
7.8	17.48007968
7.9	17.1812749
8	16.28486056
8.1	15.98605578
8.2	16.88247012
8.3	17.33067729
8.4	17.77888446
8.5	18.07768924
8.6	19.57171315
8.7	19.57171315
8.8	19.57171315
8.9	19.57171315
9	20.16932271
9.1	20.38446215
9.2	20.16932271
9.3	21.36454183
9.4	21.06573705
9.5	20.46812749
9.6	21.22111554
9.7	21.96215139
9.8	22.26095618
9.9	22.65537849
10	22.85856574
10.1	22.38047809
10.2	20.83266932
10.3	19.27290837
10.4	19.47460159
10.5	20.16932271
10.6	21.52675014
10.7	22.85856574
10.8	20.9312749
10.9	19.87051793
11	19.57171315
11.1	20.01992032
11.2	20.61752988
11.3	22.27755644
11.4	24.00398406
11.5	24.80079681
11.6	23.4188247
11.7	22.55976096
11.8	23.30677291
11.9	23.15737052
12	24.81790396
12.1	26.98207171
12.2	29.8625498
12.3	33.46613546
12.4	38.74003984
12.5	46.31474104
12.6	54.23306773
12.7	69.15836653
12.8	86.20144422
12.9	104.57171315
13	121.16533865
13.1	164.64143426
13.2	187.35059761
13.3	207.07171315
13.4	225
13.5	248.13869522
13.6	279.96140438
13.7	313.80904952
13.8	351.03158793
13.9	368.7250996
14	343.64684121
14.1	299.85059761
14.2	280.81673307
14.3	272.36055777
14.4	281.3247012
14.5	280.72709163
14.6	244.87051793
14.7	158.81474104
14.8	108.31673307
14.9	81.42430279
15	67.84105616
15.1	61.10557769
15.2	61.10557769
15.3	66.83067729
15.4	69.77091633
15.5	69.77091633
15.6	62.97310757
15.7	56.35458167
15.8	49.45219124
15.9	46.16533865
16	45.56772908
16.1	45.86653386
16.2	46.16533865
16.3	45.00747012
16.4	43.26693227
16.5	41.23505976
16.6	41.38446215
16.7	44.52191235
16.8	47.95816733
16.9	50.79681275
17	50.64741036
17.1	50.0498008
17.2	50.34860558
17.3	49.75099602
17.4	47.65936255
17.5	43.32669323
17.6	39.92031873
17.7	40.48804781
17.8	43.3625498
17.9	47.48007968
18	52.70169323
18.1	55.12948207
18.2	52.88247012
18.3	50.64741036
18.4	48.85458167
18.5	49.00398406
18.6	48.25697211
18.7	47.36055777
18.8	47.95816733
18.9	47.56972112
19	47.65936255
19.1	49.45346546
19.2	50.64741036
19.3	51.84262948
19.4	54.83067729
19.5	63.19721116
19.6	68.87450199
19.7	73.05776892
19.8	75.89641434
19.9	76.79282869
20	76.81772908
20.1	76.4940239
20.2	74.70119522
20.3	71.937251
20.4	67.67928287
20.5	65.16932271
20.6	63.34661355
20.7	63.19721116
20.8	63.64541833
20.9	64.99003984
21	69.77091633
21.1	70.3685259
21.2	69.17330677
21.3	66.66334661
21.4	64.99003984
21.5	64.69123506
21.6	65.28884462
21.7	67.42828685
21.8	69.17330677
21.9	68.27689243
22	68.27689243
22.1	68.85059761
22.2	69.17330677
22.3	67.97808765
22.4	67.97808765
22.5	69.17330677
22.6	71.56374502
22.7	70.05776892
22.8	68.1125498
22.9	67.08167331
23	68.87450199
23.1	70.54780876
23.2	71.26494024
23.3	67.2310757
23.4	67.67928287
23.5	69.47211155
23.6	69.17330677
23.7	69.32270916
23.8	70.93625498
23.9	71.56374502
24	71.26494024
24.1	72.75896414
24.2	73.05776892
24.3	77.24103586
24.4	77.24103586
24.5	76.64342629
24.6	75.29880478
24.7	74.25298805
24.8	74.10358566
24.9	74.25298805
25	73.29247678
25.1	71.8625498
25.2	71.26494024
25.3	70.96613546
25.4	71.21713147
25.5	71.56374502
25.6	70.66733068
25.7	66.42430279
25.8	63.79482072
25.9	63.79482072
26	69.17330677
26.1	74.25298805
26.2	74.25298805
26.3	71.56374502
26.4	70.21912351
26.5	68.57569721
26.6	67.38047809
26.7	67.52988048
26.8	67.08167331
26.9	64.69123506
27	64.99003984
27.1	65.28884462
27.2	66.17031873
27.3	68.55862265
27.4	72.38759249
27.5	74.55179283
27.6	72.46015936
27.7	71.8625498
27.8	76.34462151
27.9	79.03386454
28	82.66490998
28.1	87.99800797
28.2	89.94023904
28.3	89.79083665
28.4	86.26920888
28.5	84.26294821
28.6	82.91832669
28.7	82.91832669
28.8	82.61952191
28.9	83.06772908
29	88.56339968
29.1	93.07768924
29.2	93.97410359
29.3	94.52048947
29.4	95.16932271
29.5	97.26095618
29.6	98.75498008
29.7	97.26095618
29.8	93.1374502
29.9	90.687251
30	90.687251
30.1	97.67928287
30.2	102.63944223
30.3	100.84661355
30.4	98.15737052
30.5	102.34063745
30.6	104.7310757
30.7	104.13346614
30.8	104.13346614
30.9	104.9940239
31	105.32868526
31.1	102.78884462
31.2	100.24900398
31.3	99.65139442
31.4	98.00796813
31.5	92.29332669
31.6	87.69920319
31.7	87.99800797
31.8	92.48007968
31.9	93.07768924
32	92.62948207
32.1	92.03187251
32.2	93.10258964
32.3	94.27290837
32.4	91.88247012
32.5	85.30876494
32.6	83.81474104
32.7	83.06772908
32.8	82.27803073
32.9	81.12549801
33	80.52788845
33.1	80.67131474
33.2	80.82669323
33.3	80.46812749
33.4	78.92629482
33.5	76.94223108
33.6	78.73505976
33.7	77.53984064
33.8	77.53984064
33.9	78.43625498
34	80.6982169
34.1	85.84661355
34.2	97.41035857
34.3	102.04183267
34.4	103.57171315
34.5	105.38844622
34.6	105.92629482
34.7	103.53585657
34.8	102.04183267
34.9	103.10756972
35	106.2250996
35.1	109.21314741
35.2	109.81075697
35.3	108.01792829
35.4	107.42031873
35.5	106.2250996
35.6	107.81374502
35.7	109.51195219
35.8	109.21314741
35.9	107.76630321
36	105.92629482
36.1	105.17928287
36.2	105.17928287
36.3	107.12151394
36.4	106.67330677
36.5	102.93824701
36.6	99.20318725
36.7	98.60557769
36.8	101.5936255
36.9	102.49003984
37	103.97082556
37.1	105.92629482
37.2	106.82270916
37.3	109.11752988
37.4	111.0059761
37.5	111.0059761
37.6	109.0876494
37.7	106.82270916
37.8	106.52390438
37.9	107.42031873
38	102.78884462
38.1	97.26095618
38.2	96.96215139
38.3	100.24900398
38.4	101.14541833
38.5	101.14541833
38.6	101.74302789
38.7	103.65537849
38.8	108.41633466
38.9	111.30478088
39	111.0059761
39.1	105.02988048
39.2	104.13346614
39.3	105.92629482
39.4	105.32868526
39.5	102.93824701
39.6	100.84661355
39.7	102.51992032
39.8	104.85059761
39.9	106.52390438
40	105.02988048
40.1	103.11752988
40.2	102.63944223
40.3	104.33266932
40.4	104.7310757
40.5	103.23705179
40.6	104.04681275
40.7	105.09561753
40.8	106.2250996
40.9	104.43227092
41	102.93824701
41.1	99.9501992
41.2	100.54780876
41.3	104.43227092
41.4	103.68525896
41.5	103.83466135
41.6	104.04809334
41.7	104.43227092
41.8	104.7310757
41.9	104.88047809
