DEPT	GR
25	38.09366755
25.1	38.09366755
25.2	38.09366755
25.3	38.5883905
25.4	39.57783641
25.5	41.18568602
25.6	42.74406332
25.7	42.64511873
25.8	41.23515831
25.9	40.27044855
26	38.56140561
26.1	36.83437275
26.2	35.323219
26.3	34.43271768
26.4	33.54221636
26.5	31.86015831
26.6	29.58443272
26.7	27.01187335
26.8	25.82453826
26.9	26.81398417
27	29.32929258
27.1	31.16754617
27.2	33.14643799
27.3	34.53166227
27.4	36.31266491
27.5	38.29155673
27.6	40.27044855
27.7	42.44722955
27.8	44.62401055
27.9	47.19656992
28	48.53670552
28.1	49.96701847
28.2	50.95646438
28.3	52.14379947
28.4	53.72691293
28.5	55.01319261
28.6	54.71635884
28.7	51.35224274
28.8	46.50395778
28.9	42.24934037
29	40.17150396
29.1	39.87467018
29.2	38.68733509
29.3	37.20316623
29.4	35.91688654
29.5	35.02638522
29.6	33.64116095
29.7	31.9591029
29.8	30.67282322
29.9	30.07915567
30	30.28585144
30.1	30.96965699
30.2	33.14643799
30.3	34.72955145
30.4	33.74010554
30.5	31.9591029
30.6	30.37598945
30.7	29.7823219
30.8	30.17810026
30.9	30.77176781
31	31.52795143
31.1	32.94854881
31.2	34.53166227
31.3	36.11477573
31.4	37.69788918
31.5	37.69788918
31.6	36.80738786
31.7	36.60949868
31.8	37.40105541
31.9	38.09366755
32	38.09366755
32.1	37.89577836
32.2	37.69788918
32.3	36.51055409
32.4	35.323219
32.5	33.93799472
32.6	32.75065963
32.7	31.76121372
32.8	31.76121372
32.9	32.35488127
33	32.07218243
33.1	31.36543536
33.2	30.77176781
33.3	30.96965699
33.4	33.54221636
33.5	37.69788918
33.6	42.64511873
33.7	46.99868074
33.8	50.56068602
33.9	51.94591029
34	52.46536939
34.1	54.51846966
34.2	56.89313984
34.3	58.27836412
34.4	58.4762533
34.5	58.4762533
34.6	59.2845545
34.7	60.09285569
34.8	60.85092348
34.9	62.03825858
35	64.47889182
35.1	67.38126649
35.2	72.13060686
35.3	76.0883905
35.4	79.65039578
35.5	83.01451187
35.6	88.15963061
35.7	92.71108179
35.8	100.42875989
35.9	106.36543536
36	109.82849604
36.1	108.34432718
36.2	102.6055409
36.3	92.51319261
36.4	87.56596306
36.5	86.97229551
36.6	90.33641161
36.7	95.67941953
36.8	103.00131926
36.9	111.11477573
37	121.80079156
37.1	130.1121372
37.2	136.84036939
37.3	142.38126649
37.4	145.94327177
37.5	145.15171504
37.6	142.18337731
37.7	141.58970976
37.8	144.55804749
37.9	144.55804749
38	142.77704485
38.1	143.3707124
38.2	141.78759894
38.3	138.22559367
38.4	134.26781003
38.5	125.7585752
38.6	111.70844327
38.7	96.58970976
38.8	83.21240106
38.9	73.12005277
39	67.63852243
39.1	64.0171504
39.2	62.23614776
39.3	62.03825858
39.4	62.63192612
39.5	60.85092348
39.6	61.44459103
39.7	62.8298153
39.8	65.00659631
39.9	67.18337731
40	67.97493404
40.1	64.41292876
40.2	60.85092348
40.3	57.18997361
40.4	56.99208443
40.5	58.87203166
40.6	62.92875989
40.7	67.48021108
40.8	73.12005277
40.9	76.68205805
41	82.81662269
41.1	95.77836412
41.2	107.84960422
41.3	120.2176781
41.4	128.33113456
41.5	132.09102902
41.6	133.08047493
41.7	133.97097625
41.8	135.55408971
41.9	135.35620053
42	135.02226253
42.1	134.86147757
42.2	135.05936675
42.3	135.25725594
42.4	135.25725594
42.5	134.36675462
42.6	134.06992084
42.7	137.63192612
42.8	143.56860158
42.9	147.13060686
43	145.74538259
43.1	142.18337731
43.2	143.3707124
43.3	144.16226913
43.4	142.77704485
43.5	138.81926121
43.6	135.6530343
43.7	135.05936675
43.8	134.5646438
43.9	133.28735908
44	131.88414488
44.1	130.50791557
44.2	130.90369393
44.3	129.81530343
44.4	129.32058047
44.5	129.71635884
44.6	131.2005277
44.7	132.72427441
44.8	133.4762533
44.9	132.18997361
45	130.33201407
45.1	129.22163588
45.2	131.10158311
45.3	133.67414248
45.4	134.86147757
45.5	134.36675462
45.6	133.4762533
45.7	133.08047493
45.8	132.68469657
45.9	131.59630607
46	129.12269129
46.1	122.49340369
46.2	115.86411609
46.3	104.28759894
46.4	91.62269129
46.5	85.09234828
46.6	83.50923483
46.7	86.57651715
46.8	94.59102902
46.9	102.90237467
47	108.60884236
47.1	112.10422164
47.2	112.10422164
47.3	106.9591029
47.4	99.83509235
47.5	91.91952507
47.6	86.37862797
47.7	85.38918206
47.8	93.10686016
47.9	104.38654354
48	115.08297459
48.1	123.28496042
48.2	124.37335092
48.3	122.59234828
48.4	119.72295515
48.5	115.27044855
48.6	111.60949868
48.7	109.13588391
48.8	111.70844327
48.9	121.80079156
49	131.41078496
49.1	139.41292876
49.2	141.29287599
49.3	137.63192612
49.4	130.1121372
49.5	118.23878628
49.6	104.68337731
49.7	83.41029024
49.8	64.41292876
49.9	48.81801139
50	40.26419942
50.1	33.14643799
50.2	31.36543536
50.3	29.18865435
50.4	28.39709763
50.5	28.19920844
50.6	28.00131926
50.7	28.19920844
50.8	30.1682058
50.9	34.92744063
51	41.25989446
51.1	52.44063325
51.2	65.69920844
51.3	86.18073879
51.4	103.29815303
51.5	117.44722955
51.6	126.05540897
51.7	128.43007916
51.8	128.23218997
51.9	126.74802111
52	125.51121372
52.1	123.68073879
52.2	121.3060686
52.3	118.83245383
52.4	115.27044855
52.5	110.62005277
52.6	108.64116095
52.7	111.11477573
52.8	116.35883905
52.9	123.08707124
53	129.32058047
53.1	132.68469657
53.2	129.71635884
53.3	123.87862797
53.4	118.33773087
53.5	112.89577836
53.6	110.323219
53.7	110.62005277
53.8	113.98416887
53.9	119.42612137
54	122.90225021
54.1	125.56068602
54.2	125.56068602
54.3	125.16490765
54.4	125.36279683
54.5	126.74802111
54.6	127.73746702
54.7	127.73746702
54.8	126.74802111
54.9	125.56068602
55	123.18601583
55.1	121.00923483
55.2	118.43667546
55.3	116.45778364
55.4	114.676781
55.5	112.10422164
55.6	110.71899736
55.7	111.31266491
55.8	114.08311346
55.9	116.45778364
56	118.77939416
56.1	120.2176781
56.2	120.81134565
56.3	122.98812665
56.4	125.26385224
56.5	126.25329815
56.6	127.04485488
56.7	127.9353562
56.8	127.44063325
56.9	126.55013193
57	126.63177851
57.1	126.74802111
57.2	127.53957784
57.3	128.92480211
