DEPT	GR
0.4	16.14927345
0.5	16.34742404
0.6	17.455266
0.7	18.27488892
0.8	19.03661068
0.9	19.21281522
1	18.98126846
1.1	18.82430647
1.2	17.22385936
1.3	15.48623107
1.4	13.75345262
1.5	12.02413835
1.6	10.6010568
1.7	10.10568032
1.8	9.61030383
1.9	9.44930647
2	9.70688143
2.1	10.38489252
2.2	11.97910412
2.3	13.82348085
2.4	16.08858983
2.5	18.35369881
2.6	19.55085865
2.7	20.0330251
2.8	18.36195509
2.9	17.53632761
3	18.70649749
3.1	20.97098868
3.2	23.07871629
3.3	24.9669749
3.4	26.85523351
3.5	29.66479524
3.6	33.13243065
3.7	36.60006605
3.8	40.06770145
3.9	42.55284016
4	43.97825806
4.1	44.32986363
4.2	45.35667107
4.3	46.4663144
4.4	46.4663144
4.5	45.87186262
4.6	45.47556143
4.7	44.12813738
4.8	42.95904888
4.9	41.71070013
5	41.11624835
5.1	41.31439894
5.2	42.53632761
5.3	44.68295905
5.4	44.88110964
5.5	43.09775429
5.6	42.61653142
5.7	41.93715795
5.8	41.25778449
5.9	40.52179657
6	39.07820739
6.1	38.14398943
6.2	37.54953765
6.3	37.74768824
6.4	38.59577279
6.5	38.87997735
6.6	38.00924703
6.7	36.51610609
6.8	33.27863022
6.9	29.82166446
7	26.65125495
7.1	26.25495376
7.2	26.60171731
7.3	27.74108322
7.4	28.23645971
7.5	29.51736177
7.6	30.96103038
7.7	32.02834154
7.8	32.56875225
7.9	34.04227213
8	35.667107
8.1	36.55878468
8.2	37.52752092
8.3	37.54953765
8.4	35.46895641
8.5	33.38837517
8.6	31.09863496
8.7	28.98502862
8.8	27.04755614
8.9	26.84940555
9	29.42411048
9.1	31.28797886
9.2	32.45706737
9.3	33.31477637
9.4	33.64880166
9.5	33.98282695
9.6	32.79640026
9.7	31.40686922
9.8	31.01056803
9.9	31.22270573
10	31.70409511
10.1	32.1854845
10.2	32.79392338
10.3	32.25231176
10.4	30.56362836
10.5	29.62351387
10.6	30.31307794
10.7	31.20871863
10.8	30.23117569
10.9	29.05284016
11	27.93923382
11.1	26.08202234
11.2	24.06268764
11.3	23.28269485
11.4	24.20679717
11.5	25.58844722
11.6	26.05680317
11.7	24.98678996
11.8	24.87552078
11.9	25.32517021
12	25.47960372
12.1	24.76807056
12.2	24.66974901
12.3	25.28731836
12.4	25.96103038
12.5	26.6347424
12.6	27.30845443
12.7	28.03830911
12.8	28.76486129
12.9	29.62351387
13	31.06710305
13.1	33.26948481
13.2	35.93130779
13.3	37.87978864
13.4	40.0426324
13.5	42.59337096
13.6	44.28665786
13.7	44.28665786
13.8	43.29590489
13.9	41.81638045
14	39.76221929
14.1	37.0343461
14.2	34.97357992
14.3	34.18097754
14.4	33.81638045
14.5	33.58652576
14.6	33.81638045
14.7	34.40114487
14.8	34.97357992
14.9	34.97357992
15	35.97436583
15.1	37.32737966
15.2	38.24306473
15.3	37.84676354
15.4	38.91677675
15.5	42.00792602
15.6	44.40554822
15.7	44.88110964
15.8	42.20607662
15.9	40.71994716
16	36.95780647
16.1	32.99842205
16.2	31.01056803
16.3	29.62846764
16.4	28.83091149
16.5	28.48414795
16.6	28.23645971
16.7	28.6327609
16.8	30.19682959
16.9	31.91149273
17	33.41620413
17.1	34.37912814
17.2	35.46895641
17.3	36.65785997
17.4	37.94583884
17.5	37.57430647
17.6	35.96433289
17.7	35.96433289
17.8	37.07892999
17.9	38.34214003
18	36.68950492
18.1	33.67430352
18.2	30.81241744
18.3	30.01981506
18.4	29.82166446
18.5	31.80317041
18.6	32.99207398
18.7	32.001321
18.8	32.18626156
18.9	34.07460945
19	36.17351162
19.1	38.14398943
19.2	38.95640687
19.3	39.51122853
19.4	39.92734478
19.5	39.92734478
19.6	38.83751651
19.7	36.90554822
19.8	35.12219287
19.9	33.98282695
20	36.10716456
20.1	38.67541391
20.2	40.0239432
20.3	40.46235139
20.4	40.52179657
20.5	39.15951123
20.6	37.94583884
20.7	37.94583884
20.8	37.51651255
20.9	35.52840159
21	34.37912814
21.1	34.37912814
21.2	36.13546295
21.3	37.72967455
21.4	38.11426684
21.5	37.52476882
21.6	36.95508587
21.7	37.35138705
21.8	39.17327169
21.9	41.44649934
22	43.71972699
22.1	45.67371202
22.2	47.06076618
22.3	46.86261559
22.4	44.68295905
22.5	43.29590489
22.6	40.97093791
22.7	37.85336856
22.8	34.57727873
22.9	33.78467635
23	33.19022457
23.1	30.81241744
23.2	27.64200793
23.3	27.26948481
23.4	27.38639366
23.5	26.84940555
23.6	25.79454503
23.7	24.76299635
23.8	23.67899604
23.9	22.50407957
24	21.26622115
24.1	20.11228534
24.2	19.87945839
24.3	21.45970938
24.4	24.07529723
24.5	25.66050198
24.6	26.01717305
24.7	24.14464993
24.8	22.49009247
24.9	22.09379128
25	22.49009247
25.1	23.56010568
25.2	24.8678996
25.3	25.35089168
25.4	26.24256935
25.5	27.84015852
25.6	30.21796565
25.7	30.41611625
25.8	29.62351387
25.9	28.23645971
26	25.0876969
26.1	22.29194188
26.2	21.89564069
26.3	22.92602378
26.4	24.09511229
26.5	25.26420079
26.6	25.46235139
26.7	24.27344782
26.8	24.89431968
26.9	25.66050198
27	23.87714663
27.1	23.67899604
27.2	25.0660502
27.3	27.35468956
27.4	29.47490092
27.5	30.19510212
27.6	30.103648
27.7	30.01981506
27.8	30.68857332
27.9	31.01056803
28	28.67075478
28.1	26.11823124
28.2	25.46235139
28.3	26.09643329
28.4	27.2655218
28.5	27.12681638
28.6	26.7218461
28.7	26.9410502
28.8	27.16025429
28.9	26.77014531
29	25.36318341
29.1	23.67899604
29.2	22.26221929
29.3	21.00396301
29.4	20.11228534
29.5	19.83982827
29.6	21.35780336
29.7	23.57992074
29.8	26.35402906
29.9	28.61751854
30	29.34915151
30.1	30.01981506
30.2	30.81241744
30.3	30.72655218
30.4	30.64729194
30.5	31.03038309
30.6	32.88061427
30.7	34.75891678
30.8	35.69187583
30.9	35.2566522
31	34.97357992
31.1	35.8652576
31.2	38.00528402
31.3	39.58058124
31.4	41.07378751
31.5	42.98216645
31.6	44.6994716
31.7	45.62417437
31.8	46.21862616
31.9	47.85336856
32	49.06721416
32.1	51.77675033
32.2	55.38309115
32.3	58.75165125
32.4	61.06836196
32.5	63.30911493
32.6	64.78533686
32.7	63.70541612
32.8	59.48877147
32.9	55.12417437
33	51.27188416
33.1	47.85336856
33.2	45.67371202
33.3	44.51783355
33.4	43.64597094
33.5	42.7014531
33.6	42.8996037
33.7	45.37831144
