DEPT	GR
26	59.50331126
26.1	60.09933775
26.2	60.69536424
26.3	61.11402801
26.4	60.77912843
26.5	60.38876363
26.6	59.8517468
26.7	59.54899217
26.8	59.20436442
26.9	58.89698994
27	59.45725624
27.1	60.41386544
27.2	61.85389908
27.3	62.27687968
27.4	62.30095725
27.5	62.13256276
27.6	62.54758501
27.7	63.39605225
27.8	64.14930485
27.9	64.46260432
28	64.47257281
28.1	64.45984228
28.2	64.93050079
28.3	65.20125665
28.4	65.91048245
28.5	66.70874516
28.6	67.52036885
28.7	68.28815643
28.8	68.70361872
28.9	69.66039041
29	70.75031353
29.1	71.41467603
29.2	71.00725261
29.3	71.86508099
29.4	73.37837767
29.5	76.10534191
29.6	78.53068428
29.7	81.23373097
29.8	82.3955825
29.9	82.7471338
30	82.09823718
30.1	81.30394929
30.2	81.50066446
30.3	81.76970692
30.4	81.71380971
30.5	81.7282123
30.6	82.32536162
30.7	82.15127758
30.8	82.75580441
30.9	83.37941494
31	83.71571884
31.1	83.54344976
31.2	83.3160768
31.3	83.67426429
31.4	83.94304376
31.5	83.95442361
31.6	83.24538647
31.7	81.68008963
31.8	80.96124711
31.9	81.05424913
32	81.65201808
32.1	82.25016742
32.2	83.31481196
32.3	83.94337622
32.4	84.22497552
32.5	84.75741144
32.6	84.04490346
32.7	83.58976433
32.8	82.91070639
32.9	81.95986309
33	81.4967553
33.1	81.45573211
33.2	80.91339804
33.3	79.97962958
33.4	79.55828913
33.5	79.93131098
33.6	81.12545181
33.7	82.40354499
33.8	83.61417921
33.9	84.10450802
34	84.022273
34.1	84.64370691
34.2	85.50793652
34.3	86.07636018
34.4	87.02283607
34.5	87.60089074
34.6	88.0603948
34.7	87.7001449
34.8	86.23157624
34.9	84.11280768
35	82.50749215
35.1	81.16542278
35.2	80.52725933
35.3	81.02253368
35.4	81.39186104
35.5	81.30737673
35.6	80.74933915
35.7	80.58501541
35.8	80.16984605
35.9	79.74972945
36	79.45847772
36.1	79.76653893
36.2	79.88513167
36.3	79.36442956
36.4	77.9771055
36.5	77.13829719
36.6	77.1138795
36.7	77.50867766
36.8	78.36652911
36.9	79.63283538
37	80.28381631
37.1	79.92313007
37.2	79.76628489
37.3	79.90342435
37.4	79.86042176
37.5	79.08779455
37.6	77.82091885
37.7	77.37293175
37.8	78.1962769
37.9	79.01829255
38	79.66651126
38.1	80.06514886
38.2	80.47122817
38.3	80.64165887
38.4	81.76290388
38.5	83.33126772
38.6	84.53228131
38.7	85.93156551
38.8	86.657996
38.9	86.39168453
39	85.96797948
39.1	85.98051903
39.2	86.35212126
39.3	85.57866065
39.4	83.76188613
39.5	82.91442352
39.6	83.77530675
39.7	84.27034794
39.8	84.17381783
39.9	83.63388218
40	84.13171984
40.1	84.72335433
40.2	84.76192782
40.3	84.4802294
40.4	84.91829494
40.5	85.54197564
40.6	86.37329567
40.7	86.91508245
40.8	87.51463191
40.9	88.99374667
41	89.51685626
41.1	89.5038256
41.2	88.4715997
41.3	88.08403762
41.4	87.77604011
41.5	86.45491348
41.6	84.07196348
41.7	82.7597898
41.8	83.19771244
41.9	83.48885628
42	83.90916688
42.1	84.5361676
42.2	84.88235365
42.3	83.95962116
42.4	82.93631961
42.5	82.4175391
42.6	82.19423852
42.7	82.37737546
42.8	82.12161045
42.9	81.96242775
43	82.95280897
43.1	84.51738713
43.2	85.77678697
43.3	86.31996743
43.4	86.82644644
43.5	87.07635994
43.6	87.16086661
43.7	87.25942189
43.8	86.74603446
43.9	86.18548795
44	85.75912023
44.1	84.81113692
44.2	83.89536108
44.3	85.00082027
44.4	85.97091806
44.5	86.86649818
44.6	87.11094944
44.7	86.19144111
44.8	85.7058471
44.9	85.31253639
45	85.24899659
45.1	85.27944516
45.2	85.7399714
45.3	85.91750663
45.4	85.68492558
45.5	85.01450363
45.6	84.14776022
45.7	83.69683683
45.8	83.32303841
45.9	82.72187302
46	82.13115909
46.1	82.11091047
46.2	81.18408177
46.3	79.60801335
46.4	78.1873846
46.5	77.40011655
46.6	77.4127245
46.7	77.43500185
46.8	77.12387135
46.9	76.92371724
47	77.56146224
47.1	77.9565421
47.2	77.77560192
47.3	77.77612572
47.4	77.80771087
47.5	77.34547552
47.6	76.73366854
47.7	76.80091972
47.8	77.20130927
47.9	77.52222883
48	77.7314066
48.1	78.60565731
48.2	79.33663057
48.3	79.82970151
48.4	80.58878374
48.5	81.78787553
48.6	82.91664285
48.7	83.86191939
48.8	84.79095947
48.9	84.77796224
49	84.56297391
49.1	84.03175853
49.2	83.31290738
49.3	82.19505411
49.4	81.95253906
49.5	81.90857761
49.6	81.48163377
49.7	81.34410061
49.8	81.51622491
49.9	81.55132156
50	80.89991896
50.1	80.20286772
50.2	79.7743059
50.3	79.90261276
50.4	81.16348378
50.5	81.74247245
50.6	81.3700081
50.7	80.47162995
50.8	80.72720756
50.9	80.78371263
51	80.56570506
51.1	80.29494774
51.2	79.72989098
51.3	79.197344
51.4	78.83597431
51.5	78.83604863
51.6	79.03151606
51.7	79.74576004
51.8	79.19192367
51.9	79.17039018
52	79.39212984
52.1	80.32766038
52.2	81.20864127
52.3	82.06217415
52.4	82.56829053
52.5	82.30386342
52.6	82.64375797
52.7	83.21533779
52.8	83.15722939
52.9	82.24478515
53	80.97579877
53.1	79.6060941
53.2	78.38711733
53.3	77.83896256
53.4	77.60590119
53.5	78.27984622
53.6	79.84221303
53.7	81.20651594
53.8	82.58751062
53.9	83.44540743
54	84.46493584
54.1	85.97265595
54.2	87.14408035
54.3	87.67447239
54.4	87.1840966
54.5	85.35155706
54.6	82.98264165
54.7	81.781953
54.8	81.32127504
54.9	80.40719793
55	79.5445062
55.1	78.56481476
55.2	78.03556479
55.3	77.62529597
55.4	77.36831058
55.5	77.10703262
55.6	77.55590424
55.7	78.44725334
55.8	78.98129054
55.9	79.09106733
56	78.63811706
56.1	78.2279797
56.2	77.77805547
56.3	76.42424829
56.4	74.97683645
56.5	73.63541305
56.6	73.4471944
56.7	73.9860269
56.8	74.17674535
56.9	74.55118736
57	75.04229222
57.1	75.64229773
57.2	76.64444044
57.3	77.17859216
57.4	77.50693365
57.5	77.38613977
57.6	77.22373012
57.7	77.05429551
57.8	77.19372614
57.9	77.70352524
58	77.90786159
58.1	77.79410425
58.2	76.80330006
58.3	75.37917588
58.4	73.92196931
58.5	72.38518292
58.6	71.24524076
58.7	72.46949083
58.8	73.41278839
58.9	73.84157245
59	73.91404328
59.1	73.60708183
59.2	73.60669403
59.3	75.04121783
59.4	77.80460639
59.5	80.70598848
59.6	82.85491591
59.7	84.17741342
59.8	84.38080612
59.9	83.96945616
60	83.23877505
60.1	82.5269306
60.2	82.74587908
60.3	84.26599972
60.4	85.70049721
60.5	85.58249499
60.6	84.9153649
60.7	84.77831634
60.8	84.78604535
60.9	85.07341483
61	84.30973572
61.1	83.12202257
61.2	82.17468301
61.3	81.52133203
61.4	80.73085445
61.5	79.36162936
61.6	78.72316988
61.7	78.96442084
61.8	79.9664495
61.9	81.12103864
62	81.88941551
62.1	82.33959734
62.2	82.64060655
62.3	83.813547
62.4	84.67670728
62.5	85.45818875
62.6	84.02233901
62.7	81.96976986
62.8	80.81141015
62.9	81.11858497
63	82.49950698
63.1	83.95114147
63.2	84.48156738
63.3	84.36506716
63.4	82.7114109
63.5	79.9939973
63.6	77.60065267
63.7	75.7926492
63.8	74.34374958
63.9	73.3273139
64	72.26889855
64.1	71.05985546
64.2	70.04985637
64.3	70.63081811
64.4	71.64171003
64.5	72.73431108
64.6	73.98838771
64.7	73.96479652
64.8	72.97947948
64.9	71.59046367
65	70.25723822
65.1	70.17513732
65.2	70.89136804
65.3	71.56024715
65.4	72.55197521
65.5	74.17584093
65.6	75.04174415
65.7	75.54989412
65.8	75.51055405
65.9	74.77552091
66	74.59855724
66.1	74.52488347
66.2	73.67578168
66.3	72.72835063
66.4	73.36538144
66.5	74.73579057
66.6	75.90879106
66.7	76.72674998
66.8	77.65925908
66.9	79.00280051
67	79.49502318
67.1	79.58455217
67.2	79.78063508
67.3	79.35302002
67.4	78.99166655
67.5	79.36533346
67.6	79.97206397
67.7	80.35705266
67.8	80.21159922
67.9	79.95413575
68	80.34445113
68.1	80.0123234
68.2	79.43475582
68.3	79.21062312
68.4	79.92074336
68.5	80.62094748
68.6	80.60318647
68.7	80.55414388
68.8	80.60567528
68.9	80.91717782
69	80.42467019
69.1	79.53212166
69.2	78.98925874
69.3	79.35996026
69.4	80.53508138
69.5	81.74476509
69.6	82.60148564
69.7	82.75503691
