"Row","Depth","RES","RES Color","Top Names","Top Depth","Top Color"
"2","32.8","32.7","","","",""
"3","32.6","33.6","","","",""
"4","32.8","37.2","","","",""
"5","33","38.3","","","",""
"6","33","38.3","","","",""
"7","33","40.8","","","",""
"8","33.3","42.4","","","",""
"9","33.3","43.5","","","",""
"10","33.3","45.2","","","",""
"11","33.5","46.4","","","",""
"12","33.5","46.4","","","",""
"13","33.7","42.4","","","",""
"14","33.9","39.7","","","",""
"15","34.1","39.7","","","",""
"16","34.1","40.8","","","",""
"17","34.3","40.8","","","",""
"17","34.6","38.6","","","",""
"18","34.8","37.2","","","",""
"19","34.8","36.2","","","",""
"20","35","33.9","","","",""
"21","35","32.7","","","",""
"22","35","31.8","","","",""
"23","35.5","28.7","","","",""
"24","35.6","27","","","",""
"25","35.9","25.3","","","",""
"26","35.9","23.7","","","",""
"27","36.3","23","","","",""
"28","36.3","21.6","","","",""
"29","36.3","20.8","","","",""
"30","36.3","20.2","","","",""
"31","36.5","19","","","",""
"32","37","19.5","","","",""
"33","37","19.5","","","",""
"34","37.2","20.8","","","",""
"35","37.4","20.8","","","",""
"36","37.7","21.4","","","",""
"37","37.7","21.4","","","",""
"38","37.8","21.4","","","",""
"39","38.1","21.4","","","",""
"40","38.3","18.3","","","",""
"41","38.5","18.3","","","",""
"42","38.7","19.5","","","",""
"43","39.2","20.8","","","",""
"44","39.2","20.8","","","",""
"45","39.4","20.2","","","",""
"46","39.6","20.2","","","",""
"47","40","20.2","","","",""
"48","40","20.2","","","",""
"49","40.3","20.2","","","",""
"50","40.5","20.8","","","",""
"51","40.5","20.2","","","",""
"52","40.5","19.5","","","",""
"53","40.7","19.5","","","",""
"54","41.2","19.5","","","",""
"55","41.4","20.1","","","",""
"56","41.6","21.4","","","",""
"57","41.8","21.4","","","",""
"58","42","20.8","","","",""
"59","42","20.2","","","",""
"60","42","20.2","","","",""
"61","42.5","19.5","","","",""
"62","42.5","19","","","",""
"63","42.5","19.5","","","",""
"64","42.7","19.5","","","",""
"65","42.9","19.5","","","",""
"66","43.1","19","","","",""
"67","43.1","19","","","",""
