"Row","Depth","RES","RES Color","Top Names","Top Depth","Top Color"
"1","32.5","32.5","","","",""
"2","32.8","29.4","","","",""
"3","33.3","36.7","","","",""
"4","33.7","41.7","","","",""
"5","33.7","50.9","","","",""
"6","33.9","59","","","",""
"7","34","68.5","","","",""
"8","34.2","73.6","","","",""
"9","34.7","68.5","","","",""
"10","34.9","62","","","",""
"11","35.4","87.8","","","",""
"12","35.7","67.1","","","",""
"13","36.2","53.4","","","",""
"14","36.4","46","","","",""
"15","36.6","47","","","",""
"16","36.9","43.8","","","",""
"17","37.2","42.9","","","",""
"18","37.4","44.8","","","",""
"19","37.9","47","","","",""
"20","37.9","51.9","","","",""
"21","38.3","54.6","","","",""
"22","38.8","63.4","","","",""
"23","39","68.5","","","",""
"24","39.5","57.8","","","",""
"25","39.6","52.3","","","",""
"26","40","48.4","","","",""
"27","40","46","","","",""
"28","40.3","50.9","","","",""
"29","40.3","53.4","","","",""
"30","40.5","45.1","","","",""
"31","40.9","39.7","","","",""
"32","41.4","39.7","","","",""
"33","41.4","35.2","","","",""
"34","41.4","34.2","","","",""
"35","41.9","33.2","","","",""
"36","42.2","30.3","","","",""
"37","42.9","28.6","","","",""
"38","43.3","30.9","","","",""
"39","43.9","28","","","",""
"40","44.3","27.4","","","",""
"41","44.8","28","","","",""
"42","45.3","29.4","","","",""
"43","45.8","28","","","",""
"44","46.3","28","","","",""
"45","46.5","29.4","","","",""
"46","47.2","28.8","","","",""
"47","47.5","30.1","","","",""
"48","48.2","28","","","",""
"49","48.4","29.4","","","",""
"50","48.9","29.4","","","",""
"51","49.1","27.4","","","",""
"52","49.8","24.8","","","",""
"53","50.1","24.1","","","",""
"54","49.4","25.4","","","",""
"55","50.4","23","","","",""
"56","50.8","24.7","","","",""
"57","50.9","26.7","","","",""
"58","51.5","26.7","","","",""
"59","51.8","28.6","","","",""
"60","51.9","30.9","","","",""
"61","52.3","27.4","","","",""
"62","53","26.7","","","",""
"63","53.2","25.4","","","",""
"64","53.5","26.7","","","",""
"65","53.8","28","","","",""
"66","54.2","28.6","","","",""
"67","54.5","26.1","","","",""
"68","55","24.1","","","",""
"69","55.4","22.5","","","",""
"70","55.6","19.4","","","",""
"71","55.6","18.4","","","",""
"72","55.9","22.3","","","",""
"73","56.2","22.3","","","",""
"74","56.2","21.9","","","",""
"75","56.6","21.4","","","",""
"76","56.9","20.8","","","",""
"77","56.9","20.8","","","",""
"78","57.3","20.8","","","",""
"79","57.4","20.8","","","",""
"80","57.8","21.2","","","",""
"81","58","23","","","",""
"82","58.5","22.5","","","",""
"83","59.2","21.4","","","",""
"84","59.7","21.4","","","",""
"85","60","20.8","","","",""
"86","60.5","20.4","","","",""
"87","60.8","19.4","","","",""
"88","60.8","18.8","","","",""
"89","61","18.4","","","",""
"90","61.2","18.4","","","",""
"91","61.4","18.8","","","",""
"92","61.5","19.2","","","",""
"93","61.9","19.8","","","",""
"94","62.1","19.8","","","",""
"95","62.2","19.4","","","",""
"96","62.5","19.4","","","",""
"97","62.7","19.4","","","",""
"98","62.9","18.8","","","",""
"99","63.2","17.5","","","",""
"100","63.9","18.8","","","",""
"101","64.3","18.8","","","",""
"102","64.3","18.8","","","",""
"103","64.6","18.4","","","",""
