depths	NGAM
3.08	33.79872646
3.09	33.22517779
3.1	34.37137191
3.11	34.49963004
3.12	34.30814607
3.13	31.90285455
3.14	30.19846661
3.15	28.28814308
3.16	27.54207819
3.17	27.83382028
3.18	27.66040083
3.19	26.303755
3.2	26.15743235
3.21	26.29110983
3.22	27.12840057
3.23	27.19433609
3.24	25.67149662
3.25	24.96788337
3.26	24.61562513
3.27	23.21472121
3.28	22.06401096
3.29	21.08672015
3.3	20.79497807
3.31	20.61975218
3.32	22.29162397
3.33	22.87420491
3.34	22.09201097
3.35	22.20039812
3.36	23.38272129
3.37	22.37201111
3.38	21.8625915
3.39	20.35601011
3.4	20.14375194
3.41	21.14904276
3.42	20.94762331
3.43	21.46878486
3.44	22.10555937
3.45	22.53007571
3.46	23.74130211
3.47	24.4151089
3.48	25.00220597
3.49	24.22904429
3.5	24.00504418
3.51	24.5388509
3.52	24.2154959
3.53	24.45394763
3.54	26.18181945
3.55	28.86440143
3.56	31.51808017
3.57	31.27962844
3.58	31.10530577
3.59	31.53253179
3.6	32.0798869
3.61	34.49963004
3.62	34.20788796
3.63	33.65601672
3.64	33.05175835
3.65	33.09420998
3.66	33.38956497
3.67	33.71291997
3.68	34.06246853
3.69	34.28737187
3.7	34.28737187
3.71	33.18904874
3.72	31.99498363
3.73	30.0846601
3.74	29.84620837
3.75	29.08207896
3.76	28.99807892
3.77	28.99807892
3.78	25.94156127
3.79	26.180013
3.8	26.78517459
3.81	26.8646585
3.82	26.3552389
3.83	27.45356202
3.84	26.87369077
3.85	26.87369077
3.86	25.84581929
3.87	24.87304461
3.88	23.66272143
3.89	21.8625915
3.9	21.8625915
3.91	21.47149453
3.92	21.7903334
3.93	21.39652676
3.94	20.76697806
3.95	20.53575213
3.96	20.37678431
3.97	19.03097719
3.98	19.49342904
3.99	19.11136433
4	17.51446031
4.01	17.37716992
4.02	16.63652439
4.03	17.04568589
4.04	17.14413755
4.05	17.86762178
4.06	18.87200937
4.07	18.2641381
4.08	17.54065387
4.09	17.33742797
4.1	17.97420248
4.11	17.97420248
4.12	18.52426726
4.13	17.59846035
4.14	16.55613726
4.15	15.16697527
4.16	14.87703965
4.17	15.22478175
4.18	14.26916838
4.19	13.9223295
4.2	12.96671612
4.21	12.04090921
4.22	11.76271552
4.23	10.86581185
4.24	11.21265073
4.25	12.28387707
4.26	11.27677979
4.27	10.03213401
4.28	9.684391907
4.29	8.787488235
4.3	9.968004951
4.31	12.05265115
4.32	12.85110316
4.33	13.65045839
4.34	13.75432941
4.35	16.04671765
4.36	17.26246019
4.37	19.17278372
4.38	19.97123573
4.39	21.11742984
4.4	21.95110768
4.41	23.16685022
4.42	22.92388235
4.43	22.92388235
4.44	23.96620545
4.45	24.96968982
4.46	25.66427081
4.47	24.9001414
4.48	23.57962461
4.49	23.57962461
4.5	23.57962461
4.51	24.34375403
4.52	22.8154952
4.53	21.94749477
4.54	21.56543007
4.55	22.32955948
4.56	22.32955948
4.57	21.18336536
4.58	21.00994592
4.59	20.62788121
4.6	21.77407533
4.61	23.05936629
4.62	22.50749505
4.63	21.46517195
4.64	21.08310725
4.65	21.46517195
4.66	21.36130093
4.67	21.74336564
4.68	20.97923623
4.69	20.97923623
4.7	21.67381722
4.71	21.67381722
4.72	21.29175251
4.73	20.5276231
4.74	20.14555839
4.75	19.93691313
4.76	19.55484842
4.77	19.17278372
4.78	18.79071901
4.79	19.55484842
4.8	19.58917102
4.81	19.97123573
4.82	19.97123573
4.83	19.69394526
4.84	18.86026743
4.85	18.0609122
4.86	17.99136377
4.87	18.68684799
4.88	18.54775115
4.89	17.71407331
4.9	16.9499439
4.91	17.64452489
4.92	16.81084706
4.93	17.81794433
4.94	17.71407331
4.95	16.5678792
4.96	15.00439455
4.97	15.31691083
4.98	15.59510452
