DEPTH	NGAM
6.38	8.58
6.39	8.58
6.4	8.58
6.41	8.58
6.42	8.94
6.43	9.3
6.44	9.65
6.45	9.87
6.46	10.08
6.47	10.3
6.48	10.51
6.49	10.73
6.5	10.94
6.51	11.15
6.52	11.01
6.53	10.87
6.54	10.73
6.55	10.8
6.56	10.87
6.57	10.94
6.58	11.01
6.59	11.08
6.6	11.15
6.61	11.23
6.62	11.44
6.63	11.65
6.64	11.87
6.65	12.23
6.66	12.58
6.67	12.94
6.68	13.3
6.69	13.66
6.7	14.01
6.71	14.37
6.72	14.51
6.73	14.66
6.74	14.8
6.75	14.8
6.76	14.8
6.77	14.8
6.78	14.8
6.79	14.8
6.8	14.8
6.81	14.8
6.82	14.66
6.83	14.51
6.84	14.37
6.85	13.8
6.86	13.23
6.87	12.66
6.88	12.08
6.89	11.51
6.9	10.94
6.91	10.37
6.92	9.94
6.93	9.51
6.94	9.08
6.95	8.65
6.96	8.22
6.97	7.79
6.98	7.36
6.99	6.94
7	6.51
7.01	6.08
7.02	6.08
7.03	6.08
7.04	6.08
7.05	5.93
7.06	5.79
7.07	5.65
7.08	5.51
7.09	5.36
7.1	5.22
7.11	5.08
7.12	4.93
7.13	4.79
7.14	4.79
7.15	4.79
7.16	4.79
7.17	4.79
7.18	4.79
7.19	4.79
7.2	4.79
7.21	4.79
7.22	4.93
7.23	4.93
7.24	4.93
7.25	4.93
7.26	4.93
7.27	4.93
7.28	4.93
7.29	4.93
7.3	4.93
7.31	4.79
7.32	4.79
7.33	4.79
7.34	4.79
7.35	4.79
7.36	4.79
7.37	4.79
7.38	4.79
7.39	4.79
7.4	4.93
7.41	4.79
7.42	4.65
7.43	4.5
7.44	4.36
7.45	4.22
7.46	4.08
7.47	3.93
7.48	3.79
7.49	3.5
7.5	3.36
7.51	3.22
7.52	3.07
7.53	2.93
7.54	2.79
7.55	2.65
7.56	2.5
7.57	2.36
7.58	2.5
7.59	2.65
7.6	2.79
7.61	2.93
7.62	3.07
7.63	3.22
7.64	3.36
7.65	3.5
7.66	3.65
7.67	3.65
7.68	3.65
7.69	3.65
7.7	3.65
7.71	3.65
7.72	3.65
7.73	3.65
7.74	3.65
7.75	3.65
7.76	3.65
7.77	3.65
7.78	3.65
7.79	3.65
7.8	3.65
7.81	3.65
7.82	3.65
7.83	3.65
7.84	3.58
7.85	3.5
7.86	3.43
7.87	3.36
7.88	3.29
7.89	3.22
7.9	3.15
7.91	3.07
7.92	3
7.93	3.07
7.94	3.15
7.95	3.22
7.96	3.29
7.97	3.36
7.98	3.43
7.99	3.5
8	3.58
8.01	3.72
8.02	4.08
8.03	4.43
8.04	4.79
8.05	5.15
8.06	5.51
8.07	5.86
8.08	6.22
8.09	6.51
8.1	6.65
8.11	6.79
8.12	6.94
8.13	7.08
8.14	7.22
8.15	7.36
8.16	7.36
8.17	7.36
8.18	7.36
8.19	7.15
8.2	6.94
8.21	6.72
8.22	6.51
8.23	6.29
8.24	6.08
8.25	6.01
8.26	6.01
8.27	6.01
8.28	6.01
8.29	6.01
8.3	6.01
8.31	6.01
8.32	6.01
8.33	6.15
8.34	6.44
8.35	6.72
8.36	7.01
8.37	7.29
8.38	7.58
8.39	7.87
8.4	8.15
8.41	8.08
8.42	7.87
8.43	7.65
8.44	7.44
8.45	7.22
8.46	7.01
8.47	6.79
8.48	6.58
8.49	6.36
8.5	6.22
8.51	5.93
8.52	5.65
8.53	5.36
8.54	5.08
8.55	4.79
8.56	4.5
8.57	3.93
8.58	3.72
8.59	3.5
8.6	3.29
8.61	3.07
8.62	2.86
8.63	2.65
8.64	2.43
8.65	2.22
8.66	2.29
8.67	2.29
8.68	2.29
8.69	2.29
8.7	2.29
8.71	2.29
8.72	2.29
8.73	2.43
8.74	2.86
8.75	3.29
8.76	3.72
8.77	4.15
8.78	4.58
8.79	5.01
8.8	5.43
8.81	5.86
8.82	6.29
8.83	6.44
8.84	6.58
8.85	6.72
8.86	6.86
8.87	7.29
8.88	7.72
8.89	8.15
8.9	8.44
8.91	8.72
8.92	9.01
8.93	9.3
8.94	9.3
8.95	9.3
8.96	9.3
8.97	9.3
8.98	9.3
8.99	9.3
9	9.3
9.01	9.37
9.02	9.44
9.03	9.51
9.04	9.3
9.05	9.08
9.06	8.87
9.07	8.65
9.08	8.29
9.09	7.94
9.1	7.58
9.11	7.51
9.12	7.44
9.13	7.36
9.14	7.29
9.15	7.22
9.16	7.15
9.17	7.79
9.18	8.37
9.19	8.94
9.2	9.51
9.21	10.08
9.22	10.65
9.23	11.23
9.24	11.8
9.25	12.01
9.26	12.23
9.27	12.44
9.28	12.66
9.29	12.87
9.3	13.08
9.31	13.3
9.32	13.51
9.33	14.8
9.34	15.37
9.35	15.94
9.36	16.52
9.37	17.09
9.38	17.66
9.39	18.23
9.4	18.59
9.41	18.95
9.42	19.81
9.43	20.66
9.44	21.52
9.45	22.38
9.46	23.24
9.47	24.81
9.48	26.38
9.49	27.96
9.5	28.46
9.51	28.96
9.52	29.46
9.53	29.96
9.54	30.46
9.55	31.03
9.56	31.6
9.57	32.39
9.58	33.18
9.59	33.96
9.6	34.75
9.61	35.54
9.62	36.32
9.63	37.11
9.64	38.04
9.65	38.97
9.66	39.9
9.67	40.83
9.68	41.76
9.69	42.69
9.7	43.62
9.71	42.61
9.72	41.54
9.73	40.47
9.74	39.4
9.75	38.32
9.76	37.25
9.77	36.18
9.78	35.04
9.79	33.89
9.8	32.75
9.81	30.75
9.82	28.74
9.83	26.74
9.84	24.74
9.85	22.74
9.86	20.74
9.87	19.23
9.88	19.66
9.89	20.09
9.9	20.52
9.91	20.95
9.92	21.38
9.93	21.81
9.94	22.38
9.95	23.02
9.96	23.67
9.97	24.31
9.98	24.95
9.99	25.6
10	26.24
10.01	26.88
10.02	27.89
10.03	28.89
10.04	29.39
10.05	29.89
10.06	30.39
10.07	30.89
10.08	31.39
10.09	31.89
10.1	32.39
10.11	32.53
10.12	32.68
10.13	32.82
10.14	32.96
10.15	33.1
10.16	33.25
10.17	33.39
10.18	33.53
10.19	33.32
10.2	32.89
10.21	32.46
10.22	32.03
10.23	31.6
10.24	31.17
10.25	30.75
10.26	30.32
10.27	30.89
10.28	31.67
10.29	32.46
10.3	33.25
10.31	34.03
10.32	34.82
10.33	35.61
10.34	36.11
10.35	36.61
10.36	37.11
10.37	37.82
10.38	38.54
10.39	39.25
10.4	39.97
10.41	40.61
10.42	41.26
10.43	41.9
10.44	41.54
10.45	41.18
10.46	40.83
10.47	40.47
10.48	40.11
10.49	39.75
10.5	39.4
10.51	39.33
10.52	39.25
10.53	39.18
10.54	39.11
10.55	39.04
10.56	38.97
10.57	38.9
10.58	37.68
10.59	36.47
10.6	35.25
10.61	34.03
10.62	32.82
10.63	31.6
10.64	30.39
10.65	29.17
10.66	29.17
10.67	29.17
10.68	29.17
10.69	29.17
10.7	29.17
10.71	29.17
10.72	29.17
10.73	29.17
10.74	29.17
10.75	29.6
10.76	30.03
10.77	30.46
10.78	30.89
10.79	31.32
10.8	31.75
10.81	32.18
10.82	32.6
10.83	31.82
10.84	31.82
10.85	31.82
10.86	31.82
10.87	31.82
10.88	31.82
10.89	31.82
10.9	31.82
10.91	31.82
10.92	32.6
10.93	33.61
10.94	34.61
10.95	35.61
10.96	36.61
10.97	37.61
10.98	38.61
10.99	39.61
11	40.61
11.01	40.83
11.02	40.83
11.03	40.83
11.04	40.83
11.05	40.83
11.06	40.83
11.07	40.83
11.08	40.83
11.09	40.83
11.1	40.61
11.11	40.54
11.12	40.47
11.13	40.4
11.14	40.33
11.15	40.26
11.16	40.18
11.17	40.11
11.18	40.04
11.19	40.18
11.2	39.61
11.21	39.04
11.22	38.47
11.23	37.9
11.24	37.32
11.25	36.75
11.26	36.18
11.27	35.61
11.28	34.89
11.29	34.46
11.3	34.03
11.31	33.61
11.32	33.18
11.33	32.75
11.34	32.32
11.35	31.89
11.36	31.46
11.37	31.75
11.38	32.39
11.39	33.03
11.4	33.68
11.41	34.32
11.42	34.96
11.43	35.61
11.44	36.25
11.45	36.89
11.46	37.25
11.47	36.68
11.48	36.11
11.49	35.54
11.5	34.96
11.51	34.39
11.52	33.82
11.53	33.25
11.54	32.68
11.55	31.75
11.56	30.53
11.57	29.32
11.58	28.1
11.59	26.88
11.6	25.67
11.61	24.45
11.62	23.24
11.63	22.02
11.64	21.74
11.65	22.09
11.66	22.45
11.67	22.81
11.68	23.17
11.69	23.52
11.7	23.88
11.71	24.24
11.72	24.6
11.73	25.24
11.74	25.6
11.75	25.95
11.76	26.31
11.77	26.67
11.78	27.03
11.79	27.38
11.8	27.74
11.81	28.1
11.82	27.81
11.83	27.81
11.84	27.81
11.85	27.81
11.86	27.81
11.87	27.81
11.88	27.81
11.89	27.81
11.9	27.81
11.91	27.53
11.92	27.24
11.93	26.96
11.94	26.67
11.95	26.38
11.96	26.1
11.97	25.81
11.98	25.53
11.99	25.24
12	25.1
12.01	24.95
12.02	24.81
12.03	24.67
12.04	24.52
12.05	24.38
12.06	24.24
12.07	24.1
12.08	24.52
12.09	24.52
12.1	24.52
12.11	24.52
12.12	24.52
12.13	24.52
12.14	24.52
12.15	24.52
12.16	24.52
12.17	24.1
12.18	23.88
12.19	23.67
12.2	23.45
12.21	23.24
12.22	23.02
12.23	22.81
12.24	22.59
12.25	22.38
12.26	22.59
12.27	22.52
12.28	22.45
12.29	22.38
12.3	22.31
12.31	22.24
12.32	22.17
12.33	22.09
12.34	22.02
12.35	21.74
12.36	21.81
12.37	21.88
12.38	21.95
12.39	22.02
12.4	22.09
12.41	22.17
12.42	22.24
12.43	22.31
12.44	22.67
12.45	22.95
12.46	23.24
12.47	23.52
12.48	23.81
12.49	24.1
12.5	24.38
12.51	24.67
12.52	24.95
12.53	24.88
12.54	25.67
12.55	26.46
12.56	27.24
12.57	28.03
12.58	28.81
12.59	29.6
12.6	30.39
12.61	31.17
12.62	32.03
12.63	33.18
12.64	34.32
12.65	35.46
12.66	36.61
12.67	37.75
12.68	38.9
12.69	40.04
12.7	41.18
12.71	41.47
12.72	40.18
12.73	38.9
12.74	37.61
12.75	36.32
12.76	35.04
12.77	33.75
12.78	32.46
12.79	31.17
12.8	29.6
12.81	28.67
12.82	27.74
12.83	26.81
12.84	25.88
12.85	24.95
12.86	24.02
12.87	23.09
12.88	22.17
12.89	22.81
12.9	23.81
12.91	24.81
12.92	25.81
12.93	26.81
12.94	27.81
12.95	28.81
12.96	29.82
12.97	30.82
12.98	31.17
12.99	30.67
13	30.17
13.01	29.67
13.02	29.17
13.03	28.67
13.04	28.17
13.05	27.67
13.06	27.17
13.07	26.31
13.08	25.67
13.09	25.03
13.1	24.38
13.11	23.74
13.12	23.09
13.13	22.45
13.14	21.81
13.15	21.16
13.16	21.38
13.17	21.59
13.18	21.59
13.19	21.59
13.2	21.59
13.21	21.59
13.22	21.59
13.23	21.59
13.24	21.59
13.25	21.38
13.26	21.16
13.27	21.09
13.28	21.02
13.29	20.95
13.3	20.88
13.31	20.81
13.32	20.74
13.33	20.66
13.34	20.59
13.35	20.74
13.36	20.95
13.37	21.16
13.38	21.38
13.39	21.59
13.4	21.81
13.41	22.02
13.42	22.24
13.43	22.45
13.44	23.52
13.45	24.6
13.46	25.67
13.47	26.74
13.48	27.81
13.49	28.89
13.5	29.96
13.51	31.03
13.52	32.1
13.53	32.25
13.54	32.39
13.55	32.53
13.56	32.68
13.57	32.82
13.58	32.96
13.59	33.1
13.6	33.25
13.61	32.39
13.62	31.32
13.63	30.24
13.64	29.17
13.65	28.1
13.66	27.03
13.67	25.95
13.68	24.88
13.69	23.81
13.7	23.6
13.71	23.45
13.72	23.31
13.73	23.17
13.74	23.02
13.75	22.88
13.76	22.74
13.77	22.59
13.78	22.45
13.79	22.52
13.8	22.59
13.81	22.45
13.82	22.31
13.83	22.17
13.84	22.02
13.85	21.88
13.86	21.74
13.87	21.59
13.88	21.38
13.89	21.16
13.9	20.66
13.91	20.16
13.92	19.66
13.93	19.16
13.94	18.66
13.95	18.16
13.96	17.66
13.97	17.16
13.98	16.87
13.99	16.59
14	16.3
14.01	16.02
14.02	15.73
14.03	15.44
14.04	15.16
14.05	14.87
14.06	14.59
14.07	14.59
14.08	14.94
14.09	15.3
14.1	15.66
14.11	16.02
14.12	16.37
14.13	16.73
14.14	17.09
14.15	17.45
14.16	17.8
14.17	18.16
14.18	18.52
14.19	18.88
14.2	19.23
14.21	19.59
14.22	19.95
14.23	20.31
14.24	20.66
14.25	20.66
14.26	20.66
14.27	20.45
14.28	20.23
14.29	20.02
14.3	19.81
14.31	19.59
14.32	19.38
14.33	19.16
14.34	18.95
14.35	18.73
14.36	19.16
14.37	19.59
14.38	20.02
14.39	20.45
14.4	20.88
14.41	21.31
14.42	21.74
14.43	22.17
14.44	22.81
14.45	23.02
14.46	23.24
14.47	23.45
14.48	23.67
14.49	23.88
14.5	24.1
14.51	24.31
14.52	24.52
14.53	24.1
14.54	23.67
14.55	23.24
14.56	22.81
14.57	22.38
14.58	21.95
14.59	21.52
14.6	21.09
14.61	20.66
14.62	20.66
14.63	20.45
14.64	20.23
14.65	20.02
14.66	19.81
14.67	19.59
14.68	19.38
14.69	19.16
14.7	18.95
14.71	18.73
14.72	18.38
14.73	18.02
14.74	17.66
14.75	17.3
14.76	16.95
14.77	16.59
14.78	16.23
14.79	15.87
14.8	15.73
14.81	15.73
14.82	15.73
14.83	15.73
14.84	15.73
14.85	15.73
14.86	15.73
14.87	15.73
14.88	15.73
14.89	15.87
14.9	16.3
14.91	16.73
14.92	17.16
14.93	17.59
14.94	18.02
14.95	18.45
14.96	18.88
14.97	19.31
14.98	19.59
14.99	19.09
15	18.59
15.01	18.09
15.02	17.59
15.03	17.09
15.04	16.59
15.05	16.09
15.06	15.59
15.07	14.8
15.08	14.01
15.09	14.01
15.1	14.01
15.11	14.01
15.12	14.01
15.13	14.01
15.14	14.01
15.15	14.01
15.16	14.8
15.17	15.59
15.18	15.59
15.19	15.59
15.2	15.59
15.21	15.59
15.22	15.59
15.23	15.59
15.24	15.59
15.25	15.59
15.26	14.8
15.27	14.51
15.28	14.23
15.29	13.94
15.3	13.66
15.31	13.37
15.32	13.08
15.33	12.8
15.34	12.51
15.35	13.01
15.36	13.23
15.37	13.44
15.38	13.66
15.39	13.87
15.4	14.09
15.41	14.3
15.42	14.51
15.43	14.73
15.44	14.44
15.45	13.73
15.46	13.01
15.47	12.3
15.48	11.58
15.49	10.87
15.5	10.15
15.51	9.44
15.52	8.72
15.53	8.29
15.54	8.58
15.55	8.87
15.56	9.15
15.57	9.44
15.58	9.72
15.59	10.01
15.6	10.3
15.61	10.58
