X,Y,MD,Surface,Well
1662465.336,6365980.89,136.77,Mulde,Altajame
1662465.336,6365980.89,313.4,mid telychian unconformity?,Altajame
1662465.336,6365980.89,221.32,Ireviken peak 7,Altajame
1662465.336,6365980.89,231.05,Ireviken peak 6,Altajame
1662465.336,6365980.89,241.99,Ireviken peak 5,Altajame
1662465.336,6365980.89,250.29,Ireviken peak 4,Altajame
1662465.336,6365980.89,259.06,Ireviken peak 3,Altajame
1662465.336,6365980.89,265.97,Ireviken peak 2,Altajame
1662465.336,6365980.89,271.62,Ireviken peak 1,Altajame
1662465.336,6365980.89,319.39,base telychian,Altajame
1662465.336,6365980.89,325.24,base silurian,Altajame
1662465.336,6365980.89,280.2,base Ireviken,Altajame
1662465.336,6365980.89,0,0m,Altajame
1662465.336,6365980.89,8,2ndmulde,Altajame
1660944,6344417,202.5,2ndmulde,Dalsviden-1
1660944,6344417,231.27,Mulde,Dalsviden-1
1660944,6344417,339.1,mid telychian unconformity?,Dalsviden-1
1660944,6344417,125.6,linde?,Dalsviden-1
1660944,6344417,284.22,Ireviken peak 7,Dalsviden-1
1660944,6344417,292.1,Ireviken peak 6,Dalsviden-1
1660944,6344417,300.34,Ireviken peak 5,Dalsviden-1
1660944,6344417,305.13,Ireviken peak 4,Dalsviden-1
1660944,6344417,309.69,Ireviken peak 3,Dalsviden-1
1660944,6344417,312.72,Ireviken peak 2,Dalsviden-1
1660944,6344417,316.41,Ireviken peak 1,Dalsviden-1
1660944,6344417,344.89,base telychian,Dalsviden-1
1660944,6344417,353.56,base silurian,Dalsviden-1
1660944,6344417,319.64,base Ireviken,Dalsviden-1
1660944,6344417,0,0m,Dalsviden-1
1655703,6322416,279,2ndmulde,Faludden-2
1655703,6322416,309.28,Mulde,Faludden-2
1655703,6322416,435.41,mid telychian unconformity?,Faludden-2
1655703,6322416,235.37,linde?,Faludden-2
1655703,6322416,110.62,Lau,Faludden-2
1655703,6322416,374.82,Ireviken peak 7,Faludden-2
1655703,6322416,379.87,Ireviken peak 6,Faludden-2
1655703,6322416,384.83,Ireviken peak 5,Faludden-2
1655703,6322416,390.56,Ireviken peak 4,Faludden-2
1655703,6322416,394.96,Ireviken peak 3,Faludden-2
1655703,6322416,398.89,Ireviken peak 2,Faludden-2
1655703,6322416,402.62,Ireviken peak 1,Faludden-2
1655703,6322416,449.21,base telychian,Faludden-2
1655703,6322416,458.49,base silurian,Faludden-2
1655703,6322416,405.47,base Ireviken,Faludden-2
1655703,6322416,0,0m,Faludden-2
1644364,6316651,246,2ndmulde,Gervalds-1
1644364,6316651,277.9,Mulde,Gervalds-1
1644364,6316651,399.91,mid telychian unconformity?,Gervalds-1
1644364,6316651,198.92,linde?,Gervalds-1
1644364,6316651,69.12,Lau,Gervalds-1
1644364,6316651,345.19,Ireviken peak 7,Gervalds-1
1644364,6316651,350.04,Ireviken peak 6,Gervalds-1
1644364,6316651,354.2,Ireviken peak 5,Gervalds-1
1644364,6316651,360.75,Ireviken peak 4,Gervalds-1
1644364,6316651,364.48,Ireviken peak 3,Gervalds-1
1644364,6316651,368.21,Ireviken peak 2,Gervalds-1
1644364,6316651,372.1,Ireviken peak 1,Gervalds-1
1644364,6316651,407.86,base telychian,Gervalds-1
1644364,6316651,412.73,base silurian,Gervalds-1
1644364,6316651,375.45,base Ireviken,Gervalds-1
1644364,6316651,0,0m,Gervalds-1
1660138,6335746,254.62,Mulde,Grotlingbo-2
1660138,6335746,366.5,mid telychian unconformity?,Grotlingbo-2
1660138,6335746,149.32,linde?,Grotlingbo-2
1660138,6335746,26.58,Lau,Grotlingbo-2
1660138,6335746,315.24,Ireviken peak 7,Grotlingbo-2
1660138,6335746,319.54,Ireviken peak 6,Grotlingbo-2
1660138,6335746,324.64,Ireviken peak 5,Grotlingbo-2
1660138,6335746,328.46,Ireviken peak 4,Grotlingbo-2
1660138,6335746,332.73,Ireviken peak 3,Grotlingbo-2
1660138,6335746,336.5,Ireviken peak 2,Grotlingbo-2
1660138,6335746,340.55,Ireviken peak 1,Grotlingbo-2
1660138,6335746,382.08,base telychian,Grotlingbo-2
1660138,6335746,389.57,base silurian,Grotlingbo-2
