LOKALNAMN;RT90 X;RT90 y;BORRHÅL;SCANNINGSNR WELL LOGS ;SCANNINGSNR reports
Audungs-1;6417716;1693310;Audungs-1;;SC23427-3338 
Flygfältet-1;6417946;1692018;Flygfältet-1;;SC23427-3643  
Vistäde myr-1;6417440;1691498;Vistäde myr-1;;SC23427-3634  
Furilden-5;6408755;1691465;Furilden-5;;SC23427-3491  
Furilden-4A;6408580;1691430;Furilden-4A;;SC23427-3457
Ducker-1;6418343;1691103;Ducker-1;;SC23427-3461
Hägur-1;6419419;1690978;Hägur-1;;SC23427-3441
Leviken-1;6407129;1690931;Leviken-1;;SC23427-3339
Ale-1;6414643;1689653;Ale-1;;SC23427-3644  
Alby-1;6414191;1689353;Alby-1; SC23427-2248    SC23427-2249   SC23427-3380  ;SC23427-3380
Stucks-2;6421495;1689055;Stucks-2;;SC23427-3490  
Gutehajd-1;6412125;1688556;Gutehajd-1;;SC23427-3645  
Valleberg-3;6411795;1688424;Valleberg-3;;SC23427-3435
Stenkorset-1;6416540;1686215;Stenkorset-1;;SC23427-3455
Midbacken-1;6415310;1686093;Midbacken-1;;SC23427-3625  
Kyllahajdar-1;6407702;1685770;Kyllahajdar-1;;SC23427-3633  
Östergarn-1;6370272;1685649;Östergarn-1;SC23427-2938  SC23427-2939  SC23427-2940  SC23427-2941  SC23427-2942  SC23427-3378  ;SC23427-2938  SC23427-2939  SC23427-2940  SC23427-2941  SC23427-2942  SC23427-3378  
Rute-3;6417025;1684580;Rute-3;;SC23427-3452
Rute-2;6416898;1684556;Rute-2;;SC23427-3450
Rute-1;6416834;1684530;Rute-1;;SC23427-3449
Norderskogen-5;6417545;1683970;Norderskogen-5;;SC23427-3453
Norderskogen-4;6417273;1683898;Norderskogen-4;;SC23427-3433
Maurskogen-1;6405015;1683820;Maurskogen-1;;SC23427-3476
Rojrviken-1;6415279;1683772;Risungs-11;;SC23427-3434
Utoje-1;6418690;1683255;Utoje-1;;SC23427-3454
Hemmungs-1;6407021;1682990;Kännungs-1;;SC23427-3640  
Vike-1;6372151;1682657;Vike-1;;SC23427-3400
Norrgårde-1;6409203;1682454;Norrgårde-1;;SC23427-3438  SC23427-3505  
Takstens-1;6414000;1681230;Takstens-1;;SC23427-3475
Lilla Ire;6407605;1681182;Lilla Ire;;SC23427-3641
Suderskogen-1;6408778;1680880;Suderskogen-1;;SC23427-3638  
Källstäde-1;6412090;1680030;Källstäde-1;;SC23427-3613  
Lillmyrskogen-1;6408060;1679750;Lillmyrskogen-1;;SC23427-3440
Rausikar-1;6414407;1679502;Rausikar-1;;SC23427-3646  
Liffride-1;6410820;1679060;Liffride-1;;SC23427-3442
Vickers-1;6418594;1678705;Vickers-1;;SC23427-3473
Gajrvide-1;6385073;1678600;Gajrvide-1;;SC23427-3477
Lilla Vägume-1;6407888;1678403;Lilla Vägume-1;;SC23427-3463
Raukudd-1;6418318;1678361;Raukudd-1;;SC23427-3474
Bruten-1;6406925;1678188;Bruten-1;;SC23427-3437
Krokungs-1;6417560;1678175;Krokungs-1;;SC23427-3479
Busarve-1;6387063;1678140;Busarve-1;;SC23427-3447
Storgraun-1;6414047;1677771;Storgraun-1;;SC23427-3472
Staplebacke-2;6413935;1677249;Staplebacke-2;;SC23427-3448
Staplebacke-1;6413948;1677246;Staplebacke-1;;SC23427-3439
Hangre-2;6384130;1676980;Hangre-2;;SC23427-3467
Vaters-1;6384470;1676530;Vaters-1;;SC23427-3459
Båticke-1;6376475;1676309;Båticke-1;;SC23427-3436
Västerhagen-1;6407296;1676221;Västerhagen-1;;SC23427-3647  
Väthagen-1;6409481;1675958;Väthagen-1;;SC23427-3462
Hajdhagen-1;6405740;1675832;Hajdhagen-1;;SC23427-3626  
Djaupdy-1;6350616;1675458;Djaupdy-1; SC23427-2975   SC23427-2976   SC23427-2977   SC23427-2978   SC23427-2979   SC23427-2980  SC23427-2981  ;SC23427-3357
Nyudden-1;6352841;1675330;Nyudden-1;SC23427-2133   SC23427-2134  SC3427-2135   SC23427-2136   SC23427-2137   SC23427-2138   SC23427-2139   SC23427-2140   SC23427-2141   SC23427-2142   SC23427-2143   SC23427-2144   SC23427-2145   SC23427-2146    SC23427-2147  SC23427-2313  SC23427-3349  ;SC23427-3349
Hammaren-1;6352755;1674764;Hammaren-1; SC23427-2962   SC23427-2963   SC23427-2964   SC23427-2965   SC23427-2966  SC23427-3407  ;SC23427-3407
Spännarve-1D;6389136;1673661;Spännarve-1D;;SC23427-3446
Nyudden-2;6352678;1673659;Nyudden-2;;SC23427-3376
Svallings;6391220;1673441;Svallings;;SC23427-3444
Uppegårds-1;6412558;1673181;Uppegårds-1;;SC23427-3464
Lausvik-1;6353052;1671529;Lausvik-1;;SC23427-3366
Hangvar-2;6415985;1671442;Hangvar-2;;SC23427-3483
Gurpe-1;6373905;1671355;Gurpe-1;;SC23427-3443
Ala-1;6371350;1671349;Ala-1;;SC23427-3387
Hangvar-1;6419240;1671270;Hangvar-1;;SC23427-3492  
Maldes-1;6350654;1671193;Maldes-1;SC23427-2154   SC23427-2200   SC23427-2201   SC23427-2202   SC23427-2203   SC23427-2204   SC23427-2205   SC23427-2279  SC23427-3406  ;SC23427-3406
Rommunds-1;6360717;1671141;Rommunds-1;;SC23427-3360
Bofride-1;6360752;1670487;Bofride-1;;SC23427-3359
Hemmungs-1;6375572;1670329;Hemmungs-1; SC23427-3639  ;SC23427-3639
Folke-1;6348479;1670309;Folke-1;;SC23427-3363
t ;6391507;1670124;Skarphagen-2;;SC23427-3445
Lilla Bringes-1;6377525;1670085;Lilla Bringes-1;;SC23427-3489  
Lau-1;6354383;1670030;Lau-1;SC23427-2229   SC23427-2230   SC23427-2231   SC23427-2232   SC23427-2234    SC23427-3344  ;SC23427-3344
Lau-2;6355647;1669877;Lau-2;;SC23427-3367
Bringes-4;6378850;1669770;Bringes-4;;SC23427-3471
Bringes-2;6378835;1669770;Bringes-2;;SC23427-3469
Mattise-1;6350160;1669769;Mattise-1;SC23427-2228   SC23427-2233  SC23427-2927  SC23427-3353  ;SC23427-3353
Bringes-3;6378865;1669760;Bringes-3;;SC23427-3468
Bringes-1;6378845;1669750;Bringes-1;;SC23427-3466
Suderbys-2;6414710;1669710;Suderbys-2;;SC23427-3482
Suderbys-1;6414880;1669620;Suderbys-1;;SC23427-3451
Björke-1;6380493;1669330;Björke-1;;SC23427-3460
Rings-1;6401734;1669092;Rings-1;SC23427-2908  SC23427-2909 SC23427-2910  SC23427-2911  SC23427-2912  SC23427-2913  SC23427-2914  SC23427-2915  SC23427-2916  SC23427-2917  SC23427-2918  SC23427-2919  SC23427-2920   SC23427-2961  SC23427-3347  ;SC23427-3347
Petarve-1;6358055;1668925;Petarve-1;;SC23427-3484  
Gannorträsk-1;6352436;1668602;Gannorträsk-1;;SC23427-3389
Sudergårde-1A;6387385;1667625;Sudergårde-1A;;SC23427-3478
Lajrhagen-2;6351432;1666796;Lajrhagen-2;;SC23427-3368
Lajrhagen-1;6351337;1666716;Lajrhagen-1; SC23427-2970  SC23427-3410  ;SC23427-3410
Ganthem-2;6382085;1665600;;;SC23427-3488  
 ;6349113;1665362;Gläves-1; SC23427-2306   SC23427-2307   SC23427-2308   SC23427-2309   SC23427-2310  SC23427-2311  SC23427-2312  SC23427-3345  ;SC23427-3345
Näsungs-1;6385674;1664934;Näsungs-1;;SC23427-3480
Sigdes-1;6350284;1664442;Sigdes-1; SC23427-2250    SC23427-2251  SC23427-2252    SC23427-2253    SC23427-3370  ;SC23427-3370
Lukse-1;6345476;1663441;Lukse-1;;SC23427-3409
Lukse-2;6345563;1663320;Lukse-2;;SC23427-3369
Malmhagen-1;6392214;1662594;Malmhagen-1;;SC23427-3481
Ronehamn-1;6341637;1661911;Ronehamn-1;SC23427-2220   SC23427-2221   SC23427-2222   SC23427-2223   SC23427-2224   SC23427-2225   SC23427-2226   SC23427-2227  SC23427-3341   ;SC23427-3341
Tuer-1;6399357;1660948;Tuer-1;;SC23427-3365
Dalsviden-1;6344417;1660944;Dalsviden-1; SC23427-2967   SC23427-2968   SC23427-2969  SC23427-3356  ;SC23427-3356
Grötlingbo-2;6335746;1660138;Grötlingbo-2;SC23427-2219   SC23427-3330  SC23427-3401  ;SC23427-3330 SC23427-3401
Viklau-1;6374177;1660130;Viklau-1;SC23427-2848  SC23427-3350  ;SC23427-3350
Klasen-1;6335899;1659273;Klasen-1;SC23427-2191   SC23427-2192   SC23427-2193   SC23427-2194   SC23427-2195   SC23427-2196   SC23427-2197   SC23427-2198   SC23427-2199   SC23427-3348  ;SC23427-3348
Skäggs-1;6398940;1658244;Skäggs-1;SC23427-2861  SC23427-2862  SC23427-2863  SC23427-2864  SC23427-2865  SC23427-2866  SC23427-2867  SC23427-2868  SC23427-2869  SC23427-2875  SC23427-2876  SC23427-2877  SC23427-2878  SC23427-2879  SC23427-3351  ;SC23427-3351
Kauparve-1;6335536;1657906;Kauparve-1;SC23427-2156   SC23427-2238   SC23427-2239   SC23427-2240    SC23427-2241    SC23427-2242    SC23427-2243   SC23427-3403  ;SC23427-3403
Östris-1;6343430;1657840;Östris-1;SC23427-2831  SC23427-2832  SC23427-2937  SC23427-3374  ;SC23427-3374
Kauparve-2;6335021;1657824;Kauparve-2;;SC23427-3382
Faludden-1;6321676;1657438;Faludden-1;SC23427-2847  SC23427-2902  SC23427-2903  SC23427-2904  SC23427-2905  SC23427-2906  SC23427-2907  SC23427-3335  ;SC23427-3335
Hemse-1;6349003;1656198;Hemse-1; SC23427-2266   SC23427-2267   SC23427-2268   SC23427-2269   SC23427-2270  SC23427-2271  SC23427-2272  SC23427-2273  SC23427-2274  SC23427-2275  SC23427-2276  SC23427-2277  SC23427-3346  ;SC23427-3346
Faludden-2;6322416;1655703;Faludden-2;SC23427-2833  SC23427-2846  SC23427-2943  SC23427-2944  SC23427-2945  SC23427-2946  SC23427-2947  SC23427-2948  SC23427-2949  SC23427-2950  SC23427-2951  SC23427-2952  SC23427-2953  SC23427-2954  SC23427-2955  SC23427-3334  SC23427-3516  ;SC23427-3334
Lillojle-1;6345445;1655687;Lillojle-1;;SC23427-3398
Brunnskog-1;6402699;1655314;Brunnskog-1;;SC23427-3388
Kulstäde-1;6381435;1654815;Kulstäde-1;;SC23427-3384
Grunnet-3;6328287;1654555;Grunnet-3;;SC23427-3327
Kälder-1;6352921;1654526;Kälder-1;;SC23427-3465
Grunnet-1;6328284;1654437;Grunnet-1;;SC23427-3408
Grunnet-4;6328562;1654427;Grunnet-4;;SC23427-3371
Frigsarve-1;6333793;1654400;Frigsarve-1; SC23427-2960  SC23427-2997  SC23427-2998  SC23427-2999  SC23427-3000  SC23427-3336  ;SC23427-3336
Kälder-2;6353435;1654370;Kälder-2;;SC23427-3470
Grunnet-6;6328395;1654268;Grunnet-6;;SC23427-3395
Grunnet-2;6328275;1654234;Grunnet-2;;SC23427-3358
Sindarve-1;6319914;1654208;Sindarve-1; SC23427-2285   SC23427-2286   SC23427-2287  SC23427-3354  ;SC23427-3354
Botvide-1;6325735;1654194;Botvide-1;SC23427-2180  SC23427-3332  ;SC23427-3332
Grunnet-5;6328427;1654144;Grunnet-5;;SC23427-3352  SC23427-3362  
Grunnet-5A;6328427;1654144;Grunnet-5A;;SC23427-3352  SC23427-3362  
Botvide-2;6325919;1654137;Botvide-2;SC23427-2165   SC23427-2166   SC23427-2167   SC23427-2170  SC23427-3373  ;SC23427-3373
Tjocket-1;6354899;1654047;Tjocket-1;;SC23427-3392
Änge-1;6346384;1652948;Änge-1;;SC23427-3397  SC23427-3561  
Stajnkrogen-1;6398852;1652709;Stajnkrogen-1;;SC23427-3394
Ollajvs-1;6322362;1652563;Ollajvs-1;SC23427-2982  SC23427-2983  SC23427-2984  SC23427-2985  SC23427-3419  ;SC23427-2982  SC23427-2983  SC23427-2984  SC23427-2985  SC23427-3419  
Hamra-1;6315298;1652449;Hamra-1;SC23427-2933  SC23427-3329  ;SC23427-2933  SC23427-3329  
Hamra-4;6315388;1652395;Hamra-4;;SC23427-3343
Hamra-4A;6315388;1652395;Hamra-4A;;SC23427-3343
Rums-1;6320622;1652390;Rums-1;SC23427-2986  SC23427-2987  SC23427-2988  SC23427-2989  SC23427-2990  SC23427-2991  SC23427-2992  SC23427-2993  SC23427-2994  SC23427-2995  SC23427-2996  SC23427-3412  ;SC23427-2986  SC23427-2987  SC23427-2988  SC23427-2989  SC23427-2990  SC23427-2991  SC23427-2992  SC23427-2993  SC23427-2994  SC23427-2995  SC23427-2996  SC23427-3412  
Hamra-7;6315675;1652381;Hamra-7;SC23427-2841  SC23427-3424  ;SC23427-3424
Hamra-6;6315826;1652326;Hamra-6;SC23427-2842  SC23427-3423  ;SC23427-3423
Hamra-9;6315377;1652324;Hamra-9;SC23427-2840  SC23427-3426  ;SC23427-3426
