LOKALNAMN;X;Y;N;E;SCANNINGSNR WELL LOGS ;SCANNINGSNR reports
Ajketräsk-1;6430858;1701679;6431608;749204;;SC23427-3592  
Nystugu-1;6428978;1701045;6429721;748592;;SC23427-3575  
Arhagen-1;6424773;1687185;6425351;734785;;SC23427-3583  
Verkegards-1;6424524;1695155;6425197;742757;;SC23427-3522  
Hau-1;6422401;1687774;6422987;735403;;SC23427-3580
Sikhagen-2;6421281;1685697;6421842;733339;;SC23427-3605  
Stucks-1;6421196;1689519;6421803;737162;;SC23427-3567  
Sikhagen-1;6421131;1685697;6421692;733341;;SC23427-3570  
Sikhagen-3;6420981;1685696;6421542;733342;;SC23427-3588  
Skymnings-1;6420602;1685072;6421156;732723;;SC23427-3606  
Stenstugu-1;6420076;1688954;6420676;736610;;SC23427-3630  
Horsan-1;6418758;1679981;6419252;727655;;SC23427-3600  
Galtmyr-1;6418167;1686320;6418736;733999;;SC23427-3607  
Ale-1x;6417946;1692018;6418583;739699;;
Norderskogen-1;6417690;1683989;6418230;731670;;SC23427-3528  
Rutemyr-6;6417491;1685330;6418049;733018;;SC23427-3619  
Mölnerbunkar-1;6417450;1683542;6417990;731230;;SC23427-3615  
Rutemyr-5;6417418;1685524;6417978;733213;;SC23427-3621  
Rutemur-5;6417418;1685524;6417978;733213;;
Norderskogen-3;6417405;1684147;6417949;731836;;SC23427-3587  
Norderskogen-2;6417403;1683849;6417943;731538;;SC23427-3589  
Rutemyr-1;6417346;1685422;6417905;733111;;SC23427-3597  
Rutemyr-4;6417281;1685349;6417839;733039;;SC23427-3620  
Brutmyr-1;6417279;1687177;6417859;734867;;SC23427-3546  
Rutemyr-2;6417251;1685550;6417811;733241;;SC23427-3612  
Rutemyr-7;6417170;1685332;6417730;733020;;SC23427-3629  
Rutemyr-3;6417166;1685414;6417725;733106;;SC23427-3611  
Släkmyr-1;6417166;1685423;6417725;733115;;SC23427-3530  
Brutmyr-2;6417096;1687267;6417677;734959;;SC23427-3579  
Brutmyr-3;6417089;1687995;6417679;735687;;SC23427-3636  
Rute-III;6417025;1684580;6417574;732273;;
Rute-4;6416927;1684683;6417527;732377;;SC23427-3458
Rute-II;6416898;1684556;6417447;732251;;
Rute-I;6416834;1684530;6417382;732226;;
Sandviken-1;6416678;1693433;6417332;741129;;SC23427-3627  
Alvskog-1;6415776;1690194;6416392;737901;;SC23427-3624  
Alvskog-2;6415662;1690292;6416279;738000;;SC23427-3628  
Risungs-6;6415429;1683550;6415966;731263;;SC23427-3555  
Risungs-3;6415427;1683700;6415966;731413;;SC23427-3560  
Risungs-1;6415427;1683700;6415966;731413;;SC23427-3550  
Risungs-4;6415408;1683850;6415948;731563;;SC23427-3553  
Risungs-10;6415320;1683571;6415860;731290;;SC23427-3543  
Risungs-2;6415297;1683625;6415835;731339;;SC23427-3559  
Risungs-5;6415264;1683772;6415804;731487;;SC23427-3552  
Risungs-9;6415256;1683761;6415795;731476;;SC23427-3541  
Risungs-8;6415128;1683804;6415668;731520;;SC23427-3610  
Risungs-7;6415098;1683637;6415636;731354;;SC23427-3554  
Stormyr-2;6415096;1687484;6415680;735200;;
Sigfride-1;6415035;1688538;6415631;736254;;SC23427-3586  
Stormyr-3;6415020;1687523;6415600;735240;;SC23427-3601  
Stormyr-4;6414953;1687460;6415537;735177;;SC23427-3542  
